Time,GPA_I,GPA_VDop,GPA_HAcc,GPA_VAcc,GPA_SAcc,GPA_YAcc,GPA_VV,GPA_SMS,GPA_Delta
 1214398213, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1214367, 200
 1214598133, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1214567, 200
 1214798053, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1214767, 200
 1214997973, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1214967, 200
 1215197893, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1215167, 200
 1215397813, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1215367, 200
 1215597733, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1215567, 200
 1215797653, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1215767, 200
 1215997573, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1215967, 200
 1216197493, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1216167, 200
 1216397413, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1216367, 200
 1216598166, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1216567, 200
 1216798086, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1216767, 200
 1216998006, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1216967, 200
 1217197926, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1217167, 200
 1217397846, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1217367, 200
 1217597766, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1217567, 200
 1217797686, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1217767, 200
 1217997606, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1217967, 200
 1218197526, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1218167, 200
 1218397446, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1218367, 200
 1218598199, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1218567, 200
 1218798119, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1218767, 200
 1218998039, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1218967, 200
 1219197959, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1219167, 200
 1219397879, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1219367, 200
 1219597799, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1219567, 200
 1219797719, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1219767, 200
 1219997639, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1219967, 200
 1220197559, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1220167, 200
 1220397479, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1220367, 200
 1220598232, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1220567, 200
 1220798152, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1220767, 200
 1220998072, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1220967, 200
 1221197992, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1221167, 200
 1221397912, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1221367, 200
 1221597832, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1221567, 200
 1221797752, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1221767, 200
 1221997672, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1221967, 200
 1222197592, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1222167, 200
 1222397512, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1222367, 200
 1222597432, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1222567, 200
 1222798185, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1222767, 200
 1222998105, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1222967, 200
 1223198025, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1223167, 200
 1223397945, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1223367, 200
 1223597865, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1223567, 200
 1223797785, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1223767, 200
 1223997705, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1223967, 200
 1224197625, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1224167, 200
 1224397545, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1224367, 200
 1224597465, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1224567, 200
 1224798218, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1224767, 200
 1224998138, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1224967, 200
 1225198058, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1225167, 200
 1225397978, 0, 2, 0.3, 0.3, 0.04, 0, 1, 1225367, 200
