Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 1214445694, 0, 64821, 4877, 0, 6, 0, 42868
 1215447793, 0, 64927, 4881, 0, 6, 0, 42868
 1216448226, 0, 65032, 4884, 0, 6, 0, 42868
 1217450325, 0, 65141, 4887, 0, 6, 0, 42868
 1218452424, 0, 65250, 4890, 0, 6, 0, 42868
 1219455356, 0, 65360, 4894, 0, 6, 0, 42868
 1220457455, 0, 65446, 4917, 0, 6, 0, 42868
 1221460387, 0, 65509, 4920, 0, 6, 0, 42868
 1222462486, 0, 39, 4925, 0, 6, 0, 42868
 1223465418, 0, 102, 4928, 0, 6, 0, 42868
 1224467517, 0, 165, 4931, 0, 6, 0, 42868
 1225470449, 0, 228, 4934, 0, 6, 0, 42868
 1226472548, 0, 291, 4937, 0, 6, 0, 42868
 1227475480, 0, 377, 4941, 0, 6, 0, 42868
 1228477579, 0, 489, 4945, 0, 6, 0, 42868
 1229478012, 0, 600, 4948, 0, 6, 0, 42868
 1230480111, 0, 709, 4951, 0, 6, 0, 42868
 1231483043, 0, 818, 4954, 0, 6, 0, 42868
 1232485142, 0, 928, 4959, 0, 6, 0, 42868
 1233488074, 0, 1037, 4962, 0, 6, 0, 42868
 1234490173, 0, 1146, 4965, 0, 6, 0, 42868
 1235493105, 0, 1255, 4968, 0, 6, 0, 42868
 1236495204, 0, 1364, 4971, 0, 6, 0, 42868
 1237498136, 0, 1473, 4974, 0, 6, 0, 42868
 1238500235, 0, 1582, 4977, 0, 6, 0, 42868
 1239503167, 0, 1691, 4980, 0, 6, 0, 42868
 1240505266, 0, 1800, 4983, 0, 6, 0, 42868
 1241508198, 0, 1909, 4986, 0, 6, 0, 42868
 1242510297, 0, 2022, 4992, 0, 6, 0, 42868
 1243513229, 0, 2135, 4995, 0, 6, 0, 42868
 1244515328, 0, 2248, 4998, 0, 6, 0, 42868
 1245517427, 0, 2361, 5001, 0, 6, 0, 42868
 1246520359, 0, 2474, 5004, 0, 6, 0, 42868
 1247522458, 0, 2587, 5007, 0, 6, 0, 42868
 1248525390, 0, 2700, 5012, 0, 6, 0, 42868
 1249527489, 0, 2813, 5013, 0, 6, 0, 42868
 1250530421, 0, 2926, 5016, 0, 6, 0, 42868
 1251532520, 0, 3039, 5021, 0, 6, 0, 42868
 1252535452, 0, 3153, 5026, 0, 6, 0, 42868
 1253537551, 0, 3266, 5029, 0, 6, 0, 42868
 1254540483, 0, 3379, 5032, 0, 6, 0, 42868
 1255542582, 0, 3492, 5035, 0, 6, 0, 42868
 1256543015, 0, 3605, 5038, 0, 6, 0, 42868
 1257545114, 0, 3718, 5042, 0, 6, 0, 42868
 1258548046, 0, 3807, 5065, 0, 6, 0, 42868
 1259550145, 0, 3872, 5068, 0, 6, 0, 42868
 1260553077, 0, 3939, 5071, 0, 6, 0, 42868
 1261555176, 0, 4008, 5074, 0, 6, 0, 42868
 1262558108, 0, 4074, 5079, 0, 6, 0, 42868
 1263560207, 0, 4139, 5082, 0, 6, 0, 42868
 1264563139, 0, 4204, 5085, 0, 6, 0, 42868
 1265565238, 0, 4269, 5088, 0, 6, 0, 42868
 1266568170, 0, 4337, 5091, 0, 6, 0, 42868
 1267570269, 0, 4402, 5094, 0, 6, 0, 42868
 1268573201, 0, 4467, 5097, 0, 6, 0, 42868
 1269575300, 0, 4532, 5100, 0, 6, 0, 42868
 1270578232, 0, 4597, 5103, 0, 6, 0, 42868
 1271580331, 0, 4662, 5107, 0, 6, 0, 42868
 1272582430, 0, 4776, 5112, 0, 6, 0, 42868
 1273585362, 0, 4889, 5115, 0, 6, 0, 42868
 1274587461, 0, 5002, 5118, 0, 6, 0, 42868
 1275590393, 0, 5115, 5121, 0, 6, 0, 42868
 1276592492, 0, 5228, 5124, 0, 6, 0, 42868
 1277595424, 0, 5341, 5127, 0, 6, 0, 42868
 1278597523, 0, 5454, 5130, 0, 6, 0, 42868
 1279600455, 0, 5567, 5133, 0, 6, 0, 42868
 1280602554, 0, 5680, 5136, 0, 6, 0, 42868
 1281605486, 0, 5793, 5139, 0, 6, 0, 42868
 1282607585, 0, 5907, 5144, 0, 6, 0, 42868
 1283608018, 0, 6020, 5147, 0, 6, 0, 42868
 1284610117, 0, 6133, 5150, 0, 6, 0, 42868
 1285613049, 0, 6246, 5153, 0, 6, 0, 42868
 1286615148, 0, 6359, 5157, 0, 6, 0, 42868
 1287618080, 0, 6472, 5160, 0, 6, 0, 42868
 1288620179, 0, 6585, 5163, 0, 6, 0, 42868
 1289623111, 0, 6698, 5166, 0, 6, 0, 42868
 1290625210, 0, 6811, 5169, 0, 6, 0, 42868
 1291628142, 0, 6926, 5172, 0, 6, 0, 42868
 1292630241, 0, 7040, 5177, 0, 6, 0, 42868
 1293633173, 0, 7153, 5180, 0, 6, 0, 42868
 1294635272, 0, 7266, 5182, 0, 6, 0, 42868
 1295638204, 0, 7379, 5185, 0, 6, 0, 42868
 1296640303, 0, 7444, 5208, 0, 6, 0, 42868
 1297643235, 0, 7509, 5211, 0, 6, 0, 42868
 1298645334, 0, 7574, 5214, 0, 6, 0, 42868
 1299647433, 0, 7639, 5217, 0, 6, 0, 42868
 1300650365, 0, 7704, 5220, 0, 6, 0, 42868
 1301652464, 0, 7769, 5224, 0, 6, 0, 42868
 1302655396, 0, 7886, 5229, 0, 6, 0, 42868
 1303657495, 0, 7999, 5232, 0, 6, 0, 42868
 1304660427, 0, 8112, 5235, 0, 6, 0, 42868
 1305662526, 0, 8225, 5238, 0, 6, 0, 42868
 1306665458, 0, 8338, 5241, 0, 6, 0, 42868
 1307667557, 0, 8451, 5244, 0, 6, 0, 42868
 1308670489, 0, 8564, 5247, 0, 6, 0, 42868
 1309672588, 0, 8677, 5250, 0, 6, 0, 42868
 1310673021, 0, 8790, 5253, 0, 6, 0, 42868
 1311675120, 0, 8903, 5256, 0, 6, 0, 42868
 1312678052, 0, 9017, 5261, 0, 6, 0, 42868
 1313680151, 0, 9130, 5264, 0, 6, 0, 42868
 1314683083, 0, 9243, 5267, 0, 6, 0, 42868
 1315685182, 0, 9356, 5270, 0, 6, 0, 42868
