Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 1214358229, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214458189, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214558149, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214658109, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214758069, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214858029, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1214957989, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215057949, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215157909, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215257869, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215357829, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215457789, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215557749, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215657709, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215757669, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215857629, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1215957589, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216057549, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216157509, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216257469, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216357429, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216458222, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216558182, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216658142, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216758102, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216858062, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1216958022, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217057982, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217157942, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217257902, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217357862, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217457822, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217557782, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217657742, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217757702, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217857662, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1217957622, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218057582, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218157542, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218257502, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218357462, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218457422, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218558215, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218658175, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218758135, 0.9728678, 0.9834483, 1, 0.0345645, 2
 1218858095, 0.9728678, 0.9834483, 1, 0.0345645, 2
