Time,PSCN_TPN,PSCN_PN,PSCN_DVN,PSCN_TVN,PSCN_VN,PSCN_DAN,PSCN_TAN,PSCN_AN
 1214358229, -0.05504217, -0.05504217, -0.0001739001, -0.0001739001, -0.0001739001, 0, -3.348528E-05, -3.40085E-05
 1214458189, -0.05509628, -0.05509628, -0.0001741634, -0.0001741634, -0.0001741634, 0, -3.348679E-05, -3.401002E-05
 1214558149, -0.0551403, -0.0551403, -0.0002126591, -0.0002126591, -0.0002126591, 0, -3.348847E-05, -3.401173E-05
 1214658109, -0.05519304, -0.05519304, -0.0003139818, -0.0003139818, -0.0003139818, 0, -3.34901E-05, -3.401338E-05
 1214758069, -0.05524198, -0.05524198, -0.000355875, -0.000355875, -0.000355875, 0, -3.349234E-05, -3.401565E-05
 1214858029, -0.0552962, -0.0552962, -0.0004227396, -0.0004227396, -0.0004227396, 0, -3.349472E-05, -3.401808E-05
 1214957989, -0.05534735, -0.05534735, -0.0005127497, -0.0005127497, -0.0005127497, 0, -3.349725E-05, -3.402065E-05
 1215057949, -0.05540356, -0.05540356, -0.000549724, -0.000549724, -0.000549724, 0, -3.349943E-05, -3.402286E-05
 1215157909, -0.05545528, -0.05545528, -0.0005960986, -0.0005960986, -0.0005960986, 0, -3.35017E-05, -3.402516E-05
 1215257869, -0.05551194, -0.05551194, -0.0007026651, -0.0007026651, -0.0007026651, 0, -3.350396E-05, -3.402746E-05
 1215357829, -0.05556484, -0.05556484, -0.000736309, -0.000736309, -0.000736309, 0, -3.350607E-05, -3.40296E-05
 1215457789, -0.05561618, -0.05561618, -0.0007790357, -0.0007790357, -0.0007790357, 0, -3.350847E-05, -3.403204E-05
 1215557749, -0.05566911, -0.05566911, -0.0008868483, -0.0008868483, -0.0008868483, 0, -3.351085E-05, -3.403446E-05
 1215657709, -0.05572209, -0.05572209, -0.0008965027, -0.0008965027, -0.0008965027, 0, -3.351324E-05, -3.403688E-05
 1215757669, -0.05577299, -0.05577299, -0.0009810794, -0.0009810794, -0.0009810794, 0, -3.351567E-05, -3.403935E-05
 1215857629, -0.05582412, -0.05582412, -0.001018903, -0.001018903, -0.001018903, 0, -3.351801E-05, -3.404173E-05
 1215957589, -0.05587589, -0.05587589, -0.001068717, -0.001068717, -0.001068717, 0, -3.352041E-05, -3.404416E-05
 1216057549, -0.05592231, -0.05592231, -0.001128082, -0.001128082, -0.001128082, 0, -3.352269E-05, -3.404648E-05
 1216157509, -0.05597372, -0.05597372, -0.001185437, -0.001185437, -0.001185437, 0, -3.352501E-05, -3.404884E-05
 1216257469, -0.05601739, -0.05601739, -0.001211257, -0.001211257, -0.001211257, 0, -3.352742E-05, -3.405128E-05
 1216357429, -0.05606889, -0.05606889, -0.001330611, -0.001330611, -0.001330611, 0, -3.353005E-05, -3.405396E-05
 1216458222, -0.05611867, -0.05611867, -0.001434906, -0.001434906, -0.001434906, 0, -3.353224E-05, -3.405617E-05
 1216558182, -0.05618083, -0.05618083, -0.001545122, -0.001545122, -0.001545122, 0, -3.353475E-05, -3.405872E-05
 1216658142, -0.05623493, -0.05623493, -0.00161094, -0.00161094, -0.00161094, 0, -3.353722E-05, -3.406124E-05
 1216758102, -0.0562967, -0.0562967, -0.00169875, -0.00169875, -0.00169875, 0, -3.353951E-05, -3.406357E-05
 1216858062, -0.05635075, -0.05635075, -0.00176216, -0.00176216, -0.00176216, 0, -3.35419E-05, -3.406599E-05
 1216958022, -0.05641464, -0.05641464, -0.001819273, -0.001819273, -0.001819273, 0, -3.354434E-05, -3.406847E-05
 1217057982, -0.05646788, -0.05646788, -0.001938064, -0.001938064, -0.001938064, 0, -3.354696E-05, -3.407114E-05
 1217157942, -0.05653796, -0.05653796, -0.002011078, -0.002011078, -0.002011078, 0, -3.354943E-05, -3.407364E-05
 1217257902, -0.05658826, -0.05658826, -0.002061338, -0.002061338, -0.002061338, 0, -3.355203E-05, -3.407629E-05
 1217357862, -0.05665791, -0.05665791, -0.002201291, -0.002201291, -0.002201291, 0, -3.355456E-05, -3.407885E-05
 1217457822, -0.05671428, -0.05671428, -0.00228618, -0.00228618, -0.00228618, 0, -3.35571E-05, -3.408144E-05
 1217557782, -0.05678988, -0.05678988, -0.002422505, -0.002422505, -0.002422505, 0, -3.355957E-05, -3.408394E-05
 1217657742, -0.05684894, -0.05684894, -0.002502238, -0.002502238, -0.002502238, 0, -3.35621E-05, -3.40865E-05
 1217757702, -0.05692722, -0.05692722, -0.00256511, -0.00256511, -0.00256511, 0, -3.356453E-05, -3.408898E-05
 1217857662, -0.05697731, -0.05697731, -0.002590701, -0.002590701, -0.002590701, 0, -3.356702E-05, -3.40915E-05
 1217957622, -0.05704349, -0.05704349, -0.002641126, -0.002641126, -0.002641126, 0, -3.356946E-05, -3.409399E-05
 1218057582, -0.05709175, -0.05709175, -0.002754938, -0.002754938, -0.002754938, 0, -3.35722E-05, -3.409676E-05
 1218157542, -0.05716423, -0.05716423, -0.002829134, -0.002829134, -0.002829134, 0, -3.357469E-05, -3.409928E-05
 1218257502, -0.05721176, -0.05721176, -0.002861963, -0.002861963, -0.002861963, 0, -3.357751E-05, -3.410216E-05
 1218357462, -0.05727913, -0.05727913, -0.002897628, -0.002897628, -0.002897628, 0, -3.358009E-05, -3.410477E-05
 1218457422, -0.05732176, -0.05732176, -0.002985036, -0.002985036, -0.002985036, 0, -3.358277E-05, -3.41075E-05
 1218558215, -0.05739458, -0.05739458, -0.003069094, -0.003069094, -0.003069094, 0, -3.35854E-05, -3.411017E-05
 1218658175, -0.05744133, -0.05744133, -0.00318863, -0.00318863, -0.00318863, 0, -3.358804E-05, -3.411285E-05
 1218758135, -0.05751537, -0.05751537, -0.003279251, -0.003279251, -0.003279251, 0, -3.359055E-05, -3.41154E-05
 1218858095, -0.0575654, -0.0575654, -0.003358126, -0.003358126, -0.003358126, 0, -3.359345E-05, -3.411835E-05
 1218958055, -0.05764378, -0.05764378, -0.00342661, -0.00342661, -0.00342661, 0, -3.359607E-05, -3.412101E-05
 1219058015, -0.05769071, -0.05769071, -0.003456447, -0.003456447, -0.003456447, 0, -3.35986E-05, -3.412358E-05
 1219157975, -0.05776547, -0.05776547, -0.003541476, -0.003541476, -0.003541476, 0, -3.360127E-05, -3.412629E-05
 1219257935, -0.05791684, -0.05783132, -0.003340801, -0.003426317, -0.00360464, 0.006681603, 0.007465893, 0.001384689
 1219357895, -0.05821956, -0.05790018, -0.002733845, -0.003053225, -0.003740762, 0.00546769, 0.008855849, 0.004711512
 1219457855, -0.05846728, -0.05796752, -0.00223716, -0.002736918, -0.003856189, 0.004474321, 0.008739571, 0.006863857
 1219557815, -0.05867, -0.05804098, -0.001830714, -0.002459725, -0.003925636, 0.003661427, 0.008326951, 0.006984256
 1219657775, -0.05883588, -0.05810259, -0.001498109, -0.002231399, -0.003981832, 0.002996218, 0.007999285, 0.007194745
 1219757735, -0.05897163, -0.05816911, -0.001225933, -0.002028457, -0.004067258, 0.002451866, 0.008339283, 0.007195294
 1219857695, -0.05908272, -0.0582262, -0.001003206, -0.001859718, -0.004122483, 0.002006411, 0.0082357, 0.007195832
 1219957655, -0.05917362, -0.05828727, -0.0008209434, -0.001707286, -0.004141153, 0.001641887, 0.008197444, 0.007196384
 1220057615, -0.05924801, -0.05833602, -0.0006717946, -0.001583778, -0.004220785, 0.001343589, 0.00857342, 0.007380116
 1220157575, -0.05930888, -0.05839578, -0.000549743, -0.001462838, -0.004313943, 0.001099486, 0.009042656, 0.007409017
 1220257535, -0.0593587, -0.05844946, -0.0004498659, -0.001359097, -0.004434055, 0.0008997317, 0.00968859, 0.008272292
 1220357495, -0.05939946, -0.05851787, -0.0003681343, -0.001249717, -0.004567856, 0.0007362685, 0.01043178, 0.008465872
 1220457455, -0.05943282, -0.05857678, -0.0003012517, -0.001157289, -0.004519487, 0.0006025033, 0.01005845, 0.009359868
 1220557415, -0.05946011, -0.05859524, -0.0002465204, -0.001111391, -0.003659693, 0.0004930407, 0.005454067, 0.008620699
