Time,RATE_RDes,RATE_R,RATE_ROut,RATE_PDes,RATE_P,RATE_POut,RATE_YDes,RATE_Y,RATE_YOut,RATE_ADes,RATE_A,RATE_AOut
 1214358229, -0.04721381, 0.003271642, -0.000105766, -0.1193911, 0.005034424, -0.0002877075, 3.019253E-05, -0.02505519, 3.942647E-05, -0.06895065, -0.06895065, 0
 1214458189, -0.05884011, 0.005429789, -0.0001509176, -0.1452235, -0.0005878661, -0.0003268133, 3.020062E-05, -0.02271535, 3.800114E-05, -0.02069473, -0.02069473, 0
 1214558149, -0.06006168, 0.007599498, -0.0001721926, -0.1447317, 0.00902649, -0.0003794666, -5.335313E-07, -0.02275716, 3.769526E-05, 0.04787445, 0.04787445, 0
 1214658109, -0.06128164, 0.00291765, -0.000140249, -0.1442282, 0.003546525, -0.0003537466, -5.307007E-07, -0.02890608, 4.388387E-05, 0.09269714, 0.09269714, 0
 1214758069, -0.06295342, 0.007942134, -0.0001602462, -0.1435184, 0.0001144732, -0.0003293761, 3.789561E-05, -0.02645305, 3.908403E-05, 0.0292778, 0.0292778, 0
 1214858029, -0.06352664, 0.00467303, -0.0001558765, -0.1432696, 0.002807793, -0.0003456572, 3.021118E-05, -0.02398247, 3.644706E-05, 0.07867813, 0.07867813, 0
 1214957989, -0.06365778, 0.004221885, -0.0001575781, -0.1432123, 0.004108396, -0.0003438376, 3.788914E-05, -0.0207708, 3.470802E-05, 0.1271248, 0.1271248, 0
 1215057949, -0.06438766, 0.00658768, -0.0001701408, -0.1428908, 0.007404305, -0.0003711327, 3.020324E-05, -0.02449521, 3.833099E-05, -0.0202179, -0.0202179, 0
 1215157909, -0.06602441, 0.01297243, -0.0001913698, -0.1421532, 0.003784694, -0.0003401649, 3.02091E-05, -0.0204392, 3.682692E-05, -0.03271103, -0.03271103, 0
 1215257869, -0.06620177, 0.003717242, -0.0001643115, -0.1420719, 0.003153109, -0.000340967, 1.48363E-05, -0.02076272, 3.818491E-05, -0.07228851, -0.07228851, 0
 1215357829, -0.06619158, 0.004689521, -0.000157328, -0.1420766, 0.005969774, -0.0003434917, 1.482554E-05, -0.02228997, 3.822298E-05, 0.005722046, 0.005722046, 0
 1215457789, -0.07801472, 0.0126566, -0.0002383021, -0.162882, 0.002146434, -0.0004016024, 3.788834E-05, -0.02564266, 3.531547E-05, -0.07658005, -0.07658005, 0
