Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 1214358229, 0, 0.01, 0.02, 343.05, -0.0001739001, 0.0001280651, -5.469653E-05, 2.654683E-05, -0.05504217, 0.100518, 0.02717999, 0, 0, 0.03, 558.1
 1214358229, 1, 0.01, 0.03, 343.04, -0.001426505, 0.0002042347, 5.003901E-08, -3.835917E-05, -0.05555324, 0.1006447, 0.0273557, 0, 0, 0.03, 558.1
 1214458189, 0, 0.01, 0.02, 343.05, -0.0001741634, 0.0002557019, -3.066007E-05, 3.781064E-05, -0.05509628, 0.1006349, 0.02718254, 0, 0, 0.03, 558.1
 1214458189, 1, 0.01, 0.03, 343.04, -0.001555696, 0.0004408088, -0.0001336497, -0.0001657292, -0.05565126, 0.1007562, 0.02734772, 0, 0, 0.03, 558.1
 1214558149, 0, 0.01, 0.02, 343.05, -0.0002126591, 0.0003582952, -1.427586E-05, 4.604876E-05, -0.05514031, 0.100735, 0.02718688, 0, 0, 0.03, 558.1
 1214558149, 1, 0.01, 0.03, 343.05, -0.001696738, 0.0005500078, -0.0001034743, -0.0001202054, -0.05575639, 0.1008595, 0.02733359, 0, 0, 0.03, 558.1
 1214658109, 0, 0.01, 0.02, 343.05, -0.0003139818, 0.0005178889, 1.558401E-07, 4.407882E-05, -0.05519304, 0.1008519, 0.02719078, 0, 0, 0.03, 558.1
 1214658109, 1, 0.01, 0.03, 343.05, -0.001807575, 0.0007180204, -0.0001541151, -0.000150513, -0.0558577, 0.1009857, 0.02732052, 0, 0, 0.03, 558.1
 1214758069, 0, 0.01, 0.03, 343.05, -0.0003558751, 0.000630313, 4.119599E-05, 7.041264E-05, -0.05524198, 0.1009564, 0.02719671, 0, 0, 0.03, 558.1
 1214758069, 1, 0.01, 0.03, 343.05, -0.001831874, 0.0009148521, -0.0001918097, -0.0001700338, -0.05595732, 0.1011017, 0.02730618, 0, 0, 0.03, 558.1
 1214858029, 0, 0.01, 0.03, 343.06, -0.0004227396, 0.0008350241, -1.873408E-05, -5.522042E-07, -0.0552962, 0.1010785, 0.02719964, 0, 0, 0.03, 558.1
 1214858029, 1, 0.01, 0.03, 343.05, -0.001943579, 0.001056807, -0.0002954228, -0.0002623835, -0.05604816, 0.1012298, 0.02728236, 0, 0, 0.03, 558.1
 1214957989, 0, 0.01, 0.03, 343.06, -0.0005127497, 0.0009991672, -8.420616E-05, -7.494851E-05, -0.05534735, 0.1011935, 0.02719752, 0, 0, 0.03, 558.1
 1214957989, 1, 0.01, 0.03, 343.05, -0.002182123, 0.001275367, -0.0003152125, -0.0002732119, -0.05615059, 0.1013582, 0.02725377, 0, 0, 0.03, 558.1
 1215057949, 0, 0.01, 0.03, 343.06, -0.000549724, 0.00115827, -8.587838E-05, -7.544598E-05, -0.05540356, 0.1013217, 0.02719129, 0, 0, 0.03, 558.1
 1215057949, 1, 0.01, 0.03, 343.06, -0.002105735, 0.001407157, -0.0003724173, -0.0003020585, -0.05624394, 0.1014909, 0.02722706, 0, 0, 0.03, 558.1
 1215157909, 0, 0.01, 0.03, 343.06, -0.0005960986, 0.001286886, -0.0001273487, -0.0001122214, -0.05545529, 0.1014399, 0.02718175, 0, 0, 0.03, 558.1
 1215157909, 1, 0.01, 0.03, 343.06, -0.002181259, 0.001597834, -0.0004486207, -0.0003443425, -0.05633102, 0.1016141, 0.02719453, 0, 0, 0.03, 558.1
 1215257869, 0, 0.01, 0.03, 343.06, -0.0007026651, 0.001440673, -6.106487E-05, -3.450923E-05, -0.05551194, 0.101561, 0.0271768, 0, 0, 0.03, 558.1
 1215257869, 1, 0.01, 0.03, 343.06, -0.002232786, 0.001780503, -0.00041092, -0.0002838594, -0.05640819, 0.1017431, 0.02716265, 0, 0, 0.03, 558.1
