Time,XKQ_C,XKQ_Q1,XKQ_Q2,XKQ_Q3,XKQ_Q4
 1214358229, 0, -0.9890814, -0.0001352533, -0.0002354418, 0.1473701
 1214358229, 1, -0.9890768, -0.0001400558, -0.0002921199, 0.1474008
 1214458189, 0, -0.9890833, -0.0001388922, -0.0002363815, 0.1473574
 1214458189, 1, -0.9890788, -0.0001461945, -0.0002909006, 0.1473873
 1214558149, 0, -0.9890854, -0.0001434433, -0.0002395308, 0.1473434
 1214558149, 1, -0.9890813, -0.0001529092, -0.0002953123, 0.1473705
 1214658109, 0, -0.9890874, -0.0001478937, -0.0002423373, 0.1473298
 1214658109, 1, -0.9890831, -0.0001558868, -0.0003039495, 0.1473584
 1214758069, 0, -0.9890901, -0.0001535847, -0.0002452511, 0.1473111
 1214758069, 1, -0.9890868, -0.0001640635, -0.0003100497, 0.1473335
 1214858029, 0, -0.9890931, -0.0001563807, -0.0002475439, 0.1472912
 1214858029, 1, -0.9890897, -0.0001643239, -0.0003088081, 0.1473138
 1214957989, 0, -0.9890962, -0.0001587327, -0.0002507996, 0.1472702
 1214957989, 1, -0.9890928, -0.0001678872, -0.0003085216, 0.1472933
 1215057949, 0, -0.989099, -0.0001628554, -0.0002544742, 0.1472519
 1215057949, 1, -0.9890957, -0.0001705162, -0.0003140455, 0.1472733
 1215157909, 0, -0.9891018, -0.0001694528, -0.0002582436, 0.1472329
 1215157909, 1, -0.9890984, -0.000176535, -0.0003211471, 0.1472556
 1215257869, 0, -0.9891046, -0.0001719128, -0.0002613163, 0.1472139
 1215257869, 1, -0.9891016, -0.0001838553, -0.0003250137, 0.1472341
 1215357829, 0, -0.9891073, -0.0001752151, -0.0002664286, 0.1471963
 1215357829, 1, -0.9891051, -0.0001907915, -0.0003336334, 0.1472105
 1215457789, 0, -0.9891102, -0.0001808186, -0.0002682368, 0.1471761
 1215457789, 1, -0.9891081, -0.0001857593, -0.0003345131, 0.1471905
 1215557749, 0, -0.9891132, -0.0001854591, -0.0002722182, 0.1471563
 1215557749, 1, -0.989112, -0.000189179, -0.000337854, 0.1471639
 1215657709, 0, -0.9891162, -0.0001899195, -0.0002743414, 0.1471362
 1215657709, 1, -0.9891141, -0.0001932603, -0.0003485507, 0.14715
 1215757669, 0, -0.9891192, -0.0001957756, -0.0002781314, 0.147116
 1215757669, 1, -0.9891168, -0.0002029266, -0.0003568558, 0.1471318
 1215857629, 0, -0.9891221, -0.0001986556, -0.0002801029, 0.1470963
 1215857629, 1, -0.9891204, -0.000203703, -0.0003577245, 0.1471073
 1215957589, 0, -0.9891251, -0.0002032311, -0.0002824817, 0.1470761
 1215957589, 1, -0.9891231, -0.0002094806, -0.0003621168, 0.1470895
 1216057549, 0, -0.9891279, -0.0002060172, -0.0002855929, 0.147057
 1216057549, 1, -0.9891262, -0.0002132259, -0.000360406, 0.1470688
 1216157509, 0, -0.9891309, -0.0002090567, -0.0002889902, 0.1470376
 1216157509, 1, -0.9891292, -0.0002176232, -0.0003654729, 0.1470486
 1216257469, 0, -0.9891338, -0.0002124789, -0.0002919064, 0.1470174
 1216257469, 1, -0.9891314, -0.0002249892, -0.0003662188, 0.1470338
 1216357429, 0, -0.9891371, -0.0002152559, -0.0002944079, 0.1469954
 1216357429, 1, -0.9891353, -0.0002259443, -0.000365881, 0.1470077
 1216458222, 0, -0.9891398, -0.0002184729, -0.0002981407, 0.1469772
 1216458222, 1, -0.9891384, -0.0002288388, -0.0003680738, 0.1469864
 1216558182, 0, -0.989143, -0.0002220162, -0.0003003444, 0.1469562
 1216558182, 1, -0.9891428, -0.0002352681, -0.0003671998, 0.1469565
 1216658142, 0, -0.989146, -0.0002256862, -0.0003014388, 0.1469354
 1216658142, 1, -0.9891455, -0.0002392193, -0.0003637789, 0.146939
 1216758102, 0, -0.9891489, -0.0002290331, -0.0003035757, 0.1469163
 1216758102, 1, -0.9891478, -0.0002475786, -0.0003646823, 0.1469231
 1216858062, 0, -0.9891518, -0.0002348093, -0.0003065905, 0.1468964
 1216858062, 1, -0.9891512, -0.0002551408, -0.0003617049, 0.1469005
 1216958022, 0, -0.9891548, -0.0002394162, -0.0003110934, 0.1468759
 1216958022, 1, -0.9891548, -0.0002584414, -0.0003641037, 0.1468761
 1217057982, 0, -0.9891581, -0.0002429476, -0.0003141802, 0.1468541
 1217057982, 1, -0.9891566, -0.0002607136, -0.0003655339, 0.1468639
 1217157942, 0, -0.9891612, -0.0002460737, -0.0003187089, 0.1468333
 1217157942, 1, -0.9891596, -0.0002655129, -0.000372028, 0.1468433
 1217257902, 0, -0.9891644, -0.0002477612, -0.0003214464, 0.1468115
 1217257902, 1, -0.989163, -0.0002679795, -0.00037735, 0.1468208
 1217357862, 0, -0.9891675, -0.0002513789, -0.000324088, 0.1467904
 1217357862, 1, -0.9891656, -0.0002660776, -0.000382638, 0.1468034
