Time,XKTV_C,XKTV_TVS,XKTV_TVD
 1214583139, 1, 3.297715E-05, 3.297703E-05
 1214758069, 0, 3.307929E-05, 3.307917E-05
 1215087937, 1, 3.212957E-05, 3.212946E-05
 1215270364, 0, 3.225715E-05, 3.225704E-05
 1215597733, 1, 3.305635E-05, 3.305623E-05
 1215782659, 0, 3.331122E-05, 3.331109E-05
 1216100032, 1, 3.222288E-05, 3.222276E-05
 1216294954, 0, 3.255988E-05, 3.255976E-05
 1216605663, 1, 3.32598E-05, 3.325968E-05
 1216805583, 0, 3.369265E-05, 3.369253E-05
 1217107962, 1, 3.25181E-05, 3.251798E-05
 1217317878, 0, 3.307944E-05, 3.307932E-05
 1217610261, 1, 3.361043E-05, 3.361031E-05
 1217830173, 0, 3.252553E-05, 3.252541E-05
 1218117558, 1, 3.306382E-05, 3.30637E-05
 1218339969, 0, 3.378913E-05, 3.378901E-05
 1218618191, 1, 3.246362E-05, 3.246351E-05
 1218850598, 0, 3.327792E-05, 3.32778E-05
 1219130486, 1, 3.372241E-05, 3.372229E-05
 1219360394, 0, 3.453494E-05, 3.453483E-05
 1219632785, 1, 3.315688E-05, 3.315676E-05
 1219872689, 0, 3.402272E-05, 3.40226E-05
 1220135084, 1, 3.431978E-05, 3.431966E-05
 1220384984, 0, 3.527049E-05, 3.527037E-05
 1220643214, 1, 3.35293E-05, 3.352922E-05
 1220895613, 0, 3.418466E-05, 3.41846E-05
 1221155509, 1, 3.415751E-05, 3.415738E-05
 1221407908, 0, 3.49616E-05, 3.496147E-05
 1221660307, 1, 3.300622E-05, 3.300612E-05
 1221920203, 0, 3.616761E-05, 3.616753E-05
 1222170103, 1, 3.716547E-05, 3.716541E-05
 1222432498, 0, 3.879623E-05, 3.879616E-05
 1222683231, 1, 3.953714E-05, 3.953704E-05
 1222940628, 0, 4.103541E-05, 4.103529E-05
 1223190528, 1, 4.146264E-05, 4.146252E-05
 1223450424, 0, 4.147942E-05, 4.147928E-05
 1223692827, 1, 4.129372E-05, 4.129357E-05
 1223962719, 0, 4.205162E-05, 4.205147E-05
 1224195126, 1, 4.147744E-05, 4.147729E-05
 1224475014, 0, 4.006454E-05, 4.006441E-05
 1224699924, 1, 3.924839E-05, 3.924827E-05
 1224985643, 0, 3.968857E-05, 3.968847E-05
 1225203056, 1, 3.876984E-05, 3.876978E-05
 1225497938, 0, 3.719672E-05, 3.719668E-05
 1225715351, 1, 3.633837E-05, 3.633833E-05
 1226010233, 0, 3.712948E-05, 3.712943E-05
 1226217650, 1, 3.630706E-05, 3.630702E-05
 1226522528, 0, 3.537233E-05, 3.537227E-05
 1226719949, 1, 3.463889E-05, 3.463882E-05
 1227030658, 0, 3.403601E-05, 3.403592E-05
 1227225580, 1, 3.351803E-05, 3.351795E-05
 1227540454, 0, 3.496866E-05, 3.496857E-05
 1227727879, 1, 3.443681E-05, 3.44367E-05
 1228052749, 0, 3.43309E-05, 3.43308E-05
 1228232677, 1, 3.391536E-05, 3.391526E-05
 1228565044, 0, 3.563142E-05, 3.56313E-05
 1228742473, 1, 3.512189E-05, 3.512176E-05
 1229075673, 0, 3.524521E-05, 3.524508E-05
 1229248104, 1, 3.469763E-05, 3.46975E-05
 1229587968, 0, 3.667816E-05, 3.667803E-05
 1229750403, 1, 3.601318E-05, 3.601306E-05
 1230100263, 0, 3.62772E-05, 3.627707E-05
 1230252702, 1, 3.546671E-05, 3.54666E-05
 1230612558, 0, 3.763886E-05, 3.763874E-05
 1230755001, 1, 3.671166E-05, 3.671155E-05
 1231120688, 0, 3.702128E-05, 3.702119E-05
 1231260632, 1, 3.604696E-05, 3.604686E-05
 1231632983, 0, 3.625664E-05, 3.625653E-05
 1231762931, 1, 3.726137E-05, 3.726127E-05
 1232142779, 0, 3.74164E-05, 3.741629E-05
 1232275226, 1, 3.638296E-05, 3.638286E-05
 1232655074, 0, 3.653642E-05, 3.653632E-05
 1232777525, 1, 3.736402E-05, 3.736392E-05
 1233165703, 0, 3.76362E-05, 3.76361E-05
 1233283156, 1, 3.635064E-05, 3.635056E-05
 1233677998, 0, 3.666751E-05, 3.666745E-05
 1233785455, 1, 3.731529E-05, 3.731525E-05
 1234190293, 0, 3.771298E-05, 3.771295E-05
 1234287754, 1, 3.623774E-05, 3.623771E-05
 1234702588, 0, 3.667471E-05, 3.667468E-05
 1234792552, 1, 3.721782E-05, 3.721778E-05
 1235210718, 0, 3.760085E-05, 3.760078E-05
 1235295684, 1, 3.603855E-05, 3.603848E-05
 1235723013, 0, 3.656173E-05, 3.656165E-05
 1235807979, 1, 3.69556E-05, 3.695555E-05
 1236232809, 0, 3.551144E-05, 3.551137E-05
 1236310278, 1, 3.584083E-05, 3.584077E-05
 1236745104, 0, 3.645648E-05, 3.645637E-05
 1236812577, 1, 3.669522E-05, 3.669511E-05
 1237255733, 0, 3.548475E-05, 3.548467E-05
 1237318208, 1, 3.576958E-05, 3.57695E-05
 1237768028, 0, 3.644512E-05, 3.644503E-05
 1237820507, 1, 3.652918E-05, 3.652909E-05
 1238280323, 0, 3.551192E-05, 3.551178E-05
 1238322806, 1, 3.555572E-05, 3.555559E-05
 1238792618, 0, 3.653333E-05, 3.653318E-05
 1238835101, 1, 3.465629E-05, 3.465616E-05
 1239302414, 0, 3.573044E-05, 3.573032E-05
 1239348229, 1, 3.575885E-05, 3.575874E-05
 1239813043, 0, 3.68424E-05, 3.684228E-05
 1239855526, 1, 3.500305E-05, 3.500293E-05
 1240322839, 0, 3.62025E-05, 3.620239E-05
 1240357825, 1, 3.605604E-05, 3.605594E-05
 1240835134, 0, 3.556513E-05, 3.556503E-05
 1240860124, 1, 3.532607E-05, 3.532596E-05
 1241347429, 0, 3.673452E-05, 3.673441E-05
 1241364922, 1, 3.649932E-05, 3.649922E-05
 1241858058, 0, 3.598856E-05, 3.598849E-05
 1241868054, 1, 3.569529E-05, 3.569523E-05
 1242370353, 0, 3.712548E-05, 3.712545E-05
 1242380349, 1, 3.678185E-05, 3.678182E-05
 1242882648, 0, 4.218232E-05, 4.21915E-05
 1242882648, 1, 4.173636E-05, 4.174559E-05
 1243384947, 1, 9.041725E-05, 9.052161E-05
 1243392444, 0, 9.212045E-05, 9.222904E-05
 1243890578, 1, 0.0001522184, 0.0001525145
 1243903073, 0, 0.0001550426, 0.0001553471
 1244392877, 1, 0.0002111388, 0.0002116682
 1244412869, 0, 0.0002093649, 0.000209906
 1244895176, 1, 0.0001684718, 0.0001690254
 1244925164, 0, 0.0001622532, 0.0001628332
 1245407471, 1, 0.000115843, 0.0001165655
 1245437459, 0, 0.0001001127, 0.0001008223
 1245910603, 1, 7.402847E-05, 7.475018E-05
 1245948088, 0, 7.476585E-05, 7.550544E-05
 1246415401, 1, 6.329823E-05, 6.399178E-05
 1246460383, 0, 5.971599E-05, 6.038218E-05
 1246917700, 1, 5.331051E-05, 5.390396E-05
 1246972678, 0, 5.392602E-05, 5.452644E-05
 1247419999, 1, 4.823768E-05, 4.872332E-05
 1247484973, 0, 4.693052E-05, 4.739146E-05
 1247925630, 1, 4.691469E-05, 4.739907E-05
 1247993103, 0, 4.830443E-05, 4.881486E-05
 1248427929, 1, 4.698144E-05, 4.749561E-05
 1248502899, 0, 4.800096E-05, 4.852984E-05
 1248940224, 1, 4.754671E-05, 4.807091E-05
 1249015194, 0, 4.853906E-05, 4.907608E-05
 1249442523, 1, 4.592791E-05, 4.64224E-05
 1249527489, 0, 4.697335E-05, 4.748044E-05
 1249948154, 1, 4.583069E-05, 4.631371E-05
 1250038118, 0, 4.519815E-05, 4.567253E-05
 1250450453, 1, 4.457556E-05, 4.504494E-05
 1250550413, 0, 4.585923E-05, 4.634514E-05
 1250952752, 1, 4.516018E-05, 4.563682E-05
 1251062708, 0, 4.488069E-05, 4.535228E-05
 1251455051, 1, 4.458246E-05, 4.505171E-05
 1251575003, 0, 4.608182E-05, 4.65721E-05
 1251960682, 1, 4.55143E-05, 4.599088E-05
 1252083133, 0, 4.54174E-05, 4.588867E-05
 1252472977, 1, 4.578546E-05, 4.627034E-05
 1252592929, 0, 4.730239E-05, 4.78075E-05
 1252975276, 1, 4.718757E-05, 4.768845E-05
 1253105224, 0, 4.728936E-05, 4.778692E-05
 1253477575, 1, 4.712006E-05, 4.761083E-05
 1253617519, 0, 4.881182E-05, 4.932451E-05
 1253983206, 1, 4.838989E-05, 4.888611E-05
 1254128148, 0, 4.841312E-05, 4.890163E-05
 1254485505, 1, 4.820735E-05, 4.869029E-05
 1254640443, 0, 4.848176E-05, 4.896261E-05
 1254987804, 1, 4.954194E-05, 5.003402E-05
 1255152738, 0, 4.989459E-05, 5.038669E-05
 1255500099, 1, 4.937209E-05, 4.9853E-05
 1255665033, 0, 4.981925E-05, 5.030301E-05
 1256013227, 1, 5.068777E-05, 5.117961E-05
 1256173163, 0, 5.08864E-05, 5.137444E-05
 1256520524, 1, 5.03771E-05, 5.085802E-05
 1256682959, 0, 5.078285E-05, 5.126599E-05
 1257022823, 1, 4.994724E-05, 5.041712E-05
 1257195254, 0, 5.227516E-05, 5.277876E-05
 1257525122, 1, 5.149341E-05, 5.198672E-05
 1257707549, 0, 5.210963E-05, 5.261114E-05
 1258027421, 1, 5.101224E-05, 5.149555E-05
 1258218178, 0, 5.298501E-05, 5.349151E-05
 1258533052, 1, 5.196445E-05, 5.245795E-05
 1258730473, 0, 5.239858E-05, 5.289501E-05
 1259045347, 1, 5.094929E-05, 5.142218E-05
 1259242768, 0, 5.148939E-05, 5.196809E-05
 1259547646, 1, 5.193894E-05, 5.242354E-05
