Time,XKY0_C,XKY0_YC,XKY0_YCS,XKY0_Y0,XKY0_Y1,XKY0_Y2,XKY0_Y3,XKY0_Y4,XKY0_W0,XKY0_W1,XKY0_W2,XKY0_W3,XKY0_W4
 1214358229, 0, 294.7989, 14.64314, 185.9727, 257.9727, 329.9727, 41.97269, 113.9727, 0.2, 0.2, 0.2, 0.2, 0.2
 1214358229, 1, 343.6768, 14.00255, 185.681, 257.681, 329.681, 41.68097, 113.681, 0.2, 0.2, 0.2, 0.2, 0.2
 1214458189, 0, 294.7021, 14.64635, 185.9527, 257.9527, 329.9527, 41.95268, 113.9527, 0.2, 0.2, 0.2, 0.2, 0.2
 1214458189, 1, 343.9044, 14.00696, 185.6581, 257.6581, 329.6581, 41.65811, 113.6581, 0.2, 0.2, 0.2, 0.2, 0.2
 1214558149, 0, 294.565, 14.6513, 185.9325, 257.9325, 329.9325, 41.93249, 113.9325, 0.2, 0.2, 0.2, 0.2, 0.2
 1214558149, 1, 342.972, 13.99129, 185.6383, 257.6383, 329.6383, 41.63829, 113.6383, 0.2, 0.2, 0.2, 0.2, 0.2
 1214658109, 0, 294.6101, 14.64854, 185.9122, 257.9122, 329.9122, 41.91222, 113.9122, 0.2, 0.2, 0.2, 0.2, 0.2
 1214658109, 1, 342.1206, 13.97789, 185.6182, 257.6182, 329.6182, 41.61821, 113.6182, 0.2, 0.2, 0.2, 0.2, 0.2
 1214758069, 0, 294.5232, 14.65136, 185.8917, 257.8917, 329.8917, 41.89169, 113.8917, 0.2, 0.2, 0.2, 0.2, 0.2
 1214758069, 1, 341.9873, 13.97616, 185.5974, 257.5974, 329.5974, 41.59739, 113.5974, 0.2, 0.2, 0.2, 0.2, 0.2
 1214858029, 0, 294.4227, 14.65474, 185.8714, 257.8714, 329.8714, 41.8714, 113.8714, 0.2, 0.2, 0.2, 0.2, 0.2
 1214858029, 1, 341.1912, 13.96452, 185.5778, 257.5778, 329.5778, 41.5778, 113.5778, 0.2, 0.2, 0.2, 0.2, 0.2
 1214957989, 0, 294.4197, 14.65403, 185.8512, 257.8512, 329.8512, 41.85123, 113.8512, 0.2, 0.2, 0.2, 0.2, 0.2
 1214957989, 1, 340.5648, 13.95598, 185.5575, 257.5575, 329.5575, 41.55749, 113.5575, 0.2, 0.2, 0.2, 0.2, 0.2
 1215057949, 0, 294.539, 14.64816, 185.8312, 257.8312, 329.8312, 41.83117, 113.8312, 0.2, 0.2, 0.2, 0.2, 0.2
 1215057949, 1, 340.5074, 13.95547, 185.5372, 257.5372, 329.5372, 41.53723, 113.5372, 0.2, 0.2, 0.2, 0.2, 0.2
 1215157909, 0, 294.6511, 14.64262, 185.8107, 257.8107, 329.8107, 41.81067, 113.8107, 0.2, 0.2, 0.2, 0.2, 0.2
 1215157909, 1, 341.1545, 13.96491, 185.5179, 257.5179, 329.5179, 41.5179, 113.5179, 0.2, 0.2, 0.2, 0.2, 0.2
 1215257869, 0, 294.5684, 14.64524, 185.7904, 257.7904, 329.7904, 41.79042, 113.7904, 0.2, 0.2, 0.2, 0.2, 0.2
 1215257869, 1, 339.9454, 13.94849, 185.4982, 257.4982, 329.4982, 41.49823, 113.4982, 0.2, 0.2, 0.2, 0.2, 0.2
 1215357829, 0, 294.6515, 14.64094, 185.7702, 257.7702, 329.7702, 41.77017, 113.7702, 0.2, 0.2, 0.2, 0.2, 0.2
 1215357829, 1, 339.4819, 13.94284, 185.4778, 257.4778, 329.4778, 41.47775, 113.4777, 0.2, 0.2, 0.2, 0.2, 0.2
 1215457789, 0, 294.9233, 14.62875, 185.7498, 257.7498, 329.7498, 41.74977, 113.7498, 0.2, 0.2, 0.2, 0.2, 0.2
 1215457789, 1, 339.4931, 13.94324, 185.458, 257.458, 329.458, 41.45802, 113.458, 0.2, 0.2, 0.2, 0.2, 0.2
 1215557749, 0, 294.5912, 14.64179, 185.7296, 257.7296, 329.7296, 41.72964, 113.7296, 0.2, 0.2, 0.2, 0.2, 0.2
 1215557749, 1, 339.6491, 13.94549, 185.438, 257.438, 329.438, 41.43798, 113.438, 0.2, 0.2, 0.2, 0.2, 0.2
 1215657709, 0, 294.5652, 14.64204, 185.7095, 257.7095, 329.7095, 41.70948, 113.7095, 0.2, 0.2, 0.2, 0.2, 0.2
 1215657709, 1, 339.2029, 13.94016, 185.4185, 257.4185, 329.4185, 41.4185, 113.4185, 0.2, 0.2, 0.2, 0.2, 0.2
 1215757669, 0, 294.4919, 14.64429, 185.6893, 257.6893, 329.6893, 41.68934, 113.6893, 0.2, 0.2, 0.2, 0.2, 0.2
 1215757669, 1, 338.851, 13.93623, 185.3949, 257.3949, 329.3949, 41.39494, 113.3949, 0.2, 0.2, 0.2, 0.2, 0.2
 1215857629, 0, 294.3864, 14.64789, 185.6692, 257.6692, 329.6692, 41.66922, 113.6692, 0.2, 0.2, 0.2, 0.2, 0.2
 1215857629, 1, 337.6842, 13.92346, 185.3763, 257.3763, 329.3763, 41.3763, 113.3763, 0.2, 0.2, 0.2, 0.2, 0.2
 1215957589, 0, 294.2979, 14.65078, 185.649, 257.649, 329.649, 41.64903, 113.649, 0.2, 0.2, 0.2, 0.2, 0.2
 1215957589, 1, 337.8473, 13.92541, 185.3564, 257.3564, 329.3564, 41.3564, 113.3564, 0.2, 0.2, 0.2, 0.2, 0.2
 1216057549, 0, 294.2258, 14.65298, 185.6289, 257.6289, 329.6289, 41.62891, 113.6289, 0.2, 0.2, 0.2, 0.2, 0.2
 1216057549, 1, 336.6971, 13.91419, 185.3361, 257.3361, 329.3361, 41.33609, 113.3361, 0.2, 0.2, 0.2, 0.2, 0.2
 1216157509, 0, 294.2531, 14.651, 185.6087, 257.6086, 329.6086, 41.60865, 113.6087, 0.2, 0.2, 0.2, 0.2, 0.2
 1216157509, 1, 335.8848, 13.9073, 185.3161, 257.3161, 329.3161, 41.31612, 113.3161, 0.2, 0.2, 0.2, 0.2, 0.2
 1216257469, 0, 294.3423, 14.64641, 185.5884, 257.5884, 329.5884, 41.58844, 113.5884, 0.2, 0.2, 0.2, 0.2, 0.2
 1216257469, 1, 336.2324, 13.91042, 185.2961, 257.2961, 329.2961, 41.29611, 113.2961, 0.2, 0.2, 0.2, 0.2, 0.2
 1216357429, 0, 294.3433, 14.64554, 185.5683, 257.5683, 329.5683, 41.56829, 113.5683, 0.2, 0.2, 0.2, 0.2, 0.2
 1216357429, 1, 335.4991, 13.90459, 185.2726, 257.2726, 329.2726, 41.27263, 113.2726, 0.2, 0.2, 0.2, 0.2, 0.2
 1216458222, 0, 294.307, 14.64624, 185.5484, 257.5484, 329.5484, 41.54837, 113.5484, 0.2, 0.2, 0.2, 0.2, 0.2
 1216458222, 1, 335.3745, 13.90378, 185.2539, 257.2539, 329.2539, 41.2539, 113.2539, 0.2, 0.2, 0.2, 0.2, 0.2
 1216558182, 0, 294.3706, 14.64275, 185.5284, 257.5284, 329.5284, 41.52837, 113.5284, 0.2, 0.2, 0.2, 0.2, 0.2
 1216558182, 1, 335.6003, 13.90574, 185.2331, 257.2331, 329.2331, 41.23312, 113.2331, 0.2, 0.2, 0.2, 0.2, 0.2
 1216658142, 0, 294.1804, 14.64991, 185.5083, 257.5083, 329.5083, 41.50827, 113.5083, 0.2, 0.2, 0.2, 0.2, 0.2
 1216658142, 1, 335.999, 13.90919, 185.2147, 257.2147, 329.2147, 41.21466, 113.2147, 0.2, 0.2, 0.2, 0.2, 0.2
 1216758102, 0, 294.0587, 14.65422, 185.4882, 257.4882, 329.4882, 41.48818, 113.4882, 0.2, 0.2, 0.2, 0.2, 0.2
 1216758102, 1, 334.9057, 13.9008, 185.1944, 257.1944, 329.1944, 41.19442, 113.1944, 0.2, 0.2, 0.2, 0.2, 0.2
 1216858062, 0, 293.9875, 14.65638, 185.4679, 257.4679, 329.4679, 41.4679, 113.4679, 0.2, 0.2, 0.2, 0.2, 0.2
 1216858062, 1, 333.569, 13.89248, 185.1717, 257.1717, 329.1717, 41.17173, 113.1717, 0.2, 0.2, 0.2, 0.2, 0.2
 1216958022, 0, 293.8047, 14.66329, 185.4478, 257.4478, 329.4478, 41.44775, 113.4477, 0.2, 0.2, 0.2, 0.2, 0.2
