Time,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,AHR2_Alt,AHR2_Lat,AHR2_Lng,AHR2_Q1,AHR2_Q2,AHR2_Q3,AHR2_Q4
 119789565, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008777234, 0.0007923302, 0.00200279
 119889525, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008778988, 0.0007961857, 0.002003882
 119989485, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008812873, 0.0008002019, 0.002005352
 120089445, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008827266, 0.0008027958, 0.002005292
 120189405, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008873094, 0.000804716, 0.002006241
 120289365, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008904702, 0.0008054478, 0.002007568
 120389325, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008929061, 0.0008078325, 0.002008514
 120489285, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008965047, 0.0008092446, 0.002008221
 120589245, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008996866, 0.0008104157, 0.002010345
 120689205, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009019749, 0.0008133712, 0.00201282
 120789165, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009027778, 0.0008136508, 0.002012969
 120889125, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009056735, 0.0008143663, 0.00201559
 120989085, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009055808, 0.0008148195, 0.00201632
 121089045, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009086129, 0.0008155951, 0.002017943
 121189005, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009100051, 0.0008148369, 0.002019939
 121288965, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009059919, 0.0008121359, 0.00202018
 121388925, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009032711, 0.0008123964, 0.002016217
 121488885, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009016374, 0.0008108336, 0.002013458
 121588845, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008945386, 0.0008076404, 0.002010001
 121688805, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008922068, 0.0008074873, 0.002007267
 121788765, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008906214, 0.0008079244, 0.00200108
 121889558, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008860511, 0.0008047711, 0.002001151
