Time,ATT_DesRoll,ATT_Roll,ATT_DesPitch,ATT_Pitch,ATT_DesYaw,ATT_Yaw,ATT_ErrRP,ATT_ErrYaw,ATT_AEKF
 119789565, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 119889525, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 119989485, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120089445, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120189405, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120289365, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120389325, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120489285, 0, 0.07, 0, 0.05, 0.99, 0.99, 0, 0, 3
 120589245, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 120689205, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 120789165, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 120889125, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 120989085, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 121089045, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 121189005, 0, 0.07, 0, 0.06, 1, 1, 0, 0, 3
 121288965, 0, 0.08, 0, 0.06, 1, 1, 0, 0, 3
 121388925, 0, 0.08, 0, 0.07, 1, 1, 0, 0, 3
 121488885, 0, 0.08, 0, 0.07, 1, 1, 0, 0, 3
 121588845, 0, 0.08, 0, 0.07, 1, 1, 0, 0, 3
 121688805, 0, 0.08, 0, 0.07, 1, 1, 0, 0, 3
 121788765, 0, 0.08, 0, 0.07, 1.01, 1.01, 0, 0, 3
 121889558, 0, 0.08, 0, 0.07, 1.01, 1.01, 0, 0, 3
 121989518, 0, 0.09, 0, 0.07, 1.01, 1.01, 0, 0, 3
 122089478, 0, 0.09, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122189438, 0, 0.09, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122289398, 0, 0.09, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122389358, 0, 0.09, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122489318, 0, 0.1, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122589278, 0, 0.1, 0, 0.08, 1.01, 1.01, 0, 0, 3
 122689238, 0, 0.1, 0, 0.09, 1.01, 1.01, 0, 0, 3
 122789198, 0, 0.1, 0, 0.09, 1.01, 1.01, 0, 0, 3
 122889158, 0, 0.1, 0, 0.09, 1.02, 1.02, 0, 0, 3
 122989118, 0, 0.1, 0, 0.09, 1.02, 1.02, 0, 0, 3
 123089078, 0, 0.11, 0, 0.09, 1.02, 1.02, 0, 0, 3
 123189038, 0, 0.11, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123288998, 0, 0.11, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123388958, 0, 0.11, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123488918, 0, 0.11, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123588878, 0, 0.11, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123688838, 0, 0.12, 0, 0.1, 1.02, 1.02, 0, 0, 3
 123788798, 0, 0.12, 0, 0.11, 1.02, 1.02, 0, 0, 3
 123888758, 0, 0.12, 0, 0.11, 1.03, 1.03, 0, 0, 3
 123989551, 0, 0.12, 0, 0.11, 1.03, 1.03, 0, 0, 3
 124089511, 0, 0.12, 0, 0.11, 1.03, 1.03, 0, 0, 3
 124189471, 0, 0.13, 0, 0.11, 1.03, 1.03, 0, 0, 3
 124289431, 0, 0.13, 0, 0.12, 1.03, 1.03, 0, 0, 3
 124389391, 0, 0.13, 0, 0.12, 1.03, 1.03, 0, 0, 3
 124489351, -0.03, 0.13, -0.03, 0.12, 1.03, 1.03, 0, 0, 3
 124589311, -0.05, 0.13, -0.05, 0.12, 1.03, 1.03, 0, 0, 3
 124689271, -0.06, 0.14, -0.06, 0.12, 1.03, 1.03, 0, 0, 3
 124789231, -0.07, 0.14, -0.07, 0.12, 1.03, 1.04, 0, 0, 3
 124889191, -0.08, 0.14, -0.07, 0.13, 1.03, 1.04, 0, 0, 3
 124989151, -0.09, 0.14, -0.08, 0.13, 1.03, 1.04, 0, 0, 3
 125089111, -0.1, 0.14, -0.09, 0.13, 1.03, 1.04, 0, 0, 3
 125189071, -0.11, 0.14, -0.1, 0.13, 1.03, 1.04, 0, 0, 3
 125289031, -0.12, 0.15, -0.12, 0.13, 1.03, 1.04, 0, 0, 3
 125388991, -0.14, 0.15, -0.14, 0.14, 1.03, 1.04, 0, 0, 3
 125488951, -0.16, 0.15, -0.15, 0.14, 1.03, 1.04, 0, 0, 3
 125588911, -0.18, 0.12, -0.17, 0.11, 1.03, 1.04, 0, 0, 3
 125688871, -0.18, -0.08, -0.18, -0.08, 1.03, 1.04, 0, 0, 3
 125788831, -0.14, -0.2, -0.14, -0.19, 1.03, 1.04, 0, 0, 3
 125888791, -0.06, -0.21, -0.06, -0.2, 1.03, 1.04, 0, 0, 3
 125988751, 0.03, -0.15, 0.02, -0.15, 1.03, 1.04, 0, 0, 3
 126089544, 0.12, -0.08, 0.11, -0.07, 1.03, 1.04, 0, 0, 3
 126189504, 0.19, 0, 0.18, 0, 1.03, 1.03, 0, 0, 3
 126289464, 0.24, 0.06, 0.22, 0.05, 1.03, 1.03, 0, 0, 3
 126389424, 0.28, 0.1, 0.25, 0.09, 1.03, 1.03, 0, 0, 3
 126489384, 0.3, 0.14, 0.28, 0.13, 1.03, 1.02, 0, 0, 3
 126589344, 0.32, 0.18, 0.3, 0.16, 1.03, 1.02, 0, 0, 3
 126689304, 0.34, 0.21, 0.31, 0.18, 1.03, 1.01, 0, 0, 3
 126789264, 0.35, 0.23, 0.32, 0.2, 1.03, 1.01, 0, 0, 3
 126889224, 0.36, 0.24, 0.33, 0.22, 1.03, 1.01, 0, 0, 3
 126989184, 0.37, 0.26, 0.34, 0.24, 0.19, 0.17, 0, 0, 3
 127089144, 0.37, 0.27, 0.35, 0.26, 0.19, 0.17, 0, 0, 3
 127189104, 0.37, 0.28, 0.36, 0.27, 0.19, 0.18, 0, 0, 3
 127289064, 0.37, 0.29, 0.36, 0.28, 0.19, 0.18, 0, 0, 3
 127389024, 0.37, 0.29, 0.35, 0.28, 0.19, 0.19, 0, 0, 3
 127488984, 0.37, 0.29, 0.35, 0.28, 0.19, 0.19, 0, 0, 3
 127588944, 0.36, 0.29, 0.35, 0.29, 0.19, 0.19, 0, 0, 3
 127688904, 0.36, 0.29, 0.35, 0.28, 0.19, 0.19, 0, 0, 3
 127788864, 0.35, 0.29, 0.34, 0.28, 0.19, 0.19, 0, 0, 3
 127888824, 0.34, 0.28, 0.33, 0.28, 0.19, 0.19, 0, 0, 3
 127988784, 0.32, 0.27, 0.32, 0.27, 0.19, 0.19, 0, 0, 3
 128088744, 0.31, 0.26, 0.31, 0.26, 0.19, 0.19, 0, 0, 3
