Time,CTUN_ThI,CTUN_ABst,CTUN_ThO,CTUN_ThH,CTUN_DAlt,CTUN_Alt,CTUN_BAlt,CTUN_DSAlt,CTUN_SAlt,CTUN_TAlt,CTUN_DCRt,CTUN_CRt
 119789565, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02764305, -0.02764305, -0.02, NaN, 0, 0.002356945, 0, 0
 119889525, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02764085, -0.02764085, -0.02, NaN, 0, 0.00235915, 0, 0
 119989485, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02764659, -0.02764659, -0.02, NaN, 0, 0.002353407, 0, 0
 120089445, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02764775, -0.02764775, -0.02, NaN, 0, 0.002352251, 0, 0
 120189405, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02765423, -0.02765423, -0.02, NaN, 0, 0.002345767, 0, 0
 120289365, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.0276577, -0.0276577, -0.02, NaN, 0, 0.002342295, 0, 0
 120389325, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02766529, -0.02766529, -0.02, NaN, 0, 0.002334705, 0, 0
 120489285, -6.556511E-07, -8.526513E-13, 0, 0.3441582, -0.02766951, -0.02766951, -0.02, NaN, 0, 0.002330493, 0, 0
 120589245, -6.556511E-07, -9.094947E-13, 0, 0.3441582, -0.02767904, -0.02767904, -0.02, NaN, 0, 0.002320962, 0, 0
 120689205, -6.556511E-07, -9.094947E-13, 0, 0.3441582, -0.02767898, -0.02767898, -0.02, NaN, 0, 0.002321016, 0, 0
 120789165, -6.556511E-07, -9.094947E-13, 0, 0.3441582, -0.02768345, -0.02768345, -0.02, NaN, 0, 0.002316549, 0, 0
 120889125, -6.556511E-07, -1.023182E-12, 0, 0.3441582, -0.02768183, -0.02768183, -0.02, NaN, 0, 0.002318172, 0, 0
 120989085, -6.556511E-07, -1.023182E-12, 0, 0.3441582, -0.02768185, -0.02768185, -0.02, NaN, 0, 0.002318149, 0, 0
 121089045, -6.556511E-07, -1.023182E-12, 0, 0.3441582, -0.02768231, -0.02768231, -0.02, NaN, 0, 0.002317691, 0, 0
 121189005, -6.556511E-07, -1.080025E-12, 0, 0.3441582, -0.02769248, -0.02769248, -0.02, NaN, 0, 0.002307517, 0, 0
 121288965, -6.556511E-07, -1.193712E-12, 0, 0.3441582, -0.02769873, -0.02769873, -0.02, NaN, 0, 0.002301263, 0, 0
 121388925, -6.556511E-07, -1.193712E-12, 0, 0.3441582, -0.02770383, -0.02770383, -0.02, NaN, 0, 0.002296172, 0, 0
 121488885, -6.556511E-07, -1.250555E-12, 0, 0.3441582, -0.02770602, -0.02770602, -0.02, NaN, 0, 0.002293974, 0, 0
