Time,GPA_I,GPA_VDop,GPA_HAcc,GPA_VAcc,GPA_SAcc,GPA_YAcc,GPA_VV,GPA_SMS,GPA_Delta
 119789565, 0, 2, 0.3, 0.3, 0.04, 0, 1, 119767, 200
 119989485, 0, 2, 0.3, 0.3, 0.04, 0, 1, 119967, 200
 120189405, 0, 2, 0.3, 0.3, 0.04, 0, 1, 120167, 200
 120389325, 0, 2, 0.3, 0.3, 0.04, 0, 1, 120367, 200
 120589245, 0, 2, 0.3, 0.3, 0.04, 0, 1, 120567, 200
 120789165, 0, 2, 0.3, 0.3, 0.04, 0, 1, 120767, 200
 120989085, 0, 2, 0.3, 0.3, 0.04, 0, 1, 120967, 200
 121189005, 0, 2, 0.3, 0.3, 0.04, 0, 1, 121167, 200
 121388925, 0, 2, 0.3, 0.3, 0.04, 0, 1, 121367, 200
 121588845, 0, 2, 0.3, 0.3, 0.04, 0, 1, 121567, 200
 121788765, 0, 2, 0.3, 0.3, 0.04, 0, 1, 121767, 200
 121989518, 0, 2, 0.3, 0.3, 0.04, 0, 1, 121967, 200
 122189438, 0, 2, 0.3, 0.3, 0.04, 0, 1, 122167, 200
 122389358, 0, 2, 0.3, 0.3, 0.04, 0, 1, 122367, 200
 122589278, 0, 2, 0.3, 0.3, 0.04, 0, 1, 122567, 200
 122789198, 0, 2, 0.3, 0.3, 0.04, 0, 1, 122767, 200
 122989118, 0, 2, 0.3, 0.3, 0.04, 0, 1, 122967, 200
 123189038, 0, 2, 0.3, 0.3, 0.04, 0, 1, 123167, 200
 123388958, 0, 2, 0.3, 0.3, 0.04, 0, 1, 123367, 200
 123588878, 0, 2, 0.3, 0.3, 0.04, 0, 1, 123567, 200
 123788798, 0, 2, 0.3, 0.3, 0.04, 0, 1, 123767, 200
 123989551, 0, 2, 0.3, 0.3, 0.04, 0, 1, 123967, 200
 124189471, 0, 2, 0.3, 0.3, 0.04, 0, 1, 124167, 200
 124389391, 0, 2, 0.3, 0.3, 0.04, 0, 1, 124367, 200
 124589311, 0, 2, 0.3, 0.3, 0.04, 0, 1, 124567, 200
 124789231, 0, 2, 0.3, 0.3, 0.04, 0, 1, 124767, 200
 124989151, 0, 2, 0.3, 0.3, 0.04, 0, 1, 124967, 200
 125189071, 0, 2, 0.3, 0.3, 0.04, 0, 1, 125167, 200
 125388991, 0, 2, 0.3, 0.3, 0.04, 0, 1, 125367, 200
 125588911, 0, 2, 0.3, 0.3, 0.04, 0, 1, 125567, 200
 125788831, 0, 2, 0.3, 0.3, 0.04, 0, 1, 125767, 200
 125988751, 0, 2, 0.3, 0.3, 0.04, 0, 1, 125967, 200
 126189504, 0, 2, 0.3, 0.3, 0.04, 0, 1, 126167, 200
 126389424, 0, 2, 0.3, 0.3, 0.04, 0, 1, 126367, 200
 126589344, 0, 2, 0.3, 0.3, 0.04, 0, 1, 126567, 200
 126789264, 0, 2, 0.3, 0.3, 0.04, 0, 1, 126767, 200
 126989184, 0, 2, 0.3, 0.3, 0.04, 0, 1, 126967, 200
 127189104, 0, 2, 0.3, 0.3, 0.04, 0, 1, 127167, 200
 127389024, 0, 2, 0.3, 0.3, 0.04, 0, 1, 127367, 200
 127588944, 0, 2, 0.3, 0.3, 0.04, 0, 1, 127567, 200
 127788864, 0, 2, 0.3, 0.3, 0.04, 0, 1, 127767, 200
 127988784, 0, 2, 0.3, 0.3, 0.04, 0, 1, 127967, 200
 128189537, 0, 2, 0.3, 0.3, 0.04, 0, 1, 128167, 200
 128389457, 0, 2, 0.3, 0.3, 0.04, 0, 1, 128367, 200
 128589377, 0, 2, 0.3, 0.3, 0.04, 0, 1, 128567, 200
 128789297, 0, 2, 0.3, 0.3, 0.04, 0, 1, 128767, 200
 128989217, 0, 2, 0.3, 0.3, 0.04, 0, 1, 128967, 200
 129189137, 0, 2, 0.3, 0.3, 0.04, 0, 1, 129167, 200
 129389057, 0, 2, 0.3, 0.3, 0.04, 0, 1, 129367, 200
 129588977, 0, 2, 0.3, 0.3, 0.04, 0, 1, 129567, 200
 129788897, 0, 2, 0.3, 0.3, 0.04, 0, 1, 129767, 200
 129988817, 0, 2, 0.3, 0.3, 0.04, 0, 1, 129967, 200
 130188737, 0, 2, 0.3, 0.3, 0.04, 0, 1, 130167, 200
 130389490, 0, 2, 0.3, 0.3, 0.04, 0, 1, 130367, 200
 130589410, 0, 2, 0.3, 0.3, 0.04, 0, 1, 130567, 200
 130789330, 0, 2, 0.3, 0.3, 0.04, 0, 1, 130767, 200
 130989250, 0, 2, 0.3, 0.3, 0.04, 0, 1, 130967, 200
 131189170, 0, 2, 0.3, 0.3, 0.04, 0, 1, 131167, 200
 131389090, 0, 2, 0.3, 0.3, 0.04, 0, 1, 131367, 200
 131589010, 0, 2, 0.3, 0.3, 0.04, 0, 1, 131567, 200
 131788930, 0, 2, 0.3, 0.3, 0.04, 0, 1, 131767, 200
 131988850, 0, 2, 0.3, 0.3, 0.04, 0, 1, 131967, 200
 132188770, 0, 2, 0.3, 0.3, 0.04, 0, 1, 132167, 200
 132389523, 0, 2, 0.3, 0.3, 0.04, 0, 1, 132367, 200
 132589443, 0, 2, 0.3, 0.3, 0.04, 0, 1, 132567, 200
 132789363, 0, 2, 0.3, 0.3, 0.04, 0, 1, 132767, 200
 132989283, 0, 2, 0.3, 0.3, 0.04, 0, 1, 132967, 200
 133189203, 0, 2, 0.3, 0.3, 0.04, 0, 1, 133167, 200
 133389123, 0, 2, 0.3, 0.3, 0.04, 0, 1, 133367, 200
 133589043, 0, 2, 0.3, 0.3, 0.04, 0, 1, 133567, 200
 133788963, 0, 2, 0.3, 0.3, 0.04, 0, 1, 133767, 200
 133988883, 0, 2, 0.3, 0.3, 0.04, 0, 1, 133967, 200
 134188803, 0, 2, 0.3, 0.3, 0.04, 0, 1, 134167, 200
 134389556, 0, 2, 0.3, 0.3, 0.04, 0, 1, 134367, 200
 134589476, 0, 2, 0.3, 0.3, 0.04, 0, 1, 134567, 200
 134789396, 0, 2, 0.3, 0.3, 0.04, 0, 1, 134767, 200
 134989316, 0, 2, 0.3, 0.3, 0.04, 0, 1, 134967, 200
 135189236, 0, 2, 0.3, 0.3, 0.04, 0, 1, 135167, 200
 135389156, 0, 2, 0.3, 0.3, 0.04, 0, 1, 135367, 200
 135589076, 0, 2, 0.3, 0.3, 0.04, 0, 1, 135567, 200
 135788996, 0, 2, 0.3, 0.3, 0.04, 0, 1, 135767, 200
 135988916, 0, 2, 0.3, 0.3, 0.04, 0, 1, 135967, 200
 136188836, 0, 2, 0.3, 0.3, 0.04, 0, 1, 136167, 200
 136388756, 0, 2, 0.3, 0.3, 0.04, 0, 1, 136367, 200
 136589509, 0, 2, 0.3, 0.3, 0.04, 0, 1, 136567, 200
 136789429, 0, 2, 0.3, 0.3, 0.04, 0, 1, 136767, 200
