Time,GPS_I,GPS_Status,GPS_GMS,GPS_GWk,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPS_VZ,GPS_Yaw,GPS_U
 119789565, 0, 6, 236540600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 119989485, 0, 6, 236540800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 120189405, 0, 6, 236541000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 120389325, 0, 6, 236541200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 120589245, 0, 6, 236541400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 120789165, 0, 6, 236541600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 120989085, 0, 6, 236541800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 121189005, 0, 6, 236542000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 121388925, 0, 6, 236542200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 121588845, 0, 6, 236542400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 121788765, 0, 6, 236542600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 121989518, 0, 6, 236542800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 122189438, 0, 6, 236543000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 122389358, 0, 6, 236543200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 122589278, 0, 6, 236543400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 122789198, 0, 6, 236543600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
