Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 120354339, 0, 11440, 495, 0, 6, 0, 0
 121356438, 0, 11523, 499, 0, 6, 0, 0
 122359370, 0, 11631, 512, 0, 6, 0, 0
 123361469, 0, 11694, 515, 0, 6, 0, 0
 124364401, 0, 11758, 519, 0, 6, 0, 0
 125366500, 0, 11821, 522, 0, 6, 0, 0
 126369432, 0, 11884, 525, 0, 6, 0, 0
 127371531, 0, 11949, 528, 0, 6, 0, 0
 128374463, 0, 12012, 531, 0, 6, 0, 0
 129376562, 0, 12075, 534, 0, 6, 0, 0
 130379494, 0, 12139, 539, 0, 6, 0, 0
 131381593, 0, 12202, 542, 0, 6, 0, 0
 132382026, 0, 12268, 546, 0, 6, 0, 0
 133384125, 0, 12331, 549, 0, 6, 0, 0
 134387057, 0, 12394, 552, 0, 6, 0, 0
 135389156, 0, 12457, 555, 0, 6, 0, 0
 136391255, 0, 12520, 559, 0, 6, 0, 0
 137394187, 0, 12629, 562, 0, 6, 0, 0
 138396286, 0, 12738, 565, 0, 6, 0, 0
 139399218, 0, 12847, 568, 0, 6, 0, 0
 140401317, 0, 12957, 573, 0, 6, 0, 0
 141404249, 0, 13066, 576, 0, 6, 0, 0
 142406348, 0, 13175, 579, 0, 6, 0, 0
 143409280, 0, 13284, 582, 0, 6, 0, 0
 144411379, 0, 13393, 585, 0, 6, 0, 0
 145414311, 0, 13502, 588, 0, 6, 0, 0
 146416410, 0, 13565, 601, 0, 6, 0, 0
 147419342, 0, 13628, 604, 0, 6, 0, 0
 148421441, 0, 13695, 607, 0, 6, 0, 0
 149424373, 0, 13760, 610, 0, 6, 0, 0
 150426472, 0, 13826, 615, 0, 6, 0, 0
 151429404, 0, 13915, 619, 0, 6, 0, 0
 152431503, 0, 14028, 622, 0, 6, 0, 0
 153434435, 0, 14143, 625, 0, 6, 0, 0
 154436534, 0, 14256, 628, 0, 6, 0, 0
 155439466, 0, 14369, 631, 0, 6, 0, 0
 156441565, 0, 14482, 634, 0, 6, 0, 0
 157444497, 0, 14595, 637, 0, 6, 0, 0
 158446596, 0, 14708, 640, 0, 6, 0, 0
 159447029, 0, 14821, 643, 0, 6, 0, 0
 160449128, 0, 14935, 661, 0, 6, 0, 0
 161452060, 0, 15000, 664, 0, 6, 0, 0
 162454159, 0, 15065, 667, 0, 6, 0, 0
 163456258, 0, 15130, 670, 0, 6, 0, 0
 164459190, 0, 15195, 673, 0, 6, 0, 0
 165461289, 0, 15260, 676, 0, 6, 0, 0
 166464221, 0, 15325, 680, 0, 6, 0, 0
 167466320, 0, 15438, 683, 0, 6, 0, 0
 168469252, 0, 15551, 686, 0, 6, 0, 0
 169471351, 0, 15664, 689, 0, 6, 0, 0
 170474283, 0, 15778, 694, 0, 6, 0, 0
 171476382, 0, 15894, 697, 0, 6, 0, 0
 172479314, 0, 16007, 700, 0, 6, 0, 0
 173481413, 0, 16120, 703, 0, 6, 0, 0
 174484345, 0, 16233, 706, 0, 6, 0, 0
 175486444, 0, 16346, 709, 0, 6, 0, 0
 176489376, 0, 16459, 712, 0, 6, 0, 0
 177491475, 0, 16572, 715, 0, 6, 0, 0
 178494407, 0, 16685, 718, 0, 6, 0, 0
 179496506, 0, 16798, 721, 0, 6, 0, 0
 180499438, 0, 16912, 726, 0, 6, 0, 0
 181501537, 0, 17025, 730, 0, 6, 0, 0
 182504469, 0, 17138, 733, 0, 6, 0, 0
 183506568, 0, 17251, 736, 0, 6, 0, 0
 184507001, 0, 17318, 749, 0, 6, 0, 0
 185509100, 0, 17383, 752, 0, 6, 0, 0
 186512032, 0, 17448, 755, 0, 6, 0, 0
 187514131, 0, 17513, 758, 0, 6, 0, 0
 188517063, 0, 17578, 761, 0, 6, 0, 0
 189519162, 0, 17643, 764, 0, 6, 0, 0
 190521261, 0, 17709, 769, 0, 6, 0, 0
