Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 119789565, 0.9728535, 0.9834396, 1, 0.03441582, 2
 119889525, 0.9728535, 0.9834396, 1, 0.03441582, 2
 119989485, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120089445, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120189405, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120289365, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120389325, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120489285, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120589245, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120689205, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120789165, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120889125, 0.9728535, 0.9834396, 1, 0.03441582, 2
 120989085, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121089045, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121189005, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121288965, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121388925, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121488885, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121588845, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121688805, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121788765, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121889558, 0.9728535, 0.9834396, 1, 0.03441582, 2
 121989518, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122089478, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122189438, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122289398, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122389358, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122489318, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122589278, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122689238, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122789198, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122889158, 0.9728535, 0.9834396, 1, 0.03441582, 2
 122989118, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123089078, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123189038, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123288998, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123388958, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123488918, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123588878, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123688838, 0.9728535, 0.9834396, 1, 0.03441582, 2
 123788798, 0.9728535, 0.9834396, 1, 0.03441582, 2
