Time,PSCD_TPD,PSCD_PD,PSCD_DVD,PSCD_TVD,PSCD_VD,PSCD_DAD,PSCD_TAD,PSCD_AD
 119789565, 0.02764305, 0.02764305, 0.0001897936, 0.0001897936, 0.0001897936, 0.0007772446, 0.0007772446, 0.0007772446
 119889525, 0.02764085, 0.02764085, 0.0002094439, 0.0002094439, 0.0002094439, 0.0008563995, 0.0008563995, 0.0008563995
 119989485, 0.02764659, 0.02764659, 0.0002068337, 0.0002068337, 0.0002068337, -0.0001621246, -0.0001621246, -0.0001621246
 120089445, 0.02764775, 0.02764775, 0.0001767449, 0.0001767449, 0.0001767449, -0.0008516312, -0.0008516312, -0.0008516312
 120189405, 0.02765423, 0.02765423, 0.0002209523, 0.0002209523, 0.0002209523, 0.0004253387, 0.0004253387, 0.0004253387
 120289365, 0.0276577, 0.0276577, 0.0001987837, 0.0001987837, 0.0001987837, 3.814697E-06, 3.814697E-06, 3.814697E-06
 120389325, 0.02766529, 0.02766529, 0.0002101581, 0.0002101581, 0.0002101581, 0.0004615784, 0.0004615784, 0.0004615784
 120489285, 0.02766951, 0.02766951, 0.0002235083, 0.0002235083, 0.0002235083, 0.0007963181, 0.0007963181, 0.0007963181
 120589245, 0.02767904, 0.02767904, 0.0002111675, 0.0002111675, 0.0002111675, 0.0004281998, 0.0004281998, 0.0004281998
 120689205, 0.02767898, 0.02767898, 0.0001733335, 0.0001733335, 0.0001733335, -0.0001487732, -0.0001487732, -0.0001487732
 120789165, 0.02768345, 0.02768345, 0.0001775603, 0.0001775603, 0.0001775603, 0.0005512238, 0.0005512238, 0.0005512238
 120889125, 0.02768183, 0.02768183, 0.0001406191, 0.0001406191, 0.0001406191, -0.0003023148, -0.0003023148, -0.0003023148
 120989085, 0.02768185, 0.02768185, 0.0001272647, 0.0001272647, 0.0001272647, -0.0001049042, -0.0001049042, -0.0001049042
 121089045, 0.02768231, 0.02768231, 0.0001994161, 0.0001994161, 0.0001994161, 0.0009641647, 0.0009641647, 0.0009641647
 121189005, 0.02769248, 0.02769248, 0.0002577633, 0.0002577633, 0.0002577633, 0.0008602142, 0.0008602142, 0.0008602142
 121288965, 0.02769873, 0.02769873, 0.0001788452, 0.0001788452, 0.0001788452, -0.001919746, -0.001919746, -0.001919746
 121388925, 0.02770383, 0.02770383, 0.0001850522, 0.0001850522, 0.0001850522, 0.0003452301, 0.0003452301, 0.0003452301
 121488885, 0.02770602, 0.02770602, 0.0001921359, 0.0001921359, 0.0001921359, -0.0005531311, -0.0005531311, -0.0005531311
 121588845, 0.02771417, 0.02771417, 0.0002269622, 0.0002269622, 0.0002269622, 0.001006126, 0.001006126, 0.001006126
 121688805, 0.02771945, 0.02771945, 0.0002558233, 0.0002558233, 0.0002558233, 0.0006713867, 0.0006713867, 0.0006713867
 121788765, 0.02773072, 0.02773072, 0.0002497446, 0.0002497446, 0.0002497446, 0.0009851456, 0.0009851456, 0.0009851456
 121889558, 0.02773167, 0.02773167, 0.000182179, 0.000182179, 0.000182179, -2.861023E-06, -2.861023E-06, -2.861023E-06
 121989518, 0.02773251, 0.02773251, 0.0001731247, 0.0001731247, 0.0001731247, 0.0001277924, 0.0001277924, 0.0001277924
 122089478, 0.02773239, 0.02773239, 0.0002080308, 0.0002080308, 0.0002080308, -0.0001831055, -0.0001831055, -0.0001831055
 122189438, 0.02773601, 0.02773601, 0.0001932378, 0.0001932378, 0.0001932378, 0.0001878738, 0.0001878738, 0.0001878738
 122289398, 0.02773353, 0.02773353, 0.0001919738, 0.0001919738, 0.0001919738, -0.0003290176, -0.0003290176, -0.0003290176
 122389358, 0.0277376, 0.0277376, 0.000195829, 0.000195829, 0.000195829, 9.727478E-05, 9.727478E-05, 9.727478E-05
 122489318, 0.02773472, 0.02773472, 0.0001600773, 0.0001600773, 0.0001600773, 0.0001163483, 0.0001163483, 0.0001163483
 122589278, 0.02773195, 0.02773195, 0.000106314, 0.000106314, 0.000106314, 0.0001916885, 0.0001916885, 0.0001916885
 122689238, 0.02772448, 0.02772448, 0.0001411077, 0.0001411077, 0.0001411077, 0.0006198883, 0.0006198883, 0.0006198883
