Time,PSCE_TPE,PSCE_PE,PSCE_DVE,PSCE_TVE,PSCE_VE,PSCE_DAE,PSCE_TAE,PSCE_AE
 119789565, 0.01299899, 0.01299899, 0.01618033, 0.01618033, 0.01618033, 0, -3.250784E-06, -3.301577E-06
 119889525, 0.01266432, 0.01266432, 0.01595713, 0.01595713, 0.01595713, 0, -3.250907E-06, -3.301703E-06
 119989485, 0.01294552, 0.01294552, 0.01608442, 0.01608442, 0.01608442, 0, -3.251018E-06, -3.301815E-06
 120089445, 0.01259809, 0.01259809, 0.01556038, 0.01556038, 0.01556038, 0, -3.251077E-06, -3.301875E-06
 120189405, 0.01282591, 0.01282591, 0.01549726, 0.01549726, 0.01549726, 0, -3.251157E-06, -3.301956E-06
 120289365, 0.01240244, 0.01240244, 0.01458476, 0.01458476, 0.01458476, 0, -3.251228E-06, -3.302029E-06
 120389325, 0.01249235, 0.01249235, 0.01411686, 0.01411686, 0.01411686, 0, -3.251301E-06, -3.302102E-06
 120489285, 0.01191215, 0.01191215, 0.01269198, 0.01269198, 0.01269198, 0, -3.251364E-06, -3.302167E-06
 120589245, 0.01177756, 0.01177756, 0.01182699, 0.01182699, 0.01182699, 0, -3.251445E-06, -3.302249E-06
 120689205, 0.01101207, 0.01101207, 0.01011469, 0.01011469, 0.01011469, 0, -3.251523E-06, -3.302328E-06
 120789165, 0.01064083, 0.01064083, 0.008989207, 0.008989207, 0.008989207, 0, -3.251612E-06, -3.302418E-06
 120889125, 0.009729316, 0.009729316, 0.007286887, 0.007286887, 0.007286887, 0, -3.251689E-06, -3.302497E-06
 120989085, 0.009191235, 0.009191235, 0.006152888, 0.006152888, 0.006152888, 0, -3.251758E-06, -3.302567E-06
 121089045, 0.008235862, 0.008235862, 0.004630011, 0.004630011, 0.004630011, 0, -3.251817E-06, -3.302627E-06
 121189005, 0.007616702, 0.007616702, 0.003584745, 0.003584745, 0.003584745, 0, -3.251901E-06, -3.302712E-06
 121288965, 0.006693535, 0.006693535, 0.002344333, 0.002344333, 0.002344333, 0, -3.252006E-06, -3.302819E-06
 121388925, 0.006080626, 0.006080626, 0.001535503, 0.001535503, 0.001535503, 0, -3.25207E-06, -3.302884E-06
