Time,SIM_Roll,SIM_Pitch,SIM_Yaw,SIM_Alt,SIM_Lat,SIM_Lng,SIM_Q1,SIM_Q2,SIM_Q3,SIM_Q4
 119789565, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 119889525, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 119989485, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120089445, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120189405, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120289365, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120389325, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120489285, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120589245, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120689205, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120789165, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120889125, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 120989085, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121089045, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121189005, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121288965, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121388925, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121488885, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121588845, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121688805, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121788765, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121889558, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 121989518, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 122089478, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 122189438, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
 122289398, 0, 0, 0, 558.09, 33.6216408, 72.955685, 1, 0, 0, 0
