Time,VIBE_IMU,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip
 119789565, 0, 0.002753381, 0.002889921, 0.002809918, 0
 119789565, 1, 0.005614932, 0.005731919, 0.005567389, 0
 119889525, 0, 0.002545513, 0.002637473, 0.002922396, 0
 119889525, 1, 0.005318347, 0.005473624, 0.005759957, 0
 119989485, 0, 0.00298153, 0.003196806, 0.003156583, 0
 119989485, 1, 0.005541736, 0.005692825, 0.006005121, 0
 120089445, 0, 0.002990086, 0.003208803, 0.002870794, 0
 120089445, 1, 0.005834126, 0.005718318, 0.005782255, 0
 120189405, 0, 0.00266519, 0.003016174, 0.002726294, 0
 120189405, 1, 0.005848757, 0.005672277, 0.005191703, 0
 120289365, 0, 0.002732942, 0.002807388, 0.002713856, 0
 120289365, 1, 0.005628892, 0.005465109, 0.00556922, 0
 120389325, 0, 0.002766214, 0.002783821, 0.002894742, 0
 120389325, 1, 0.005305363, 0.00581767, 0.005681148, 0
 120489285, 0, 0.002799896, 0.002865719, 0.002948346, 0
 120489285, 1, 0.005744216, 0.00597582, 0.005617791, 0
 120589245, 0, 0.002785664, 0.002739806, 0.003191068, 0
 120589245, 1, 0.005716228, 0.005665435, 0.005829261, 0
 120689205, 0, 0.002746526, 0.002692419, 0.00311265, 0
 120689205, 1, 0.005171481, 0.005387781, 0.005584028, 0
 120789165, 0, 0.002590776, 0.00292686, 0.003009464, 0
 120789165, 1, 0.005798745, 0.005243199, 0.005734293, 0
 120889125, 0, 0.002736557, 0.003013791, 0.002956383, 0
 120889125, 1, 0.005623105, 0.005395944, 0.005113106, 0
 120989085, 0, 0.002640436, 0.002712415, 0.002963289, 0
 120989085, 1, 0.005360514, 0.005612812, 0.005657432, 0
 121089045, 0, 0.002787224, 0.002784854, 0.002564991, 0
 121089045, 1, 0.005574454, 0.005350381, 0.005989393, 0
 121189005, 0, 0.002694006, 0.00292116, 0.002680168, 0
 121189005, 1, 0.0051094, 0.005440097, 0.005590566, 0
 121288965, 0, 0.002651038, 0.002826768, 0.002951542, 0
 121288965, 1, 0.005590318, 0.005983812, 0.005400542, 0
 121388925, 0, 0.002758696, 0.002795802, 0.002838932, 0
 121388925, 1, 0.005490256, 0.005602306, 0.005307834, 0
 121488885, 0, 0.002589806, 0.002678239, 0.002716695, 0
 121488885, 1, 0.005396734, 0.005717068, 0.005555543, 0
 121588845, 0, 0.002477364, 0.00275039, 0.002587462, 0
 121588845, 1, 0.005232765, 0.005791005, 0.005896052, 0
 121688805, 0, 0.002959739, 0.002790091, 0.002501205, 0
 121688805, 1, 0.005575821, 0.005775036, 0.005318638, 0
 121788765, 0, 0.002594553, 0.00263096, 0.002737321, 0
 121788765, 1, 0.005358852, 0.005698312, 0.005606904, 0
 121889558, 0, 0.002642173, 0.002768875, 0.002838138, 0
 121889558, 1, 0.005562334, 0.005739438, 0.00583757, 0
 121989518, 0, 0.002761435, 0.002785967, 0.002623291, 0
 121989518, 1, 0.005683303, 0.005643029, 0.005511256, 0
 122089478, 0, 0.002909075, 0.003199454, 0.00288017, 0
 122089478, 1, 0.005696334, 0.005582628, 0.006093247, 0
 122189438, 0, 0.002856707, 0.00292871, 0.003442447, 0
 122189438, 1, 0.005779585, 0.006081052, 0.005467317, 0
 122289398, 0, 0.00276008, 0.003087358, 0.003267773, 0
 122289398, 1, 0.005633567, 0.005762835, 0.005773364, 0
 122389358, 0, 0.002729171, 0.002986301, 0.002837237, 0
 122389358, 1, 0.005628623, 0.005839565, 0.005967641, 0
 122489318, 0, 0.002761045, 0.002735961, 0.002715434, 0
 122489318, 1, 0.005577456, 0.005233438, 0.005862879, 0
