Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 119789565, 0, 0.07, 0.05, 0.99, -0.01742279, 0.01618033, 0.0001897936, -1.133309E-05, -0.01392988, 0.01299899, 0.02764305, 0.07, 0.08, 0.05, 558.1
 119789565, 1, 0.07, 0.05, 1, -0.01710709, 0.01617451, 0.0005454954, 0.0002446197, -0.01381462, 0.01265088, 0.02760679, 0.07, 0.08, 0.05, 558.1
 119889525, 0, 0.07, 0.05, 0.99, -0.01712988, 0.01595713, 0.0002094439, 3.578045E-06, -0.01357325, 0.01266432, 0.02764085, 0.07, 0.08, 0.05, 558.1
 119889525, 1, 0.07, 0.05, 1, -0.01678438, 0.01579898, 0.0005410487, 0.0001679105, -0.01329592, 0.01219647, 0.02761709, 0.07, 0.08, 0.05, 558.1
 119989485, 0, 0.07, 0.05, 0.99, -0.01726475, 0.01608442, 0.0002068337, 4.801308E-05, -0.01387149, 0.01294552, 0.02764659, 0.07, 0.08, 0.05, 558.1
 119989485, 1, 0.07, 0.05, 1, -0.01706355, 0.01593589, 0.0004326489, 0.0001264012, -0.01368043, 0.01256468, 0.02764055, 0.07, 0.08, 0.05, 558.1
 120089445, 0, 0.07, 0.05, 0.99, -0.01672587, 0.01556038, 0.0001767449, 1.042441E-05, -0.01350225, 0.01259809, 0.02764775, 0.07, 0.08, 0.05, 558.1
 120089445, 1, 0.07, 0.06, 1, -0.01661697, 0.01545571, 0.0003829091, 2.968092E-05, -0.0133878, 0.0122939, 0.02764206, 0.07, 0.08, 0.05, 558.1
 120189405, 0, 0.07, 0.05, 0.99, -0.01669604, 0.01549726, 0.0002209523, 8.170876E-05, -0.01375172, 0.01282591, 0.02765423, 0.07, 0.08, 0.05, 558.1
 120189405, 1, 0.07, 0.06, 1, -0.01656261, 0.01550177, 0.0004300826, 0.0001101947, -0.01367993, 0.01256242, 0.02765046, 0.07, 0.08, 0.05, 558.1
 120289365, 0, 0.07, 0.05, 0.99, -0.0156774, 0.01458476, 0.0001987837, 4.825675E-05, -0.0133034, 0.01240244, 0.0276577, 0.07, 0.08, 0.05, 558.1
 120289365, 1, 0.07, 0.06, 1, -0.0155334, 0.01472472, 0.0005163189, 0.0001848191, -0.01325647, 0.01219552, 0.02766197, 0.07, 0.08, 0.05, 558.1
 120389325, 0, 0.07, 0.05, 0.99, -0.0152421, 0.01411686, 0.0002101581, 8.303836E-05, -0.01340447, 0.01249235, 0.02766529, 0.07, 0.08, 0.05, 558.1
 120389325, 1, 0.07, 0.06, 1, -0.0149627, 0.0142989, 0.000426103, 0.0001465025, -0.01334818, 0.01231748, 0.02768084, 0.07, 0.08, 0.05, 558.1
 120489285, 0, 0.07, 0.05, 0.99, -0.01367153, 0.01269198, 0.0002235084, 7.033004E-05, -0.01278907, 0.01191215, 0.02766951, 0.07, 0.08, 0.05, 558.1
 120489285, 1, 0.07, 0.06, 1, -0.01353171, 0.01303242, 0.0003409935, -8.903024E-07, -0.01273426, 0.01178562, 0.02767983, 0.07, 0.08, 0.05, 558.1
 120589245, 0, 0.07, 0.06, 1, -0.01271246, 0.01182699, 0.0002111675, 7.579923E-05, -0.01264503, 0.01177756, 0.02767904, 0.07, 0.08, 0.05, 558.1
