Time,XKY0_C,XKY0_YC,XKY0_YCS,XKY0_Y0,XKY0_Y1,XKY0_Y2,XKY0_Y3,XKY0_Y4,XKY0_W0,XKY0_W1,XKY0_W2,XKY0_W3,XKY0_W4
 119889525, 0, 303.9131, 14.42197, 216.0039, 288.0039, 0.003939794, 72.00394, 144.0039, 0.2, 0.2, 0.2, 0.2, 0.2
 119889525, 1, 27.02695, 14.70785, 216.004, 288.004, 0.004011591, 72.00401, 144.004, 0.2, 0.2, 0.2, 0.2, 0.2
 119989485, 0, 311.877, 14.61232, 216.0083, 288.0083, 0.008324292, 72.00832, 144.0083, 0.2, 0.2, 0.2, 0.2, 0.2
 119989485, 1, 342.136, 14.46207, 216.0083, 288.0082, 0.008255141, 72.00826, 144.0083, 0.2, 0.2, 0.2, 0.2, 0.2
 120089445, 0, 306.1829, 14.46855, 216.0128, 288.0128, 0.01283848, 72.01283, 144.0128, 0.2, 0.2, 0.2, 0.2, 0.2
 120089445, 1, 339.0014, 14.53554, 216.0128, 288.0128, 0.01277609, 72.01277, 144.0128, 0.2, 0.2, 0.2, 0.2, 0.2
 120189405, 0, 314.4306, 14.68858, 216.017, 288.017, 0.01704933, 72.01705, 144.0171, 0.2, 0.2, 0.2, 0.2, 0.2
 120189405, 1, 349.2909, 14.33826, 216.0174, 288.0175, 0.01744427, 72.01745, 144.0174, 0.2, 0.2, 0.2, 0.2, 0.2
 120289365, 0, 332.8981, 14.71112, 216.0215, 288.0215, 0.02151843, 72.02151, 144.0215, 0.2, 0.2, 0.2, 0.2, 0.2
 120289365, 1, 353.6875, 14.29256, 216.0217, 288.0217, 0.02172287, 72.02172, 144.0217, 0.2, 0.2, 0.2, 0.2, 0.2
 120389325, 0, 323.8652, 15.03315, 216.026, 288.0259, 0.02595364, 72.02596, 144.026, 0.2, 0.2, 0.2, 0.2, 0.2
 120389325, 1, 347.7976, 14.35924, 216.0265, 288.0266, 0.02653977, 72.02654, 144.0266, 0.2, 0.2, 0.2, 0.2, 0.2
 120489285, 0, 331.6077, 14.75384, 216.0304, 288.0304, 0.03041232, 72.03041, 144.0304, 0.2, 0.2, 0.2, 0.2, 0.2
 120489285, 1, 341.7769, 14.47038, 216.031, 288.031, 0.03103535, 72.03104, 144.031, 0.2, 0.2, 0.2, 0.2, 0.2
 120589245, 0, 338.0574, 14.56045, 216.0348, 288.0348, 0.03476001, 72.03476, 144.0348, 0.2, 0.2, 0.2, 0.2, 0.2
