Time,XKY1_C,XKY1_IVN0,XKY1_IVN1,XKY1_IVN2,XKY1_IVN3,XKY1_IVN4,XKY1_IVE0,XKY1_IVE1,XKY1_IVE2,XKY1_IVE3,XKY1_IVE4
 119889525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 119889525, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 119989485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 119989485, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 120089445, 0, 0.004904678, 0.002247675, -0.003515538, -0.004420397, 0.0007835828, -0.0007697187, 0.004426769, 0.003505613, -0.002260182, -0.004902482
 120089445, 1, 0.005016025, 0.002173244, -0.003672886, -0.004443212, 0.0009268295, -0.000655279, 0.004568031, 0.003478477, -0.002418214, -0.004973015
 120189405, 0, 0.004904678, 0.002247675, -0.003515538, -0.004420397, 0.0007835828, -0.0007697187, 0.004426769, 0.003505613, -0.002260182, -0.004902482
 120189405, 1, 0.005016025, 0.002173244, -0.003672886, -0.004443212, 0.0009268295, -0.000655279, 0.004568031, 0.003478477, -0.002418214, -0.004973015
 120289365, 0, 0.007232591, 0.003292098, -0.005197962, -0.006504615, 0.001177889, -0.001111505, 0.006535129, 0.005150437, -0.003351983, -0.007222077
 120289365, 1, 0.007256437, 0.003086203, -0.005349058, -0.006392103, 0.001398521, -0.0008872671, 0.006627101, 0.004983041, -0.003547413, -0.007175462
 120389325, 0, 0.007232591, 0.003292098, -0.005197962, -0.006504615, 0.001177889, -0.001111505, 0.006535129, 0.005150437, -0.003351983, -0.007222077
 120389325, 1, 0.007256437, 0.003086203, -0.005349058, -0.006392103, 0.001398521, -0.0008872671, 0.006627101, 0.004983041, -0.003547413, -0.007175462
 120489285, 0, 0.009600403, 0.004381825, -0.006892285, -0.008641492, 0.00155155, -0.001487964, 0.008670719, 0.006846763, -0.004439187, -0.009590331
 120489285, 1, 0.009479388, 0.004367379, -0.006780199, -0.008557772, 0.001491204, -0.001512095, 0.00854817, 0.006795154, -0.004348534, -0.009482697
 120589245, 0, 0.009600403, 0.004381825, -0.006892285, -0.008641492, 0.00155155, -0.001487964, 0.008670719, 0.006846763, -0.004439187, -0.009590331
 120589245, 1, 0.009479388, 0.004367379, -0.006780199, -0.008557772, 0.001491204, -0.001512095, 0.00854817, 0.006795154, -0.004348534, -0.009482697
 120689205, 0, 0.01175573, 0.005377141, -0.008432474, -0.0105887, 0.0018883, -0.001834192, 0.01061357, 0.008393737, -0.005425952, -0.01174716
 120689205, 1, 0.01190116, 0.005499055, -0.008502556, -0.01075392, 0.001856266, -0.001915128, 0.01072687, 0.008544696, -0.005445955, -0.01191048
 120789165, 0, 0.01175573, 0.005377141, -0.008432474, -0.0105887, 0.0018883, -0.001834192, 0.01061357, 0.008393737, -0.005425952, -0.01174716
 120789165, 1, 0.01190116, 0.005499055, -0.008502556, -0.01075392, 0.001856266, -0.001915128, 0.01072687, 0.008544696, -0.005445955, -0.01191048
 120889125, 0, 0.01370306, 0.006341559, -0.009783758, -0.01238825, 0.002127396, -0.002215517, 0.01234775, 0.009846846, -0.006262064, -0.01371701
 120889125, 1, 0.01364278, 0.006201472, -0.009810063, -0.01226442, 0.002230232, -0.002087804, 0.01232989, 0.009708096, -0.006329958, -0.01362023
 120989085, 0, 0.01370306, 0.006341559, -0.009783758, -0.01238825, 0.002127396, -0.002215517, 0.01234775, 0.009846846, -0.006262064, -0.01371701
 120989085, 1, 0.01364278, 0.006201472, -0.009810063, -0.01226442, 0.002230232, -0.002087804, 0.01232989, 0.009708096, -0.006329958, -0.01362023
 121089045, 0, 0.01551338, 0.007254151, -0.01103007, -0.01407111, 0.002333647, -0.002586862, 0.01395472, 0.01121135, -0.007025722, -0.01555349
 121089045, 1, 0.01551394, 0.007242403, -0.01103789, -0.01406419, 0.00234574, -0.002574328, 0.01395912, 0.01120154, -0.007036191, -0.01555015
 121189005, 0, 0.01551338, 0.007254151, -0.01103007, -0.01407111, 0.002333647, -0.002586862, 0.01395472, 0.01121135, -0.007025722, -0.01555349
 121189005, 1, 0.01551394, 0.007242403, -0.01103789, -0.01406419, 0.00234574, -0.002574328, 0.01395912, 0.01120154, -0.007036191, -0.01555015
 121288965, 0, 0.01719196, 0.008118103, -0.01217469, -0.01564248, 0.002507109, -0.002949874, 0.01543896, 0.01249168, -0.00771868, -0.01726208
 121288965, 1, 0.0173462, 0.008177902, -0.01229198, -0.01577476, 0.002542641, -0.002962632, 0.01558171, 0.01259266, -0.007799022, -0.01741272
 121388925, 0, 0.01719196, 0.008118103, -0.01217469, -0.01564248, 0.002507109, -0.002949874, 0.01543896, 0.01249168, -0.00771868, -0.01726208
 121388925, 1, 0.0173462, 0.008177902, -0.01229198, -0.01577476, 0.002542641, -0.002962632, 0.01558171, 0.01259266, -0.007799022, -0.01741272
 121488885, 0, 0.01855132, 0.008839007, -0.01308851, -0.01692815, 0.00262634, -0.003266193, 0.01663405, 0.0135466, -0.008261788, -0.01865266
 121488885, 1, 0.01851827, 0.008718839, -0.01312973, -0.01683346, 0.00272608, -0.00315058, 0.01663834, 0.01343364, -0.008335892, -0.0185855
 121588845, 0, 0.01855132, 0.008839007, -0.01308851, -0.01692815, 0.00262634, -0.003266193, 0.01663405, 0.0135466, -0.008261788, -0.01865266
 121588845, 1, 0.01851827, 0.008718839, -0.01312973, -0.01683346, 0.00272608, -0.00315058, 0.01663834, 0.01343364, -0.008335892, -0.0185855
 121688805, 0, 0.01980448, 0.009544815, -0.01390546, -0.01813886, 0.002695025, -0.003601148, 0.01772236, 0.01455417, -0.008727389, -0.01994799
 121688805, 1, 0.01969591, 0.00927788, -0.01396186, -0.01790679, 0.002894859, -0.003355753, 0.01769494, 0.01429182, -0.008862102, -0.0197689
 121788765, 0, 0.01980448, 0.009544815, -0.01390546, -0.01813886, 0.002695025, -0.003601148, 0.01772236, 0.01455417, -0.008727389, -0.01994799
 121788765, 1, 0.01969591, 0.00927788, -0.01396186, -0.01790679, 0.002894859, -0.003355753, 0.01769494, 0.01429182, -0.008862102, -0.0197689
 121889558, 0, 0.0209125, 0.01013423, -0.01464919, -0.01918793, 0.0027904, -0.003860882, 0.01869589, 0.01541558, -0.009168537, -0.02108204
 121889558, 1, 0.02073122, 0.009812306, -0.01466688, -0.01887694, 0.003000291, -0.003581288, 0.01860988, 0.01508283, -0.009288181, -0.02082324
 121989518, 0, 0.0209125, 0.01013423, -0.01464919, -0.01918793, 0.0027904, -0.003860882, 0.01869589, 0.01541558, -0.009168537, -0.02108204
 121989518, 1, 0.02073122, 0.009812306, -0.01466688, -0.01887694, 0.003000291, -0.003581288, 0.01860988, 0.01508283, -0.009288181, -0.02082324
 122089478, 0, 0.02171492, 0.0105092, -0.01521988, -0.0199156, 0.002911359, -0.003994421, 0.01941777, 0.01599526, -0.009532155, -0.02188646
 122089478, 1, 0.02189704, 0.01033778, -0.01550794, -0.01992221, 0.003195333, -0.003755006, 0.01966496, 0.01590862, -0.009832891, -0.02198568
 122189438, 0, 0.02171492, 0.0105092, -0.01521988, -0.0199156, 0.002911359, -0.003994421, 0.01941777, 0.01599526, -0.009532155, -0.02188646
 122189438, 1, 0.02189704, 0.01033778, -0.01550794, -0.01992221, 0.003195333, -0.003755006, 0.01966496, 0.01590862, -0.009832891, -0.02198568
 122289398, 0, 0.02248983, 0.01079789, -0.01581637, -0.02057294, 0.003101593, -0.00404618, 0.02013876, 0.01649262, -0.00994576, -0.02263944
 122289398, 1, 0.02267823, 0.01064603, -0.01609862, -0.02059552, 0.003369886, -0.003825295, 0.02038619, 0.01642465, -0.0102352, -0.02275036
 122389358, 0, 0.02248983, 0.01079789, -0.01581637, -0.02057294, 0.003101593, -0.00404618, 0.02013876, 0.01649262, -0.00994576, -0.02263944
 122389358, 1, 0.02267823, 0.01064603, -0.01609862, -0.02059552, 0.003369886, -0.003825295, 0.02038619, 0.01642465, -0.0102352, -0.02275036
 122489318, 0, 0.02311639, 0.01113923, -0.01623197, -0.02117114, 0.003147484, -0.00420151, 0.02068666, 0.01698657, -0.01018838, -0.02328333
 122489318, 1, 0.02326812, 0.01094411, -0.01650428, -0.02114432, 0.003436375, -0.003947051, 0.02090959, 0.01686989, -0.01048342, -0.023349
 122589278, 0, 0.02311639, 0.01113923, -0.01623197, -0.02117114, 0.003147484, -0.00420151, 0.02068666, 0.01698657, -0.01018838, -0.02328333
