Time,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,AHR2_Alt,AHR2_Lat,AHR2_Lng,AHR2_Q1,AHR2_Q2,AHR2_Q3,AHR2_Q4
 101194506, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009158435, 0.0007964908, 0.001987326
 101294466, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009141211, 0.0007955842, 0.001987912
 101394426, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.00091266, 0.000794626, 0.001986501
 101494386, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009133408, 0.0007930665, 0.001984344
 101594346, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009108222, 0.0007902294, 0.001984377
 101694306, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009092266, 0.0007901579, 0.001982797
 101794266, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009095364, 0.0007907409, 0.001983589
 101894226, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009120288, 0.0007885194, 0.001984575
 101994186, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009110589, 0.0007877229, 0.001986247
 102094146, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009091188, 0.0007862744, 0.001986271
 102194106, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009079135, 0.0007895383, 0.001990365
 102294066, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009060457, 0.0007852998, 0.00199164
 102394026, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009032299, 0.0007850584, 0.001990132
 102493986, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009022579, 0.0007849797, 0.001990951
 102593946, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009005153, 0.0007871997, 0.001991999
 102693906, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009022137, 0.0007867651, 0.001992848
 102793866, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009004078, 0.0007862033, 0.001993741
 102893826, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008958864, 0.0007860033, 0.001992342
 102993786, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008931333, 0.0007874107, 0.001991318
 103093746, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008907334, 0.000786957, 0.001992361
 103193706, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008913106, 0.0007870146, 0.001990689
 103294499, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008926899, 0.0007863488, 0.001990854
 103394459, 0.1, 0.09, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008918413, 0.000787964, 0.001989939
 103494419, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008908983, 0.0007861859, 0.001989254
 103594379, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008904897, 0.0007837163, 0.001992174
 103694339, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008896206, 0.0007843567, 0.001992527
 103794299, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008891667, 0.0007835275, 0.001993522
 103894259, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008924447, 0.0007854032, 0.001997509
 103994219, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008919876, 0.0007859649, 0.00199821
 104094179, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008908832, 0.0007841787, 0.002001368
 104194139, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008899258, 0.0007858158, 0.002002993
 104294099, 0.1, 0.08, 0.22, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008891174, 0.0007836685, 0.002005475
 104394059, 0.1, 0.08, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008894848, 0.0007829432, 0.002007574
 104494019, 0.1, 0.08, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008931123, 0.0007845377, 0.002008266
 104593979, 0.1, 0.08, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008975634, 0.0007835109, 0.002009498
 104693939, 0.1, 0.08, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0008999513, 0.0007842973, 0.002012678
 104793899, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.0009017752, 0.0007877541, 0.002017244
 104893859, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999973, 0.000903353, 0.0007911054, 0.00202177
 104993819, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009037742, 0.0007941154, 0.002028424
 105093779, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009047966, 0.0007943568, 0.002029535
 105193739, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.000904258, 0.0007970954, 0.0020288
 105293699, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009058316, 0.0007993037, 0.002029282
 105394492, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009067924, 0.0008016102, 0.002033133
 105494452, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999972, 0.0009081488, 0.0008046271, 0.002038045
 105594412, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999971, 0.0009106906, 0.0008066512, 0.002038677
 105694372, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999971, 0.000914367, 0.0008077676, 0.002041696
 105794332, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999971, 0.0009183615, 0.0008091511, 0.002042563
 105894292, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999971, 0.0009148389, 0.0008094383, 0.002040148
 105994252, 0.1, 0.09, 0.23, 558.04, 33.6216408, 72.955685, 0.9999971, 0.0009142728, 0.0008077352, 0.002039262
