Time,GPS_I,GPS_Status,GPS_GMS,GPS_GWk,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPS_VZ,GPS_Yaw,GPS_U
 101194506, 0, 6, 237154000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 101394426, 0, 6, 237154200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 101594346, 0, 6, 237154400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 101794266, 0, 6, 237154600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 101994186, 0, 6, 237154800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 102194106, 0, 6, 237155000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 102394026, 0, 6, 237155200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 102593946, 0, 6, 237155400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 102793866, 0, 6, 237155600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 102993786, 0, 6, 237155800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 103193706, 0, 6, 237156000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 103394459, 0, 6, 237156200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 103594379, 0, 6, 237156400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 103794299, 0, 6, 237156600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 103994219, 0, 6, 237156800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 104194139, 0, 6, 237157000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 104394059, 0, 6, 237157200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 104593979, 0, 6, 237157400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 104793899, 0, 6, 237157600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 104993819, 0, 6, 237157800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 105193739, 0, 6, 237158000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 105394492, 0, 6, 237158200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 0, 0, 0, 1
 105594412, 0, 6, 237158400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 133.0972, 0, 0, 1
 105794332, 0, 6, 237158600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 132.2974, 0, 0, 1
 105994252, 0, 6, 237158800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 125.8898, 0, 0, 1
 106194172, 0, 6, 237159000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 311.5361, 0, 0, 1
 106394092, 0, 6, 237159200, 2220, 10, 1.21, 33.6216408, 72.955685, 558.09, 0, 311.9627, -0.046, 0, 1
 106594012, 0, 6, 237159400, 2220, 10, 1.21, 33.6216408, 72.955685, 558.12, 0, 313.2286, -0.23, 0, 1
 106793932, 0, 6, 237159600, 2220, 10, 1.21, 33.6216408, 72.955685, 558.19, 0, 313.9099, -0.605, 0, 1
 106993852, 0, 6, 237159800, 2220, 10, 1.21, 33.6216408, 72.955685, 558.39, 0.008, 312.7668, -1.295, 0, 1
 107193772, 0, 6, 237160000, 2220, 10, 1.21, 33.6216408, 72.955685, 558.71, 0.022, 312.8647, -1.827, 0, 1
 107394525, 0, 6, 237160200, 2220, 10, 1.21, 33.6216408, 72.9556849, 559.09, 0.035, 313.0738, -1.979, 0, 1
 107594445, 0, 6, 237160400, 2220, 10, 1.21, 33.6216409, 72.9556849, 559.5, 0.041, 313.3033, -2.156, 0, 1
 107794365, 0, 6, 237160600, 2220, 10, 1.21, 33.6216409, 72.9556848, 559.95, 0.041, 313.7545, -2.344, 0, 1
 107994285, 0, 6, 237160800, 2220, 10, 1.21, 33.621641, 72.9556848, 560.44, 0.039, 314.139, -2.499, 0, 1
 108194205, 0, 6, 237161000, 2220, 10, 1.21, 33.6216411, 72.9556847, 560.95, 0.033, 314.3737, -2.606, 0, 1
 108394125, 0, 6, 237161200, 2220, 10, 1.21, 33.6216411, 72.9556846, 561.48, 0.027, 315.0525, -2.642, 0, 1
 108594045, 0, 6, 237161400, 2220, 10, 1.21, 33.6216412, 72.9556846, 562, 0.02, 316.3218, -2.625, 0, 1
 108793965, 0, 6, 237161600, 2220, 10, 1.21, 33.6216412, 72.9556846, 562.53, 0.014, 318.3463, -2.582, 0, 1
 108993885, 0, 6, 237161800, 2220, 10, 1.21, 33.6216412, 72.9556846, 563.04, 0.007, 320.7719, -2.533, 0, 1
 109193805, 0, 6, 237162000, 2220, 10, 1.21, 33.6216412, 72.9556846, 563.54, 0, 323.6583, -2.487, 0, 1
 109393725, 0, 6, 237162200, 2220, 10, 1.21, 33.6216412, 72.9556846, 564.03, 0.004, 139.6959, -2.451, 0, 1
 109594478, 0, 6, 237162400, 2220, 10, 1.21, 33.6216412, 72.9556846, 564.52, 0.008, 139.6157, -2.425, 0, 1
 109794398, 0, 6, 237162600, 2220, 10, 1.21, 33.6216412, 72.9556846, 565.01, 0.01, 139.5713, -2.407, 0, 1
 109994318, 0, 6, 237162800, 2220, 10, 1.21, 33.6216412, 72.9556846, 565.49, 0.013, 139.8064, -2.41, 0, 1
