Time,IMU_I,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_EG,IMU_EA,IMU_T,IMU_GH,IMU_AH,IMU_GHz,IMU_AHz
 101134530, 0, 0.001405024, 0.001459102, 0.0014626, -0.001838963, -0.0002372143, -9.818506, 0, 0, 30.6404, 1, 1, 1000, 1000
 101134530, 1, 0.001605619, 0.001821309, 0.00161216, -0.002568841, -0.002845076, -9.817043, 0, 0, 30.6404, 1, 1, 760, 800
 101174514, 0, 0.001509904, 0.001385337, 0.001456366, -0.001374044, -0.00111764, -9.817324, 0, 0, 30.64231, 1, 1, 1000, 1000
 101174514, 1, 0.001346842, 0.001060582, 0.0014972, 0.0009445791, -0.001280307, -9.816441, 0, 0, 30.64231, 1, 1, 760, 800
 101214498, 0, 0.001516644, 0.001478945, 0.00146319, -0.0003978777, -0.0006944619, -9.817194, 0, 0, 30.64423, 1, 1, 1000, 1000
 101214498, 1, 0.001770516, 0.001554569, 0.001823666, -0.0005741923, -0.0003797018, -9.817144, 0, 0, 30.64423, 1, 1, 760, 800
 101254482, 0, 0.00147018, 0.001428577, 0.001456764, -0.0009677368, -0.001249974, -9.816934, 0, 0, 30.64614, 1, 1, 1000, 1000
 101254482, 1, 0.001379672, 0.001585648, 0.00139501, -0.001819952, -0.003577179, -9.819528, 0, 0, 30.64614, 1, 1, 760, 800
 101294466, 0, 0.00149597, 0.001430335, 0.00150217, -0.001826919, -0.001419752, -9.817256, 0, 0, 30.64805, 1, 1, 1000, 1000
 101294466, 1, 0.001476228, 0.001565444, 0.001310567, 0.0002294839, -0.0001605282, -9.817642, 0, 0, 30.64805, 1, 1, 760, 800
 101334450, 0, 0.001385447, 0.001488721, 0.00146199, -0.0008031286, -0.0008564625, -9.818222, 0, 0, 30.64997, 1, 1, 1000, 1000
 101334450, 1, 0.001358262, 0.001556178, 0.001370952, -0.000807317, -0.0005238112, -9.817707, 0, 0, 30.64997, 1, 1, 760, 800
 101374434, 0, 0.001460217, 0.001422993, 0.00146412, -0.001186551, -0.001518197, -9.816881, 0, 0, 30.65188, 1, 1, 1000, 1000
 101374434, 1, 0.001607488, 0.00158943, 0.001550281, -0.00210596, -0.002435185, -9.816164, 0, 0, 30.65188, 1, 1, 760, 800
 101414418, 0, 0.00151876, 0.001377663, 0.00140647, -0.001104059, -0.001266462, -9.819005, 0, 0, 30.65379, 1, 1, 1000, 1000
 101414418, 1, 0.001652108, 0.00165645, 0.001079574, -0.0008266089, -0.001665074, -9.815375, 0, 0, 30.65379, 1, 1, 760, 800
 101454402, 0, 0.001425241, 0.001445192, 0.001412441, 0.000408277, -0.001372036, -9.817727, 0, 0, 30.65571, 1, 1, 1000, 1000
 101454402, 1, 0.001774345, 0.001378836, 0.001508197, -0.001854391, -0.000922775, -9.817409, 0, 0, 30.65571, 1, 1, 760, 800
 101494386, 0, 0.001491624, 0.001411249, 0.001494055, -0.000767571, -0.0004446021, -9.818143, 0, 0, 30.65762, 1, 1, 1000, 1000
 101494386, 1, 0.001271724, 0.001637813, 0.00136079, -0.002534733, 0.0001277064, -9.817694, 0, 0, 30.65762, 1, 1, 760, 800
 101534370, 0, 0.00144511, 0.001438216, 0.001428262, -0.000939795, -0.0009884048, -9.817186, 0, 0, 30.65953, 1, 1, 1000, 1000
 101534370, 1, 0.001251477, 0.001535734, 0.001562113, -0.001409291, 0.0007643249, -9.817577, 0, 0, 30.65953, 1, 1, 760, 800
 101574354, 0, 0.001469206, 0.001465417, 0.001462302, -0.0004736127, -0.0006197563, -9.817497, 0, 0, 30.66144, 1, 1, 1000, 1000
 101574354, 1, 0.001655443, 0.001353861, 0.001447415, -0.002960296, -0.001940048, -9.818151, 0, 0, 30.66144, 1, 1, 760, 800
 101614338, 0, 0.001412789, 0.001452483, 0.001474393, -0.001914905, -0.001769864, -9.817318, 0, 0, 30.66335, 1, 1, 1000, 1000
 101614338, 1, 0.001430107, 0.001678501, 0.001466385, -0.0003460143, 7.400499E-05, -9.818614, 0, 0, 30.66335, 1, 1, 760, 800
 101654322, 0, 0.001460223, 0.001453374, 0.001440705, -0.001033974, -0.0002219244, -9.81868, 0, 0, 30.66526, 1, 1, 1000, 1000
 101654322, 1, 0.001212994, 0.001398973, 0.001507065, -0.001680227, 0.001336567, -9.818786, 0, 0, 30.66526, 1, 1, 760, 800
 101694306, 0, 0.001424052, 0.001436066, 0.001422541, -0.001023375, -0.0004186689, -9.817503, 0, 0, 30.66718, 1, 1, 1000, 1000
 101694306, 1, 0.001412889, 0.001605038, 0.001281032, -0.002179768, 0.0005433403, -9.815395, 0, 0, 30.66718, 1, 1, 760, 800
 101734290, 0, 0.001443012, 0.001437531, 0.001511013, -0.001158501, -0.001056849, -9.81603, 0, 0, 30.66909, 1, 1, 1000, 1000
 101734290, 1, 0.001488396, 0.001773086, 0.001553547, -0.00173093, -0.001639276, -9.819229, 0, 0, 30.66909, 1, 1, 760, 800
 101774274, 0, 0.001425084, 0.001488282, 0.001404176, -0.0008493779, -0.00175582, -9.817368, 0, 0, 30.671, 1, 1, 1000, 1000
 101774274, 1, 0.001539618, 0.001519315, 0.001451549, -0.0009317383, -0.001345831, -9.819139, 0, 0, 30.671, 1, 1, 760, 800
 101814258, 0, 0.001550668, 0.001371191, 0.001440386, -0.001874903, -0.0009036832, -9.81765, 0, 0, 30.67291, 1, 1, 1000, 1000
 101814258, 1, 0.00183232, 0.001372706, 0.001540166, 0.001514291, -0.001638488, -9.817039, 0, 0, 30.67291, 1, 1, 760, 800
 101854242, 0, 0.001416983, 0.001382673, 0.001464676, -0.00200694, -0.001840482, -9.817249, 0, 0, 30.67482, 1, 1, 1000, 1000
 101854242, 1, 0.00147805, 0.001370392, 0.001401612, -0.002428818, -0.002787803, -9.816847, 0, 0, 30.67482, 1, 1, 760, 800
 101894226, 0, 0.001506356, 0.001535176, 0.00154458, -0.001371021, -0.001322908, -9.817589, 0, 0, 30.67673, 1, 1, 1000, 1000
 101894226, 1, 0.001600727, 0.001451459, 0.001482639, 0.0009166188, -0.003847563, -9.817675, 0, 0, 30.67673, 1, 1, 760, 800
 101934210, 0, 0.001377586, 0.001438226, 0.001390953, -0.00149386, -0.001035856, -9.81832, 0, 0, 30.67864, 1, 1, 1000, 1000
 101934210, 1, 0.00135515, 0.001373602, 0.001576126, -0.001815864, 0.000576088, -9.818544, 0, 0, 30.67864, 1, 1, 760, 800
 101974194, 0, 0.001416696, 0.001446103, 0.00151969, -0.0002607832, -0.001467069, -9.817113, 0, 0, 30.68055, 1, 1, 1000, 1000
 101974194, 1, 0.001504172, 0.001589358, 0.001506817, -0.002500887, -0.0001847501, -9.815071, 0, 0, 30.68055, 1, 1, 760, 800
 102014178, 0, 0.001464339, 0.001492791, 0.00156241, -0.0005404092, -0.0004940691, -9.818037, 0, 0, 30.68246, 1, 1, 1000, 1000
 102014178, 1, 0.001375184, 0.001354336, 0.001601748, 0.000186744, 6.428482E-05, -9.819209, 0, 0, 30.68246, 1, 1, 760, 800
