Time,MAG_I,MAG_MagX,MAG_MagY,MAG_MagZ,MAG_OfsX,MAG_OfsY,MAG_OfsZ,MAG_MOX,MAG_MOY,MAG_MOZ,MAG_Health,MAG_S
 101194506, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101194506
 101194506, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101194506
 101194506, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101194506
 101294466, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101294466
 101294466, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101294466
 101294466, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101294466
 101394426, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101394426
 101394426, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101394426
 101394426, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101394426
 101494386, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101494386
 101494386, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101494386
 101494386, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101494386
 101594346, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101594346
 101594346, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101594346
 101594346, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101594346
 101694306, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101694306
 101694306, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101694306
 101694306, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101694306
 101794266, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101794266
 101794266, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101794266
 101794266, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101794266
 101894226, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101894226
 101894226, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101894226
 101894226, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101894226
 101994186, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101994186
 101994186, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101994186
 101994186, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 101994186
 102094146, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102094146
 102094146, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102094146
 102094146, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102094146
 102194106, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102194106
 102194106, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102194106
 102194106, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102194106
 102294066, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102294066
 102294066, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102294066
 102294066, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102294066
 102394026, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102394026
 102394026, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102394026
 102394026, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102394026
 102493986, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102493986
 102493986, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102493986
 102493986, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102493986
 102593946, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102593946
 102593946, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102593946
 102593946, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102593946
 102693906, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102693906
 102693906, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102693906
 102693906, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102693906
 102793866, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102793866
 102793866, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102793866
 102793866, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102793866
 102893826, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 102893826
