Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 101306961, 0, 10627, 411, 0, 6, 0, 0
 102309060, 0, 10689, 415, 0, 6, 0, 0
 103311992, 0, 10773, 418, 0, 6, 0, 0
 104314091, 0, 10836, 421, 0, 6, 0, 0
 105317023, 0, 10876, 425, 0, 6, 0, 0
 106319122, 0, 10986, 429, 0, 6, 0, 0
 107321221, 0, 11095, 432, 0, 6, 0, 0
 108324153, 0, 11206, 435, 0, 6, 0, 0
 109326252, 0, 11315, 438, 0, 6, 0, 0
 110329184, 0, 11428, 444, 0, 6, 0, 0
 111331283, 0, 11537, 447, 0, 6, 0, 0
 112334215, 0, 11646, 450, 0, 6, 0, 0
 113336314, 0, 11782, 453, 0, 6, 0, 0
 114339246, 0, 11891, 456, 0, 6, 0, 0
 115341345, 0, 12000, 459, 0, 6, 0, 0
 116344277, 0, 12109, 462, 0, 6, 0, 0
 117346376, 0, 12218, 465, 0, 6, 0, 0
 118349308, 0, 12327, 468, 0, 6, 0, 0
 119351407, 0, 12390, 481, 0, 6, 0, 0
 120354339, 0, 12454, 487, 0, 6, 0, 0
 121356438, 0, 12563, 490, 0, 6, 0, 0
 122359370, 0, 12674, 493, 0, 6, 0, 0
 123361469, 0, 12783, 496, 0, 6, 0, 0
 124364401, 0, 12892, 499, 0, 6, 0, 0
 125366500, 0, 13001, 502, 0, 6, 0, 0
 126369432, 0, 13110, 505, 0, 6, 0, 0
 127371531, 0, 13219, 508, 0, 6, 0, 0
 128374463, 0, 13328, 511, 0, 6, 0, 0
 129376562, 0, 13443, 514, 0, 6, 0, 0
 130379494, 0, 13557, 519, 0, 6, 0, 0
 131381593, 0, 13670, 522, 0, 6, 0, 0
 132382026, 0, 13783, 525, 0, 6, 0, 0
 133384125, 0, 13872, 542, 0, 6, 0, 0
 134386224, 0, 13937, 545, 0, 6, 0, 0
 135389156, 0, 14002, 549, 0, 6, 0, 0
 136391255, 0, 14115, 552, 0, 6, 0, 0
 137394187, 0, 14228, 555, 0, 6, 0, 0
 138396286, 0, 14341, 558, 0, 6, 0, 0
 139399218, 0, 14454, 561, 0, 6, 0, 0
 140401317, 0, 14568, 566, 0, 6, 0, 0
 141404249, 0, 14681, 569, 0, 6, 0, 0
 142406348, 0, 14794, 572, 0, 6, 0, 0
 143409280, 0, 14907, 575, 0, 6, 0, 0
 144411379, 0, 15020, 578, 0, 6, 0, 0
 145414311, 0, 15133, 581, 0, 6, 0, 0
 146416410, 0, 15246, 584, 0, 6, 0, 0
