Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 101194506, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101294466, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101394426, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101494386, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101594346, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101694306, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101794266, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101894226, 0.9728535, 0.9834396, 1, 0.03441582, 2
 101994186, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102094146, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102194106, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102294066, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102394026, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102493986, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102593946, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102693906, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102793866, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102893826, 0.9728535, 0.9834396, 1, 0.03441582, 2
 102993786, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103093746, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103193706, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103294499, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103394459, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103494419, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103594379, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103694339, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103794299, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103894259, 0.9728535, 0.9834396, 1, 0.03441582, 2
 103994219, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104094179, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104194139, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104294099, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104394059, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104494019, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104593979, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104693939, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104793899, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104893859, 0.9728535, 0.9834396, 1, 0.03441582, 2
 104993819, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105093779, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105193739, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105293699, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105394492, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105494452, 0.9728535, 0.9834396, 1, 0.03441582, 2
 105594412, 0.9728535, 0.9834396, 1, 0.1063332, 2
 105694372, 0.9728535, 0.9834396, 1, 0.1950921, 2
 105794332, 0.9728535, 0.9834396, 1, 0.2290429, 2
