Time,PSCD_TPD,PSCD_PD,PSCD_DVD,PSCD_TVD,PSCD_VD,PSCD_DAD,PSCD_TAD,PSCD_AD
 101194506, 0.02744795, 0.02744795, 1.024082E-06, 1.024082E-06, 1.024082E-06, 0.0004720688, 0.0004720688, 0.0004720688
 101294466, 0.0274423, 0.0274423, -1.48872E-05, -1.48872E-05, -1.48872E-05, 0.0002565384, 0.0002565384, 0.0002565384
 101394426, 0.02743546, 0.02743546, -3.632096E-05, -3.632096E-05, -3.632096E-05, -0.0001735687, -0.0001735687, -0.0001735687
 101494386, 0.02742562, 0.02742562, -8.872452E-05, -8.872452E-05, -8.872452E-05, -0.0006437302, -0.0006437302, -0.0006437302
 101594346, 0.02741689, 0.02741689, -4.152472E-05, -4.152472E-05, -4.152472E-05, 0.0008964539, 0.0008964539, 0.0008964539
 101694306, 0.02741477, 0.02741477, -4.472866E-05, -4.472866E-05, -4.472866E-05, -1.335144E-05, -1.335144E-05, -1.335144E-05
 101794266, 0.02741392, 0.02741392, -3.504E-05, -3.504E-05, -3.504E-05, -0.001213074, -0.001213074, -0.001213074
 101894226, 0.02741308, 0.02741308, -3.768407E-05, -3.768407E-05, -3.768407E-05, -0.0001106262, -0.0001106262, -0.0001106262
 101994186, 0.02741032, 0.02741032, -3.447613E-05, -3.447613E-05, -3.447613E-05, 0.0007314682, 0.0007314682, 0.0007314682
 102094146, 0.02740604, 0.02740604, -8.655866E-05, -8.655866E-05, -8.655866E-05, -0.001132011, -0.001132011, -0.001132011
 102194106, 0.02739857, 0.02739857, -8.069952E-05, -8.069952E-05, -8.069952E-05, 0.0002670288, 0.0002670288, 0.0002670288
 102294066, 0.027395, 0.027395, -9.677709E-05, -9.677709E-05, -9.677709E-05, -0.0014925, -0.0014925, -0.0014925
 102394026, 0.02738668, 0.02738668, -0.0001131899, -0.0001131899, -0.0001131899, 0.0002889633, 0.0002889633, 0.0002889633
 102493986, 0.02737992, 0.02737992, -0.000147138, -0.000147138, -0.000147138, 0.0001440048, 0.0001440048, 0.0001440048
 102593946, 0.02736872, 0.02736872, -0.0001694655, -0.0001694655, -0.0001694655, -0.0003461838, -0.0003461838, -0.0003461838
 102693906, 0.02736318, 0.02736318, -0.0001189745, -0.0001189745, -0.0001189745, 0.0009670258, 0.0009670258, 0.0009670258
 102793866, 0.02735841, 0.02735841, -8.947545E-05, -8.947545E-05, -8.947545E-05, 0.0005559921, 0.0005559921, 0.0005559921
 102893826, 0.02735976, 0.02735976, -7.531736E-05, -7.531736E-05, -7.531736E-05, -0.0005474091, -0.0005474091, -0.0005474091
 102993786, 0.02735938, 0.02735938, -8.531541E-05, -8.531541E-05, -8.531541E-05, -0.0002441406, -0.0002441406, -0.0002441406
 103093746, 0.02735461, 0.02735461, -0.0001648179, -0.0001648179, -0.0001648179, -0.001591682, -0.001591682, -0.001591682
 103193706, 0.02734294, 0.02734294, -0.0001534964, -0.0001534964, -0.0001534964, 0.0005645752, 0.0005645752, 0.0005645752
