Time,PSCE_TPE,PSCE_PE,PSCE_DVE,PSCE_TVE,PSCE_VE,PSCE_DAE,PSCE_TAE,PSCE_AE
 101194506, 0.01332044, 0.01332044, 0.01673668, 0.01673668, 0.01673668, 0, -3.236919E-06, -3.287496E-06
 101294466, 0.01299881, 0.01299881, 0.01644428, 0.01644428, 0.01644428, 0, -3.237053E-06, -3.287632E-06
 101394426, 0.01330282, 0.01330282, 0.01654974, 0.01654974, 0.01654974, 0, -3.237152E-06, -3.287733E-06
 101494386, 0.0129454, 0.0129454, 0.01590073, 0.01590073, 0.01590073, 0, -3.237214E-06, -3.287796E-06
 101594346, 0.01316108, 0.01316108, 0.01574079, 0.01574079, 0.01574079, 0, -3.23727E-06, -3.287853E-06
 101694306, 0.01269476, 0.01269476, 0.01466055, 0.01466055, 0.01466055, 0, -3.237326E-06, -3.28791E-06
 101794266, 0.01273412, 0.01273412, 0.01405816, 0.01405816, 0.01405816, 0, -3.2374E-06, -3.287985E-06
 101894226, 0.01208952, 0.01208952, 0.01249123, 0.01249123, 0.01249123, 0, -3.237487E-06, -3.288073E-06
 101994186, 0.01188378, 0.01188378, 0.01149447, 0.01149447, 0.01149447, 0, -3.237558E-06, -3.288144E-06
 102094146, 0.01105099, 0.01105099, 0.009689203, 0.009689203, 0.009689203, 0, -3.237637E-06, -3.288225E-06
 102194106, 0.01060453, 0.01060453, 0.008517778, 0.008517778, 0.008517778, 0, -3.237702E-06, -3.288291E-06
 102294066, 0.00964631, 0.00964631, 0.006695007, 0.006695007, 0.006695007, 0, -3.237785E-06, -3.288375E-06
 102394026, 0.009047, 0.009047, 0.005479687, 0.005479687, 0.005479687, 0, -3.237865E-06, -3.288456E-06
 102493986, 0.008050486, 0.008050486, 0.003924235, 0.003924235, 0.003924235, 0, -3.237921E-06, -3.288514E-06
 102593946, 0.007386549, 0.007386549, 0.002810596, 0.002810596, 0.002810596, 0, -3.237999E-06, -3.288593E-06
 102693906, 0.006432102, 0.006432102, 0.001543929, 0.001543929, 0.001543929, 0, -3.238072E-06, -3.288667E-06
 102793866, 0.005778632, 0.005778632, 0.000693103, 0.000693103, 0.000693103, 0, -3.238155E-06, -3.288751E-06
 102893826, 0.004937634, 0.004937634, -0.0002027036, -0.0002027036, -0.0002027036, 0, -3.23823E-06, -3.288828E-06
 102993786, 0.00436417, 0.00436417, -0.0007625144, -0.0007625144, -0.0007625144, 0, -3.238313E-06, -3.288911E-06
 103093746, 0.0036671, 0.0036671, -0.001351814, -0.001351814, -0.001351814, 0, -3.238392E-06, -3.288992E-06
 103193706, 0.003204432, 0.003204432, -0.001643516, -0.001643516, -0.001643516, 0, -3.238447E-06, -3.289047E-06
 103294499, 0.00265004, 0.00265004, -0.002015411, -0.002015411, -0.002015411, 0, -3.238533E-06, -3.289135E-06
 103394459, 0.002294972, 0.002294972, -0.002157389, -0.002157389, -0.002157389, 0, -3.238603E-06, -3.289206E-06
 103494419, 0.001875162, 0.001875162, -0.002315173, -0.002315173, -0.002315173, 0, -3.238679E-06, -3.289283E-06
 103594379, 0.001616927, 0.001616927, -0.002313771, -0.002313771, -0.002313771, 0, -3.238762E-06, -3.289368E-06
 103694339, 0.001303892, 0.001303892, -0.002298313, -0.002298313, -0.002298313, 0, -3.238848E-06, -3.289455E-06
 103794299, 0.001131446, 0.001131446, -0.002226102, -0.002226102, -0.002226102, 0, -3.238931E-06, -3.28954E-06
 103894259, 0.0009063603, 0.0009063603, -0.002072703, -0.002072703, -0.002072703, 0, -3.239011E-06, -3.289621E-06
 103994219, 0.0008068416, 0.0008068416, -0.001931083, -0.001931083, -0.001931083, 0, -3.239089E-06, -3.2897E-06
 104094179, 0.0006510777, 0.0006510777, -0.001718075, -0.001718075, -0.001718075, 0, -3.239199E-06, -3.289812E-06
 104194139, 0.0006103777, 0.0006103777, -0.001458715, -0.001458715, -0.001458715, 0, -3.23931E-06, -3.289924E-06
 104294099, 0.0005088306, 0.0005088306, -0.001310039, -0.001310039, -0.001310039, 0, -3.239388E-06, -3.290004E-06
 104394059, 0.0005079742, 0.0005079742, -0.001059559, -0.001059559, -0.001059559, 0, -3.2395E-06, -3.290117E-06
 104494019, 0.0004411053, 0.0004411053, -0.0008322984, -0.0008322984, -0.0008322984, 0, -3.239605E-06, -3.290224E-06
 104593979, 0.0004777003, 0.0004777003, -0.0004877233, -0.0004877233, -0.0004877233, 0, -3.239693E-06, -3.290313E-06
 104693939, 0.0004569986, 0.0004569986, -0.0002216565, -0.0002216565, -0.0002216565, 0, -3.239783E-06, -3.290405E-06
 104793899, 0.0005423678, 0.0005423678, 0.0001947918, 0.0001947918, 0.0001947918, 0, -3.239887E-06, -3.29051E-06
 104893859, 0.00054826, 0.00054826, 0.0005067743, 0.0005067743, 0.0005067743, 0, -3.24001E-06, -3.290636E-06
 104993819, 0.0006663449, 0.0006663449, 0.0009378547, 0.0009378547, 0.0009378547, 0, -3.240119E-06, -3.290746E-06
 105093779, 0.00069353, 0.00069353, 0.001242561, 0.001242561, 0.001242561, 0, -3.240214E-06, -3.290842E-06
 105193739, 0.000838708, 0.000838708, 0.001648644, 0.001648644, 0.001648644, 0, -3.240304E-06, -3.290934E-06
 105293699, 0.0008784629, 0.0008784629, 0.001984657, 0.001984657, 0.001984657, 0, -3.240408E-06, -3.29104E-06
 105394492, 0.001054935, 0.001054935, 0.002451323, 0.002451323, 0.002451323, 0, -3.240525E-06, -3.291158E-06
 105494452, 0.001113698, 0.001113698, 0.002804801, 0.002804801, 0.002804801, 0, -3.240634E-06, -3.291269E-06
 105594412, 0.001364155, 0.001317253, 0.002433714, 0.002480615, 0.003293159, -0.004867427, -0.009439775, -0.003202426
 105694372, 0.00158468, 0.001390455, 0.001991557, 0.002185782, 0.003608635, -0.003983113, -0.009819759, -0.006449169
 105794332, 0.001765141, 0.001622461, 0.001629731, 0.001772411, 0.004145211, -0.003259462, -0.01213821, -0.008628859
 105894292, 0.001912815, 0.00170962, 0.001333641, 0.001536837, 0.004529155, -0.002667283, -0.01222473, -0.009930379
 105994252, 0.00203366, 0.001973262, 0.001091345, 0.001151744, 0.005004337, -0.00218269, -0.01436449, -0.01138554
 106094212, 0.00213255, 0.002068916, 0.0008930695, 0.0009567037, 0.005402794, -0.001786139, -0.01475576, -0.01270365
 106194172, 0.002213474, 0.002363229, 0.0007308169, 0.0005810615, 0.005938537, -0.001461634, -0.01762615, -0.01445372
 106294132, 0.002279695, 0.002466588, 0.0005980422, 0.00041115, 0.006317474, -0.001196084, -0.01796524, -0.01549435
 106394092, 0.002333886, 0.002801982, 0.0004893899, 2.129376E-05, 0.007110309, -0.0009787799, -0.02269117, -0.01783749
 106494052, 0.002378231, 0.002959321, 0.0004004778, -0.0001806124, 0.007858753, -0.0008009555, -0.02475597, -0.02071478
 106594012, 0.002414519, 0.0033901, 0.000327719, -0.0006478618, 0.008747785, -0.0006554381, -0.029465, -0.02388012
 106693972, 0.002444215, 0.003592614, 0.000268179, -0.0008802199, 0.009397203, -0.000536358, -0.03072335, -0.02687954
 106793932, 0.002468515, 0.004089118, 0.0002194563, -0.001401147, 0.009751135, -0.0004389126, -0.03334852, -0.02985847
 106893892, 0.002488401, 0.004097954, 0.0001795855, -0.001429968, 0.006814249, -0.0003591709, -0.01466667, -0.02694592
 106993852, 0.002504673, 0.003989622, 0.0001469584, -0.001337991, 0.002592928, -0.0002939168, 0.00121794, -0.01658006
 107093812, 0.00251799, 0.003001127, 0.000120259, -0.0003628781, -0.002601978, -0.000240518, 0.02114312, -0.002492942
 107193772, 0.002528887, 0.001801283, 9.841036E-05, 0.0008260144, -0.007205152, -0.0001968207, 0.03338153, 0.01267355
 107293732, 0.002537804, -0.0001896504, 8.053118E-05, 0.002807986, -0.01090481, -0.0001610624, 0.04496081, 0.02615986
 107394525, 0.002545101, -0.002162092, 6.590027E-05, 0.004773093, -0.01279713, -0.0001318005, 0.04752672, 0.03630773
 107494485, 0.002551073, -0.00486098, 5.392752E-05, 0.00746598, -0.01373114, -0.000107855, 0.05446528, 0.0437954
 107594445, 0.002555959, -0.007192997, 4.412996E-05, 0.009793086, -0.01332901, -8.825993E-05, 0.05431716, 0.04917122
 107694405, 0.002559958, -0.009896967, 3.611243E-05, 0.01249304, -0.01262794, -7.222487E-05, 0.05949712, 0.05325047
 107794365, 0.00256323, -0.01209103, 2.955153E-05, 0.01468381, -0.01107359, -5.910306E-05, 0.05843959, 0.05617223
 107894325, 0.002565908, -0.01474718, 2.418261E-05, 0.01733727, -0.009606043, -4.836523E-05, 0.06435074, 0.05904399
 107994285, 0.002568099, -0.01676263, 1.978913E-05, 0.01935052, -0.007371507, -3.957826E-05, 0.06195571, 0.06066781
 108094245, 0.002569892, -0.018974, 1.619384E-05, 0.02156009, -0.005271203, -3.238768E-05, 0.0649757, 0.0624514
 108194205, 0.00257136, -0.02050004, 1.325175E-05, 0.02308465, -0.002588314, -2.650349E-05, 0.06103933, 0.06286955
