Time,RATE_RDes,RATE_R,RATE_ROut,RATE_PDes,RATE_P,RATE_POut,RATE_YDes,RATE_Y,RATE_YOut,RATE_ADes,RATE_A,RATE_AOut
 101194506, -0.3252819, 0.0177806, -0.0007943684, -0.2765819, 0.01459955, -0.0006947442, 0.0001735353, 0.04018178, -6.542739E-05, -0.04720688, -0.04720688, 0
 101294466, -0.3255279, 0.02169155, -0.0008250942, -0.2762921, 0.01480076, -0.0006761815, 0.0001701714, 0.04344722, -6.594651E-05, -0.02565384, -0.02565384, 0
 101394426, -0.3254454, 0.01950617, -0.0008136781, -0.2763893, 0.01688913, -0.0006975326, 0.000171373, 0.04248606, -6.513354E-05, 0.01735687, 0.01735687, 0
 101494386, -0.3189456, 0.02133127, -0.0008090027, -0.2695431, 0.01359687, -0.0006527036, 0.0001696898, 0.04288059, -6.160007E-05, 0.06437302, 0.06437302, 0
 101594346, -0.3258597, 0.02102121, -0.0008296187, -0.2759003, 0.01644496, -0.0006987987, 0.0001716127, 0.04054749, -6.221219E-05, -0.08964539, -0.08964539, 0
 101694306, -0.3258458, 0.01735395, -0.0008137609, -0.2759167, 0.01491328, -0.0006752118, 0.0001701711, 0.03867265, -6.156639E-05, 0.001335144, 0.001335144, 0
 101794266, -0.3259123, 0.02062213, -0.0008390753, -0.275838, 0.0154034, -0.0006812181, 0.0001728158, 0.03936124, -6.233958E-05, 0.1213074, 0.1213074, 0
 101894226, -0.3266625, 0.02198414, -0.0008358146, -0.2749482, 0.02050669, -0.0007152071, 0.0001744981, 0.04554826, -6.559249E-05, 0.01106262, 0.01106262, 0
 101994186, -0.3262863, 0.01971367, -0.0008314339, -0.275395, 0.01889582, -0.0006944599, 0.0001769032, 0.045157, -6.419424E-05, -0.07314682, -0.07314682, 0
 102094146, -0.3329015, 0.02296995, -0.0008499483, -0.2817934, 0.01571306, -0.0006980055, 0.0001812289, 0.04397002, -6.325787E-05, 0.1132011, 0.1132011, 0
 102194106, -0.3394312, 0.02604759, -0.0008922744, -0.2879984, 0.02101257, -0.000741613, 0.0002088505, 0.04293151, -6.305335E-05, -0.02670288, -0.02670288, 0
 102294066, -0.3396949, 0.017852, -0.0008421582, -0.2876869, 0.01533267, -0.0007224939, 0.0001925277, 0.04081818, -6.342658E-05, 0.14925, 0.14925, 0
 102394026, -0.3462481, 0.01895698, -0.0008522001, -0.2935886, 0.01851115, -0.0007440628, 0.0002038218, 0.03962485, -6.433622E-05, -0.02889633, -0.02889633, 0
 102493986, -0.3523721, 0.02229228, -0.0008924098, -0.299736, 0.01858669, -0.0007594712, 0.0002076712, 0.0397956, -6.147338E-05, -0.01440048, -0.01440048, 0
 102593946, -0.3581209, 0.02009751, -0.0008895435, -0.3060772, 0.01586542, -0.0007633272, 0.000215123, 0.0429171, -6.397666E-05, 0.03461838, 0.03461838, 0
 102693906, -0.3647128, 0.02153483, -0.000898045, -0.311197, 0.01170228, -0.0007604948, 0.0002223349, 0.04137745, -6.238811E-05, -0.09670258, -0.09670258, 0
 102793866, -0.376136, 0.01752069, -0.0009173431, -0.3228502, 0.01727294, -0.0007910747, 0.0002317084, 0.03858241, -6.460233E-05, -0.05559921, -0.05559921, 0
 102893826, -0.3821035, 0.01991446, -0.0009445139, -0.3280745, 0.01405206, -0.0008064418, 0.0002413225, 0.03883832, -6.221788E-05, 0.05474091, 0.05474091, 0
 102993786, -0.3870605, 0.02039152, -0.000946889, -0.3342847, 0.01895978, -0.0008273691, 0.0002432535, 0.04045916, -6.386662E-05, 0.02441406, 0.02441406, 0
 103093746, -0.3919492, 0.02007847, -0.0009821581, -0.3403883, 0.01651596, -0.0008363761, 0.0002389407, 0.03833553, -6.314098E-05, 0.1591682, 0.1591682, 0
 103193706, -0.4027554, 0.01976144, -0.001003337, -0.3508953, 0.01716557, -0.000875769, 0.0002732887, 0.0399253, -6.058871E-05, -0.05645752, -0.05645752, 0
 103294499, -0.4085721, 0.02402989, -0.001031125, -0.3554341, 0.01634417, -0.0008783622, 0.0002841041, 0.04172832, -6.421186E-05, 0.08201599, 0.08201599, 0
 103394459, -0.4188721, 0.02127375, -0.001041135, -0.365598, 0.01788909, -0.0008908109, 0.0002946802, 0.04017881, -6.168947E-05, -0.08544922, -0.08544922, 0
 103494419, -0.4237248, 0.01793684, -0.001031223, -0.3708083, 0.01583359, -0.0009095097, 0.0003064559, 0.03953087, -6.440335E-05, -0.02756119, -0.02756119, 0
 103594379, -0.4333363, 0.02131171, -0.001082783, -0.3809363, 0.02165581, -0.0009590004, 0.0003191927, 0.04217004, -6.397812E-05, -0.01001358, -0.01001358, 0
 103694339, -0.4384695, 0.02253133, -0.001097338, -0.3854382, 0.01476642, -0.0009487742, 0.0003312093, 0.03988597, -6.268203E-05, -0.01850128, -0.01850128, 0
 103794299, -0.447948, 0.01875496, -0.00110791, -0.3949834, 0.01829127, -0.0009709413, 0.0003434656, 0.03846333, -6.214341E-05, -0.0582695, -0.0582695, 0
 103894259, -0.4564741, 0.02004273, -0.00113343, -0.4051571, 0.02227598, -0.001020719, 0.000357163, 0.04117377, -6.221305E-05, -0.1131058, -0.1131058, 0
 103994219, -0.4654134, 0.02395309, -0.00116582, -0.4144421, 0.01981741, -0.00101784, 0.0003703803, 0.04281026, -6.264788E-05, -0.07400513, -0.07400513, 0
 104094179, -0.469657, 0.02124267, -0.001157601, -0.4191897, 0.02035523, -0.001061233, 0.0003831166, 0.04109618, -6.573534E-05, 0.00743866, 0.00743866, 0
 104194139, -0.4786056, 0.02121369, -0.001182185, -0.4278844, 0.01838615, -0.001056983, 0.0003975348, 0.04735905, -6.779919E-05, -0.01296997, -0.01296997, 0
 104294099, -0.487302, 0.02152382, -0.001200946, -0.4365044, 0.01796787, -0.001089614, 0.0004114725, 0.04214775, -6.373126E-05, -0.02527237, -0.02527237, 0
 104394059, -0.4957891, 0.01798782, -0.001198397, -0.4450207, 0.0148414, -0.001082616, 0.0004218078, 0.04134426, -6.643914E-05, -0.08468628, -0.08468628, 0
