Time,TERR_Status,TERR_Lat,TERR_Lng,TERR_Spacing,TERR_TerrH,TERR_CHeight,TERR_Pending,TERR_Loaded,TERR_ROfs
 101294466, 2, 33.6216407, 72.9556851, 100, 558.07, 0.0025577, 0, 336, 5.066277
 102294066, 2, 33.6216407, 72.9556851, 100, 558.07, 0.002605004, 0, 336, 5.066277
 103294499, 2, 33.6216407, 72.9556851, 100, 558.07, 0.002664264, 0, 336, 5.066277
 104294099, 2, 33.6216407, 72.9556851, 100, 558.07, 0.002675278, 0, 336, 5.066277
 105293699, 2, 33.6216407, 72.9556851, 100, 558.07, 0.002697844, 0, 336, 5.066277
 106294132, 2, 33.6216407, 72.9556851, 100, 558.07, 0.002704842, 0, 336, 5.066277
 107293732, 2, 33.6216408, 72.955685, 100, 558.0701, 1.020891, 0, 336, 5.066277
 108294165, 2, 33.6216409, 72.9556848, 100, 558.0702, 3.485417, 0, 336, 5.066277
 109293765, 2, 33.621641, 72.9556847, 100, 558.0704, 6.134166, 0, 336, 5.066277
 110294198, 2, 33.621641, 72.9556847, 100, 558.0704, 8.66958, 0, 336, 5.066277
 111293798, 2, 33.621641, 72.9556848, 100, 558.0704, 11.20844, 0, 336, 5.066277
 112294231, 2, 33.621641, 72.9556848, 100, 558.0704, 13.70339, 0, 336, 5.066277
 113293831, 2, 33.6216409, 72.9556849, 100, 558.0701, 16.1916, 0, 336, 5.066277
 114294264, 2, 33.6216409, 72.9556849, 100, 558.0701, 18.69639, 0, 336, 5.066277
 115293864, 2, 33.6216409, 72.9556849, 100, 558.0701, 21.19771, 0, 336, 5.066277
 116294297, 2, 33.621641, 72.9556848, 100, 558.0704, 23.69419, 0, 336, 5.066277
 117293897, 2, 33.621641, 72.9556847, 100, 558.0704, 26.21756, 0, 336, 5.066277
 118294330, 2, 33.6216411, 72.9556847, 100, 558.0704, 28.70655, 0, 336, 5.066277
 119293930, 2, 33.6216411, 72.9556847, 100, 558.0704, 31.18039, 0, 336, 5.066277
 120294363, 2, 33.6216411, 72.9556847, 100, 558.0704, 33.67649, 0, 336, 5.066277
 121293963, 2, 33.6216411, 72.9556847, 100, 558.0704, 36.17896, 0, 336, 5.066277
 122294396, 2, 33.6216411, 72.9556847, 100, 558.0704, 38.67683, 0, 336, 5.066277
 123293996, 2, 33.621641, 72.9556847, 100, 558.0704, 41.16159, 0, 336, 5.066277
 124294429, 2, 33.621641, 72.9556847, 100, 558.0704, 43.66407, 0, 336, 5.066277
 125294029, 2, 33.621641, 72.9556847, 100, 558.0704, 46.02338, 0, 336, 5.066277
 126294462, 2, 33.621641, 72.9556847, 100, 558.0704, 47.86559, 0, 336, 5.066277
 127294062, 2, 33.621641, 72.9556847, 100, 558.0704, 49.14156, 0, 336, 5.066277
 128294495, 2, 33.621641, 72.9556847, 100, 558.0704, 49.86941, 0, 336, 5.066277
 129294095, 2, 33.6216411, 72.9556848, 100, 558.0704, 49.98914, 0, 336, 5.066277
 130294528, 2, 33.6216451, 72.9556854, 100, 558.0756, 50.18499, 0, 336, 5.066277
 131294128, 2, 33.6216591, 72.9556878, 100, 558.0935, 51.02025, 0, 336, 5.066277
 132293728, 2, 33.6216869, 72.9556931, 100, 558.1294, 52.69946, 0, 336, 5.066277
 133294161, 2, 33.621724, 72.9557001, 100, 558.1783, 54.93998, 0, 336, 5.066277
 134293761, 2, 33.6217647, 72.9557073, 100, 558.2329, 57.33904, 0, 336, 5.066277
 135294194, 2, 33.6218065, 72.9557147, 100, 558.2903, 59.73279, 0, 336, 5.066277
 136293794, 2, 33.621849, 72.9557223, 100, 558.35, 62.13142, 0, 336, 5.066277
 137294227, 2, 33.6218918, 72.95573, 100, 558.4113, 64.53873, 0, 336, 5.066277
 138293827, 2, 33.6219344, 72.9557377, 100, 558.4738, 66.94975, 0, 336, 5.066277
 139294260, 2, 33.6219769, 72.9557454, 100, 558.5375, 69.36174, 0, 336, 5.066277
 140293860, 2, 33.6220193, 72.9557531, 100, 558.6022, 71.78555, 0, 336, 5.066277
 141294293, 2, 33.6220616, 72.9557608, 100, 558.6683, 74.21761, 0, 336, 5.066277
 142293893, 2, 33.6221039, 72.9557684, 100, 558.7355, 76.6489, 0, 336, 5.066277
 143294326, 2, 33.6221464, 72.9557761, 100, 558.8043, 79.07178, 0, 336, 5.066277
 144293926, 2, 33.6221891, 72.9557838, 100, 558.8749, 81.48908, 0, 336, 5.066277
 145294359, 2, 33.6222316, 72.9557914, 100, 558.9462, 83.91651, 0, 336, 5.066277
 146293959, 2, 33.622274, 72.9557991, 100, 559.0189, 86.3424, 0, 336, 5.066277
 147294392, 2, 33.6223163, 72.9558067, 100, 559.0925, 88.77474, 0, 336, 5.066277
 148293992, 2, 33.6223588, 72.9558144, 100, 559.168, 91.18597, 0, 336, 5.066277
 149294425, 2, 33.6224014, 72.9558221, 100, 559.245, 93.61061, 0, 336, 5.066277
 150294025, 2, 33.6224417, 72.9558294, 100, 559.3191, 95.91445, 0, 336, 5.066277
 151294458, 2, 33.622471, 72.9558357, 100, 559.3751, 97.62479, 0, 336, 5.066277
 152294058, 2, 33.6224758, 72.9558419, 100, 559.3934, 98.21929, 0, 336, 5.066277
 153294491, 2, 33.6224508, 72.9558501, 100, 559.368, 97.83865, 0, 336, 5.066277
 154294091, 2, 33.6224036, 72.9558611, 100, 559.3101, 96.97657, 0, 336, 5.066277
 155294524, 2, 33.6223419, 72.9558762, 100, 559.2324, 95.87174, 0, 336, 5.066277
 156294124, 2, 33.6222707, 72.9558926, 100, 559.1365, 94.62354, 0, 336, 5.066277
 157293724, 2, 33.6221949, 72.955911, 100, 559.03, 93.33421, 0, 336, 5.066277
 158294157, 2, 33.6221173, 72.9559305, 100, 558.9156, 92.05317, 0, 336, 5.066277
 159293757, 2, 33.6220386, 72.9559497, 100, 558.7925, 90.76812, 0, 336, 5.066277
 160294190, 2, 33.6219592, 72.9559695, 100, 558.6621, 89.46704, 0, 336, 5.066277
 161293790, 2, 33.6218795, 72.955989, 100, 558.5244, 88.15202, 0, 336, 5.066277
 162294223, 2, 33.6217997, 72.9560087, 100, 558.3799, 86.82748, 0, 336, 5.066277
 163293823, 2, 33.6217196, 72.9560285, 100, 558.2281, 85.50307, 0, 336, 5.066277
 164294256, 2, 33.6216388, 72.9560484, 100, 558.0684, 84.18316, 0, 336, 5.066277
 165293856, 2, 33.621558, 72.9560684, 100, 557.7867, 82.98109, 0, 336, 5.066277
 166294289, 2, 33.6214772, 72.9560883, 100, 557.5106, 81.76581, 0, 336, 5.066277
 167293889, 2, 33.6213965, 72.9561082, 100, 557.2415, 80.54065, 0, 336, 5.066277
 168294322, 2, 33.6213159, 72.956128, 100, 556.9796, 79.304, 0, 336, 5.066277
 169293922, 2, 33.621235, 72.956148, 100, 556.7234, 78.06911, 56, 448, 5.066277
 170294355, 2, 33.6211539, 72.956168, 100, 556.4733, 76.82086, 0, 504, 5.066277
 171293955, 2, 33.6210729, 72.9561879, 100, 556.2306, 75.56434, 0, 504, 5.066277
 172294388, 2, 33.620992, 72.9562078, 100, 555.9949, 74.23278, 0, 504, 5.066277
 173293988, 2, 33.62091, 72.9562292, 100, 555.7648, 73.63184, 0, 504, 5.066277
 174294421, 2, 33.6208305, 72.9562481, 100, 555.5458, 71.8121, 0, 504, 5.066277
 175294021, 2, 33.6207498, 72.9562672, 100, 555.3296, 70.46952, 0, 504, 5.066277
 176294454, 2, 33.6206686, 72.9562871, 100, 555.3356, 68.96646, 0, 504, 5.066277
 177294054, 2, 33.6205877, 72.9563073, 100, 555.3741, 67.42247, 0, 504, 5.066277
 178294487, 2, 33.6205065, 72.9563275, 100, 555.4125, 65.88338, 0, 504, 5.066277
 179294087, 2, 33.6204255, 72.9563476, 100, 555.4507, 64.34634, 0, 504, 5.066277
 180294520, 2, 33.6203446, 72.9563675, 100, 555.4886, 62.80272, 0, 504, 5.066277
 181299951, 2, 33.6202632, 72.9563875, 100, 555.5266, 61.26251, 0, 504, 5.066277
 182299551, 2, 33.6201825, 72.9564074, 100, 555.5644, 59.72655, 0, 504, 5.066277
 183299984, 2, 33.6201018, 72.9564273, 100, 555.6024, 58.18834, 0, 504, 5.066277
 184299584, 2, 33.6200207, 72.9564473, 100, 555.6403, 56.65393, 0, 504, 5.066277
 185300017, 2, 33.6199421, 72.9564667, 100, 555.6772, 55.16364, 0, 504, 5.066277
 186299617, 2, 33.6198729, 72.9564836, 100, 555.7094, 53.87729, 0, 504, 5.066277
 187299217, 2, 33.6198216, 72.9564945, 100, 555.8134, 52.99045, 0, 504, 5.066277
 188299650, 2, 33.6197889, 72.9564923, 100, 555.9491, 53.31038, 0, 504, 5.066277
 189299250, 2, 33.619808, 72.9564492, 100, 555.7859, 61.50776, 0, 504, 5.066277
 190299683, 2, 33.619813, 72.9564182, 100, 555.7062, 61.66648, 0, 504, 5.066277
 191299283, 2, 33.6197605, 72.956411, 100, 555.9125, 63.08575, 0, 504, 5.066277
 192304714, 2, 33.6197486, 72.9563937, 100, 555.9287, 63.60414, 0, 504, 5.066277
 193304314, 2, 33.6197829, 72.9563612, 100, 555.723, 65.01643, 0, 504, 5.066277
 194304747, 2, 33.6197604, 72.9563347, 100, 555.7646, 65.94481, 0, 504, 5.066277
 195304347, 2, 33.6197454, 72.9562957, 100, 555.7498, 68.11038, 0, 504, 5.066277
 196304780, 2, 33.6197811, 72.9562585, 100, 555.5332, 67.29949, 0, 504, 5.066277
 197304380, 2, 33.6197449, 72.9562591, 100, 555.68, 75.74197, 0, 504, 5.066277
 198304813, 2, 33.6197031, 72.9562679, 100, 555.8665, 74.6403, 0, 504, 5.066277
 199304413, 2, 33.6197462, 72.956252, 100, 555.6609, 77.25547, 0, 504, 5.066277
 200304846, 2, 33.619775, 72.9562236, 100, 555.4901, 74.28416, 0, 504, 5.066277
 201304446, 2, 33.6196972, 72.956229, 100, 555.8119, 82.18115, 0, 504, 5.066277
 202304879, 2, 33.6196379, 72.9562356, 100, 556.063, 80.71037, 0, 504, 5.066277
 203304479, 2, 33.6196729, 72.9562249, 100, 555.901, 83.39423, 0, 504, 5.066277
 204304912, 2, 33.6197184, 72.9561943, 100, 555.6582, 84.10603, 0, 504, 5.066277
 205304512, 2, 33.6197039, 72.9561372, 100, 555.6014, 85.43611, 0, 504, 5.066277
 206304945, 2, 33.6196993, 72.9561213, 100, 555.5873, 86.28912, 0, 504, 5.066277
 207304545, 2, 33.6196792, 72.9561734, 100, 555.7712, 87.05264, 0, 504, 5.066277
 208304978, 2, 33.6196366, 72.9562497, 100, 556.0974, 87.73017, 0, 504, 5.066277
 209304578, 2, 33.6195796, 72.9563292, 100, 556.4965, 88.32611, 0, 504, 5.066277
 210305011, 2, 33.6195151, 72.9564078, 100, 556.9342, 88.82985, 0, 504, 5.066277
 211304611, 2, 33.6194481, 72.9564861, 100, 557.3924, 89.58853, 0, 504, 5.066277
 212304211, 2, 33.6194215, 72.9565351, 100, 557.6184, 90.37022, 0, 504, 5.066277
 213304644, 2, 33.6194563, 72.9565492, 100, 557.5002, 91.64024, 0, 504, 5.066277
 214304244, 2, 33.619515, 72.9565416, 100, 557.2286, 92.84683, 0, 504, 5.066277
 215304677, 2, 33.6195392, 72.9564828, 100, 556.9962, 94.09747, 0, 504, 5.066277
 216304277, 2, 33.619563, 72.9563958, 100, 556.7076, 95.19598, 0, 504, 5.066277
 217304710, 2, 33.6196026, 72.9562971, 100, 556.3343, 96.39062, 0, 504, 5.066277
 218304310, 2, 33.6196252, 72.9561976, 100, 556.0349, 94.22231, 0, 504, 5.066277
 219304743, 2, 33.6196543, 72.9561303, 100, 555.7809, 84.39515, 0, 504, 5.066277
 220304343, 2, 33.619724, 72.9561683, 100, 555.5846, 90.78336, 0, 504, 5.066277
 221304776, 2, 33.6197623, 72.9561651, 100, 555.4274, 88.20439, 0, 504, 5.066277
 222304376, 2, 33.6197951, 72.9561083, 100, 555.1898, 90.45393, 0, 504, 5.066277
 223304809, 2, 33.6198102, 72.956044, 100, 555.0096, 92.93589, 0, 504, 5.066277
 224304409, 2, 33.6197696, 72.9559756, 100, 555.032, 95.67552, 0, 504, 5.066277
 225304842, 2, 33.6197051, 72.9559196, 100, 555.1611, 96.97615, 0, 504, 5.066277
 226304442, 2, 33.6196253, 72.9558642, 100, 555.3394, 97.09013, 0, 504, 5.066277
 227304875, 2, 33.6195439, 72.9558065, 100, 555.5093, 96.43768, 0, 504, 5.066277
 228304475, 2, 33.6194634, 72.9557466, 100, 555.6619, 94.54321, 0, 504, 5.066277
 229304908, 2, 33.6193829, 72.9556829, 100, 555.7952, 92.82437, 0, 504, 5.066277
 230304508, 2, 33.6193018, 72.9556171, 100, 555.9154, 90.97622, 0, 504, 5.066277
 231304941, 2, 33.6192197, 72.9555505, 100, 556.0522, 89.29198, 0, 504, 5.066277
 232304541, 2, 33.6191366, 72.955484, 100, 556.1731, 87.60418, 0, 504, 5.066277
 233304974, 2, 33.6190524, 72.9554182, 100, 556.2648, 86.0292, 0, 504, 5.066277
 234304574, 2, 33.6189754, 72.9553598, 100, 556.3232, 84.66837, 0, 504, 5.066277
 235305007, 2, 33.6189345, 72.955361, 100, 556.4194, 83.09506, 0, 504, 5.066277
 236304607, 2, 33.6189189, 72.9554078, 100, 556.5652, 81.50182, 0, 504, 5.066277
 237305040, 2, 33.6189313, 72.9554437, 100, 556.6542, 79.73314, 0, 504, 5.066277
 238304640, 2, 33.6189754, 72.9554296, 100, 556.5112, 78.57804, 0, 504, 5.066277
 239304240, 2, 33.6190254, 72.955451, 100, 556.4233, 77.19085, 0, 504, 5.066277
