Time,VIBE_IMU,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip
 101194506, 0, 0.002917574, 0.002858859, 0.003053457, 0
 101194506, 1, 0.005712865, 0.005507114, 0.005443844, 0
 101294466, 0, 0.002880028, 0.003014883, 0.002801302, 0
 101294466, 1, 0.005422159, 0.005745929, 0.005733261, 0
 101394426, 0, 0.00274042, 0.002741592, 0.00279668, 0
 101394426, 1, 0.005588671, 0.005228183, 0.0056423, 0
 101494386, 0, 0.0027838, 0.003096389, 0.002785338, 0
 101494386, 1, 0.005535696, 0.005597701, 0.005640626, 0
 101594346, 0, 0.002546497, 0.003117624, 0.002627633, 0
 101594346, 1, 0.00566121, 0.005431348, 0.005498696, 0
 101694306, 0, 0.002629524, 0.002913883, 0.002736315, 0
 101694306, 1, 0.005584762, 0.005236338, 0.005634403, 0
 101794266, 0, 0.002605725, 0.00282225, 0.002908352, 0
 101794266, 1, 0.005584546, 0.00552571, 0.005872583, 0
 101894226, 0, 0.002966814, 0.002872832, 0.002933807, 0
 101894226, 1, 0.005935359, 0.005722186, 0.005703953, 0
 101994186, 0, 0.00271207, 0.00278954, 0.002804529, 0
 101994186, 1, 0.005886326, 0.005470446, 0.005558955, 0
 102094146, 0, 0.002782659, 0.002909596, 0.0027106, 0
 102094146, 1, 0.005646549, 0.005572083, 0.005906081, 0
 102194106, 0, 0.002699762, 0.002691196, 0.002753124, 0
 102194106, 1, 0.005835664, 0.005064567, 0.005723952, 0
 102294066, 0, 0.002951097, 0.002428741, 0.002702479, 0
 102294066, 1, 0.005632801, 0.005389944, 0.005611421, 0
 102394026, 0, 0.002682534, 0.002467965, 0.002791943, 0
 102394026, 1, 0.005561314, 0.005283175, 0.00564474, 0
 102493986, 0, 0.002731953, 0.002757428, 0.002658089, 0
 102493986, 1, 0.005184817, 0.005860108, 0.005674486, 0
 102593946, 0, 0.002748282, 0.00262499, 0.00262151, 0
 102593946, 1, 0.005716921, 0.00576227, 0.006132434, 0
 102693906, 0, 0.002673879, 0.002796487, 0.002586214, 0
 102693906, 1, 0.006129731, 0.005467837, 0.005418557, 0
 102793866, 0, 0.002819396, 0.002441189, 0.002650534, 0
 102793866, 1, 0.005907254, 0.005673806, 0.005601816, 0
 102893826, 0, 0.002569297, 0.00257987, 0.002734748, 0
 102893826, 1, 0.006170765, 0.005805206, 0.005122259, 0
 102993786, 0, 0.002566499, 0.002585723, 0.003040417, 0
 102993786, 1, 0.006061818, 0.00597768, 0.005153418, 0
 103093746, 0, 0.002682867, 0.002847543, 0.00271236, 0
 103093746, 1, 0.005934236, 0.005789757, 0.005314818, 0
 103193706, 0, 0.002820251, 0.002871687, 0.002689302, 0
 103193706, 1, 0.005535215, 0.006080358, 0.005549239, 0
 103294499, 0, 0.002492087, 0.002908995, 0.003109189, 0
 103294499, 1, 0.005436289, 0.005541276, 0.005686754, 0
 103394459, 0, 0.002736119, 0.002808653, 0.002797342, 0
 103394459, 1, 0.005759023, 0.005745196, 0.005492175, 0
 103494419, 0, 0.002931857, 0.002740969, 0.002595717, 0
 103494419, 1, 0.005531928, 0.005748647, 0.005390343, 0
 103594379, 0, 0.002808907, 0.002729219, 0.002898405, 0
 103594379, 1, 0.005576039, 0.005694, 0.005354929, 0
 103694339, 0, 0.003179328, 0.003078634, 0.002845644, 0
 103694339, 1, 0.005540908, 0.005555028, 0.005590567, 0
 103794299, 0, 0.00297482, 0.003052681, 0.002857822, 0
 103794299, 1, 0.005937639, 0.00558136, 0.005455831, 0
 103894259, 0, 0.0027868, 0.002884493, 0.002854138, 0
 103894259, 1, 0.005489619, 0.005323986, 0.005381436, 0
 103994219, 0, 0.002686832, 0.002952093, 0.002772841, 0
 103994219, 1, 0.005554994, 0.005079303, 0.005565749, 0
 104094179, 0, 0.002594613, 0.00310499, 0.002689552, 0
 104094179, 1, 0.005333267, 0.005183061, 0.005649278, 0
 104194139, 0, 0.002780996, 0.002939609, 0.002552046, 0
 104194139, 1, 0.005534769, 0.005677836, 0.005554451, 0
 104294099, 0, 0.002954078, 0.003020614, 0.00292139, 0
 104294099, 1, 0.005622227, 0.005460155, 0.005474622, 0
 104394059, 0, 0.002695336, 0.003012208, 0.003105732, 0
 104394059, 1, 0.005701525, 0.006062274, 0.005700077, 0
 104494019, 0, 0.002899803, 0.002851085, 0.002782156, 0
 104494019, 1, 0.005667207, 0.005591359, 0.005520736, 0
 104593979, 0, 0.002766065, 0.002867834, 0.002895839, 0
 104593979, 1, 0.005478485, 0.005912789, 0.005252673, 0
 104693939, 0, 0.00304547, 0.002714399, 0.003182686, 0
 104693939, 1, 0.005211872, 0.005455374, 0.005418151, 0
 104793899, 0, 0.002807054, 0.002803935, 0.002818771, 0
 104793899, 1, 0.005329437, 0.005705721, 0.005196142, 0
 104893859, 0, 0.002789931, 0.002631314, 0.002832041, 0
 104893859, 1, 0.005096264, 0.005570365, 0.005705969, 0
 104993819, 0, 0.002862778, 0.002642738, 0.002834589, 0
 104993819, 1, 0.005699628, 0.005716681, 0.006004396, 0
 105093779, 0, 0.002617985, 0.002887529, 0.002973512, 0
 105093779, 1, 0.005723128, 0.005789057, 0.005756966, 0
 105193739, 0, 0.002957399, 0.002844604, 0.002915342, 0
 105193739, 1, 0.005602927, 0.006042525, 0.005510802, 0
 105293699, 0, 0.002520511, 0.002741576, 0.002655159, 0
 105293699, 1, 0.00530104, 0.005588019, 0.005793985, 0
 105394492, 0, 0.002911365, 0.002800261, 0.003132591, 0
 105394492, 1, 0.005602484, 0.005404484, 0.005239138, 0
 105494452, 0, 0.002859168, 0.003198042, 0.002739314, 0
 105494452, 1, 0.005638295, 0.005818992, 0.005857744, 0
 105594412, 0, 0.003011042, 0.002966342, 0.002800965, 0
 105594412, 1, 0.005768992, 0.005666661, 0.005556242, 0
 105694372, 0, 0.003030207, 0.003111529, 0.002677619, 0
 105694372, 1, 0.005494977, 0.005718389, 0.005334364, 0
 105794332, 0, 0.002594837, 0.003198592, 0.002721207, 0
 105794332, 1, 0.005466203, 0.005716648, 0.005173185, 0
 105894292, 0, 0.002832902, 0.0029457, 0.002859701, 0
 105894292, 1, 0.005334251, 0.005830318, 0.005712671, 0
 105994252, 0, 0.002741943, 0.00280883, 0.002852376, 0
 105994252, 1, 0.005578843, 0.00562718, 0.005747613, 0
 106094212, 0, 0.002893464, 0.002690106, 0.002928513, 0
 106094212, 1, 0.005889645, 0.005479848, 0.005411411, 0
 106194172, 0, 0.002908679, 0.002792982, 0.002728475, 0
 106194172, 1, 0.005532492, 0.005481155, 0.005235916, 0
 106294132, 0, 0.002831699, 0.002735161, 0.07564552, 0
 106294132, 1, 0.005614491, 0.005825719, 0.07780796, 0
 106394092, 0, 0.002857785, 0.002830476, 0.2817408, 0
 106394092, 1, 0.005734735, 0.005868577, 0.2794175, 0
 106494052, 0, 0.002812511, 0.002730386, 0.1630663, 0
 106494052, 1, 0.005207885, 0.005895156, 0.1618285, 0
 106594012, 0, 0.002967435, 0.00297391, 0.08847893, 0
 106594012, 1, 0.005405232, 0.005666311, 0.08783989, 0
 106693972, 0, 0.002784248, 0.002805294, 0.0507172, 0
 106693972, 1, 0.005565763, 0.005493438, 0.0502935, 0
 106793932, 0, 0.002802259, 0.002808143, 1.32709, 0
 106793932, 1, 0.00558529, 0.005493944, 1.32688, 0
 106893892, 0, 0.005081902, 0.005055137, 0.8383281, 0
 106893892, 1, 0.00672806, 0.006893233, 0.8388899, 0
 106993852, 0, 0.003878752, 0.004007068, 0.8201411, 0
 106993852, 1, 0.006127644, 0.006216306, 0.8207654, 0
 107093812, 0, 0.004135344, 0.004517799, 0.6206613, 0
 107093812, 1, 0.005992567, 0.006428878, 0.6220252, 0
 107193772, 0, 0.003533395, 0.003477201, 0.3518813, 0
 107193772, 1, 0.005742867, 0.006412677, 0.3533576, 0
 107293732, 0, 0.00308383, 0.002900326, 0.2035608, 0
 107293732, 1, 0.005647311, 0.00595464, 0.203981, 0
 107394525, 0, 0.002819188, 0.002671046, 0.1337031, 0
 107394525, 1, 0.005499257, 0.005805046, 0.1334522, 0
 107494485, 0, 0.002784981, 0.002788539, 0.07672141, 0
 107494485, 1, 0.005859774, 0.005421092, 0.07671703, 0
 107594445, 0, 0.002736869, 0.002636078, 0.0483036, 0
 107594445, 1, 0.005626074, 0.005346591, 0.04870043, 0
 107694405, 0, 0.002855118, 0.002531937, 0.04273136, 0
 107694405, 1, 0.005871327, 0.005438309, 0.04326265, 0
 107794365, 0, 0.002922112, 0.002563542, 0.03414741, 0
 107794365, 1, 0.005623749, 0.005835021, 0.03480292, 0
 107894325, 0, 0.002866039, 0.002511961, 0.02255228, 0
 107894325, 1, 0.0058916, 0.005529218, 0.02301443, 0
 107994285, 0, 0.002831774, 0.002741812, 0.03680299, 0
 107994285, 1, 0.005238569, 0.005612369, 0.03639349, 0
 108094245, 0, 0.002843455, 0.002856891, 0.06491381, 0
 108094245, 1, 0.005499498, 0.005321903, 0.06519053, 0
 108194205, 0, 0.002791518, 0.002822619, 0.06560989, 0
 108194205, 1, 0.005490198, 0.005469153, 0.06560122, 0
 108294165, 0, 0.002613959, 0.002667246, 0.05540297, 0
 108294165, 1, 0.005583767, 0.005880545, 0.05546137, 0
 108394125, 0, 0.002707545, 0.002797656, 0.04370298, 0
 108394125, 1, 0.005377784, 0.005476389, 0.04410105, 0
 108494085, 0, 0.002884419, 0.002696425, 0.03190586, 0
 108494085, 1, 0.005601135, 0.005559827, 0.03194132, 0
 108594045, 0, 0.003026328, 0.003079483, 0.02197365, 0
 108594045, 1, 0.005583524, 0.00613942, 0.02265056, 0
 108694005, 0, 0.002675936, 0.003038186, 0.01362522, 0
 108694005, 1, 0.005764799, 0.005890856, 0.01437898, 0
 108793965, 0, 0.002665184, 0.00307566, 0.01049477, 0
 108793965, 1, 0.005649735, 0.005987534, 0.01149427, 0
 108893925, 0, 0.002702798, 0.00286873, 0.006774986, 0
 108893925, 1, 0.005909503, 0.005602334, 0.00841759, 0
 108993885, 0, 0.002824032, 0.002834545, 0.005805908, 0
 108993885, 1, 0.00599346, 0.005977298, 0.007481246, 0
 109093845, 0, 0.002662679, 0.002893958, 0.01144188, 0
 109093845, 1, 0.005689618, 0.00552428, 0.01186794, 0
 109193805, 0, 0.002799823, 0.002898484, 0.00970277, 0
 109193805, 1, 0.00575113, 0.005569742, 0.01045688, 0
 109293765, 0, 0.002611388, 0.002768931, 0.01149766, 0
 109293765, 1, 0.005707428, 0.005947779, 0.01160873, 0
 109393725, 0, 0.002792094, 0.002726032, 0.009651413, 0
 109393725, 1, 0.005748836, 0.005653764, 0.01085781, 0
 109494518, 0, 0.002860026, 0.002718052, 0.01146158, 0
 109494518, 1, 0.005420072, 0.005576105, 0.01218139, 0
 109594478, 0, 0.002798301, 0.002905937, 0.007934504, 0
 109594478, 1, 0.005735664, 0.005722519, 0.008979399, 0
