Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 101194506, 0, 0.07, 0.06, 0.84, -0.01754714, 0.01673668, 1.024082E-06, -4.772185E-05, -0.01381668, 0.01332044, 0.02744795, 0.06, 0.06, 0.04, 558.1
 101194506, 1, 0.07, 0.05, 0.84, -0.0166506, 0.01699521, 0.0001604182, -0.0001037768, -0.01296214, 0.01364204, 0.0276677, 0.06, 0.06, 0.04, 558.1
 101294466, 0, 0.07, 0.06, 0.84, -0.01725827, 0.01644428, -1.48872E-05, -6.008986E-05, -0.01349431, 0.01299881, 0.0274423, 0.06, 0.06, 0.04, 558.1
 101294466, 1, 0.07, 0.05, 0.84, -0.01637331, 0.01667494, 7.254323E-05, -0.0001575253, -0.01274331, 0.01336396, 0.02765789, 0.06, 0.06, 0.04, 558.1
 101394426, 0, 0.07, 0.06, 0.84, -0.01739975, 0.01654974, -3.632096E-05, -7.069347E-05, -0.01382471, 0.01330282, 0.02743546, 0.06, 0.06, 0.04, 558.1
 101394426, 1, 0.07, 0.05, 0.84, -0.01658121, 0.01676334, 4.796436E-05, -0.0001166604, -0.013093, 0.01367935, 0.02764725, 0.06, 0.06, 0.04, 558.1
 101494386, 0, 0.07, 0.06, 0.85, -0.0167424, 0.01590073, -8.872453E-05, -0.0001093928, -0.01346877, 0.0129454, 0.02742562, 0.06, 0.06, 0.04, 558.1
 101494386, 1, 0.07, 0.05, 0.84, -0.01608316, 0.01617944, 5.660062E-05, -7.284608E-05, -0.01279666, 0.0133217, 0.0276398, 0.06, 0.06, 0.04, 558.1
 101594346, 0, 0.07, 0.06, 0.85, -0.01658762, 0.01574079, -4.152472E-05, -5.284823E-05, -0.01370651, 0.01316108, 0.02741689, 0.06, 0.06, 0.04, 558.1
 101594346, 1, 0.07, 0.05, 0.85, -0.01596806, 0.01613451, 2.968889E-05, -6.329082E-05, -0.01304593, 0.01353879, 0.0276331, 0.06, 0.06, 0.04, 558.1
 101694306, 0, 0.07, 0.06, 0.85, -0.01546612, 0.01466055, -4.472866E-05, -2.671576E-05, -0.01323424, 0.01269476, 0.02741477, 0.06, 0.06, 0.04, 558.1
 101694306, 1, 0.07, 0.05, 0.85, -0.01494964, 0.01513341, -5.066696E-05, -0.0001248383, -0.01261806, 0.01306837, 0.02761853, 0.06, 0.06, 0.04, 558.1
 101794266, 0, 0.07, 0.06, 0.85, -0.01484995, 0.01405816, -3.504E-05, -1.021978E-05, -0.0132874, 0.01273412, 0.02741392, 0.06, 0.06, 0.04, 558.1
 101794266, 1, 0.07, 0.06, 0.85, -0.01439356, 0.01440344, -0.000131488, -0.0001900049, -0.01268532, 0.01310789, 0.02759867, 0.06, 0.06, 0.04, 558.1
 101894226, 0, 0.07, 0.06, 0.85, -0.01323056, 0.01249123, -3.768407E-05, -1.035357E-05, -0.01262581, 0.01208952, 0.02741309, 0.06, 0.06, 0.04, 558.1
 101894226, 1, 0.07, 0.06, 0.85, -0.01283455, 0.01268925, -3.828629E-05, -6.495023E-05, -0.01206726, 0.01243211, 0.02758475, 0.06, 0.06, 0.04, 558.1
 101994186, 0, 0.07, 0.06, 0.85, -0.01215501, 0.01149447, -3.447613E-05, -1.321647E-05, -0.01242046, 0.01188378, 0.02741032, 0.06, 0.06, 0.04, 558.1
 101994186, 1, 0.07, 0.06, 0.85, -0.01194246, 0.01175894, 0.0001091843, 9.618086E-05, -0.01188335, 0.01219953, 0.0275849, 0.06, 0.06, 0.04, 558.1
 102094146, 0, 0.07, 0.06, 0.85, -0.01021056, 0.009689203, -8.655866E-05, -6.73361E-05, -0.01155241, 0.01105099, 0.02740604, 0.06, 0.06, 0.04, 558.1
 102094146, 1, 0.07, 0.06, 0.85, -0.01008276, 0.0100437, 0.0001709064, 0.0001703581, -0.01107195, 0.01134422, 0.02759939, 0.06, 0.06, 0.04, 558.1
 102194106, 0, 0.07, 0.06, 0.85, -0.008927691, 0.008517778, -8.069952E-05, -6.755728E-05, -0.01108296, 0.01060453, 0.02739857, 0.06, 0.06, 0.04, 558.1
 102194106, 1, 0.07, 0.06, 0.85, -0.008671843, 0.008643632, 8.056628E-05, 8.331013E-05, -0.01052174, 0.01077317, 0.02761128, 0.06, 0.06, 0.04, 558.1
 102294066, 0, 0.07, 0.06, 0.85, -0.007040577, 0.006695007, -9.677709E-05, -6.513454E-05, -0.01007892, 0.00964631, 0.027395, 0.06, 0.06, 0.04, 558.1
 102294066, 1, 0.07, 0.06, 0.85, -0.006939684, 0.006835801, 3.171402E-05, -2.46725E-05, -0.009622098, 0.009847198, 0.02761089, 0.06, 0.06, 0.04, 558.1
 102394026, 0, 0.07, 0.06, 0.85, -0.005751874, 0.005479687, -0.0001131899, -8.032587E-05, -0.009446272, 0.009047, 0.02738668, 0.06, 0.06, 0.04, 558.1
 102394026, 1, 0.07, 0.06, 0.85, -0.005785223, 0.005603584, -2.431796E-05, -9.088285E-05, -0.009059704, 0.009266334, 0.02760305, 0.06, 0.06, 0.04, 558.1
 102493986, 0, 0.07, 0.06, 0.85, -0.004132784, 0.003924235, -0.000147138, -9.180803E-05, -0.008403698, 0.008050486, 0.02737993, 0.06, 0.06, 0.04, 558.1
 102493986, 1, 0.08, 0.06, 0.85, -0.004158514, 0.004013073, -2.378651E-05, -7.581421E-05, -0.008089181, 0.008263339, 0.02759733, 0.06, 0.06, 0.04, 558.1
 102593946, 0, 0.08, 0.06, 0.85, -0.002988981, 0.002810596, -0.0001694655, -0.0001179982, -0.007709199, 0.007386549, 0.02736872, 0.06, 0.06, 0.04, 558.1
 102593946, 1, 0.08, 0.06, 0.85, -0.003175813, 0.002995914, 3.442473E-05, -2.819315E-06, -0.007438893, 0.007593644, 0.02759366, 0.06, 0.06, 0.04, 558.1
 102693906, 0, 0.08, 0.06, 0.85, -0.001661996, 0.001543929, -0.0001189745, -3.634711E-05, -0.006714827, 0.006432102, 0.02736319, 0.06, 0.06, 0.04, 558.1
 102693906, 1, 0.08, 0.07, 0.86, -0.00188552, 0.001702325, 0.0001436319, 0.0001178703, -0.006500235, 0.006627527, 0.02759708, 0.06, 0.06, 0.04, 558.1
 102793866, 0, 0.08, 0.07, 0.86, -0.0007847414, 0.000693103, -8.947545E-05, -1.14643E-05, -0.006035051, 0.005778632, 0.02735841, 0.06, 0.06, 0.04, 558.1
 102793866, 1, 0.08, 0.07, 0.86, -0.001046475, 0.0007898572, 0.000143362, 0.0001224834, -0.005860905, 0.005967032, 0.02760857, 0.06, 0.06, 0.04, 558.1
 102893826, 0, 0.08, 0.07, 0.86, 0.0001863991, -0.0002027036, -7.531736E-05, 1.708324E-05, -0.005156906, 0.004937634, 0.02735976, 0.06, 0.06, 0.04, 558.1
 102893826, 1, 0.08, 0.07, 0.86, -0.0002523508, -0.0001493415, 0.0003016063, 0.0002370219, -0.004966412, 0.005039828, 0.02762317, 0.06, 0.06, 0.04, 558.1
 102993786, 0, 0.08, 0.07, 0.86, 0.0007962232, -0.0007625144, -8.531542E-05, -5.466925E-06, -0.00455487, 0.00436417, 0.02735938, 0.06, 0.06, 0.04, 558.1
 102993786, 1, 0.08, 0.07, 0.86, 0.000363255, -0.000737177, 0.0003193712, 0.0002562148, -0.004449733, 0.00448891, 0.02764729, 0.06, 0.06, 0.04, 558.1
 103093746, 0, 0.08, 0.07, 0.86, 0.001413372, -0.001351814, -0.0001648179, -8.988195E-05, -0.003824764, 0.0036671, 0.02735461, 0.06, 0.06, 0.04, 558.1
 103093746, 1, 0.08, 0.07, 0.86, 0.0008597569, -0.001362188, 0.0003193765, 0.0001805274, -0.003781491, 0.003792131, 0.02766317, 0.06, 0.06, 0.04, 558.1
 103193706, 0, 0.08, 0.07, 0.86, 0.001813952, -0.001643516, -0.0001534964, -9.590658E-05, -0.003332659, 0.003204432, 0.02734295, 0.06, 0.06, 0.04, 558.1
 103193706, 1, 0.08, 0.07, 0.86, 0.001196037, -0.001791746, 0.0002461826, 9.766637E-05, -0.003342534, 0.003311815, 0.02768171, 0.06, 0.06, 0.04, 558.1
 103294499, 0, 0.09, 0.07, 0.86, 0.002156616, -0.002015411, -0.0002190685, -0.0001223515, -0.002748176, 0.00265004, 0.02733574, 0.06, 0.06, 0.04, 558.1
 103294499, 1, 0.09, 0.08, 0.86, 0.001492352, -0.002179718, 4.452642E-05, -0.0001804968, -0.00279854, 0.002735129, 0.0276718, 0.06, 0.06, 0.04, 558.1
 103394459, 0, 0.09, 0.08, 0.86, 0.002310022, -0.002157389, -0.0001719415, -7.840171E-05, -0.002372452, 0.002294972, 0.02732268, 0.06, 0.06, 0.04, 558.1
 103394459, 1, 0.09, 0.08, 0.86, 0.001761263, -0.002373366, -8.876837E-05, -0.0002938199, -0.002455265, 0.00235766, 0.02765548, 0.06, 0.06, 0.04, 558.1
 103494419, 0, 0.09, 0.08, 0.86, 0.002509489, -0.002315173, -0.0001429467, 4.298633E-06, -0.001928462, 0.001875162, 0.0273232, 0.06, 0.06, 0.04, 558.1
 103494419, 1, 0.09, 0.08, 0.86, 0.002057397, -0.002513662, -0.0001459599, -0.00030535, -0.002012209, 0.001909956, 0.02762967, 0.06, 0.06, 0.04, 558.1
 103594379, 0, 0.09, 0.08, 0.86, 0.002573837, -0.002313771, -0.0001068185, 3.087307E-05, -0.001650666, 0.001616927, 0.02732244, 0.06, 0.06, 0.04, 558.1
 103594379, 1, 0.09, 0.08, 0.86, 0.002005146, -0.002696428, -0.0001359935, -0.0002495353, -0.001733276, 0.001619149, 0.02760692, 0.06, 0.06, 0.04, 558.1
 103694339, 0, 0.09, 0.08, 0.86, 0.002546021, -0.002298313, -0.0001433534, 1.081367E-06, -0.001317026, 0.001303892, 0.02732398, 0.06, 0.06, 0.04, 558.1
 103694339, 1, 0.09, 0.08, 0.86, 0.001965158, -0.002784822, -0.0001659755, -0.0001810414, -0.001405057, 0.00126167, 0.02759246, 0.06, 0.06, 0.04, 558.1
 103794299, 0, 0.09, 0.08, 0.86, 0.002480344, -0.002226102, -0.0001622487, -4.534672E-05, -0.001127072, 0.001131446, 0.02731714, 0.06, 0.06, 0.04, 558.1
 103794299, 1, 0.09, 0.08, 0.86, 0.001881929, -0.002752875, -0.0002209048, -0.0002013788, -0.00122631, 0.001040563, 0.0275724, 0.06, 0.06, 0.04, 558.1
 103894259, 0, 0.1, 0.08, 0.86, 0.002360971, -0.002072703, -0.0001112087, 1.884596E-05, -0.0008860011, 0.0009063603, 0.0273169, 0.06, 0.06, 0.04, 558.1
 103894259, 1, 0.1, 0.08, 0.87, 0.001901777, -0.002588111, -0.0001623804, -8.864441E-05, -0.0009907576, 0.0007999695, 0.02756234, 0.06, 0.06, 0.04, 558.1
 103994219, 0, 0.1, 0.09, 0.86, 0.002184792, -0.001931083, -6.333335E-05, 4.538861E-05, -0.0007743458, 0.0008068416, 0.02731739, 0.06, 0.06, 0.04, 558.1
 103994219, 1, 0.1, 0.09, 0.87, 0.001746592, -0.002500111, -6.706073E-05, 4.2887E-06, -0.0008968458, 0.0006853221, 0.02755402, 0.06, 0.06, 0.04, 558.1
 104094179, 0, 0.1, 0.09, 0.87, 0.001991227, -0.001718075, -8.732165E-05, 2.535331E-05, -0.0006111402, 0.0006510777, 0.02732087, 0.06, 0.06, 0.04, 558.1
 104094179, 1, 0.1, 0.09, 0.87, 0.001682586, -0.002434481, 3.66355E-05, 0.0001402079, -0.0007259861, 0.0005066696, 0.02755853, 0.06, 0.06, 0.04, 558.1
 104194139, 0, 0.1, 0.09, 0.87, 0.001722357, -0.001458716, -8.088601E-05, 9.536237E-06, -0.0005608281, 0.0006103777, 0.02732193, 0.06, 0.06, 0.04, 558.1
 104194139, 1, 0.1, 0.09, 0.87, 0.001541792, -0.002110808, 4.822331E-05, 0.0001437462, -0.0006598499, 0.0004261282, 0.02756894, 0.06, 0.06, 0.04, 558.1
 104294099, 0, 0.1, 0.09, 0.87, 0.001510856, -0.001310039, -5.961629E-05, 3.221915E-05, -0.0004584668, 0.0005088306, 0.02732472, 0.06, 0.06, 0.04, 558.1
 104294099, 1, 0.1, 0.09, 0.87, 0.001424645, -0.002039584, 8.268884E-05, 0.0001132472, -0.000527938, 0.0003108391, 0.0275766, 0.06, 0.06, 0.04, 558.1
 104394059, 0, 0.1, 0.09, 0.87, 0.001223613, -0.001059559, -6.646795E-05, 7.142703E-06, -0.000460324, 0.0005079742, 0.02732463, 0.06, 0.06, 0.04, 558.1
 104394059, 1, 0.1, 0.09, 0.87, 0.001141246, -0.001851854, 0.0001340032, 0.0001297427, -0.0005025641, 0.0002763272, 0.02758886, 0.06, 0.06, 0.04, 558.1
 104494019, 0, 0.11, 0.1, 0.87, 0.0009441953, -0.0008322984, -8.095156E-05, -1.222537E-05, -0.0004012768, 0.0004411053, 0.02732434, 0.06, 0.06, 0.04, 558.1
 104494019, 1, 0.11, 0.09, 0.87, 0.0008287429, -0.0015103, 0.0001788244, 0.0001229641, -0.0004262645, 0.0001985344, 0.02760056, 0.06, 0.06, 0.04, 558.1
 104593979, 0, 0.11, 0.1, 0.87, 0.0006766808, -0.0004877233, -0.0001038491, -5.037993E-05, -0.0004420731, 0.0004777003, 0.02731988, 0.06, 0.06, 0.04, 558.1
 104593979, 1, 0.11, 0.1, 0.87, 0.000540026, -0.001200558, 8.23099E-05, 1.286768E-05, -0.0004794176, 0.0002427439, 0.02760678, 0.06, 0.07, 0.04, 558.1
 104693939, 0, 0.11, 0.1, 0.87, 0.0003757353, -0.0002216565, -0.0001304421, -5.985507E-05, -0.0004190539, 0.0004569986, 0.02731776, 0.06, 0.06, 0.04, 558.1
 104693939, 1, 0.11, 0.1, 0.87, 0.0002992239, -0.0008713196, 0.0001203803, -4.237124E-06, -0.0004464632, 0.0002171064, 0.02760515, 0.06, 0.06, 0.04, 558.1
 104793899, 0, 0.11, 0.1, 0.87, -5.225047E-05, 0.0001947918, -0.0001106297, -4.869021E-05, -0.0005036665, 0.0005423678, 0.02731025, 0.06, 0.06, 0.04, 558.1
 104793899, 1, 0.11, 0.1, 0.88, -0.000128996, -0.0005569605, 0.0001193368, 3.209672E-07, -0.0005138768, 0.0002734222, 0.02760597, 0.06, 0.06, 0.04, 558.1
 104893859, 0, 0.11, 0.1, 0.87, -0.0003325306, 0.0005067743, -0.0001140261, -2.625652E-05, -0.0005092043, 0.00054826, 0.02731042, 0.06, 0.06, 0.04, 558.1
 104893859, 1, 0.11, 0.1, 0.88, -0.0003870191, -0.0002078838, 0.0001182517, -1.120558E-05, -0.0005098766, 0.0002732355, 0.02760744, 0.06, 0.06, 0.04, 558.1
 104993819, 0, 0.12, 0.1, 0.88, -0.0007279625, 0.0009378547, -0.0001315352, -4.617115E-05, -0.0006214608, 0.0006663449, 0.02730447, 0.06, 0.06, 0.04, 558.1
 104993819, 1, 0.12, 0.1, 0.88, -0.0009197509, 0.0003559924, 0.0001138362, 2.34663E-06, -0.0006230005, 0.000373276, 0.02761311, 0.06, 0.06, 0.04, 558.1
 105093779, 0, 0.12, 0.11, 0.88, -0.001049354, 0.001242561, -0.0001220821, -1.586137E-05, -0.0006435714, 0.00069353, 0.02730417, 0.06, 0.06, 0.04, 558.1
 105093779, 1, 0.12, 0.11, 0.88, -0.001289814, 0.0007098132, -1.210055E-05, -0.0001464127, -0.0006606088, 0.0004149591, 0.02760311, 0.06, 0.06, 0.04, 558.1
 105193739, 0, 0.12, 0.11, 0.88, -0.001475922, 0.001648644, -0.0001282923, -3.144242E-05, -0.0007844674, 0.000838708, 0.02730162, 0.06, 0.06, 0.04, 558.1
 105193739, 1, 0.12, 0.11, 0.88, -0.001703672, 0.00119584, -5.591594E-05, -0.0001844337, -0.000815336, 0.0005654408, 0.02758501, 0.06, 0.06, 0.04, 558.1
 105293699, 0, 0.12, 0.11, 0.88, -0.001848451, 0.001984657, -7.168727E-05, 2.979135E-05, -0.0008232158, 0.0008784629, 0.02730216, 0.06, 0.06, 0.04, 558.1
 105293699, 1, 0.12, 0.11, 0.88, -0.001979515, 0.001642761, 4.825654E-05, -3.557594E-05, -0.0008566589, 0.0006314907, 0.02757786, 0.06, 0.06, 0.04, 558.1
 105394492, 0, 0.12, 0.11, 0.88, -0.002353784, 0.002451323, -8.877221E-05, -2.082591E-06, -0.00100078, 0.001054935, 0.02730261, 0.06, 0.06, 0.04, 558.1
 105394492, 1, 0.12, 0.11, 0.88, -0.002483954, 0.002064172, 8.405927E-05, 3.538971E-05, -0.001051463, 0.0008348812, 0.02758123, 0.06, 0.07, 0.04, 558.1
 105494452, 0, 0.13, 0.11, 0.88, -0.002691103, 0.002804801, -9.556739E-05, -1.866958E-05, -0.00106447, 0.001113698, 0.02730086, 0.06, 0.06, 0.04, 558.1
 105494452, 1, 0.12, 0.11, 0.88, -0.002953406, 0.002427191, 2.42647E-05, -4.376349E-05, -0.001129398, 0.0009142045, 0.02757852, 0.06, 0.07, 0.04, 558.1
 105594412, 0, 0.13, 0.11, 0.88, -0.003124861, 0.003293159, -3.52128E-05, 2.260541E-05, -0.001268456, 0.001317253, 0.02730023, 0.06, 0.06, 0.04, 558.1
 105594412, 1, 0.13, 0.12, 0.89, -0.003512851, 0.002933969, -6.916983E-08, -6.915321E-05, -0.001357835, 0.001122343, 0.02757143, 0.06, 0.07, 0.04, 558.1
 105694372, 0, 0.13, 0.12, 0.88, -0.003482507, 0.003608635, -7.613691E-05, -3.570458E-06, -0.001340713, 0.001390455, 0.02730331, 0.06, 0.06, 0.04, 558.1
 105694372, 1, 0.13, 0.12, 0.89, -0.003693572, 0.003267905, -2.693021E-05, -8.91716E-05, -0.001443446, 0.001210341, 0.0275659, 0.06, 0.07, 0.04, 558.1
 105794332, 0, 0.13, 0.12, 0.88, -0.003939958, 0.004145211, -6.306761E-05, 2.083903E-06, -0.001568448, 0.001622461, 0.02730258, 0.06, 0.06, 0.04, 558.1
 105794332, 1, 0.13, 0.12, 0.89, -0.004167598, 0.00373242, -4.652174E-05, -9.096653E-05, -0.001671397, 0.001439274, 0.02756074, 0.06, 0.07, 0.04, 558.1
 105894292, 0, 0.13, 0.12, 0.89, -0.004336866, 0.004529155, -3.19085E-05, 3.778495E-05, -0.001651063, 0.00170962, 0.0273066, 0.06, 0.06, 0.04, 558.1
 105894292, 1, 0.13, 0.12, 0.89, -0.004635794, 0.00407741, -5.564548E-06, -3.243217E-05, -0.001757512, 0.001528567, 0.02755272, 0.06, 0.07, 0.04, 558.1
 105994252, 0, 0.14, 0.12, 0.89, -0.004839178, 0.005004337, -3.452253E-05, 2.32871E-05, -0.001908944, 0.001973262, 0.02730831, 0.06, 0.06, 0.04, 558.1
 105994252, 1, 0.13, 0.12, 0.89, -0.005191918, 0.004665392, -3.46645E-05, -5.585449E-05, -0.002030857, 0.001786177, 0.02754723, 0.06, 0.06, 0.04, 558.1
 106094212, 0, 0.14, 0.12, 0.89, -0.005307414, 0.005402794, -5.453372E-05, -5.996004E-06, -0.002010759, 0.002068916, 0.02730967, 0.06, 0.06, 0.04, 558.1
 106094212, 1, 0.14, 0.13, 0.89, -0.005635809, 0.005080577, -5.297379E-05, -7.364809E-05, -0.002139416, 0.001896849, 0.02753927, 0.06, 0.06, 0.04, 558.1
 106194172, 0, 0.14, 0.13, 0.89, -0.005865363, 0.005938537, -3.436412E-05, 4.847843E-08, -0.002310328, 0.002363229, 0.02730963, 0.06, 0.06, 0.04, 558.1
 106194172, 1, 0.14, 0.13, 0.89, -0.006133985, 0.005559588, 5.260997E-05, 2.856463E-05, -0.00244634, 0.002189603, 0.02753526, 0.06, 0.06, 0.04, 558.1
 106294132, 0, 0.14, 0.13, 0.89, -0.006228204, 0.006317474, -0.002949592, -0.002905059, -0.002418071, 0.002466588, 0.02729516, 0.06, 0.06, 0.04, 558.1
 106294132, 1, 0.14, 0.13, 0.89, -0.006482638, 0.005865567, -0.003074943, -0.003077338, -0.002510299, 0.002253212, 0.02752313, 0.06, 0.06, 0.04, 558.1
 106394092, 0, 0.14, 0.13, 0.89, -0.007017716, 0.007110309, -0.1055392, -0.1043741, -0.002755237, 0.002801982, 0.02263458, 0.06, 0.06, 0.04, 558.1
 106394092, 1, 0.14, 0.13, 0.89, -0.007252324, 0.006498015, -0.1057682, -0.1047511, -0.002876766, 0.002586877, 0.02282515, 0.06, 0.07, 0.04, 558.1
 106494052, 0, 0.14, 0.13, 0.89, -0.007730682, 0.007858753, -0.2450897, -0.259124, -0.002913815, 0.002959321, 0.003130814, 0.06, 0.06, 0.04, 558.1
 106494052, 1, 0.15, 0.13, 0.9, -0.007998066, 0.007263901, -0.2447071, -0.2591531, -0.003049168, 0.002746599, 0.00333925, 0.06, 0.06, 0.04, 558.1
 106594012, 0, 0.15, 0.13, 0.89, -0.008599182, 0.008747785, -0.3832455, -0.4013349, -0.003341665, 0.0033901, -0.02985577, 0.06, 0.06, 0.04, 558.1
 106594012, 1, 0.15, 0.13, 0.9, -0.008831291, 0.008191017, -0.38201, -0.4002171, -0.003488447, 0.00315845, -0.02956914, 0.06, 0.06, 0.04, 558.1
 106693972, 0, 0.15, 0.14, 0.89, -0.009239826, 0.009397203, -0.5153661, -0.5178189, -0.003538657, 0.003592614, -0.07462119, 0.06, 0.06, 0.04, 558.1
 106693972, 1, 0.15, 0.14, 0.9, -0.009406616, 0.008975378, -0.5133538, -0.5179954, -0.003686335, 0.003368653, -0.07445592, 0.06, 0.06, 0.04, 558.1
 106793932, 0, 0.01, 0.01, 0.9, -0.009542666, 0.009751135, -0.9112567, -0.9048766, -0.004026658, 0.004089118, -0.140918, 0.06, 0.06, 0.04, 558.1
 106793932, 1, 0.02, 0.01, 0.9, -0.00975166, 0.009378386, -0.9090328, -0.9054817, -0.004166856, 0.003858024, -0.1402559, 0.06, 0.06, 0.04, 558.1
 106893892, 0, -0.14, -0.13, 0.9, -0.006823023, 0.006814249, -1.47235, -1.496442, -0.004037146, 0.004097954, -0.2660545, 0.06, 0.06, 0.04, 558.1
 106893892, 1, -0.14, -0.13, 0.9, -0.007011007, 0.006401331, -1.470546, -1.499545, -0.004177496, 0.003881246, -0.2656229, 0.06, 0.06, 0.04, 558.1
 106993852, 0, -0.2, -0.18, 0.89, -0.002897552, 0.002592928, -1.775045, -1.812289, -0.003956228, 0.003989622, -0.4339273, 0.06, 0.06, 0.04, 558.1
 106993852, 1, -0.2, -0.18, 0.9, -0.00306955, 0.002222483, -1.7711, -1.815237, -0.004042847, 0.003717625, -0.4324926, 0.06, 0.07, 0.04, 558.1
 107093812, 0, -0.18, -0.17, 0.89, 0.002092702, -0.002601978, -1.874823, -1.832674, -0.003015082, 0.003001127, -0.6108579, 0.06, 0.06, 0.04, 558.1
 107093812, 1, -0.18, -0.17, 0.89, 0.001891868, -0.003028973, -1.87171, -1.814661, -0.003138347, 0.002774009, -0.6069088, 0.06, 0.07, 0.04, 558.1
 107193772, 0, -0.11, -0.11, 0.89, 0.006624547, -0.007205152, -1.913814, -1.868958, -0.00187799, 0.001801283, -0.7981579, 0.06, 0.06, 0.04, 558.1
 107193772, 1, -0.11, -0.11, 0.89, 0.006469308, -0.00767392, -1.910984, -1.83744, -0.002023175, 0.00158321, -0.7917792, 0.06, 0.06, 0.04, 558.1
