Time,XKF2_C,XKF2_AX,XKF2_AY,XKF2_AZ,XKF2_VWN,XKF2_VWE,XKF2_MN,XKF2_ME,XKF2_MD,XKF2_MX,XKF2_MY,XKF2_MZ,XKF2_IDX,XKF2_IDY,XKF2_IS
 101194506, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101194506, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101294466, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101294466, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101394426, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101394426, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101494386, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101494386, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101594346, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101594346, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101694306, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101694306, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101794266, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101794266, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101894226, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101894226, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101994186, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 101994186, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102094146, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102094146, 1, 0, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102194106, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102194106, 1, 0, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102294066, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102294066, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102394026, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102394026, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102493986, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102493986, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102593946, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102593946, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102693906, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102693906, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102793866, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102793866, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102893826, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102893826, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102993786, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 102993786, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103093746, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103093746, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103193706, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103193706, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103294499, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103294499, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103394459, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103394459, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103494419, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103494419, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103594379, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103594379, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103694339, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103694339, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103794299, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103794299, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103894259, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103894259, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103994219, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 103994219, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104094179, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104094179, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104194139, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104194139, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104294099, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104294099, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104394059, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104394059, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104494019, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104494019, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104593979, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104593979, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104693939, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104693939, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104793899, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104793899, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104893859, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104893859, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104993819, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 104993819, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105093779, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105093779, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105193739, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105193739, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105293699, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105293699, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105394492, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105394492, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105494452, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105494452, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105594412, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105594412, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105694372, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105694372, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105794332, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105794332, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105894292, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105894292, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105994252, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 105994252, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106094212, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106094212, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106194172, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106194172, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106294132, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106294132, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106394092, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106394092, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106494052, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106494052, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106594012, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106594012, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106693972, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106693972, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106793932, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106793932, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106893892, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106893892, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106993852, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 106993852, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107093812, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107093812, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107193772, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107193772, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107293732, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107293732, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107394525, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107394525, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107494485, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107494485, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107594445, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107594445, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107694405, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107694405, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107794365, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107794365, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107894325, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107894325, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107994285, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 107994285, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108094245, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108094245, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108194205, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108194205, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108294165, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108294165, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 108394125, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108394125, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108494085, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108494085, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108594045, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108594045, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108694005, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108694005, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108793965, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108793965, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108893925, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108893925, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108993885, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 108993885, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109093845, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109093845, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109193805, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109193805, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109293765, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109293765, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109393725, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109393725, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109494518, 0, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109494518, 1, -0.01, 0.01, -0.01, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109594478, 0, -0.01, 0.01, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109594478, 1, -0.01, 0.01, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109694438, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109694438, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109794398, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109794398, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109894358, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109894358, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109994318, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 109994318, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110094278, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110094278, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110194238, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110194238, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110294198, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110294198, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110394158, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110394158, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110494118, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110494118, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110594078, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110594078, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110694038, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110694038, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110793998, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110793998, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110893958, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110893958, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110993918, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 110993918, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111093878, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111093878, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111193838, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111193838, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111293798, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111293798, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111393758, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111393758, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111493718, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111493718, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111594511, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111594511, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111694471, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111694471, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111794431, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111794431, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111894391, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111894391, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111994351, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 111994351, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112094311, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112094311, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112194271, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112194271, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112294231, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112294231, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112394191, 0, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
 112394191, 1, -0.02, 0.02, 0, 0, 0, 310, 15, 395, 0, 0, 0, 0, 0, 0
