Time,XKF3_C,XKF3_IVN,XKF3_IVE,XKF3_IVD,XKF3_IPN,XKF3_IPE,XKF3_IPD,XKF3_IMX,XKF3_IMY,XKF3_IMZ,XKF3_IYAW,XKF3_IVT,XKF3_RErr,XKF3_ErSc
 101194506, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.282666E-05
 101194506, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.74, 0, 0, 5.130543E-05
 101294466, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.140127E-05
 101294466, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.064362E-05
 101394426, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.140127E-05
 101394426, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.064362E-05
 101494386, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.008085E-05
 101494386, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.842289E-05
 101594346, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 5.008085E-05
 101594346, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.842289E-05
 101694306, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.509338E-05
 101694306, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.396651E-05
 101794266, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.509338E-05
 101794266, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.75, 0, 0, 4.396651E-05
