Time,XKQ_C,XKQ_Q1,XKQ_Q2,XKQ_Q3,XKQ_Q4
 101194506, 0, 0.9999723, 0.0006242815, 0.0005386143, 0.007390952
 101194506, 1, 0.9999723, 0.0006391749, 0.0005169589, 0.00739115
 101294466, 0, 0.9999723, 0.0006213218, 0.0005351121, 0.007403175
 101294466, 1, 0.9999723, 0.0006334918, 0.0005142872, 0.007401994
 101394426, 0, 0.9999722, 0.0006227085, 0.0005366391, 0.007412225
 101394426, 1, 0.9999722, 0.0006373105, 0.0005194769, 0.00740887
 101494386, 0, 0.9999722, 0.0006201155, 0.0005317888, 0.007417864
 101494386, 1, 0.9999722, 0.00064008, 0.0005204883, 0.007414253
 101594346, 0, 0.9999721, 0.0006226604, 0.0005349834, 0.00742316
 101594346, 1, 0.9999721, 0.0006432786, 0.0005228113, 0.007422483
 101694306, 0, 0.999972, 0.0006212503, 0.0005338327, 0.007428311
 101694306, 1, 0.999972, 0.000642559, 0.0005256939, 0.007427156
 101794266, 0, 0.999972, 0.0006266371, 0.0005382024, 0.00743508
 101794266, 1, 0.999972, 0.0006494669, 0.0005350274, 0.007435093
 101894226, 0, 0.999972, 0.0006299209, 0.0005380536, 0.007443136
 101894226, 1, 0.9999719, 0.0006583231, 0.00053814, 0.007442336
 101994186, 0, 0.9999719, 0.0006353673, 0.0005442139, 0.007449558
 101994186, 1, 0.9999719, 0.0006672554, 0.0005469352, 0.007452542
 102094146, 0, 0.9999719, 0.0006400255, 0.0005498081, 0.007456972
 102094146, 1, 0.9999718, 0.0006730885, 0.0005528923, 0.00745866
 102194106, 0, 0.9999718, 0.0006507772, 0.0005603722, 0.007462875
 102194106, 1, 0.9999717, 0.0006809282, 0.0005700459, 0.007472902
 102294066, 0, 0.9999717, 0.000659879, 0.0005671598, 0.007470491
 102294066, 1, 0.9999716, 0.0006868386, 0.0005736122, 0.007480728
 102394026, 0, 0.9999716, 0.000672329, 0.0005785651, 0.007477864
 102394026, 1, 0.9999716, 0.000692613, 0.0005855577, 0.007484577
 102493986, 0, 0.9999716, 0.0006830576, 0.0005896824, 0.007483101
 102493986, 1, 0.9999715, 0.0007041225, 0.0005959711, 0.00749498
 102593946, 0, 0.9999715, 0.000694196, 0.0006021593, 0.007490286
 102593946, 1, 0.9999714, 0.0007162364, 0.000612192, 0.007503153
 102693906, 0, 0.9999714, 0.0007071275, 0.0006123786, 0.007496886
 102693906, 1, 0.9999713, 0.0007325056, 0.0006276803, 0.007512041
 102793866, 0, 0.9999714, 0.0007190105, 0.0006263824, 0.007504492
 102793866, 1, 0.9999713, 0.0007444601, 0.0006408381, 0.007519752
 102893826, 0, 0.9999713, 0.0007329877, 0.0006387683, 0.007511383
 102893826, 1, 0.9999712, 0.0007470972, 0.0006547337, 0.007520462
 102993786, 0, 0.9999712, 0.0007467322, 0.0006545749, 0.007518982
 102993786, 1, 0.9999712, 0.0007551058, 0.0006697621, 0.007524957
 103093746, 0, 0.9999712, 0.0007597419, 0.0006696842, 0.007526259
 103093746, 1, 0.9999711, 0.0007643581, 0.000680714, 0.00753492
 103193706, 0, 0.9999711, 0.0007746147, 0.0006849974, 0.00753136
 103193706, 1, 0.999971, 0.0007782707, 0.0006931025, 0.007540885
 103294499, 0, 0.999971, 0.0007900157, 0.0006975922, 0.007539263
 103294499, 1, 0.999971, 0.0007950371, 0.0007087199, 0.007547804
 103394459, 0, 0.999971, 0.0008053388, 0.000713484, 0.007545603
 103394459, 1, 0.9999709, 0.0008067271, 0.0007249943, 0.007551172
 103494419, 0, 0.9999709, 0.0008192575, 0.0007277352, 0.007552587
 103494419, 1, 0.9999709, 0.000819559, 0.0007358686, 0.007555155
 103594379, 0, 0.9999708, 0.0008335956, 0.0007438366, 0.007560314
 103594379, 1, 0.9999707, 0.0008340187, 0.0007443883, 0.007567004
 103694339, 0, 0.9999707, 0.0008493087, 0.0007578483, 0.00756817
 103694339, 1, 0.9999707, 0.0008462421, 0.0007608656, 0.00757415
 103794299, 0, 0.9999706, 0.0008635913, 0.0007729814, 0.007575814
 103794299, 1, 0.9999706, 0.0008613071, 0.0007738831, 0.007582881
 103894259, 0, 0.9999706, 0.0008773297, 0.0007904683, 0.007583263
 103894259, 1, 0.9999704, 0.000882652, 0.0007899789, 0.007597574
 103994219, 0, 0.9999705, 0.0008922915, 0.0008065903, 0.007590309
