Time,XKTV_C,XKTV_TVS,XKTV_TVD
 101164518, 0, 3.500022E-05, 3.500013E-05
 101336949, 1, 3.432085E-05, 3.432075E-05
 101674314, 0, 3.449363E-05, 3.449354E-05
 101849244, 1, 3.45033E-05, 3.45032E-05
 102186609, 0, 3.721485E-05, 3.721475E-05
 102351543, 1, 3.7827E-05, 3.782691E-05
 102698904, 0, 4.107792E-05, 4.107783E-05
 102853842, 1, 4.210486E-05, 4.210477E-05
 103211199, 0, 4.597504E-05, 4.597495E-05
 103359473, 1, 4.707335E-05, 4.707326E-05
 103721828, 0, 5.136277E-05, 5.136269E-05
 103869269, 1, 5.239822E-05, 5.239816E-05
 104234123, 0, 5.704232E-05, 5.704226E-05
 104374067, 1, 5.80365E-05, 5.803645E-05
 104743919, 0, 6.308992E-05, 6.308989E-05
 104876366, 1, 6.397114E-05, 6.397113E-05
 105256214, 0, 6.945307E-05, 6.945309E-05
 105381997, 1, 7.03824E-05, 7.038241E-05
 105764344, 0, 7.606438E-05, 7.606444E-05
 105884296, 1, 7.67803E-05, 7.678039E-05
 106276639, 0, 8.283315E-05, 8.283329E-05
 106386595, 1, 8.352222E-05, 8.352239E-05
 106788934, 0, 8.971945E-05, 8.971969E-05
 106898890, 1, 8.998556E-05, 8.998519E-05
 107301229, 0, 9.520051E-05, 9.520046E-05
 107399523, 1, 9.569674E-05, 9.569638E-05
 107811858, 0, 9.928188E-05, 9.928218E-05
 107906820, 1, 9.972931E-05, 9.97299E-05
 108324153, 0, 0.0001102626, 0.0001102644
 108409119, 1, 0.0001091649, 0.0001091668
 108833949, 0, 0.0001084958, 0.0001084982
 108911418, 1, 0.0001081933, 0.0001081957
 109346244, 0, 0.0001045061, 0.0001045079
 109413717, 1, 9.978563E-05, 9.978719E-05
 109854374, 0, 9.414155E-05, 9.414266E-05
 109919348, 1, 9.401519E-05, 9.401625E-05
 110366669, 0, 8.952378E-05, 8.952444E-05
 110429144, 1, 8.535779E-05, 8.535846E-05
 110878964, 0, 8.332516E-05, 8.332583E-05
 110933942, 1, 8.324938E-05, 8.325011E-05
 111391259, 0, 8.304863E-05, 8.304934E-05
 111436241, 1, 8.031225E-05, 8.031293E-05
 111901888, 0, 8.201496E-05, 8.20153E-05
 111941872, 1, 8.16675E-05, 8.166785E-05
 112414183, 0, 8.264831E-05, 8.264857E-05
 112444171, 1, 8.212489E-05, 8.212509E-05
 112926478, 0, 8.588804E-05, 8.588811E-05
 112946470, 1, 8.520926E-05, 8.520933E-05
 113436274, 0, 8.779981E-05, 8.780008E-05
 113458765, 1, 8.708093E-05, 8.70812E-05
 113944404, 0, 9.155295E-05, 9.155333E-05
 113966895, 1, 9.083846E-05, 9.083887E-05
 114456699, 0, 9.350468E-05, 9.350519E-05
 114479190, 1, 9.277762E-05, 9.277811E-05
 114968994, 0, 9.717893E-05, 9.71796E-05
 114981489, 1, 9.627539E-05, 9.627605E-05
 115481289, 0, 9.841358E-05, 9.841458E-05
 115483788, 1, 9.736879E-05, 9.736977E-05
 115989419, 1, 0.0001003538, 0.0001003553
 115991918, 0, 0.0001014888, 0.0001014903
 116491718, 1, 0.0001001916, 0.0001001932
 116504213, 0, 0.0001014731, 0.0001014747
 117001514, 1, 0.0001022957, 0.0001022972
 117016508, 0, 0.0001006256, 0.0001006269
 117506312, 1, 0.0001007803, 0.0001007815
 117526304, 0, 0.0001022134, 0.0001022146
 118014442, 1, 9.91337E-05, 9.913518E-05
 118034434, 0, 0.0001005102, 0.0001005117
 118526737, 1, 0.0001002999, 0.0001003013
 118546729, 0, 0.0001016327, 0.000101634
 119029036, 1, 9.779129E-05, 9.779252E-05
 119059024, 0, 9.930923E-05, 9.931049E-05
 119531335, 1, 9.842565E-05, 9.842673E-05
 119571319, 0, 0.0001000626, 0.0001000637
 120036966, 1, 9.568992E-05, 9.56909E-05
 120081948, 0, 9.741462E-05, 9.741564E-05
 120541764, 1, 9.621547E-05, 9.62163E-05
 120594243, 0, 9.78805E-05, 9.788135E-05
 121051560, 1, 9.350913E-05, 9.351002E-05
 121106538, 0, 9.520203E-05, 9.520292E-05
 121553859, 1, 9.389993E-05, 9.390056E-05
 121616334, 0, 9.26522E-05, 9.265275E-05
 122061989, 1, 9.150688E-05, 9.150727E-05
 122124464, 0, 9.322986E-05, 9.323024E-05
 122574284, 1, 9.211298E-05, 9.211342E-05
 122636759, 0, 9.093279E-05, 9.093317E-05
 123076583, 1, 8.970872E-05, 8.970912E-05
 123149054, 0, 9.155813E-05, 9.155848E-05
 123586379, 1, 9.035489E-05, 9.035522E-05
 123661349, 0, 8.943622E-05, 8.943654E-05
 124087012, 1, 8.814836E-05, 8.814871E-05
 124174477, 0, 9.01492E-05, 9.014954E-05
 124596808, 1, 8.881946E-05, 8.881987E-05
 124684273, 0, 8.813321E-05, 8.813356E-05
 125099107, 1, 8.692699E-05, 8.692742E-05
 125196568, 0, 8.903875E-05, 8.903921E-05
 125601406, 1, 8.784929E-05, 8.784972E-05
 125706364, 0, 8.767578E-05, 8.767618E-05
 126103705, 1, 8.675697E-05, 8.675738E-05
 126216993, 0, 8.669573E-05, 8.669608E-05
 126609336, 1, 8.592862E-05, 8.592894E-05
 126726789, 0, 8.815816E-05, 8.815851E-05
 127114134, 1, 8.743641E-05, 8.743678E-05
 127239084, 0, 8.750557E-05, 8.750589E-05
 127623930, 1, 8.665827E-05, 8.665852E-05
 127751379, 0, 8.900803E-05, 8.900835E-05
 128126229, 1, 8.800994E-05, 8.801027E-05
 128252012, 0, 8.820807E-05, 8.820836E-05
 128631860, 1, 8.729289E-05, 8.729326E-05
 128761808, 0, 8.972041E-05, 8.972082E-05
 129134159, 1, 9.389663E-05, 9.391236E-05
 129274103, 0, 0.0001034885, 0.0001035389
 129636458, 1, 0.0001372132, 0.0001374081
 129783899, 0, 0.0001580493, 0.0001583291
 130146254, 1, 0.0002029844, 0.0002035229
 130294528, 0, 0.0002175464, 0.0002182161
 130656883, 1, 0.0002364034, 0.0002374049
 130804324, 0, 0.0002703257, 0.0002715355
 131169178, 1, 0.0002598298, 0.0002614935
 131316619, 0, 0.0002391114, 0.0002409475
