Time,XKY0_C,XKY0_YC,XKY0_YCS,XKY0_Y0,XKY0_Y1,XKY0_Y2,XKY0_Y3,XKY0_Y4,XKY0_W0,XKY0_W1,XKY0_W2,XKY0_W3,XKY0_W4
 101294466, 0, 327.7508, 14.89066, 216.0038, 288.0038, 0.003771296, 72.00377, 144.0038, 0.2, 0.2, 0.2, 0.2, 0.2
 101294466, 1, 298.4873, 14.33506, 216.0034, 288.0034, 0.0034573, 72.00346, 144.0035, 0.2, 0.2, 0.2, 0.2, 0.2
 101394426, 0, 341.2254, 14.48219, 216.0079, 288.0079, 0.007878267, 72.00787, 144.0079, 0.2, 0.2, 0.2, 0.2, 0.2
 101394426, 1, 292.7365, 14.28169, 216.0076, 288.0075, 0.007543442, 72.00755, 144.0075, 0.2, 0.2, 0.2, 0.2, 0.2
 101494386, 0, 341.419, 14.47793, 216.0121, 288.0121, 0.01206683, 72.01206, 144.0121, 0.2, 0.2, 0.2, 0.2, 0.2
 101494386, 1, 295.1003, 14.29874, 216.0113, 288.0113, 0.01130531, 72.01131, 144.0113, 0.2, 0.2, 0.2, 0.2, 0.2
 101594346, 0, 344.0794, 14.42256, 216.016, 288.016, 0.0159778, 72.01598, 144.016, 0.2, 0.2, 0.2, 0.2, 0.2
 101594346, 1, 301.3497, 14.3764, 216.0149, 288.0149, 0.01492673, 72.01492, 144.0149, 0.2, 0.2, 0.2, 0.2, 0.2
 101694306, 0, 338.8463, 14.53966, 216.02, 288.02, 0.01995593, 72.01995, 144.02, 0.2, 0.2, 0.2, 0.2, 0.2
 101694306, 1, 310.311, 14.5688, 216.0192, 288.0192, 0.01918918, 72.01919, 144.0192, 0.2, 0.2, 0.2, 0.2, 0.2
 101794266, 0, 335.537, 14.63021, 216.0239, 288.0239, 0.02394438, 72.02394, 144.024, 0.2, 0.2, 0.2, 0.2, 0.2
 101794266, 1, 296.0366, 14.30729, 216.0229, 288.0229, 0.02292415, 72.02293, 144.0229, 0.2, 0.2, 0.2, 0.2, 0.2
 101894226, 0, 341.449, 14.47759, 216.0281, 288.0281, 0.0280606, 72.02806, 144.0281, 0.2, 0.2, 0.2, 0.2, 0.2
 101894226, 1, 306.7978, 14.4819, 216.0271, 288.0271, 0.02710112, 72.02711, 144.0271, 0.2, 0.2, 0.2, 0.2, 0.2
 101994186, 0, 347.2784, 14.36718, 216.0323, 288.0323, 0.03232577, 72.03233, 144.0323, 0.2, 0.2, 0.2, 0.2, 0.2
 101994186, 1, 321.38, 14.93275, 216.0312, 288.0312, 0.03120034, 72.0312, 144.0312, 0.2, 0.2, 0.2, 0.2, 0.2
 102094146, 0, 341.4213, 14.47831, 216.0364, 288.0364, 0.03641691, 72.03642, 144.0364, 0.2, 0.2, 0.2, 0.2, 0.2
 102094146, 1, 324.5755, 15.01731, 216.0357, 288.0357, 0.03566318, 72.03566, 144.0357, 0.2, 0.2, 0.2, 0.2, 0.2
 102194106, 0, 341.5818, 14.47485, 216.0407, 288.0406, 0.04066104, 72.04066, 144.0407, 0.2, 0.2, 0.2, 0.2, 0.2
 102194106, 1, 327.1072, 14.91656, 216.0403, 288.0403, 0.04030713, 72.04031, 144.0403, 0.2, 0.2, 0.2, 0.2, 0.2
 102294066, 0, 341.4601, 14.4775, 216.0447, 288.0447, 0.04471571, 72.04472, 144.0447, 0.2, 0.2, 0.2, 0.2, 0.2
 102294066, 1, 325.5276, 14.97878, 216.045, 288.045, 0.0450236, 72.04503, 144.045, 0.2, 0.2, 0.2, 0.2, 0.2
 102394026, 0, 347.2025, 14.36839, 216.049, 288.049, 0.04897094, 72.04897, 144.049, 0.2, 0.2, 0.2, 0.2, 0.2
 102394026, 1, 321.579, 14.9396, 216.0491, 288.0491, 0.04909004, 72.04909, 144.0491, 0.2, 0.2, 0.2, 0.2, 0.2
 102493986, 0, 349.8893, 14.33064, 216.0532, 288.0532, 0.05321593, 72.05322, 144.0532, 0.2, 0.2, 0.2, 0.2, 0.2
 102493986, 1, 317.9986, 14.8059, 216.0527, 288.0527, 0.05274094, 72.05273, 144.0527, 0.2, 0.2, 0.2, 0.2, 0.2
 102593946, 0, 346.1703, 14.38509, 216.0572, 288.0572, 0.0572072, 72.05721, 144.0572, 0.2, 0.2, 0.2, 0.2, 0.2
 102593946, 1, 313.7513, 14.66583, 216.0572, 288.0572, 0.05721785, 72.05722, 144.0572, 0.2, 0.2, 0.2, 0.2, 0.2
 102693906, 0, 344.1606, 14.42116, 216.0614, 288.0614, 0.06138179, 72.06139, 144.0614, 0.2, 0.2, 0.2, 0.2, 0.2
 102693906, 1, 311.4861, 14.59908, 216.0614, 288.0614, 0.06141132, 72.06141, 144.0614, 0.2, 0.2, 0.2, 0.2, 0.2
 102793866, 0, 350.5143, 14.32306, 216.0655, 288.0655, 0.06552691, 72.06552, 144.0655, 0.2, 0.2, 0.2, 0.2, 0.2
 102793866, 1, 305.9293, 14.4612, 216.0657, 288.0657, 0.06570025, 72.0657, 144.0657, 0.2, 0.2, 0.2, 0.2, 0.2
 102893826, 0, 344.4467, 14.41557, 216.0697, 288.0698, 0.06974967, 72.06976, 144.0697, 0.2, 0.2, 0.2, 0.2, 0.2
 102893826, 1, 305.1061, 14.44343, 216.0703, 288.0703, 0.07029858, 72.0703, 144.0703, 0.2, 0.2, 0.2, 0.2, 0.2
 102993786, 0, 344.664, 14.41158, 216.0739, 288.0739, 0.07387526, 72.07388, 144.0739, 0.2, 0.2, 0.2, 0.2, 0.2
 102993786, 1, 296.4818, 14.31021, 216.0739, 288.0739, 0.07386751, 72.07387, 144.0739, 0.2, 0.2, 0.2, 0.2, 0.2
 103093746, 0, 342.6308, 14.4517, 216.0781, 288.0781, 0.07813865, 72.07814, 144.0781, 0.2, 0.2, 0.2, 0.2, 0.2
 103093746, 1, 293.9294, 14.28757, 216.0777, 288.0777, 0.07766254, 72.07766, 144.0777, 0.2, 0.2, 0.2, 0.2, 0.2
 103193706, 0, 341.8185, 14.46932, 216.0823, 288.0823, 0.08232529, 72.08233, 144.0823, 0.2, 0.2, 0.2, 0.2, 0.2
 103193706, 1, 288.3732, 14.26672, 216.0819, 288.0819, 0.08189494, 72.08189, 144.0819, 0.2, 0.2, 0.2, 0.2, 0.2
 103294499, 0, 342.9053, 14.44574, 216.0862, 288.0862, 0.08623178, 72.08624, 144.0862, 0.2, 0.2, 0.2, 0.2, 0.2
 103294499, 1, 292.09, 14.27604, 216.0858, 288.0858, 0.08577786, 72.08578, 144.0858, 0.2, 0.2, 0.2, 0.2, 0.2
 103394459, 0, 344.2755, 14.41851, 216.0905, 288.0905, 0.09044884, 72.09045, 144.0905, 0.2, 0.2, 0.2, 0.2, 0.2
 103394459, 1, 274.7499, 14.37469, 216.0895, 288.0895, 0.08951769, 72.08952, 144.0895, 0.2, 0.2, 0.2, 0.2, 0.2
 103494419, 0, 344.5075, 14.41372, 216.0945, 288.0945, 0.09449999, 72.0945, 144.0945, 0.2, 0.2, 0.2, 0.2, 0.2
 103494419, 1, 275.3948, 14.36409, 216.0935, 288.0935, 0.09351657, 72.09351, 144.0935, 0.2, 0.2, 0.2, 0.2, 0.2
 103594379, 0, 343.8069, 14.42734, 216.0988, 288.0988, 0.09878152, 72.09878, 144.0988, 0.2, 0.2, 0.2, 0.2, 0.2
 103594379, 1, 273.5587, 14.39453, 216.0976, 288.0976, 0.09759802, 72.0976, 144.0976, 0.2, 0.2, 0.2, 0.2, 0.2
 103694339, 0, 342.8664, 14.446, 216.103, 288.103, 0.1030424, 72.10304, 144.103, 0.2, 0.2, 0.2, 0.2, 0.2
 103694339, 1, 289.3887, 14.26632, 216.102, 288.102, 0.1019712, 72.10197, 144.102, 0.2, 0.2, 0.2, 0.2, 0.2
 103794299, 0, 342.2595, 14.45897, 216.1073, 288.1073, 0.1072622, 72.10726, 144.1073, 0.2, 0.2, 0.2, 0.2, 0.2
 103794299, 1, 287.8426, 14.26538, 216.106, 288.106, 0.1060152, 72.10601, 144.106, 0.2, 0.2, 0.2, 0.2, 0.2
 103894259, 0, 344.4117, 14.4149, 216.1115, 288.1115, 0.1115008, 72.1115, 144.1115, 0.2, 0.2, 0.2, 0.2, 0.2
 103894259, 1, 285.1633, 14.27012, 216.111, 288.111, 0.1109882, 72.11098, 144.111, 0.2, 0.2, 0.2, 0.2, 0.2
 103994219, 0, 344.9526, 14.40489, 216.1156, 288.1157, 0.1156482, 72.11565, 144.1156, 0.2, 0.2, 0.2, 0.2, 0.2
 103994219, 1, 275.0817, 14.36839, 216.1157, 288.1157, 0.1157345, 72.11573, 144.1157, 0.2, 0.2, 0.2, 0.2, 0.2
 104094179, 0, 342.4404, 14.45432, 216.1198, 288.1198, 0.1197885, 72.11979, 144.1198, 0.2, 0.2, 0.2, 0.2, 0.2
 104094179, 1, 275.5561, 14.36052, 216.12, 288.12, 0.1199555, 72.11996, 144.1199, 0.2, 0.2, 0.2, 0.2, 0.2
 104194139, 0, 340.9569, 14.48741, 216.1243, 288.1243, 0.124295, 72.1243, 144.1243, 0.2, 0.2, 0.2, 0.2, 0.2
 104194139, 1, 284.1091, 14.27416, 216.1242, 288.1242, 0.1242134, 72.12421, 144.1242, 0.2, 0.2, 0.2, 0.2, 0.2
 104294099, 0, 341.5825, 14.47273, 216.1288, 288.1288, 0.1288444, 72.12885, 144.1288, 0.2, 0.2, 0.2, 0.2, 0.2
 104294099, 1, 279.239, 14.312, 216.1286, 288.1286, 0.1286177, 72.12862, 144.1286, 0.2, 0.2, 0.2, 0.2, 0.2
 104394059, 0, 341.5339, 14.47393, 216.133, 288.133, 0.1330201, 72.13302, 144.133, 0.2, 0.2, 0.2, 0.2, 0.2
 104394059, 1, 285.7675, 14.26718, 216.1332, 288.1332, 0.1332058, 72.1332, 144.1332, 0.2, 0.2, 0.2, 0.2, 0.2
 104494019, 0, 339.7867, 14.51443, 216.1375, 288.1375, 0.1375362, 72.13754, 144.1375, 0.2, 0.2, 0.2, 0.2, 0.2
 104494019, 1, 284.4266, 14.27161, 216.1375, 288.1375, 0.1374487, 72.13744, 144.1375, 0.2, 0.2, 0.2, 0.2, 0.2
 104593979, 0, 340.4281, 14.49911, 216.1419, 288.1419, 0.1419338, 72.14193, 144.1419, 0.2, 0.2, 0.2, 0.2, 0.2
 104593979, 1, 278.2468, 14.323, 216.142, 288.142, 0.1420278, 72.14203, 144.142, 0.2, 0.2, 0.2, 0.2, 0.2
 104693939, 0, 341.6287, 14.47098, 216.1468, 288.1468, 0.1467704, 72.14677, 144.1468, 0.2, 0.2, 0.2, 0.2, 0.2
