Time,XKY1_C,XKY1_IVN0,XKY1_IVN1,XKY1_IVN2,XKY1_IVN3,XKY1_IVN4,XKY1_IVE0,XKY1_IVE1,XKY1_IVE2,XKY1_IVE3,XKY1_IVE4
 101294466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 101294466, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 101394426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 101394426, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 101494386, 0, 0.004924754, 0.002262482, -0.003526463, -0.004441957, 0.0007811831, -0.000778765, 0.004443068, 0.003524732, -0.002264664, -0.004924371
 101494386, 1, 0.004666459, 0.002190616, -0.003312584, -0.004237906, 0.0006934141, -0.0007871257, 0.004194831, 0.003379674, -0.002106078, -0.004681302
 101594346, 0, 0.004924754, 0.002262482, -0.003526463, -0.004441957, 0.0007811831, -0.000778765, 0.004443068, 0.003524732, -0.002264664, -0.004924371
 101594346, 1, 0.004666459, 0.002190616, -0.003312584, -0.004237906, 0.0006934141, -0.0007871257, 0.004194831, 0.003379674, -0.002106078, -0.004681302
 101694306, 0, 0.007258793, 0.003340649, -0.005194159, -0.006550815, 0.001145532, -0.001154041, 0.006546904, 0.005200251, -0.003332973, -0.007260141
 101694306, 1, 0.007263769, 0.003436148, -0.005140113, -0.006612912, 0.001053109, -0.001252838, 0.006521107, 0.005283104, -0.003255969, -0.007295403
 101794266, 0, 0.007258793, 0.003340649, -0.005194159, -0.006550815, 0.001145532, -0.001154041, 0.006546904, 0.005200251, -0.003332973, -0.007260141
 101794266, 1, 0.007263769, 0.003436148, -0.005140113, -0.006612912, 0.001053109, -0.001252838, 0.006521107, 0.005283104, -0.003255969, -0.007295403
 101894226, 0, 0.009599407, 0.004452201, -0.006847796, -0.008684372, 0.001480559, -0.001562285, 0.008646807, 0.006906305, -0.004378475, -0.009612352
 101894226, 1, 0.009769375, 0.004796179, -0.006805173, -0.009002007, 0.001241627, -0.001868738, 0.008713755, 0.007254135, -0.004230453, -0.009868699
 101994186, 0, 0.009599407, 0.004452201, -0.006847796, -0.008684372, 0.001480559, -0.001562285, 0.008646807, 0.006906305, -0.004378475, -0.009612352
 101994186, 1, 0.009769375, 0.004796179, -0.006805173, -0.009002007, 0.001241627, -0.001868738, 0.008713755, 0.007254135, -0.004230453, -0.009868699
 102094146, 0, 0.01175716, 0.005472095, -0.008375217, -0.01064826, 0.001794228, -0.001933569, 0.01058422, 0.008474975, -0.005346394, -0.01177923
 102094146, 1, 0.01176855, 0.005625015, -0.0082921, -0.01074981, 0.001648349, -0.002090657, 0.01054651, 0.008608758, -0.005226003, -0.0118386
 102194106, 0, 0.01175716, 0.005472095, -0.008375217, -0.01064826, 0.001794228, -0.001933569, 0.01058422, 0.008474975, -0.005346394, -0.01177923
 102194106, 1, 0.01176855, 0.005625015, -0.0082921, -0.01074981, 0.001648349, -0.002090657, 0.01054651, 0.008608758, -0.005226003, -0.0118386
 102294066, 0, 0.0136728, 0.00645252, -0.009684922, -0.01243813, 0.001997734, -0.00234202, 0.01227988, 0.009931403, -0.006141936, -0.01372733
 102294066, 1, 0.0141167, 0.006942495, -0.009826002, -0.0130153, 0.001782105, -0.002712978, 0.01258742, 0.01049243, -0.006102743, -0.01426413
 102394026, 0, 0.0136728, 0.00645252, -0.009684922, -0.01243813, 0.001997734, -0.00234202, 0.01227988, 0.009931403, -0.006141936, -0.01372733
 102394026, 1, 0.0141167, 0.006942495, -0.009826002, -0.0130153, 0.001782105, -0.002712978, 0.01258742, 0.01049243, -0.006102743, -0.01426413
 102493986, 0, 0.01542355, 0.007318296, -0.0109006, -0.01405524, 0.002213986, -0.002683494, 0.01383943, 0.01123673, -0.006894746, -0.01549792
 102493986, 1, 0.01550714, 0.007670635, -0.01076643, -0.01432465, 0.001913303, -0.003026809, 0.01381283, 0.01156361, -0.006666128, -0.0156835
 102593946, 0, 0.01542355, 0.007318296, -0.0109006, -0.01405524, 0.002213986, -0.002683494, 0.01383943, 0.01123673, -0.006894746, -0.01549792
 102593946, 1, 0.01550714, 0.007670635, -0.01076643, -0.01432465, 0.001913303, -0.003026809, 0.01381283, 0.01156361, -0.006666128, -0.0156835
 102693906, 0, 0.01701875, 0.008095402, -0.01201551, -0.0155214, 0.002422762, -0.002982283, 0.01526421, 0.01241609, -0.007590651, -0.01710737
 102693906, 1, 0.01705838, 0.008488868, -0.01181197, -0.01578907, 0.002053788, -0.003383122, 0.01517804, 0.01276367, -0.007289659, -0.01726892
 102793866, 0, 0.01701875, 0.008095402, -0.01201551, -0.0155214, 0.002422762, -0.002982283, 0.01526421, 0.01241609, -0.007590651, -0.01710737
 102793866, 1, 0.01705838, 0.008488868, -0.01181197, -0.01578907, 0.002053788, -0.003383122, 0.01517804, 0.01276367, -0.007289659, -0.01726892
 102893826, 0, 0.01832548, 0.008726467, -0.01293223, -0.01671902, 0.002599303, -0.003221241, 0.01643315, 0.01337749, -0.008165409, -0.01842399
 102893826, 1, 0.01845221, 0.009181192, -0.01277792, -0.01707838, 0.002222901, -0.00365819, 0.01641865, 0.01380548, -0.0078864, -0.01867954
 102993786, 0, 0.01832548, 0.008726467, -0.01293223, -0.01671902, 0.002599303, -0.003221241, 0.01643315, 0.01337749, -0.008165409, -0.01842399
 102993786, 1, 0.01845221, 0.009181192, -0.01277792, -0.01707838, 0.002222901, -0.00365819, 0.01641865, 0.01380548, -0.0078864, -0.01867954
 103093746, 0, 0.01950503, 0.009343741, -0.01373028, -0.01782952, 0.002711031, -0.003487022, 0.01747284, 0.01428583, -0.008643709, -0.01962794
 103093746, 1, 0.01980914, 0.009750188, -0.0137832, -0.01826867, 0.002492535, -0.003815575, 0.01766054, 0.01473039, -0.008556657, -0.02001869
 103193706, 0, 0.01950503, 0.009343741, -0.01373028, -0.01782952, 0.002711031, -0.003487022, 0.01747284, 0.01428583, -0.008643709, -0.01962794
 103193706, 1, 0.01980914, 0.009750188, -0.0137832, -0.01826867, 0.002492535, -0.003815575, 0.01766054, 0.01473039, -0.008556657, -0.02001869
 103294499, 0, 0.02056921, 0.009898927, -0.01445134, -0.01883035, 0.002813546, -0.003725005, 0.0184114, 0.01510387, -0.009076688, -0.02071358
 103294499, 1, 0.02091384, 0.01029984, -0.0145482, -0.01929112, 0.00262563, -0.00403457, 0.0186435, 0.01555688, -0.009028814, -0.021137
 103394459, 0, 0.02056921, 0.009898927, -0.01445134, -0.01883035, 0.002813546, -0.003725005, 0.0184114, 0.01510387, -0.009076688, -0.02071358
 103394459, 1, 0.02091384, 0.01029984, -0.0145482, -0.01929112, 0.00262563, -0.00403457, 0.0186435, 0.01555688, -0.009028814, -0.021137
 103494419, 0, 0.0215131, 0.01040847, -0.01508032, -0.01972861, 0.002887364, -0.003954077, 0.0192383, 0.015844, -0.009446169, -0.02168205
 103494419, 1, 0.02163947, 0.01062971, -0.01506994, -0.01994345, 0.002744215, -0.004145651, 0.01929928, 0.01607326, -0.009365457, -0.02186143
 103594379, 0, 0.0215131, 0.01040847, -0.01508032, -0.01972861, 0.002887364, -0.003954077, 0.0192383, 0.015844, -0.009446169, -0.02168205
 103594379, 1, 0.02163947, 0.01062971, -0.01506994, -0.01994345, 0.002744215, -0.004145651, 0.01929928, 0.01607326, -0.009365457, -0.02186143
 103694339, 0, 0.02220882, 0.0108052, -0.01553084, -0.02040379, 0.002920606, -0.004145177, 0.01984091, 0.01640754, -0.009700499, -0.02240278
 103694339, 1, 0.02226398, 0.01112656, -0.01538739, -0.02063649, 0.002633336, -0.004465152, 0.01979449, 0.01669882, -0.009474055, -0.02255411
 103794299, 0, 0.02220882, 0.0108052, -0.01553084, -0.02040379, 0.002920606, -0.004145177, 0.01984091, 0.01640754, -0.009700499, -0.02240278
 103794299, 1, 0.02226398, 0.01112656, -0.01538739, -0.02063649, 0.002633336, -0.004465152, 0.01979449, 0.01669882, -0.009474055, -0.02255411
 103894259, 0, 0.02289452, 0.01120801, -0.01596759, -0.02107652, 0.002941586, -0.004345915, 0.02043102, 0.01697298, -0.009941143, -0.02311695
 103894259, 1, 0.02290587, 0.01123239, -0.01596387, -0.0210986, 0.002924213, -0.004367868, 0.02043503, 0.01699741, -0.009930052, -0.02313452
 103994219, 0, 0.02289452, 0.01120801, -0.01596759, -0.02107652, 0.002941586, -0.004345915, 0.02043102, 0.01697298, -0.009941143, -0.02311695
 103994219, 1, 0.02290587, 0.01123239, -0.01596387, -0.0210986, 0.002924213, -0.004367868, 0.02043503, 0.01699741, -0.009930052, -0.02313452
 104094179, 0, 0.02344902, 0.01153365, -0.01632083, -0.02162048, 0.002958638, -0.004508153, 0.02090825, 0.01743016, -0.01013582, -0.02369444
 104094179, 1, 0.02349543, 0.01168433, -0.01627412, -0.02174228, 0.002836647, -0.0046515, 0.02090809, 0.01757341, -0.01004712, -0.02378287
