Time,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,AHR2_Alt,AHR2_Lat,AHR2_Lng,AHR2_Q1,AHR2_Q2,AHR2_Q3,AHR2_Q4
 705920852, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957947, 0.0009719132, 0.0007351309, -0.09160482
 706020812, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957948, 0.0009798635, 0.00073993, -0.09160352
 706120772, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957947, 0.001018683, 0.0007659676, -0.09160381
 706221565, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957945, 0.001047182, 0.0007873261, -0.09160526
 706321525, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957945, 0.001044526, 0.0007876414, -0.09160503
 706421485, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957944, 0.001043709, 0.0007853393, -0.09160682
 706521445, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957947, 0.001041998, 0.0007848187, -0.09160455
 706621405, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957947, 0.00103999, 0.0007817509, -0.09160395
 706721365, 0.11, 0.1, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957948, 0.001038742, 0.0007832156, -0.09160276
 706821325, 0.11, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957948, 0.001035899, 0.0007804811, -0.09160218
 706921285, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957948, 0.001034259, 0.000777322, -0.09160275
 707021245, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957948, 0.001030823, 0.000775159, -0.09160298
 707121205, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957951, 0.001027552, 0.0007714487, -0.09160019
 707221165, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957954, 0.001022378, 0.0007686311, -0.09159629
 707321125, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957955, 0.001022578, 0.0007684088, -0.09159555
 707421085, 0.1, 0.09, 349.48, 558.04, 33.6216406, 72.9556851, 0.9957958, 0.001019621, 0.0007679957, -0.09159229
 707521045, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957961, 0.001017675, 0.0007666236, -0.09158918
 707621005, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957961, 0.001018272, 0.0007657135, -0.09158824
 707720965, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957961, 0.001016315, 0.0007632172, -0.09158849
 707820925, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957964, 0.001012753, 0.0007605344, -0.09158546
 707920885, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957963, 0.001012909, 0.0007556377, -0.09158713
 708020845, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957964, 0.001011779, 0.0007546702, -0.09158634
 708120805, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957963, 0.001011458, 0.0007551412, -0.09158681
 708220765, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957964, 0.00101338, 0.0007566371, -0.09158588
 708321558, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957967, 0.001011236, 0.0007544178, -0.09158287
 708421518, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957972, 0.001013195, 0.0007515442, -0.09157776
 708521478, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957971, 0.001014769, 0.0007510871, -0.0915782
 708621438, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957972, 0.001015504, 0.0007516581, -0.09157659
 708721398, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957972, 0.001014327, 0.0007510103, -0.09157678
 708821358, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957973, 0.001011866, 0.0007490237, -0.09157536
 708921318, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957976, 0.0010125, 0.000748929, -0.0915722
 709021278, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957977, 0.001010752, 0.0007452716, -0.0915718
 709121238, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957977, 0.00100994, 0.0007432276, -0.09157182
 709221198, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957976, 0.001007337, 0.0007447234, -0.09157261
 709321158, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957977, 0.0010063, 0.0007434419, -0.09157176
 709421118, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957979, 0.001006375, 0.00074301, -0.09156986
 709521078, 0.1, 0.09, 349.49, 558.04, 33.6216406, 72.9556851, 0.9957979, 0.001008345, 0.0007410193, -0.09156887
