Time,ATT_DesRoll,ATT_Roll,ATT_DesPitch,ATT_Pitch,ATT_DesYaw,ATT_Yaw,ATT_ErrRP,ATT_ErrYaw,ATT_AEKF
 705920852, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706020812, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706120772, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706221565, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706321525, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706421485, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706521445, 0, 0.06, 0, 0.08, 350.35, 350.36, 0, 0, 3
 706621405, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 706721365, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 706821325, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 706921285, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707021245, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707121205, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707221165, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707321125, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707421085, 0, 0.06, 0, 0.08, 350.36, 350.37, 0, 0, 3
 707521045, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 707621005, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 707720965, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 707820925, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 707920885, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 708020845, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 708120805, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 708220765, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 708321558, 0, 0.06, 0, 0.08, 350.37, 350.38, 0, 0, 3
 708421518, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 708521478, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 708621438, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 708721398, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 708821358, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 708921318, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 709021278, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 709121238, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 709221198, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 709321158, 0, 0.06, 0, 0.08, 350.38, 350.39, 0, 0, 3
 709421118, 0, 0.06, 0, 0.08, 350.39, 350.4, 0, 0, 3
 709521078, -0.04, 0.06, -0.04, 0.08, 350.39, 350.4, 0, 0, 3
 709621038, -0.12, 0.06, -0.12, 0.08, 350.39, 350.4, 0, 0, 3
 709720998, -0.15, 0.06, -0.15, 0.08, 350.39, 350.4, 0, 0, 3
 709820958, -0.16, 0.06, -0.17, 0.08, 350.39, 350.4, 0, 0, 3
 709920918, -0.16, 0.06, -0.17, 0.08, 350.39, 350.4, 0, 0, 3
 710020878, -0.16, 0.07, -0.17, 0.08, 350.39, 350.4, 0, 0, 3
 710120838, -0.16, 0.06, -0.16, 0.08, 350.39, 350.4, 0, 0, 3
 710220798, -0.15, 0.07, -0.16, 0.08, 350.39, 350.4, 0, 0, 3
 710321591, -0.15, 0.07, -0.15, 0.08, 350.39, 350.4, 0, 0, 3
 710421551, -0.15, 0.07, -0.15, 0.08, 350.39, 350.41, 0, 0, 3
 710521511, -0.15, 0.07, -0.15, 0.08, 350.39, 350.41, 0, 0, 3
 710621471, -0.15, 0.07, -0.16, 0.08, 350.39, 350.41, 0, 0, 3
 710721431, -0.15, -0.02, -0.16, -0.01, 350.39, 350.41, 0, 0, 3
 710821391, -0.13, -0.15, -0.13, -0.15, 350.39, 350.41, 0, 0, 3
 710921351, -0.07, -0.18, -0.07, -0.19, 350.39, 350.41, 0, 0, 3
 711021311, 0, -0.16, 0, -0.17, 350.39, 350.4, 0, 0, 3
 711121271, 0.06, -0.11, 0.08, -0.11, 350.39, 350.4, 0, 0, 3
 711221231, 0.12, -0.05, 0.15, -0.04, 350.39, 350.4, 0, 0, 3
 711321191, 0.17, 0, 0.2, 0.01, 350.39, 350.39, 0, 0, 3
 711421151, 0.2, 0.04, 0.23, 0.05, 350.39, 350.39, 0, 0, 3
 711521111, 0.22, 0.07, 0.25, 0.08, 350.39, 350.39, 0, 0, 3
 711621071, 0.23, 0.1, 0.26, 0.11, 350.39, 350.38, 0, 0, 3
 711721031, 0.25, 0.11, 0.27, 0.12, 350.39, 350.38, 0, 0, 3
 711820991, 0.26, 0.14, 0.27, 0.14, 350.39, 350.38, 0, 0, 3
 711920951, 0.26, 0.16, 0.28, 0.16, 350.39, 350.38, 0, 0, 3
 712020911, 0.26, 0.16, 0.27, 0.17, 350.39, 350.38, 0, 0, 3
 712120871, 0.26, 0.16, 0.27, 0.17, 349.34, 349.33, 0, 0, 3
 712220831, 0.25, 0.17, 0.26, 0.17, 349.34, 349.34, 0, 0, 3
 712320791, 0.25, 0.17, 0.26, 0.17, 349.34, 349.35, 0, 0, 3
 712421584, 0.24, 0.17, 0.25, 0.18, 349.34, 349.36, 0, 0, 3
 712521544, 0.24, 0.17, 0.25, 0.18, 349.34, 349.36, 0, 0, 3
 712621504, 0.23, 0.17, 0.23, 0.18, 349.34, 349.36, 0, 0, 3
 712721464, 0.22, 0.17, 0.23, 0.17, 349.34, 349.36, 0, 0, 3
 712821424, 0.2, 0.16, 0.21, 0.16, 349.34, 349.36, 0, 0, 3
 712921384, 0.19, 0.15, 0.2, 0.16, 349.34, 349.36, 0, 0, 3
 713021344, 0.17, 0.14, 0.18, 0.15, 349.34, 349.36, 0, 0, 3
 713121304, 0.16, 0.13, 0.17, 0.14, 349.34, 349.35, 0, 0, 3
 713221264, 0.15, 0.12, 0.16, 0.12, 349.34, 349.35, 0, 0, 3
 713321224, 0.14, 0.12, 0.15, 0.11, 349.34, 349.35, 0, 0, 3
 713421184, 0.13, 0.1, 0.14, 0.11, 349.34, 349.34, 0, 0, 3
 713521144, 0.12, 0.09, 0.13, 0.1, 349.34, 349.34, 0, 0, 3
 713621104, 0.11, 0.09, 0.12, 0.1, 349.34, 349.34, 0, 0, 3
 713721064, 0.11, 0.09, 0.12, 0.09, 349.34, 349.33, 0, 0, 3
 713821024, 0.09, 0.09, 0.11, 0.09, 349.34, 349.33, 0, 0, 3
 713920984, 0.09, 0.08, 0.11, 0.09, 349.34, 349.33, 0, 0, 3
 714020944, 0.08, 0.06, 0.11, 0.09, 349.34, 349.33, 0, 0, 3
 714120904, 0.08, 0.06, 0.1, 0.07, 349.34, 349.33, 0, 0, 3
 714220864, 0.08, 0.06, 0.1, 0.07, 349.34, 349.33, 0, 0, 3
