Time,BARO_I,BARO_Alt,BARO_Press,BARO_Temp,BARO_CRt,BARO_SMS,BARO_Offset,BARO_GndTemp,BARO_Health
 705920852, 0, -0.0273711, 94798.35, 31.37, 0, 705920, 0, 25.33701, 1
 705920852, 1, -0.09306176, 94799.46, 31.37, 0, 705920, 0, 25.33701, 1
 706020812, 0, -0.0273711, 94798.35, 31.37, 0, 706020, 0, 25.33701, 1
 706020812, 1, -0.04379377, 94798.88, 31.37, 0, 706020, 0, 25.33701, 1
 706120772, 0, -0.0273711, 94798.35, 31.37, 0, 706120, 0, 25.33701, 1
 706120772, 1, 0.04379377, 94797.95, 31.37, 0, 706120, 0, 25.33701, 1
 706221565, 0, -0.0273711, 94798.35, 31.37, 0, 706221, 0, 25.33701, 1
 706221565, 1, -0.147804, 94800.06, 31.37, 0, 706221, 0, 25.33701, 1
 706321525, 0, -0.0273711, 94798.35, 31.37, 0, 706321, 0, 25.33701, 1
 706321525, 1, 0.01915977, 94798.23, 31.37, 0, 706321, 0, 25.33701, 1
 706421485, 0, -0.0273711, 94798.35, 31.37, 0, 706421, 0, 25.33701, 1
 706421485, 1, -0.147804, 94800.06, 31.37, 0, 706421, 0, 25.33701, 1
 706521445, 0, -0.0273711, 94798.35, 31.37, 0, 706521, 0, 25.33701, 1
 706521445, 1, -0.2025462, 94800.6, 31.37, 0, 706521, 0, 25.33701, 1
 706621405, 0, -0.0273711, 94798.35, 31.37, 0, 706621, 0, 25.33701, 1
 706621405, 1, -0.03284533, 94798.77, 31.37, 0, 706621, 0, 25.33701, 1
 706721365, 0, -0.0273711, 94798.35, 31.37, 0, 706721, 0, 25.33701, 1
 706721365, 1, -0.1423298, 94800, 31.37, 0, 706721, 0, 25.33701, 1
 706821325, 0, -0.0273711, 94798.35, 31.37, 0, 706821, 0, 25.33701, 1
 706821325, 1, -0.1642266, 94800.21, 31.37, 0, 706821, 0, 25.33701, 1
 706921285, 0, -0.0273711, 94798.35, 31.37, 0, 706921, 0, 25.33701, 1
 706921285, 1, 0.08758754, 94797.47, 31.37, 0, 706921, 0, 25.33701, 1
 707021245, 0, -0.0273711, 94798.35, 31.37, 0, 707021, 0, 25.33701, 1
 707021245, 1, 0.1012731, 94797.32, 31.37, 0, 707021, 0, 25.33701, 1
 707121205, 0, -0.0273711, 94798.35, 31.37, 0, 707121, 0, 25.33701, 1
 707121205, 1, 0.07663909, 94797.59, 31.37, 0, 707121, 0, 25.33701, 1
 707221165, 0, -0.0273711, 94798.35, 31.37, 0, 707221, 0, 25.33701, 1
 707221165, 1, 0.008211331, 94798.35, 31.37, 0, 707221, 0, 25.33701, 1
 707321125, 0, -0.0273711, 94798.35, 31.37, 0, 707321, 0, 25.33701, 1
 707321125, 1, 0.0520051, 94797.87, 31.37, 0, 707321, 0, 25.33701, 1
 707421085, 0, -0.0273711, 94798.35, 31.37, 0, 707421, 0, 25.33701, 1
 707421085, 1, -0.09306176, 94799.46, 31.37, 0, 707421, 0, 25.33701, 1
 707521045, 0, -0.0273711, 94798.35, 31.37, 0, 707521, 0, 25.33701, 1
 707521045, 1, -0.005474221, 94798.5, 31.37, 0, 707521, 0, 25.33701, 1
 707621005, 0, -0.0273711, 94798.35, 31.37, 0, 707621, 0, 25.33701, 1
 707621005, 1, 0.00273711, 94798.41, 31.37, 0, 707621, 0, 25.33701, 1
 707720965, 0, -0.0273711, 94798.35, 31.37, 0, 707720, 0, 25.33701, 1
 707720965, 1, 0.01915977, 94798.23, 31.37, 0, 707720, 0, 25.33701, 1
 707820925, 0, -0.0273711, 94798.35, 31.37, 0, 707820, 0, 25.33701, 1
 707820925, 1, -0.04926799, 94798.98, 31.37, 0, 707820, 0, 25.33701, 1
 707920885, 0, -0.0273711, 94798.35, 31.37, 0, 707920, 0, 25.33701, 1
 707920885, 1, -0.08211331, 94799.3, 31.37, 0, 707920, 0, 25.33701, 1
 708020845, 0, -0.0273711, 94798.35, 31.37, 0, 708020, 0, 25.33701, 1
 708020845, 1, -0.197072, 94800.54, 31.37, 0, 708020, 0, 25.33701, 1
 708120805, 0, -0.0273711, 94798.35, 31.37, 0, 708120, 0, 25.33701, 1
 708120805, 1, -0.04379377, 94798.91, 31.37, 0, 708120, 0, 25.33701, 1
 708220765, 0, -0.0273711, 94798.35, 31.37, 0, 708220, 0, 25.33701, 1
 708220765, 1, -0.1204329, 94799.73, 31.37, 0, 708220, 0, 25.33701, 1
 708321558, 0, -0.0273711, 94798.35, 31.37, 0, 708321, 0, 25.33701, 1
