Time,GPA_I,GPA_VDop,GPA_HAcc,GPA_VAcc,GPA_SAcc,GPA_YAcc,GPA_VV,GPA_SMS,GPA_Delta
 706000820, 0, 2, 0.3, 0.3, 0.04, 0, 1, 705967, 200
 706201573, 0, 2, 0.3, 0.3, 0.04, 0, 1, 706167, 200
 706401493, 0, 2, 0.3, 0.3, 0.04, 0, 1, 706367, 200
 706601413, 0, 2, 0.3, 0.3, 0.04, 0, 1, 706567, 200
 706801333, 0, 2, 0.3, 0.3, 0.04, 0, 1, 706767, 200
 707001253, 0, 2, 0.3, 0.3, 0.04, 0, 1, 706967, 200
 707201173, 0, 2, 0.3, 0.3, 0.04, 0, 1, 707167, 200
 707401093, 0, 2, 0.3, 0.3, 0.04, 0, 1, 707367, 200
 707601013, 0, 2, 0.3, 0.3, 0.04, 0, 1, 707567, 200
 707800933, 0, 2, 0.3, 0.3, 0.04, 0, 1, 707767, 200
 708000853, 0, 2, 0.3, 0.3, 0.04, 0, 1, 707967, 200
 708200773, 0, 2, 0.3, 0.3, 0.04, 0, 1, 708167, 200
 708401526, 0, 2, 0.3, 0.3, 0.04, 0, 1, 708367, 200
 708601446, 0, 2, 0.3, 0.3, 0.04, 0, 1, 708567, 200
 708801366, 0, 2, 0.3, 0.3, 0.04, 0, 1, 708767, 200
 709001286, 0, 2, 0.3, 0.3, 0.04, 0, 1, 708967, 200
 709201206, 0, 2, 0.3, 0.3, 0.04, 0, 1, 709167, 200
 709401126, 0, 2, 0.3, 0.3, 0.04, 0, 1, 709367, 200
 709601046, 0, 2, 0.3, 0.3, 0.04, 0, 1, 709567, 200
 709800966, 0, 2, 0.3, 0.3, 0.04, 0, 1, 709767, 200
 710000886, 0, 2, 0.3, 0.3, 0.04, 0, 1, 709967, 200
 710200806, 0, 2, 0.3, 0.3, 0.04, 0, 1, 710167, 200
 710401559, 0, 2, 0.3, 0.3, 0.04, 0, 1, 710367, 200
 710601479, 0, 2, 0.3, 0.3, 0.04, 0, 1, 710567, 200
 710801399, 0, 2, 0.3, 0.3, 0.04, 0, 1, 710767, 200
 711001319, 0, 2, 0.3, 0.3, 0.04, 0, 1, 710967, 200
 711201239, 0, 2, 0.3, 0.3, 0.04, 0, 1, 711167, 200
 711401159, 0, 2, 0.3, 0.3, 0.04, 0, 1, 711367, 200
 711601079, 0, 2, 0.3, 0.3, 0.04, 0, 1, 711567, 200
 711800999, 0, 2, 0.3, 0.3, 0.04, 0, 1, 711767, 200
 712000919, 0, 2, 0.3, 0.3, 0.04, 0, 1, 711967, 200
 712200839, 0, 2, 0.3, 0.3, 0.04, 0, 1, 712167, 200
 712401592, 0, 2, 0.3, 0.3, 0.04, 0, 1, 712367, 200
 712601512, 0, 2, 0.3, 0.3, 0.04, 0, 1, 712567, 200
 712801432, 0, 2, 0.3, 0.3, 0.04, 0, 1, 712767, 200
 713001352, 0, 2, 0.3, 0.3, 0.04, 0, 1, 712967, 200
 713201272, 0, 2, 0.3, 0.3, 0.04, 0, 1, 713167, 200
 713401192, 0, 2, 0.3, 0.3, 0.04, 0, 1, 713367, 200
