Time,GPS_I,GPS_Status,GPS_GMS,GPS_GWk,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPS_VZ,GPS_Yaw,GPS_U
 706000820, 0, 6, 238397800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 706201573, 0, 6, 238398000, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 706401493, 0, 6, 238398200, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 706601413, 0, 6, 238398400, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 706801333, 0, 6, 238398600, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 707001253, 0, 6, 238398800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 707201173, 0, 6, 238399000, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 707401093, 0, 6, 238399200, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 707601013, 0, 6, 238399400, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 707800933, 0, 6, 238399600, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 708000853, 0, 6, 238399800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 708200773, 0, 6, 238400000, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 708401526, 0, 6, 238400200, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 708601446, 0, 6, 238400400, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 708801366, 0, 6, 238400600, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 709001286, 0, 6, 238400800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 709201206, 0, 6, 238401000, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 709401126, 0, 6, 238401200, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 261.8699, 0, 0, 1
 709601046, 0, 6, 238401400, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 125.8776, 0, 0, 1
 709800966, 0, 6, 238401600, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 126.19, 0, 0, 1
 710000886, 0, 6, 238401800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 305.2147, 0, 0, 1
 710200806, 0, 6, 238402000, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.09, 0, 306.4416, 0, 0, 1
 710401559, 0, 6, 238402200, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.1, 0, 307.1066, -0.093, 0, 1
 710601479, 0, 6, 238402400, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.14, 0, 307.2726, -0.322, 0, 1
 710801399, 0, 6, 238402600, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.24, 0.002, 306.6968, -0.85, 0, 1
 711001319, 0, 6, 238402800, 2220, 10, 1.21, 33.6216406, 72.9556851, 558.48, 0.01, 307.0252, -1.511, 0, 1
