Time,IMU_I,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_EG,IMU_EA,IMU_T,IMU_GH,IMU_AH,IMU_GHz,IMU_AHz
 705840884, 0, 0.001510902, 0.001466215, 0.001522171, -0.0008352606, -0.0009275508, -9.817382, 0, 0, 43.08689, 1, 1, 999, 999
 705840884, 1, 0.001647791, 0.001590227, 0.001774496, -0.00229092, -0.002110229, -9.818542, 0, 0, 43.08689, 1, 1, 760, 800
 705880868, 0, 0.001611548, 0.001486457, 0.001446128, -0.001391191, -0.001410493, -9.817402, 0, 0, 43.08714, 1, 1, 999, 999
 705880868, 1, 0.001564862, 0.001678875, 0.001523173, -0.001157004, -0.0002216548, -9.818773, 0, 0, 43.08714, 1, 1, 760, 800
 705920852, 0, 0.001576154, 0.001512504, 0.001471552, -0.00170937, -0.00140162, -9.817291, 0, 0, 43.08739, 1, 1, 999, 999
 705920852, 1, 0.001586632, 0.001553617, 0.00163864, -0.003942075, -0.002719618, -9.817256, 0, 0, 43.08739, 1, 1, 760, 800
 705960836, 0, 0.00151747, 0.001488278, 0.001493493, 2.807818E-05, -0.001127842, -9.818301, 0, 0, 43.08765, 1, 1, 999, 999
 705960836, 1, 0.001619231, 0.001492869, 0.001287083, -0.001390887, 0.0001267019, -9.817842, 0, 0, 43.08765, 1, 1, 760, 800
 706000820, 0, 0.001572262, 0.001505014, 0.001553316, -0.002032401, -0.0009834669, -9.817599, 0, 0, 43.08791, 1, 1, 999, 999
 706000820, 1, 0.001475167, 0.001756716, 0.001541042, -0.001184511, -0.002731861, -9.818568, 0, 0, 43.08791, 1, 1, 760, 800
 706040804, 0, 0.001495562, 0.001461526, 0.001461244, -0.001513945, -0.002120562, -9.817531, 0, 0, 43.08816, 1, 1, 999, 999
 706040804, 1, 0.00191578, 0.00135032, 0.001736383, 0.001447089, -0.001387801, -9.816668, 0, 0, 43.08816, 1, 1, 760, 800
 706080788, 0, 0.001514847, 0.001473335, 0.001439262, -0.001609612, -0.0004917237, -9.816792, 0, 0, 43.08842, 1, 1, 999, 999
 706080788, 1, 0.001358503, 0.001559244, 0.001670206, -0.002130695, -0.002096293, -9.816962, 0, 0, 43.08842, 1, 1, 760, 800
 706120772, 0, 0.001540959, 0.001468525, 0.001559996, -0.0003679323, -0.0007144093, -9.816276, 0, 0, 43.08867, 1, 1, 999, 999
 706120772, 1, 0.001830658, 0.001495882, 0.0013771, -7.195673E-05, -0.001486939, -9.815365, 0, 0, 43.08867, 1, 1, 760, 800
 706161589, 0, 0.001479285, 0.001596875, 0.001586006, -0.001549679, -0.001131585, -9.817603, 0, 0, 43.08893, 1, 1, 999, 999
 706161589, 1, 0.001247277, 0.001392201, 0.001282858, -0.001290666, -0.001642985, -9.817131, 0, 0, 43.08893, 1, 1, 760, 800
 706201573, 0, 0.001481215, 0.001524215, 0.001495441, -0.002340924, -0.001258679, -9.817286, 0, 0, 43.08919, 1, 1, 1000, 1000
 706201573, 1, 0.001539188, 0.001659265, 0.001520019, -0.003243484, 0.00107848, -9.816583, 0, 0, 43.08919, 1, 1, 760, 800
 706241557, 0, 0.001474814, 0.001520544, 0.001489028, -0.001175278, -0.0006890818, -9.818346, 0, 0, 43.08944, 1, 1, 1000, 1000
 706241557, 1, 0.001342366, 0.001681038, 0.001469262, -0.004270097, -0.0005943284, -9.818, 0, 0, 43.08944, 1, 1, 760, 800
 706281541, 0, 0.001513327, 0.001528107, 0.001571273, -0.0008387497, -0.0003626252, -9.817954, 0, 0, 43.08969, 1, 1, 1000, 1000
 706281541, 1, 0.001382711, 0.001673179, 0.001188161, -0.002655787, -0.0006555946, -9.815339, 0, 0, 43.08969, 1, 1, 760, 800
 706321525, 0, 0.001647481, 0.001580101, 0.001554646, -0.001184962, -0.000363764, -9.817724, 0, 0, 43.08995, 1, 1, 1000, 1000
 706321525, 1, 0.00157618, 0.001647785, 0.001564636, -0.001588843, -0.002059504, -9.818423, 0, 0, 43.08995, 1, 1, 760, 800
 706361509, 0, 0.001496083, 0.001496373, 0.001505701, -0.0006641448, -0.0006363566, -9.817937, 0, 0, 43.09021, 1, 1, 1000, 1000
 706361509, 1, 0.001365114, 0.001700768, 0.001565328, -1.059404E-05, -0.0004021367, -9.816566, 0, 0, 43.09021, 1, 1, 760, 800
 706401493, 0, 0.001480996, 0.001559104, 0.001427626, -0.0004724723, -0.001407961, -9.818266, 0, 0, 43.09046, 1, 1, 1000, 1000
 706401493, 1, 0.001623615, 0.001638259, 0.001422378, -0.001606965, -0.002211182, -9.815062, 0, 0, 43.09046, 1, 1, 760, 800
 706441477, 0, 0.001573377, 0.00157459, 0.001507449, -0.00137746, -0.002042447, -9.816605, 0, 0, 43.09071, 1, 1, 1000, 1000
 706441477, 1, 0.001392399, 0.00167914, 0.001510411, 0.0002614913, 0.002855606, -9.819868, 0, 0, 43.09071, 1, 1, 760, 800
 706481461, 0, 0.001503702, 0.00152302, 0.001540633, -0.0008431912, -0.00182766, -9.8178, 0, 0, 43.09097, 1, 1, 1000, 1000
 706481461, 1, 0.001358236, 0.001687062, 0.001463849, 0.0004517795, -0.003074915, -9.818548, 0, 0, 43.09097, 1, 1, 760, 800
 706521445, 0, 0.001547501, 0.001494999, 0.001567903, -5.986303E-05, -0.002285226, -9.817876, 0, 0, 43.09122, 1, 1, 1000, 1000
 706521445, 1, 0.001573536, 0.001481879, 0.001589339, -0.0002999424, -0.0004994202, -9.818167, 0, 0, 43.09122, 1, 1, 760, 800
 706561429, 0, 0.001518869, 0.001570388, 0.001462655, -0.0003698086, -0.0005017921, -9.817874, 0, 0, 43.09148, 1, 1, 1000, 1000
 706561429, 1, 0.001748291, 0.001580131, 0.001566554, 0.0001392527, -0.001148869, -9.816591, 0, 0, 43.09148, 1, 1, 760, 800
 706601413, 0, 0.001484077, 0.001528071, 0.001545213, -0.001212649, -0.001865145, -9.81698, 0, 0, 43.09173, 1, 1, 1000, 1000
 706601413, 1, 0.001543238, 0.001683495, 0.001344174, -0.001911712, 0.001228779, -9.818201, 0, 0, 43.09173, 1, 1, 760, 800
 706641397, 0, 0.001536158, 0.001522935, 0.001540316, -0.000956322, -0.0001380398, -9.817314, 0, 0, 43.09199, 1, 1, 1000, 1000
 706641397, 1, 0.001422968, 0.001808395, 0.001753832, 0.0005383286, 0.0008223595, -9.81774, 0, 0, 43.09199, 1, 1, 760, 800
 706681381, 0, 0.001575405, 0.001529269, 0.001596842, -0.0007989124, -0.0007952412, -9.818938, 0, 0, 43.09224, 1, 1, 1000, 1000
 706681381, 1, 0.001574616, 0.001779326, 0.001385446, -0.0002788207, -5.600832E-05, -9.817724, 0, 0, 43.09224, 1, 1, 760, 800
 706721365, 0, 0.001503977, 0.001555693, 0.001528645, -0.001413234, -0.001587587, -9.817368, 0, 0, 43.09249, 1, 1, 1000, 1000
 706721365, 1, 0.001739696, 0.00171606, 0.001675625, -4.207134E-05, -0.001324949, -9.817246, 0, 0, 43.09249, 1, 1, 760, 800
 706761349, 0, 0.001489399, 0.00156836, 0.001428975, 0.0003817708, -0.0007445621, -9.81592, 0, 0, 43.09275, 1, 1, 1000, 1000
 706761349, 1, 0.001380387, 0.001561406, 0.001563458, -0.002692639, -0.002438936, -9.815947, 0, 0, 43.09274, 1, 1, 760, 800
 706801333, 0, 0.001562094, 0.001535988, 0.001490581, -0.001115985, -0.000661274, -9.817893, 0, 0, 43.09301, 1, 1, 1000, 1000
