Time,MAG_I,MAG_MagX,MAG_MagY,MAG_MagZ,MAG_OfsX,MAG_OfsY,MAG_OfsZ,MAG_MOX,MAG_MOY,MAG_MOZ,MAG_Health,MAG_S
 705920852, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 705920852
 705920852, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 705920852
 705920852, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 705920852
 706020812, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706020812
 706020812, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706020812
 706020812, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706020812
 706120772, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706120772
 706120772, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706120772
 706120772, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706120772
 706221565, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706221565
 706221565, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706221565
 706221565, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706221565
 706321525, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706321525
 706321525, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706321525
 706321525, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706321525
 706421485, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706421485
 706421485, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706421485
 706421485, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706421485
 706521445, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706521445
 706521445, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706521445
 706521445, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706521445
 706621405, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706621405
 706621405, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706621405
 706621405, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706621405
 706721365, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706721365
 706721365, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706721365
 706721365, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706721365
 706821325, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706821325
 706821325, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706821325
 706821325, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706821325
 706921285, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706921285
 706921285, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706921285
 706921285, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 706921285
 707021245, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707021245
 707021245, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707021245
 707021245, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707021245
 707121205, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707121205
 707121205, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707121205
 707121205, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707121205
 707221165, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707221165
 707221165, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707221165
 707221165, 2, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707221165
 707321125, 0, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707321125
 707321125, 1, 301, 72, 395, 5, 13, -18, 0, 0, 0, 1, 707321125
