Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 706761349, 0, 15254, 2803, 0, 6, 0, 10453
 707763448, 0, 15315, 2806, 0, 6, 0, 10453
 708766380, 0, 15400, 2809, 0, 6, 0, 10453
 709768479, 0, 15464, 2813, 0, 6, 0, 10453
 710771411, 0, 15527, 2816, 0, 6, 0, 10453
 711773510, 0, 15590, 2819, 0, 6, 0, 10453
 712776442, 0, 15655, 2822, 0, 6, 0, 10453
 713778541, 0, 15718, 2825, 0, 6, 0, 10453
 714781473, 0, 15781, 2828, 0, 6, 0, 10453
 715783572, 0, 15848, 2834, 0, 6, 0, 10453
 716784005, 0, 15911, 2837, 0, 6, 0, 10453
 717786104, 0, 15974, 2840, 0, 6, 0, 10453
 718789036, 0, 16037, 2843, 0, 6, 0, 10453
 719791135, 0, 16100, 2846, 0, 6, 0, 10453
 720794067, 0, 16163, 2860, 0, 6, 0, 10453
 721796166, 0, 16226, 2863, 0, 6, 0, 10453
 722798265, 0, 16289, 2866, 0, 6, 0, 10453
 723801197, 0, 16352, 2869, 0, 6, 0, 10453
 724803296, 0, 16415, 2872, 0, 6, 0, 10453
 725806228, 0, 16484, 2877, 0, 6, 0, 10453
 726808327, 0, 16547, 2880, 0, 6, 0, 10453
 727811259, 0, 16610, 2883, 0, 6, 0, 10453
 728813358, 0, 16673, 2886, 0, 6, 0, 10453
 729816290, 0, 16736, 2889, 0, 6, 0, 10453
 730818389, 0, 16799, 2892, 0, 6, 0, 10453
 731821321, 0, 16862, 2895, 0, 6, 0, 10453
 732823420, 0, 16925, 2898, 0, 6, 0, 10453
 733826352, 0, 16988, 2901, 0, 6, 0, 10453
 734828451, 0, 17055, 2904, 0, 6, 0, 10453
 735831383, 0, 17145, 2910, 0, 6, 0, 10453
 736833482, 0, 17258, 2913, 0, 6, 0, 10453
 737836414, 0, 17373, 2916, 0, 6, 0, 10453
 738838513, 0, 17486, 2919, 0, 6, 0, 10453
 739841445, 0, 17599, 2922, 0, 6, 0, 10453
 740843544, 0, 17712, 2925, 0, 6, 0, 10453
 741846476, 0, 17825, 2928, 0, 6, 0, 10453
 742848575, 0, 17938, 2931, 0, 6, 0, 10453
 743849008, 0, 18027, 2944, 0, 6, 0, 10453
 744851107, 0, 18092, 2947, 0, 6, 0, 10453
 745854039, 0, 18158, 2952, 0, 6, 0, 10453
 746856138, 0, 18223, 2955, 0, 6, 0, 10453
 747859070, 0, 18288, 2958, 0, 6, 0, 10453
 748861169, 0, 18353, 2961, 0, 6, 0, 10453
 749863268, 0, 18418, 2964, 0, 6, 0, 10453
 750866200, 0, 18507, 2968, 0, 6, 0, 10453
 751868299, 0, 18620, 2971, 0, 6, 0, 10453
 752871231, 0, 18733, 2974, 0, 6, 0, 10453
 753873330, 0, 18846, 2977, 0, 6, 0, 10453
 754876262, 0, 18959, 2980, 0, 6, 0, 10453
 755878361, 0, 19073, 2985, 0, 6, 0, 10453
 756881293, 0, 19186, 2988, 0, 6, 0, 10453
 757883392, 0, 19302, 2991, 0, 6, 0, 10453
 758886324, 0, 19391, 3004, 0, 6, 0, 10453
 759888423, 0, 19456, 3007, 0, 6, 0, 10453
 760891355, 0, 19521, 3010, 0, 6, 0, 10453
 761893454, 0, 19586, 3013, 0, 6, 0, 10453
 762896386, 0, 19651, 3016, 0, 6, 0, 10453
 763898485, 0, 19716, 3019, 0, 6, 0, 10453
 764901417, 0, 19781, 3022, 0, 6, 0, 10453
 765903516, 0, 19871, 3028, 0, 6, 0, 10453
 766906448, 0, 19984, 3031, 0, 6, 0, 10453
 767908547, 0, 20099, 3034, 0, 6, 0, 10453
 768911479, 0, 20212, 3037, 0, 6, 0, 10453
 769913578, 0, 20325, 3040, 0, 6, 0, 10453
 770914011, 0, 20438, 3043, 0, 6, 0, 10453
 771916110, 0, 20551, 3046, 0, 6, 0, 10453
 772919042, 0, 20664, 3049, 0, 6, 0, 10453
 773921141, 0, 20777, 3052, 0, 6, 0, 10453
 774924073, 0, 20891, 3055, 0, 6, 0, 10453
 775926172, 0, 21004, 3060, 0, 6, 0, 10453
 776928271, 0, 21117, 3063, 0, 6, 0, 10453
 777931203, 0, 21230, 3066, 0, 6, 0, 10453
 778933302, 0, 21343, 3069, 0, 6, 0, 10453
 779936234, 0, 21456, 3072, 0, 6, 0, 10453
 780938333, 0, 21569, 3076, 0, 6, 0, 10453
 781941265, 0, 21682, 3089, 0, 6, 0, 10453
 782943364, 0, 21747, 3092, 0, 6, 0, 10453
 783946296, 0, 21812, 3095, 0, 6, 0, 10453
 784948395, 0, 21878, 3100, 0, 6, 0, 10453
 785951327, 0, 21943, 3103, 0, 6, 0, 10453
 786953426, 0, 22008, 3106, 0, 6, 0, 10453
 787956358, 0, 22073, 3109, 0, 6, 0, 10453
 788958457, 0, 22138, 3112, 0, 6, 0, 10453
 789961389, 0, 22203, 3115, 0, 6, 0, 10453
 790963488, 0, 22268, 3118, 0, 6, 0, 10453
 791966420, 0, 22333, 3121, 0, 6, 0, 10453
 792968519, 0, 22398, 3124, 0, 6, 0, 10453
 793971451, 0, 22466, 3127, 0, 6, 0, 10453
 794973550, 0, 22532, 3132, 0, 6, 0, 10453
 795976482, 0, 22597, 3136, 0, 6, 0, 10453
 796978581, 0, 22686, 3149, 0, 6, 0, 10453
 797979014, 0, 22751, 3152, 0, 6, 0, 10453
 798981113, 0, 22818, 3155, 0, 6, 0, 10453
 799984045, 0, 22883, 3158, 0, 6, 0, 10453
 800986144, 0, 22948, 3161, 0, 6, 0, 10453
 801989076, 0, 23013, 3164, 0, 6, 0, 10453
 802991175, 0, 23078, 3167, 0, 6, 0, 10453
 803993274, 0, 23143, 3170, 0, 6, 0, 10453
 804996206, 0, 23209, 3175, 0, 6, 0, 10453
 805998305, 0, 23274, 3178, 0, 6, 0, 10453
 807001237, 0, 23339, 3181, 0, 6, 0, 10453
 808003336, 0, 23404, 3184, 0, 6, 0, 10453
 809006268, 0, 23469, 3187, 0, 6, 0, 10453
 810008367, 0, 23534, 3190, 0, 6, 0, 10453
 811011299, 0, 23623, 3194, 0, 6, 0, 10453
 812013398, 0, 23736, 3197, 0, 6, 0, 10453
 813016330, 0, 23849, 3200, 0, 6, 0, 10453
 814018429, 0, 23965, 3203, 0, 6, 0, 10453
 815021361, 0, 24079, 3208, 0, 6, 0, 10453
 816023460, 0, 24192, 3211, 0, 6, 0, 10453
 817026392, 0, 24305, 3214, 0, 6, 0, 10453
 818028491, 0, 24418, 3217, 0, 6, 0, 10453
 819031423, 0, 24531, 3220, 0, 6, 0, 10453
 820033522, 0, 24644, 3233, 0, 6, 0, 10453
 821036454, 0, 24709, 3236, 0, 6, 0, 10453
 822038553, 0, 24774, 3239, 0, 6, 0, 10453
 823041485, 0, 24839, 3242, 0, 6, 0, 10453
 824043584, 0, 24904, 3245, 0, 6, 0, 10453
 825044017, 0, 24970, 3250, 0, 6, 0, 10453
 826046116, 0, 25035, 3254, 0, 6, 0, 10453
 827049048, 0, 25148, 3257, 0, 6, 0, 10453
 828051147, 0, 25261, 3260, 0, 6, 0, 10453
 829054079, 0, 25374, 3263, 0, 6, 0, 10453
 830056178, 0, 25517, 3266, 0, 6, 0, 10453
 831058277, 0, 25630, 3269, 0, 6, 0, 10453
 832061209, 0, 25743, 3272, 0, 6, 0, 10453
 833063308, 0, 25857, 3276, 0, 6, 0, 10453
 834066240, 0, 25970, 3279, 0, 6, 0, 10453
 835068339, 0, 26036, 3294, 0, 6, 0, 10453
 836071271, 0, 26101, 3297, 0, 6, 0, 10453
 837073370, 0, 26166, 3300, 0, 6, 0, 10453
 838076302, 0, 26231, 3303, 0, 6, 0, 10453
 839078401, 0, 26297, 3307, 0, 6, 0, 10453
 840081333, 0, 26362, 3310, 0, 6, 0, 10453
 841083432, 0, 26475, 3314, 0, 6, 0, 10453
 842086364, 0, 26588, 3317, 0, 6, 0, 10453
 843088463, 0, 26701, 3320, 0, 6, 0, 10453
 844091395, 0, 26814, 3323, 0, 6, 0, 10453
 845093494, 0, 26928, 3328, 0, 6, 0, 10453
 846096426, 0, 27041, 3331, 0, 6, 0, 10453
 847098525, 0, 27154, 3334, 0, 6, 0, 10453
 848101457, 0, 27267, 3337, 0, 6, 0, 10453
 849103556, 0, 27380, 3340, 0, 6, 0, 10453
 850106488, 0, 27493, 3343, 0, 6, 0, 10453
 851108587, 0, 27606, 3346, 0, 6, 0, 10453
 852109020, 0, 27722, 3349, 0, 6, 0, 10453
 853111119, 0, 27835, 3352, 0, 6, 0, 10453
 854114051, 0, 27948, 3355, 0, 6, 0, 10453
 855116150, 0, 28062, 3360, 0, 6, 0, 10453
 856119082, 0, 28175, 3364, 0, 6, 0, 10453
 857121181, 0, 28288, 3367, 0, 6, 0, 10453
 858123280, 0, 28377, 3380, 0, 6, 0, 10453
 859126212, 0, 28442, 3382, 0, 6, 0, 10453
 860128311, 0, 28507, 3385, 0, 6, 0, 10453
 861131243, 0, 28574, 3388, 0, 6, 0, 10453
 862133342, 0, 28639, 3391, 0, 6, 0, 10453
 863136274, 0, 28704, 3394, 0, 6, 0, 10453
 864138373, 0, 28769, 3397, 0, 6, 0, 10453
 865141305, 0, 28835, 3402, 0, 6, 0, 10453
 866143404, 0, 28900, 3405, 0, 6, 0, 10453
 867146336, 0, 28965, 3408, 0, 6, 0, 10453
 868148435, 0, 29030, 3411, 0, 6, 0, 10453
 869151367, 0, 29095, 3414, 0, 6, 0, 10453
 870153466, 0, 29160, 3417, 0, 6, 0, 10453
 871156398, 0, 29249, 3421, 0, 6, 0, 10453
 872158497, 0, 29362, 3424, 0, 6, 0, 10453
 873161429, 0, 29427, 3439, 0, 6, 0, 10453
 874163528, 0, 29491, 3442, 0, 6, 0, 10453
 875166460, 0, 29555, 3447, 0, 6, 0, 10453
 876168559, 0, 29618, 3450, 0, 6, 0, 10453
 877171491, 0, 29681, 3453, 0, 6, 0, 10453
 878173590, 0, 29744, 3456, 0, 6, 0, 10453
 879174023, 0, 29807, 3459, 0, 6, 0, 10453
 880176122, 0, 29870, 3462, 0, 6, 0, 10453
 881179054, 0, 29933, 3465, 0, 6, 0, 10453
 882181153, 0, 29996, 3468, 0, 6, 0, 10453
 883184085, 0, 30059, 3473, 0, 6, 0, 10453
 884186184, 0, 30122, 3476, 0, 6, 0, 10453
 885188283, 0, 30186, 3481, 0, 6, 0, 10453
 886191215, 0, 30295, 3485, 0, 6, 0, 10453
 887193314, 0, 30404, 3488, 0, 6, 0, 10453
 888196246, 0, 30513, 3491, 0, 6, 0, 10453
 889198345, 0, 30622, 3494, 0, 6, 0, 10453
 890201277, 0, 30731, 3497, 0, 6, 0, 10453
 891203376, 0, 30840, 3500, 0, 6, 0, 10453
 892206308, 0, 30951, 3503, 0, 6, 0, 10453
 893208407, 0, 31060, 3506, 0, 6, 0, 10453
 894211339, 0, 31169, 3509, 0, 6, 0, 10453
 895213438, 0, 31279, 3514, 0, 6, 0, 10453
 896216370, 0, 31365, 3527, 0, 6, 0, 10453
 897218469, 0, 31428, 3530, 0, 6, 0, 10453
 898221401, 0, 31491, 3533, 0, 6, 0, 10453
 899223500, 0, 31554, 3536, 0, 6, 0, 10453
 900226432, 0, 31617, 3540, 0, 6, 0, 10453
 901228531, 0, 31703, 3543, 0, 6, 0, 10453
 902231463, 0, 31812, 3546, 0, 6, 0, 10453
 903233562, 0, 31921, 3549, 0, 6, 0, 10453
 904236494, 0, 32030, 3552, 0, 6, 0, 10453
 905238593, 0, 32140, 3557, 0, 6, 0, 10453
 906239026, 0, 32249, 3560, 0, 6, 0, 10453
 907241125, 0, 32358, 3563, 0, 6, 0, 10453
 908244057, 0, 32467, 3566, 0, 6, 0, 10453
