Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 705920852, 0.9728804, 0.983456, 1, 0.03448708, 2
 706020812, 0.9728804, 0.983456, 1, 0.03448708, 2
 706120772, 0.9728804, 0.983456, 1, 0.03448708, 2
 706221565, 0.9728804, 0.983456, 1, 0.03448708, 2
 706321525, 0.9728804, 0.983456, 1, 0.03448708, 2
 706421485, 0.9728804, 0.983456, 1, 0.03448708, 2
 706521445, 0.9728804, 0.983456, 1, 0.03448708, 2
 706621405, 0.9728804, 0.983456, 1, 0.03448708, 2
 706721365, 0.9728804, 0.983456, 1, 0.03448708, 2
 706821325, 0.9728804, 0.983456, 1, 0.03448708, 2
 706921285, 0.9728804, 0.983456, 1, 0.03448708, 2
 707021245, 0.9728804, 0.983456, 1, 0.03448708, 2
 707121205, 0.9728804, 0.983456, 1, 0.03448708, 2
 707221165, 0.9728804, 0.983456, 1, 0.03448708, 2
 707321125, 0.9728804, 0.983456, 1, 0.03448708, 2
 707421085, 0.9728804, 0.983456, 1, 0.03448708, 2
 707521045, 0.9728804, 0.983456, 1, 0.03448708, 2
 707621005, 0.9728804, 0.983456, 1, 0.03448708, 2
 707720965, 0.9728804, 0.983456, 1, 0.03448708, 2
 707820925, 0.9728804, 0.983456, 1, 0.03448708, 2
 707920885, 0.9728804, 0.983456, 1, 0.03448708, 2
 708020845, 0.9728804, 0.983456, 1, 0.03448708, 2
 708120805, 0.9728804, 0.983456, 1, 0.03448708, 2
 708220765, 0.9728804, 0.983456, 1, 0.03448708, 2
 708321558, 0.9728804, 0.983456, 1, 0.03448708, 2
 708421518, 0.9728804, 0.983456, 1, 0.03448708, 2
 708521478, 0.9728804, 0.983456, 1, 0.03448708, 2
 708621438, 0.9728804, 0.983456, 1, 0.03448708, 2
 708721398, 0.9728804, 0.983456, 1, 0.03448708, 2
 708821358, 0.9728804, 0.983456, 1, 0.03448708, 2
 708921318, 0.9728804, 0.983456, 1, 0.03448708, 2
 709021278, 0.9728804, 0.983456, 1, 0.03448708, 2
 709121238, 0.9728804, 0.983456, 1, 0.03448708, 2
 709221198, 0.9728804, 0.983456, 1, 0.03448708, 2
 709321158, 0.9728804, 0.983456, 1, 0.03448708, 2
 709421118, 0.9728804, 0.983456, 1, 0.03448708, 2
 709521078, 0.9728804, 0.983456, 1, 0.06965221, 2
 709621038, 0.9728804, 0.983456, 1, 0.1597689, 2
 709720998, 0.9729435, 0.9834948, 1, 0.2200531, 2
 709820958, 0.9731252, 0.9836063, 1, 0.2434179, 2
 709920918, 0.9734066, 0.9837791, 1, 0.2712631, 2
 710020878, 0.9737743, 0.9840049, 1, 0.3035961, 2
 710120838, 0.9742171, 0.9842765, 1, 0.3406988, 2
 710220798, 0.9747306, 0.9845917, 1, 0.4195453, 2
 710321591, 0.9753499, 0.9849715, 1, 0.4287772, 2
 710421551, 0.9759586, 0.9853448, 1, 0.4739169, 2
 710521511, 0.9765236, 0.9856912, 1, 0.5240107, 2
 710621471, 0.9770799, 0.9860321, 1, 0.5766595, 2
 710721431, 0.9776457, 0.9863788, 1, 0.3611059, 2
 710821391, 0.9779295, 0.9865527, 1, 0.3217264, 2
 710921351, 0.9776857, 0.9864033, 1, 0.3447986, 2
