Time,POS_Lat,POS_Lng,POS_Alt,POS_RelHomeAlt,POS_RelOriginAlt
 705920852, 33.6216405, 72.9556852, 558.07, 0.003294664, -0.02670534
 706020812, 33.6216405, 72.9556852, 558.07, 0.003301138, -0.02669886
 706120772, 33.6216405, 72.9556852, 558.07, 0.003310241, -0.02668976
 706221565, 33.6216405, 72.9556852, 558.07, 0.003318196, -0.0266818
 706321525, 33.6216405, 72.9556852, 558.07, 0.003327766, -0.02667223
 706421485, 33.6216405, 72.9556852, 558.07, 0.003342554, -0.02665745
 706521445, 33.6216405, 72.9556852, 558.07, 0.003357746, -0.02664225
 706621405, 33.6216405, 72.9556852, 558.07, 0.003375478, -0.02662452
 706721365, 33.6216405, 72.9556852, 558.07, 0.003388647, -0.02661135
 706821325, 33.6216405, 72.9556852, 558.07, 0.003404124, -0.02659588
 706921285, 33.6216405, 72.9556852, 558.07, 0.003418962, -0.02658104
 707021245, 33.6216405, 72.9556852, 558.07, 0.003433481, -0.02656652
 707121205, 33.6216406, 72.9556852, 558.07, 0.003442314, -0.02655769
 707221165, 33.6216405, 72.9556852, 558.07, 0.003452802, -0.0265472
 707321125, 33.6216406, 72.9556852, 558.07, 0.003465842, -0.02653416
 707421085, 33.6216405, 72.9556852, 558.07, 0.003483497, -0.0265165
 707521045, 33.6216406, 72.9556852, 558.07, 0.003500214, -0.02649979
 707621005, 33.6216405, 72.9556852, 558.07, 0.003519056, -0.02648094
 707720965, 33.6216406, 72.9556852, 558.07, 0.003535174, -0.02646483
 707820925, 33.6216405, 72.9556852, 558.07, 0.003552321, -0.02644768
 707920885, 33.6216406, 72.9556852, 558.07, 0.003568098, -0.0264319
 708020845, 33.6216405, 72.9556852, 558.07, 0.003584554, -0.02641544
 708120805, 33.6216406, 72.9556852, 558.07, 0.003594706, -0.02640529
 708220765, 33.6216405, 72.9556852, 558.07, 0.003607361, -0.02639264
 708321558, 33.6216406, 72.9556852, 558.07, 0.003620565, -0.02637943
 708421518, 33.6216405, 72.9556852, 558.07, 0.003636295, -0.0263637
 708521478, 33.6216406, 72.9556852, 558.07, 0.00364616, -0.02635384
 708621438, 33.6216405, 72.9556852, 558.07, 0.003661836, -0.02633816
 708721398, 33.6216406, 72.9556852, 558.07, 0.003677633, -0.02632237
 708821358, 33.6216405, 72.9556852, 558.07, 0.003695078, -0.02630492
 708921318, 33.6216406, 72.9556852, 558.07, 0.003708472, -0.02629153
 709021278, 33.6216405, 72.9556852, 558.07, 0.003724642, -0.02627536
 709121238, 33.6216406, 72.9556852, 558.07, 0.00373848, -0.02626152
 709221198, 33.6216405, 72.9556852, 558.07, 0.00375841, -0.02624159
 709321158, 33.6216406, 72.9556852, 558.07, 0.003774289, -0.02622571
 709421118, 33.6216405, 72.9556852, 558.07, 0.00378927, -0.02621073
 709521078, 33.6216406, 72.9556852, 558.07, 0.003795732, -0.02620427
 709621038, 33.6216406, 72.9556852, 558.07, 0.003805149, -0.02619485
 709720998, 33.6216406, 72.9556852, 558.07, 0.003808349, -0.02619165
 709820958, 33.6216405, 72.9556852, 558.07, 0.003820645, -0.02617935
 709920918, 33.6216406, 72.9556852, 558.07, 0.00382573, -0.02617427
 710020878, 33.6216405, 72.9556852, 558.07, 0.003834091, -0.02616591
 710120838, 33.6216406, 72.9556852, 558.07, 0.003836799, -0.0261632
 710220798, 33.6216405, 72.9556852, 558.07, 0.003854444, -0.02614556
 710321591, 33.6216406, 72.9556852, 558.07, 0.008314071, -0.02168593
 710421551, 33.6216405, 72.9556852, 558.09, 0.0254083, -0.004591702
 710521511, 33.6216405, 72.9556852, 558.12, 0.05636933, 0.02636933
 710621471, 33.6216405, 72.9556852, 558.17, 0.1006785, 0.07067847
 710721431, 33.6216405, 72.9556852, 558.23, 0.1636829, 0.1336829
 710821391, 33.6216405, 72.9556852, 558.35, 0.2800449, 0.2500449
 710921351, 33.6216406, 72.9556852, 558.5, 0.4389461, 0.4089461
 711021311, 33.6216406, 72.9556852, 558.68, 0.616461, 0.5864611
 711121271, 33.6216406, 72.9556852, 558.86, 0.7963479, 0.7663479
 711221231, 33.6216406, 72.9556852, 559.05, 0.9839341, 0.9539341
 711321191, 33.6216406, 72.9556852, 559.25, 1.181049, 1.151049
 711421151, 33.6216406, 72.9556852, 559.45, 1.389942, 1.359942
 711521111, 33.6216406, 72.9556852, 559.67, 1.608319, 1.578319
