Time,PSCD_TPD,PSCD_PD,PSCD_DVD,PSCD_TVD,PSCD_VD,PSCD_DAD,PSCD_TAD,PSCD_AD
 705920852, 0.02670534, 0.02670534, -0.0002558957, -0.0002558957, -0.0002558957, 0.0001373291, 0.0001373291, 0.0001373291
 706020812, 0.02669886, 0.02669886, -0.0003188826, -0.0003188826, -0.0003188826, -0.0004329681, -0.0004329681, -0.0004329681
 706120772, 0.02668976, 0.02668976, -0.0002489221, -0.0002489221, -0.0002489221, 0.001145363, 0.001145363, 0.001145363
 706221565, 0.0266818, 0.0266818, -0.000251473, -0.000251473, -0.000251473, -0.001015663, -0.001015663, -0.001015663
 706321525, 0.02667223, 0.02667223, -0.0002710091, -0.0002710091, -0.0002710091, -0.0003051758, -0.0003051758, -0.0003051758
 706421485, 0.02665745, 0.02665745, -0.000325686, -0.000325686, -0.000325686, -0.0003194809, -0.0003194809, -0.0003194809
 706521445, 0.02664225, 0.02664225, -0.000325502, -0.000325502, -0.000325502, -0.0004758835, -0.0004758835, -0.0004758835
 706621405, 0.02662452, 0.02662452, -0.0003074078, -0.0003074078, -0.0003074078, 0.0009260178, 0.0009260178, 0.0009260178
 706721365, 0.02661135, 0.02661135, -0.0003171223, -0.0003171223, -0.0003171223, 3.528595E-05, 3.528595E-05, 3.528595E-05
 706821325, 0.02659588, 0.02659588, -0.0003160979, -0.0003160979, -0.0003160979, 0.0001134872, 0.0001134872, 0.0001134872
 706921285, 0.02658104, 0.02658104, -0.0003544487, -0.0003544487, -0.0003544487, 0.0001688004, 0.0001688004, 0.0001688004
 707021245, 0.02656652, 0.02656652, -0.0002990162, -0.0002990162, -0.0002990162, 0.0002164841, 0.0002164841, 0.0002164841
 707121205, 0.02655769, 0.02655769, -0.0002907189, -0.0002907189, -0.0002907189, -0.0004854202, -0.0004854202, -0.0004854202
 707221165, 0.0265472, 0.0265472, -0.0003226946, -0.0003226946, -0.0003226946, -0.001040459, -0.001040459, -0.001040459
 707321125, 0.02653416, 0.02653416, -0.0003525646, -0.0003525646, -0.0003525646, -0.0007448196, -0.0007448196, -0.0007448196
 707421085, 0.0265165, 0.0265165, -0.0003860815, -0.0003860815, -0.0003860815, -0.00086689, -0.00086689, -0.00086689
 707521045, 0.02649979, 0.02649979, -0.0003845937, -0.0003845937, -0.0003845937, -0.0006046295, -0.0006046295, -0.0006046295
 707621005, 0.02648094, 0.02648094, -0.0004031488, -0.0004031488, -0.0004031488, 4.959106E-05, 4.959106E-05, 4.959106E-05
 707720965, 0.02646482, 0.02646482, -0.000380975, -0.000380975, -0.000380975, 0.001249313, 0.001249313, 0.001249313
 707820925, 0.02644768, 0.02644768, -0.0004094619, -0.0004094619, -0.0004094619, -0.0008745193, -0.0008745193, -0.0008745193
 707920885, 0.0264319, 0.0264319, -0.0004155284, -0.0004155284, -0.0004155284, 0.0002555847, 0.0002555847, 0.0002555847
 708020845, 0.02641544, 0.02641544, -0.000396075, -0.000396075, -0.000396075, -4.1008E-05, -4.1008E-05, -4.1008E-05
 708120805, 0.02640529, 0.02640529, -0.0003691894, -0.0003691894, -0.0003691894, 0.0004463196, 0.0004463196, 0.0004463196
 708220765, 0.02639264, 0.02639264, -0.0004010313, -0.0004010313, -0.0004010313, -0.0003128052, -0.0003128052, -0.0003128052
 708321558, 0.02637943, 0.02637943, -0.0004487653, -0.0004487653, -0.0004487653, -0.001046181, -0.001046181, -0.001046181
 708421518, 0.0263637, 0.0263637, -0.0003836601, -0.0003836601, -0.0003836601, 0.001442909, 0.001442909, 0.001442909
 708521478, 0.02635384, 0.02635384, -0.0004195987, -0.0004195987, -0.0004195987, -2.861023E-05, -2.861023E-05, -2.861023E-05
 708621438, 0.02633816, 0.02633816, -0.0004897921, -0.0004897921, -0.0004897921, -0.001796722, -0.001796722, -0.001796722
 708721398, 0.02632237, 0.02632237, -0.0004537584, -0.0004537584, -0.0004537584, 8.773804E-05, 8.773804E-05, 8.773804E-05
 708821358, 0.02630492, 0.02630492, -0.0004773188, -0.0004773188, -0.0004773188, -7.534027E-05, -7.534027E-05, -7.534027E-05
 708921318, 0.02629153, 0.02629153, -0.0004531011, -0.0004531011, -0.0004531011, 0.0001134872, 0.0001134872, 0.0001134872
 709021278, 0.02627536, 0.02627536, -0.000516446, -0.000516446, -0.000516446, -0.001348495, -0.001348495, -0.001348495
 709121238, 0.02626152, 0.02626152, -0.0005097429, -0.0005097429, -0.0005097429, -0.0007772446, -0.0007772446, -0.0007772446
 709221198, 0.02624159, 0.02624159, -0.0005306721, -0.0005306721, -0.0005306721, 0.0002365112, 0.0002365112, 0.0002365112
 709321158, 0.02622571, 0.02622571, -0.00054297, -0.00054297, -0.00054297, -0.0003499985, -0.0003499985, -0.0003499985
 709421118, 0.02621073, 0.02621073, -0.0004660853, -0.0004660853, -0.0004660853, 0.0003576279, 0.0003576279, 0.0003576279
 709521078, 0.02613187, 0.02620427, -0.004715845, -0.004788244, -0.0004640892, -0.2126564, -0.2199361, 0.0004920959
 709621038, 0.02379465, 0.02619485, -0.05035649, -0.05275668, -0.0004497993, -0.7126564, -0.8825499, 0.0005874634
 709720998, 0.01445196, 0.02619165, -0.1417405, -0.1534802, -0.0004341676, -1, -1.596118, -0.000535965
 709820958, -0.004722091, 0.02617935, -0.2417405, -0.2726419, -0.0004524392, -1, -2.168938, 0.0002717972
 709920918, -0.03389614, 0.02617427, -0.3417405, -0.4018109, -0.0004202507, -1, -2.79865, 0.0006608963
 710020878, -0.07307018, 0.02616591, -0.4417405, -0.5409766, -0.0004053848, -1, -3.478658, 0
 710120838, -0.1222442, 0.0261632, -0.5417405, -0.6901479, -0.0004003515, -1, -4.208602, 0.0001020432
 710220798, -0.1814183, 0.02614556, -0.6417405, -0.8493043, -0.002241208, -1, -4.987022, -0.05776119
 710321591, -0.2505924, 0.02168593, -0.7417405, -1.014019, -0.1031836, -1, -5.477939, -1.293248
 710421551, -0.3297664, 0.004591702, -0.8417405, -1.176099, -0.2397657, -1, -5.645428, -1.382483
 710521511, -0.4189405, -0.02636933, -0.9417405, -1.334312, -0.376795, -1, -5.757128, -1.355765
 710621471, -0.5181146, -0.07067847, -1.04174, -1.489177, -0.5091956, -1, -5.866682, -1.304306
 710721431, -0.6272886, -0.1336829, -1.14174, -1.635346, -0.8831377, -1, -5.323939, -6.065691
 710821391, -0.7464628, -0.2500449, -1.24174, -1.738158, -1.421505, -1, -3.211617, -4.505237
 710921351, -0.8756368, -0.4089461, -1.34174, -1.808431, -1.708586, -1, -1.781557, -1.93654
 711021311, -1.014811, -0.5864611, -1.44174, -1.87009, -1.806341, -1, -1.346719, -0.564991
 711121271, -1.163985, -0.7663479, -1.54174, -1.939377, -1.844708, -1, -1.427535, -0.406188
 711221231, -1.323159, -0.9539341, -1.64174, -2.010966, -1.904074, -1, -1.525624, -0.7396793
 711321191, -1.492333, -1.151049, -1.74174, -2.083025, -1.99617, -1, -1.47235, -1.009849
