Time,PSCE_TPE,PSCE_PE,PSCE_DVE,PSCE_TVE,PSCE_VE,PSCE_DAE,PSCE_TAE,PSCE_AE
 705920852, 0.02466191, 0.02466191, 0.01930242, 0.01930242, 0.01930242, 0, 5.372905E-05, 5.456857E-05
 706020812, 0.02486856, 0.02486856, 0.01944751, 0.01944751, 0.01944751, 0, 5.372787E-05, 5.456737E-05
 706120772, 0.02472479, 0.02472479, 0.01938466, 0.01938466, 0.01938466, 0, 5.372696E-05, 5.456644E-05
 706221565, 0.02492339, 0.02492339, 0.01950433, 0.01950433, 0.01950433, 0, 5.3726E-05, 5.456548E-05
 706321525, 0.02476276, 0.02476276, 0.01942822, 0.01942822, 0.01942822, 0, 5.372509E-05, 5.456453E-05
 706421485, 0.02493608, 0.02493608, 0.01954118, 0.01954118, 0.01954118, 0, 5.372446E-05, 5.45639E-05
 706521445, 0.02476277, 0.02476277, 0.01936981, 0.01936981, 0.01936981, 0, 5.372361E-05, 5.456305E-05
 706621405, 0.02492131, 0.02492131, 0.01944267, 0.01944267, 0.01944267, 0, 5.372272E-05, 5.456214E-05
 706721365, 0.02474345, 0.02474345, 0.0193606, 0.0193606, 0.0193606, 0, 5.372179E-05, 5.456119E-05
 706821325, 0.02490172, 0.02490172, 0.01943864, 0.01943864, 0.01943864, 0, 5.372115E-05, 5.456054E-05
 706921285, 0.02472022, 0.02472022, 0.01930395, 0.01930395, 0.01930395, 0, 5.372039E-05, 5.455978E-05
 707021245, 0.02487206, 0.02487206, 0.01935544, 0.01935544, 0.01935544, 0, 5.371962E-05, 5.455899E-05
 707121205, 0.02468568, 0.02468568, 0.01919267, 0.01919267, 0.01919267, 0, 5.371864E-05, 5.455799E-05
 707221165, 0.02483537, 0.02483537, 0.01932408, 0.01932408, 0.01932408, 0, 5.371772E-05, 5.455706E-05
 707321125, 0.02463643, 0.02463643, 0.01918739, 0.01918739, 0.01918739, 0, 5.371687E-05, 5.45562E-05
 707421085, 0.02479405, 0.02479405, 0.01933269, 0.01933269, 0.01933269, 0, 5.3716E-05, 5.455531E-05
 707521045, 0.02461658, 0.02461658, 0.01914156, 0.01914156, 0.01914156, 0, 5.37152E-05, 5.45545E-05
 707621005, 0.02477111, 0.02477111, 0.0192729, 0.0192729, 0.0192729, 0, 5.371445E-05, 5.455374E-05
 707720965, 0.02461076, 0.02461076, 0.01915614, 0.01915614, 0.01915614, 0, 5.371365E-05, 5.455293E-05
 707820925, 0.02477393, 0.02477393, 0.01924858, 0.01924858, 0.01924858, 0, 5.371288E-05, 5.455214E-05
 707920885, 0.02460114, 0.02460114, 0.01914904, 0.01914904, 0.01914904, 0, 5.371204E-05, 5.455129E-05
 708020845, 0.02475515, 0.02475515, 0.01919718, 0.01919718, 0.01919718, 0, 5.371128E-05, 5.455051E-05
 708120805, 0.02457197, 0.02457197, 0.01903415, 0.01903415, 0.01903415, 0, 5.371054E-05, 5.454977E-05
 708220765, 0.02471785, 0.02471785, 0.019124, 0.019124, 0.019124, 0, 5.37099E-05, 5.454912E-05
 708321558, 0.02454674, 0.02454674, 0.01898627, 0.01898627, 0.01898627, 0, 5.370894E-05, 5.454813E-05
 708421518, 0.02468923, 0.02468923, 0.01904028, 0.01904028, 0.01904028, 0, 5.370819E-05, 5.454738E-05
 708521478, 0.02449961, 0.02449961, 0.01889851, 0.01889851, 0.01889851, 0, 5.370743E-05, 5.454661E-05
 708621438, 0.02463877, 0.02463877, 0.01895007, 0.01895007, 0.01895007, 0, 5.370678E-05, 5.454595E-05
 708721398, 0.0244476, 0.0244476, 0.01882902, 0.01882902, 0.01882902, 0, 5.370607E-05, 5.454522E-05
 708821358, 0.02459182, 0.02459182, 0.01895924, 0.01895924, 0.01895924, 0, 5.370533E-05, 5.454448E-05
 708921318, 0.02440864, 0.02440864, 0.01883981, 0.01883981, 0.01883981, 0, 5.370447E-05, 5.45436E-05
 709021278, 0.02455563, 0.02455563, 0.01892982, 0.01892982, 0.01892982, 0, 5.370369E-05, 5.454281E-05
 709121238, 0.0243726, 0.0243726, 0.01880975, 0.01880975, 0.01880975, 0, 5.370299E-05, 5.454209E-05
 709221198, 0.02452164, 0.02452164, 0.01890822, 0.01890822, 0.01890822, 0, 5.370232E-05, 5.454142E-05
 709321158, 0.02434154, 0.02434154, 0.01880869, 0.01880869, 0.01880869, 0, 5.370144E-05, 5.454053E-05
 709421118, 0.02447801, 0.02447801, 0.01888712, 0.01888712, 0.01888712, 0, 5.370066E-05, 5.453973E-05
 709521078, 0.02497277, 0.02430371, 0.01739129, 0.01806035, 0.01881517, -0.03478258, -0.03860257, -0.008189034
 709621038, 0.02654865, 0.02445757, 0.01423165, 0.01632273, 0.01886425, -0.02846329, -0.04132677, -0.02455854
 709720998, 0.02783822, 0.02428087, 0.01164605, 0.01520339, 0.01877438, -0.02329209, -0.03549154, -0.03073146
 709820958, 0.0288935, 0.02462354, 0.009530191, 0.01380015, 0.01900517, -0.01906038, -0.03709856, -0.03362036
 709920918, 0.02975706, 0.02439923, 0.007798745, 0.01315657, 0.01888894, -0.01559749, -0.03124905, -0.03363088
 710020878, 0.03046373, 0.02468552, 0.00638187, 0.01216008, 0.0190289, -0.01276374, -0.0334981, -0.03345628
 710120838, 0.031042, 0.02442533, 0.005222412, 0.01183908, 0.01888926, -0.01044482, -0.02835518, -0.03170994
 710220798, 0.03151522, 0.02468765, 0.004273605, 0.01110117, 0.01907299, -0.008547209, -0.03178147, -0.0312374
 710321591, 0.03190247, 0.0244397, 0.003497176, 0.01095994, 0.0190866, -0.006994353, -0.02820009, -0.03025917
 710421551, 0.03221935, 0.02471974, 0.002861809, 0.01036142, 0.01948975, -0.005723618, -0.03308241, -0.03050539
 710521511, 0.03247867, 0.02448275, 0.002341876, 0.0103378, 0.01950441, -0.004683752, -0.02949403, -0.03050494
 710621471, 0.03269088, 0.02479323, 0.001916404, 0.009814051, 0.01990696, -0.003832808, -0.03464488, -0.03125558
 710721431, 0.03286453, 0.02456011, 0.001568233, 0.009872646, 0.01922113, -0.003136465, -0.02778164, -0.03128894
 710821391, 0.03300663, 0.02466257, 0.001283316, 0.009627378, 0.01617254, -0.002566632, -0.01413586, -0.02631067
 710921351, 0.03312291, 0.02379398, 0.001050164, 0.01037909, 0.01161549, -0.002100327, 0.007684827, -0.01385525
 711021311, 0.03321807, 0.02301699, 0.0008593698, 0.01106045, 0.007209071, -0.00171874, 0.01850407, -0.0004603958
 711121271, 0.03329594, 0.02125901, 0.0007032396, 0.01274017, 0.00282631, -0.001406479, 0.03586363, 0.01413512
 711221231, 0.03335966, 0.01968844, 0.0005754752, 0.01424669, -1.899608E-05, -0.00115095, 0.03976216, 0.02594699
 711321191, 0.03341181, 0.01744807, 0.000470923, 0.01643466, -0.001811463, -0.0009418461, 0.04755082, 0.03540292
 711421151, 0.03345448, 0.01560073, 0.0003853657, 0.01823912, -0.002040003, -0.0007707314, 0.04549427, 0.04064653
 711521111, 0.0334894, 0.01308022, 0.0003153525, 0.02072453, -0.001933818, -0.000630705, 0.0530901, 0.04567591
 711621071, 0.03351798, 0.01118308, 0.0002580593, 0.02259295, -0.0007268737, -0.0005161186, 0.05001222, 0.04798094
 711721031, 0.03354136, 0.008892132, 0.0002111751, 0.0248604, 0.0004182324, -0.0004223502, 0.05588536, 0.05089852
 711820991, 0.03356049, 0.007275002, 0.0001728089, 0.0264583, 0.002462941, -0.0003456177, 0.05138864, 0.05193382
 711920951, 0.03357615, 0.005178555, 0.0001414129, 0.02853901, 0.004581627, -0.0002828259, 0.05503073, 0.05279999
 712020911, 0.03358897, 0.003905887, 0.0001157211, 0.0297988, 0.007158299, -0.0002314422, 0.04948746, 0.0521446
 712120871, 0.03359945, 0.002338111, 9.469692E-05, 0.03135604, 0.009266379, -0.0001893938, 0.05333437, 0.05259705
 712220831, 0.03360803, 0.001540937, 7.749237E-05, 0.03214459, 0.01171783, -0.0001549847, 0.04795332, 0.05152083
 712320791, 0.03361505, 0.0002613612, 6.341356E-05, 0.03341711, 0.01369979, -0.0001268271, 0.05216868, 0.05114308
 712421584, 0.0336208, -0.0001773163, 5.189261E-05, 0.03385001, 0.01610674, -0.0001037852, 0.04556784, 0.04986601
 712521544, 0.0336255, -0.001001663, 4.246478E-05, 0.03466963, 0.01805653, -8.492955E-05, 0.04795892, 0.04920475
 712621504, 0.03362935, -0.0009874846, 3.474978E-05, 0.03465158, 0.02033002, -6.949957E-05, 0.04056604, 0.04671846
 712721464, 0.0336325, -0.001285649, 2.843645E-05, 0.03494658, 0.02210221, -5.68729E-05, 0.04183852, 0.04502558
 712821424, 0.03363508, -0.0008003595, 2.327013E-05, 0.0344587, 0.02403667, -4.654025E-05, 0.03463558, 0.04144818
 712921384, 0.03363718, -0.00070351, 1.904241E-05, 0.03435973, 0.02533065, -3.808483E-05, 0.03680163, 0.03953686
 713021344, 0.03363891, 0.0001242885, 1.558279E-05, 0.0335302, 0.0268894, -3.116557E-05, 0.02922499, 0.0360591
 713121304, 0.03364032, 0.0005050973, 1.275171E-05, 0.03314798, 0.02778019, -2.550341E-05, 0.03141639, 0.0342044
 713221264, 0.03364148, 0.001554613, 1.043498E-05, 0.0320973, 0.02872544, -2.086996E-05, 0.02546506, 0.03120328
 713321224, 0.03364242, 0.002096687, 8.539151E-06, 0.03155428, 0.02923738, -1.70783E-05, 0.027187, 0.02997277
 713421184, 0.0336432, 0.003274865, 6.987758E-06, 0.03037532, 0.0299945, -1.397552E-05, 0.02020854, 0.0266952
 713521144, 0.03364383, 0.003864704, 5.718222E-06, 0.02978484, 0.03000314, -1.143644E-05, 0.02404911, 0.02563324
 713621104, 0.03364435, 0.00502216, 4.679337E-06, 0.02862687, 0.03029764, -9.358673E-06, 0.01814249, 0.02357514
 713721064, 0.03364477, 0.005566182, 3.829195E-06, 0.02808242, 0.03020384, -7.658389E-06, 0.02099334, 0.02275575
 713821024, 0.03364512, 0.006706946, 3.133507E-06, 0.02694131, 0.03047965, -6.267013E-06, 0.01434218, 0.02024337
 713920984, 0.0336454, 0.007161716, 2.564212E-06, 0.02648625, 0.03011977, -5.128424E-06, 0.01874374, 0.0193682
 714020944, 0.03364563, 0.008230426, 2.098347E-06, 0.02541731, 0.03003166, -4.196693E-06, 0.01370963, 0.01798606
 714120904, 0.03364582, 0.008533079, 1.717119E-06, 0.02511446, 0.02932038, -3.434238E-06, 0.01896669, 0.01764785
 714220864, 0.03364598, 0.009393869, 1.405153E-06, 0.02425352, 0.02884781, -2.810306E-06, 0.0151349, 0.01738564
 714320824, 0.03364611, 0.009469337, 1.149865E-06, 0.02417792, 0.02800584, -2.29973E-06, 0.02053611, 0.01849459
 714420784, 0.03364621, 0.01013561, 9.409576E-07, 0.02351154, 0.02781057, -1.881915E-06, 0.01498946, 0.01792357
 714521577, 0.0336463, 0.0100654, 7.700045E-07, 0.02358166, 0.02719657, -1.540009E-06, 0.0198612, 0.01786617
 714621537, 0.03364637, 0.01058475, 6.301103E-07, 0.02306225, 0.026781, -1.260221E-06, 0.01663995, 0.01757168
 714721497, 0.03364643, 0.01033454, 5.156319E-07, 0.0233124, 0.02592677, -1.031264E-06, 0.02302136, 0.01958691
 714821457, 0.03364647, 0.01076015, 4.219521E-07, 0.02288675, 0.02591454, -8.439041E-07, 0.01656485, 0.0194509
 714921417, 0.03364651, 0.01072471, 3.452919E-07, 0.02292215, 0.02552326, -6.905839E-07, 0.01972405, 0.019362
 715021377, 0.03364654, 0.01129729, 2.825594E-07, 0.02234953, 0.02537331, -5.651188E-07, 0.01558361, 0.01873576
 715121337, 0.03364656, 0.01126939, 2.312241E-07, 0.02237741, 0.02475416, -4.624481E-07, 0.02053124, 0.01923678
 715221297, 0.03364659, 0.01180671, 1.892153E-07, 0.02184006, 0.02447288, -3.784307E-07, 0.01668686, 0.01926662
 715321257, 0.03548428, 0.01171046, 0, 0.02377383, 0.02381916, 0, 0.02028088, 0.01926649
 715421217, 0.03548428, 0.01217351, 0, 0.02331077, 0.0236626, 0, 0.01729504, 0.01926639
 715521177, 0.03548428, 0.01199259, 0, 0.02349169, 0.02334937, 0, 0.02121034, 0.02022142
 715621137, 0.03548428, 0.01242027, 0, 0.02306401, 0.02368227, 0, 0.01502324, 0.01919647
 715721097, 0.03548428, 0.0122247, 0, 0.02325958, 0.02358533, 0, 0.01907197, 0.01906477
 715821057, 0.03548428, 0.01266314, 0, 0.02282114, 0.02385488, 0, 0.01408878, 0.01809795
 715921017, 0.03548428, 0.01246665, 0, 0.02301763, 0.02362225, 0, 0.01906248, 0.01798761
 716020977, 0.03548428, 0.01287576, 0, 0.02260852, 0.02382296, 0, 0.01418129, 0.01741073
 716120937, 0.03548428, 0.01240026, 0, 0.02308402, 0.02343725, 0, 0.01932913, 0.01821782
 716220897, 0.03548428, 0.01266141, 0, 0.02282287, 0.02355635, 0, 0.01446626, 0.01741806
 716320857, 0.03548428, 0.0124966, 0, 0.02298768, 0.02318831, 0, 0.02027544, 0.01826345
 716420817, 0.03548428, 0.01268374, 0, 0.02280054, 0.02309667, 0, 0.0164899, 0.01791138
 716520777, 0.03548428, 0.01241544, 0, 0.02306884, 0.02278817, 0, 0.02152022, 0.01919688
 716621570, 0.03548428, 0.0125482, 0, 0.02293608, 0.02288295, 0, 0.01674846, 0.01865979
 716721530, 0.03548428, 0.01224788, 0, 0.02323641, 0.02267903, 0, 0.02176257, 0.01928135
 716821490, 0.03548428, 0.0123393, 0, 0.02314498, 0.02271921, 0, 0.01787909, 0.01888147
 716921450, 0.03548428, 0.01201862, 0, 0.02346566, 0.02250702, 0, 0.02266055, 0.020053
 717021410, 0.03548428, 0.01210066, 0, 0.02338363, 0.02267506, 0, 0.01812231, 0.01954509
 717121370, 0.03548428, 0.01178169, 0, 0.0237026, 0.02251292, 0, 0.02302931, 0.02063818
 717221330, 0.03548428, 0.01187575, 0, 0.02360854, 0.02274807, 0, 0.01822208, 0.02018325
 717321290, 0.03548428, 0.0115791, 0, 0.02390518, 0.02267218, 0, 0.02285308, 0.02085253
 717421250, 0.03548428, 0.01170595, 0, 0.02377833, 0.02289621, 0, 0.01836235, 0.02046123
 717521210, 0.03548428, 0.01146269, 0, 0.02402159, 0.02275938, 0, 0.02306835, 0.0211798
 717621170, 0.03548428, 0.01172026, 0, 0.02376402, 0.0229724, 0, 0.01829686, 0.02082874
 717721130, 0.03548428, 0.01179937, 0, 0.02368491, 0.02297392, 0, 0.02032714, 0.02073455
 717821090, 0.03548428, 0.01231522, 0, 0.02316906, 0.02317752, 0, 0.01539909, 0.01934975
 717921050, 0.03548428, 0.01259094, 0, 0.02289334, 0.02314309, 0, 0.01770072, 0.0190678
 718021010, 0.03548428, 0.01321927, 0, 0.02226501, 0.02326292, 0, 0.01312981, 0.01724563
 718120970, 0.03548428, 0.01353225, 0, 0.02195203, 0.02304341, 0, 0.01627168, 0.01668802
 718220930, 0.03548428, 0.01418622, 0, 0.02129806, 0.02297093, 0, 0.01299101, 0.0158329
 718320890, 0.03548428, 0.01445863, 0, 0.02102565, 0.02264393, 0, 0.01575936, 0.01583356
 718420850, 0.03548428, 0.01503865, 0, 0.02044563, 0.02253957, 0, 0.01192894, 0.0147252
 718520810, 0.03548428, 0.01525437, 0, 0.02022992, 0.02220995, 0, 0.01496554, 0.01451064
 718620770, 0.03548428, 0.01576694, 0, 0.01971734, 0.0221058, 0, 0.01121792, 0.01375225
 718721563, 0.03548428, 0.01590624, 0, 0.01957804, 0.02175996, 0, 0.01452677, 0.01352657
 718821523, 0.03548428, 0.01632772, 0, 0.01915656, 0.02161705, 0, 0.0111146, 0.01324773
 718921483, 0.03548428, 0.01633766, 0, 0.01914662, 0.02117563, 0, 0.01529979, 0.01324776
 719021443, 0.03548428, 0.01665402, 0, 0.01883027, 0.02091378, 0, 0.01229739, 0.01324773
 719121403, 0.03548428, 0.01656981, 0, 0.01891447, 0.0203182, 0, 0.01705473, 0.01447575
 719221363, 0.03548428, 0.01678062, 0, 0.01870366, 0.01991266, 0, 0.01491769, 0.01465025
 719321323, 0.03548428, 0.01658294, 0, 0.01890134, 0.01942264, 0, 0.01885358, 0.01616352
 719421283, 0.03548428, 0.01670737, 0, 0.01877691, 0.01932065, 0, 0.01527588, 0.01591803
 719521243, 0.03548428, 0.01645441, 0, 0.01902987, 0.01901986, 0, 0.01910811, 0.01664819
 719621203, 0.03548428, 0.01654405, 0, 0.01894023, 0.01899264, 0, 0.01595349, 0.01635372
 719721163, 0.03548428, 0.01628305, 0, 0.01920123, 0.01882914, 0, 0.01932132, 0.01707352
 719821123, 0.03548428, 0.01635073, 0, 0.01913356, 0.01888311, 0, 0.01619897, 0.01667912
 719921083, 0.03548428, 0.01606549, 0, 0.0194188, 0.01866523, 0, 0.02036581, 0.01768396
 720021043, 0.03548428, 0.01612992, 0, 0.01935436, 0.01879861, 0, 0.0167025, 0.01734429
 720121003, 0.03548428, 0.01584842, 0, 0.01963586, 0.01864209, 0, 0.02073037, 0.01790517
 720220963, 0.03548428, 0.01593113, 0, 0.01955315, 0.01870103, 0, 0.01770913, 0.01774548
 720320923, 0.03548428, 0.01565317, 0, 0.01983111, 0.01860458, 0, 0.02123407, 0.01861446
 720420883, 0.03548428, 0.01572693, 0, 0.01975735, 0.01883326, 0, 0.01726475, 0.0182927
 720520843, 0.03548428, 0.01545012, 0, 0.02003416, 0.01886375, 0, 0.0206817, 0.01855383
 720620803, 0.03548428, 0.01553555, 0, 0.01994874, 0.01908471, 0, 0.01721757, 0.01822264
 720720763, 0.03548428, 0.01527068, 0, 0.0202136, 0.01904177, 0, 0.02110601, 0.0187097
 720821556, 0.03548428, 0.01537943, 0, 0.02010485, 0.01926314, 0, 0.01746055, 0.01862716
 720921516, 0.03548428, 0.01512667, 0, 0.02035761, 0.01920932, 0, 0.02123611, 0.01892853
 721021476, 0.03548428, 0.01523545, 0, 0.02024883, 0.01945595, 0, 0.01732905, 0.01873936
 721121436, 0.03548428, 0.01499875, 0, 0.02048553, 0.01944958, 0, 0.02090529, 0.01926852
 721221396, 0.03548428, 0.01512824, 0, 0.02035605, 0.01972923, 0, 0.01692687, 0.01886984
 721321356, 0.03548428, 0.01491749, 0, 0.02056679, 0.01971299, 0, 0.02057764, 0.01887025
 721421316, 0.03548428, 0.01505387, 0, 0.02043041, 0.019871, 0, 0.01734023, 0.01881931
 721521276, 0.03548428, 0.01480992, 0, 0.02067437, 0.01980714, 0, 0.02112774, 0.01887585
 721621236, 0.03548428, 0.0149231, 0, 0.02056118, 0.01996449, 0, 0.01766056, 0.0184638
 721721196, 0.03548428, 0.01466989, 0, 0.02081439, 0.01994971, 0, 0.02106447, 0.01914435
 721821156, 0.03548428, 0.0147881, 0, 0.02069618, 0.02022283, 0, 0.01701672, 0.01849118
 721921116, 0.03548428, 0.01452945, 0, 0.02095483, 0.02006239, 0, 0.02164803, 0.01907999
 722021076, 0.03548428, 0.01465389, 0, 0.0208304, 0.02030381, 0, 0.01737122, 0.01870715
 722121036, 0.03548428, 0.01442196, 0, 0.02106232, 0.02021986, 0, 0.02137581, 0.01870619
 722220996, 0.03548428, 0.01454861, 0, 0.02093567, 0.0202989, 0, 0.01826382, 0.01870532
 722320956, 0.03548428, 0.01432624, 0, 0.02115804, 0.02012779, 0, 0.02282577, 0.02000538
 722420916, 0.03548428, 0.01445035, 0, 0.02103394, 0.02026541, 0, 0.01910795, 0.02000492
 722520876, 0.03548428, 0.01422199, 0, 0.0212623, 0.02029122, 0, 0.0217435, 0.02035865
 722620836, 0.03548428, 0.01437035, 0, 0.02111393, 0.0206078, 0, 0.01771149, 0.01963097
 722720796, 0.03548428, 0.01417179, 0, 0.02131249, 0.0205564, 0, 0.02138081, 0.01982334
 722821589, 0.03548428, 0.01435504, 0, 0.02112924, 0.02077248, 0, 0.0179238, 0.01954354
 722921549, 0.03548428, 0.0141611, 0, 0.02132319, 0.02074711, 0, 0.02111543, 0.02014121
 723021509, 0.03548428, 0.01434195, 0, 0.02114233, 0.02107226, 0, 0.01699201, 0.01949895
 723121469, 0.03548428, 0.01417601, 0, 0.02130827, 0.02118764, 0, 0.01960007, 0.01949962
 723221429, 0.03548428, 0.01439372, 0, 0.02109057, 0.02154032, 0, 0.01551963, 0.01813826
 723321389, 0.03548428, 0.01424983, 0, 0.02123445, 0.02155917, 0, 0.01887798, 0.01803418
 723421349, 0.03548428, 0.01448507, 0, 0.02099921, 0.02187154, 0, 0.01466483, 0.01685824
 723521309, 0.03548428, 0.01435074, 0, 0.02113355, 0.02188979, 0, 0.01796096, 0.01669611
 723621269, 0.03548428, 0.01458797, 0, 0.02089632, 0.02206539, 0, 0.01438928, 0.01616205
 723721229, 0.03548428, 0.01443866, 0, 0.02104563, 0.02192449, 0, 0.01809948, 0.01661643
 723821189, 0.03548428, 0.01465388, 0, 0.0208304, 0.02194055, 0, 0.01512931, 0.01614666
 723921149, 0.03548428, 0.01446532, 0, 0.02101896, 0.02161249, 0, 0.0194911, 0.01739344
 724021109, 0.03548428, 0.01462279, 0, 0.02086149, 0.02164801, 0, 0.0158638, 0.01727347
 724121069, 0.03548428, 0.0144067, 0, 0.02107758, 0.02129943, 0, 0.02017223, 0.01817101
 724221029, 0.03548428, 0.01454759, 0, 0.02093669, 0.02136823, 0, 0.0165235, 0.01811535
 724320989, 0.03548428, 0.01428375, 0, 0.02120053, 0.02105338, 0, 0.02099218, 0.01904199
 724420949, 0.03548428, 0.01460734, 0, 0.02087694, 0.0212893, 0, 0.0158163, 0.01870249
 724520909, 0.03548428, 0.01427133, 0, 0.02121295, 0.02113884, 0, 0.02012277, 0.01870386
 724620869, 0.03548428, 0.01448853, 0, 0.02099575, 0.02148823, 0, 0.01487379, 0.01810686
 724720829, 0.03548428, 0.01381879, 0, 0.02166549, 0.02119171, 0, 0.02253537, 0.01918825
 724820789, 0.03548428, 0.01376653, 0, 0.02171776, 0.02095388, 0, 0.02086523, 0.01983238
 724921582, 0.03548428, 0.01289043, 0, 0.02259385, 0.02010136, 0, 0.03025293, 0.02358527
 725021542, 0.03548428, 0.01264153, 0, 0.02284275, 0.02003246, 0, 0.0261129, 0.02547564
 725121502, 0.03548428, 0.01166798, 0, 0.02381631, 0.01991574, 0, 0.03151459, 0.02788576
 725221462, 0.03548428, 0.01144429, 0, 0.02403999, 0.02081603, 0, 0.02351005, 0.0273484
 725321422, 0.03548428, 0.01064082, 0, 0.02484346, 0.02158866, 0, 0.02605809, 0.02689677
 725421382, 0.03548428, 0.01065544, 0, 0.02482884, 0.02297039, 0, 0.01811442, 0.02437405
 725521342, 0.03548428, 0.01013746, 0, 0.02534682, 0.02368744, 0, 0.02205632, 0.02343985
 725621302, 0.03548428, 0.01039325, 0, 0.02509103, 0.02456151, 0, 0.01663283, 0.02138537
 725721262, 0.03548428, 0.01005162, 0, 0.02543267, 0.0247579, 0, 0.0217727, 0.0208922
 725821222, 0.03548428, 0.0104301, 0, 0.02505418, 0.02534831, 0, 0.01586516, 0.0197779
 725921182, 0.03548428, 0.01017624, 0, 0.02530804, 0.02531734, 0, 0.02103453, 0.01939019
 726021142, 0.03548428, 0.01060502, 0, 0.02487926, 0.02552343, 0, 0.0165734, 0.018765
 726121102, 0.03548428, 0.01031665, 0, 0.02516764, 0.02519563, 0, 0.02235469, 0.01957691
 726221062, 0.03548428, 0.01072274, 0, 0.02476154, 0.02544462, 0, 0.0165224, 0.01916364
 726321022, 0.03548428, 0.01045245, 0, 0.02503183, 0.02540064, 0, 0.02065367, 0.01898122
