Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 705920852, 0, 0.06, 0.08, 350.35, -0.0139833, 0.01930242, -0.0002558957, 2.310993E-05, -0.03339652, 0.02466191, 0.02670534, 0.06, 0.07, 0.03, 558.1
 705920852, 1, 0.06, 0.09, 350.35, -0.01464918, 0.01856743, -0.0005350406, -7.855711E-05, -0.0340588, 0.02437434, 0.02623364, 0.06, 0.07, 0.03, 558.1
 706020812, 0, 0.06, 0.08, 350.35, -0.01404919, 0.01944751, -0.0003188826, -9.238991E-05, -0.03354621, 0.02486856, 0.02669886, 0.06, 0.07, 0.03, 558.1
 706020812, 1, 0.06, 0.09, 350.35, -0.01485315, 0.01886982, -0.0005610893, -0.0002049164, -0.03438289, 0.02478348, 0.02621145, 0.06, 0.07, 0.03, 558.1
 706120772, 0, 0.06, 0.08, 350.35, -0.01399839, 0.01938466, -0.0002489221, -5.053619E-05, -0.033442, 0.02472479, 0.02668976, 0.06, 0.07, 0.03, 558.1
 706120772, 1, 0.06, 0.09, 350.35, -0.01469808, 0.01873581, -0.0004245586, -0.0001065034, -0.034244, 0.02460798, 0.02619396, 0.06, 0.07, 0.03, 558.1
 706221565, 0, 0.06, 0.08, 350.35, -0.01411191, 0.01950433, -0.000251473, -0.0001002198, -0.03358542, 0.02492339, 0.0266818, 0.06, 0.07, 0.03, 558.1
 706221565, 1, 0.06, 0.09, 350.35, -0.01467515, 0.01878175, -0.0003513465, -8.612906E-05, -0.0342602, 0.0246296, 0.0261871, 0.06, 0.07, 0.03, 558.1
 706321525, 0, 0.06, 0.08, 350.35, -0.01400963, 0.01942822, -0.0002710091, -0.0001094905, -0.03346835, 0.02476276, 0.02667223, 0.06, 0.07, 0.03, 558.1
 706321525, 1, 0.06, 0.09, 350.35, -0.01480778, 0.01872678, -0.000301345, -3.193975E-05, -0.03416995, 0.02450508, 0.02618152, 0.06, 0.07, 0.03, 558.1
 706421485, 0, 0.06, 0.08, 350.35, -0.01410138, 0.01954118, -0.000325686, -0.0001886997, -0.03359205, 0.02493608, 0.02665745, 0.06, 0.07, 0.03, 558.1
 706421485, 1, 0.06, 0.09, 350.35, -0.01484665, 0.01888265, -0.0001614859, 5.4883E-05, -0.03431512, 0.02468118, 0.02617871, 0.06, 0.07, 0.03, 558.1
 706521445, 0, 0.06, 0.08, 350.35, -0.01399045, 0.01936981, -0.000325502, -0.0001683679, -0.03346709, 0.02476277, 0.02664225, 0.06, 0.07, 0.03, 558.1
 706521445, 1, 0.06, 0.09, 350.35, -0.01461769, 0.01881816, -0.0001649147, 5.549319E-05, -0.03418205, 0.02452254, 0.02618157, 0.06, 0.07, 0.03, 558.1
 706621405, 0, 0.06, 0.08, 350.36, -0.01402501, 0.01944267, -0.0003074078, -0.0001684642, -0.03358011, 0.02492131, 0.02662452, 0.06, 0.07, 0.04, 558.1
 706621405, 1, 0.06, 0.09, 350.35, -0.01467541, 0.01893535, -3.915784E-05, 0.000142724, -0.03429137, 0.02467459, 0.02619003, 0.06, 0.07, 0.03, 558.1
 706721365, 0, 0.06, 0.08, 350.36, -0.01389532, 0.0193606, -0.0003171223, -0.0001420444, -0.03344429, 0.02474345, 0.02661135, 0.06, 0.07, 0.04, 558.1
 706721365, 1, 0.06, 0.09, 350.36, -0.01451721, 0.01891823, -0.0002071217, -3.522584E-05, -0.0341275, 0.02449195, 0.02619634, 0.06, 0.07, 0.03, 558.1
 706821325, 0, 0.06, 0.08, 350.36, -0.01388, 0.01943864, -0.0003160979, -0.000159427, -0.03354639, 0.02490172, 0.02659588, 0.06, 0.07, 0.04, 558.1
 706821325, 1, 0.06, 0.09, 350.36, -0.01468745, 0.01893475, -0.0001758921, -3.598398E-05, -0.03423033, 0.02464389, 0.02619239, 0.06, 0.07, 0.03, 558.1
 706921285, 0, 0.06, 0.08, 350.36, -0.01379872, 0.01930395, -0.0003544487, -0.0001640591, -0.0334044, 0.02472022, 0.02658104, 0.06, 0.07, 0.04, 558.1
 706921285, 1, 0.06, 0.09, 350.36, -0.01457763, 0.01875676, -0.0001797251, -2.942112E-05, -0.0340875, 0.0244607, 0.02619408, 0.06, 0.07, 0.03, 558.1
 707021245, 0, 0.06, 0.08, 350.36, -0.01387084, 0.01935544, -0.0002990162, -0.0001289214, -0.03350701, 0.02487206, 0.02656652, 0.06, 0.07, 0.04, 558.1
 707021245, 1, 0.06, 0.09, 350.36, -0.01465707, 0.01879539, -7.423077E-05, 5.842862E-05, -0.03409855, 0.02447061, 0.02619734, 0.06, 0.07, 0.04, 558.1
 707121205, 0, 0.06, 0.08, 350.36, -0.01376272, 0.01919267, -0.0002907189, -7.903398E-05, -0.03336912, 0.02468568, 0.02655769, 0.06, 0.07, 0.04, 558.1
 707121205, 1, 0.06, 0.09, 350.36, -0.01463112, 0.01873551, -0.0001882161, -3.810778E-05, -0.03401677, 0.02435445, 0.0261996, 0.06, 0.07, 0.04, 558.1
 707221165, 0, 0.06, 0.08, 350.36, -0.01388541, 0.01932408, -0.0003226946, -0.0001339528, -0.03347487, 0.02483537, 0.0265472, 0.06, 0.07, 0.04, 558.1
 707221165, 1, 0.06, 0.09, 350.36, -0.01469401, 0.01899908, -0.0002245839, -9.01887E-05, -0.03416299, 0.0245461, 0.02619343, 0.06, 0.07, 0.04, 558.1
 707321125, 0, 0.06, 0.08, 350.36, -0.01381202, 0.01918739, -0.0003525646, -0.0001416429, -0.03333514, 0.02463643, 0.02653416, 0.06, 0.07, 0.04, 558.1
 707321125, 1, 0.06, 0.09, 350.36, -0.01466637, 0.01890264, -0.0003094679, -0.000162277, -0.03404779, 0.02440351, 0.02618005, 0.06, 0.07, 0.04, 558.1
 707421085, 0, 0.06, 0.08, 350.36, -0.01388124, 0.01933269, -0.0003860815, -0.0002019622, -0.03345147, 0.02479405, 0.0265165, 0.06, 0.07, 0.04, 558.1
 707421085, 1, 0.06, 0.09, 350.37, -0.0147278, 0.01906356, -0.0003343767, -0.0001949546, -0.03417956, 0.02458015, 0.02616032, 0.06, 0.07, 0.04, 558.1
 707521045, 0, 0.06, 0.08, 350.37, -0.01381028, 0.01914156, -0.0003845937, -0.0001626055, -0.03332463, 0.02461658, 0.02649979, 0.06, 0.07, 0.04, 558.1
 707521045, 1, 0.06, 0.09, 350.37, -0.01456551, 0.01895705, -0.0004152594, -0.0002251416, -0.03404536, 0.02442348, 0.02614112, 0.06, 0.07, 0.04, 558.1
 707621005, 0, 0.06, 0.08, 350.37, -0.01388678, 0.0192729, -0.0004031489, -0.0002026811, -0.03344161, 0.02477111, 0.02648094, 0.06, 0.07, 0.04, 558.1
 707621005, 1, 0.06, 0.09, 350.37, -0.01465377, 0.01909146, -0.0004208393, -0.0002370484, -0.03415473, 0.02459211, 0.02611935, 0.06, 0.07, 0.04, 558.1
 707720965, 0, 0.06, 0.08, 350.37, -0.01381087, 0.01915614, -0.000380975, -0.0001316018, -0.03333237, 0.02461076, 0.02646483, 0.06, 0.07, 0.04, 558.1
 707720965, 1, 0.06, 0.09, 350.37, -0.01437195, 0.01883417, -0.0004527165, -0.0001964757, -0.03388187, 0.02426387, 0.0261, 0.06, 0.07, 0.04, 558.1
 707820925, 0, 0.06, 0.08, 350.37, -0.01388801, 0.01924858, -0.0004094619, -0.0001823338, -0.03345306, 0.02477394, 0.02644768, 0.06, 0.07, 0.04, 558.1
 707820925, 1, 0.06, 0.09, 350.37, -0.01447823, 0.01897175, -0.0005299634, -0.0003108275, -0.03405517, 0.02450975, 0.02607518, 0.06, 0.07, 0.04, 558.1
