Time,XKF4_C,XKF4_SV,XKF4_SP,XKF4_SH,XKF4_SM,XKF4_SVT,XKF4_errRP,XKF4_OFN,XKF4_OFE,XKF4_FS,XKF4_TS,XKF4_SS,XKF4_GPS,XKF4_PI
 705920852, 0, 0, 0, 0, 0.01, 0, 0.005723137, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 705920852, 1, 0, 0, 0, 0.01, 0, 0.00569278, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706020812, 0, 0, 0, 0, 0.01, 0, 0.005639886, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706020812, 1, 0, 0, 0, 0.01, 0, 0.005768546, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706120772, 0, 0, 0, 0, 0.01, 0, 0.005721306, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706120772, 1, 0, 0, 0, 0.01, 0, 0.00568046, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706221565, 0, 0, 0, 0, 0.01, 0, 0.005638493, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706221565, 1, 0, 0, 0, 0.01, 0, 0.005608211, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706321525, 0, 0, 0, 0, 0.01, 0, 0.005720083, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706321525, 1, 0, 0, 0, 0.01, 0, 0.005683224, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706421485, 0, 0, 0, 0, 0.01, 0, 0.005637732, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706421485, 1, 0, 0, 0, 0.01, 0, 0.005602682, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
 706521445, 0, 0, 0, 0, 0.01, 0, 0.005719376, 0.02741385, -0.0268591, 0, 48, 109375, 0, 0
 706521445, 1, 0, 0, 0, 0.01, 0, 0.005683805, 0.02821805, -0.02734471, 0, 48, 109375, 0, 0
