Time,XKF5_C,XKF5_NI,XKF5_FIX,XKF5_FIY,XKF5_AFI,XKF5_HAGL,XKF5_offset,XKF5_RI,XKF5_rng,XKF5_Herr,XKF5_eAng,XKF5_eVel,XKF5_ePos
 705920852, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001326501, 0.0003567376, 0.0005365065
 706020812, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001585189, 0.001352446, 0.002057524
 706120772, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001439319, 0.0002989901, 0.0004399414
 706221565, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.000169653, 0.001386998, 0.002115757
 706321525, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001508342, 0.0002805972, 0.0004048064
 706421485, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001716131, 0.001401437, 0.002136581
 706521445, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001501811, 0.0002746567, 0.0003956181
 706621405, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001698655, 0.001399087, 0.002131132
 706721365, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001493645, 0.0002792975, 0.0004044788
 706821325, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001700832, 0.001389468, 0.002109782
 706921285, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001498625, 0.0002878867, 0.0004225125
 707021245, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.000170107, 0.001374769, 0.002079816
 707121205, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001498824, 0.0003000257, 0.0004465858
 707221165, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001699001, 0.001359653, 0.002048744
 707321125, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001499112, 0.0003112724, 0.0004701467
 707421085, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001700056, 0.001353683, 0.002030168
 707521045, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001500802, 0.000315601, 0.0004829169
 707621005, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001699174, 0.00134741, 0.002014372
 707720965, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001502117, 0.0003211385, 0.0004956171
 707820925, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001722099, 0.001353452, 0.002009703
 707920885, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001503502, 0.0003106969, 0.000488244
 708020845, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001693581, 0.001349215, 0.002001973
 708120805, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001498766, 0.0003181246, 0.0004981964
 708220765, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001694898, 0.00133576, 0.001984111
 708321558, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001501283, 0.0003310921, 0.000516067
 708421518, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001700765, 0.001319803, 0.001964853
 708521478, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001509937, 0.0003430809, 0.0005326016
 708621438, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001695384, 0.001305591, 0.001944782
 708721398, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001499974, 0.0003552678, 0.0005499792
 708821358, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001692768, 0.001298241, 0.001934058
 708921318, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001504042, 0.0003603045, 0.0005576824
 709021278, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001695579, 0.001290878, 0.001925576
 709121238, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001506745, 0.0003652022, 0.00056326
 709221198, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001695732, 0.001280341, 0.001914428
 709321158, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001507099, 0.0003721307, 0.0005707928
 709421118, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001695862, 0.001271224, 0.001905239
 709521078, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001509178, 0.0003767272, 0.0005751722
 709621038, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001695975, 0.001262364, 0.001894544
 709720998, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001508959, 0.0003823918, 0.0005804691
 709820958, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001704762, 0.001451911, 0.002165274
 709920918, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001561629, 0.0002496674, 0.0003795886
 710020878, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001734842, 0.001530704, 0.002291183
 710120838, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001549501, 0.0001959424, 0.0002867614
 710220798, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001734587, 0.001554012, 0.002340737
 710321591, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001553281, 0.0001821915, 0.0002536952
 710421551, 0, 0, 0, 0, 0, 0.11, 0.13, 0, 0, 0.5, 0.0001741944, 0.001588087, 0.0023841
 710521511, 0, 0, 0, 0, 0, 0.13, 0.13, 0, 0, 0.5, 0.0001566539, 0.0001690097, 0.000484568
 710621471, 0, 0, 0, 0, 0, 0.15, 0.13, 0, 0, 0.5, 0.0001770194, 0.002091323, 0.004606633
 710721431, 0, 0, 0, 0, 0, 0.2, 0.13, 0, 0, 0.5, 0.0001577452, 0.0007588904, 0.002224215
 710821391, 0, 0, 0, 0, 0, 0.26, 0.13, 0, 0, 0.5, 0.0001786768, 0.001907215, 0.002704356
 710921351, 0, 0, 0, 0, 0, 0.37, 0.13, 0, 0, 0.5, 0.0001582854, 0.0001808288, 0.00135828
 711021311, 0, 0, 0, 0, 0, 0.52, 0.13, 0, 0, 0.5, 0.0001814425, 0.00521285, 0.01308243
 711121271, 0, 0, 0, 0, 0, 0.7, 0.13, 0, 0, 0.5, 0.0001615349, 0.002380962, 0.002807196
 711221231, 0, 0, 0, 0, 0, 0.89, 0.13, 0, 0, 0.5, 0.0001788219, 0.00203372, 0.003524105
 711321191, 0, 0, 0, 0, 0, 1.08, 0.13, 0, 0, 0.5, 0.0001588317, 0.0001301781, 0.00747773
 711421151, 0, 0, 0, 0, 0, 1.28, 0.13, 0, 0, 0.5, 0.0001815786, 0.001922049, 0.009521506
 711521111, 0, 0, 0, 0, 0, 1.49, 0.13, 0, 0, 0.5, 0.0001624443, 0.001090534, 0.0120375
 711621071, 0, 0, 0, 0, 0, 1.71, 0.13, 0, 0, 0.5, 0.0001831666, 0.001931327, 0.01114796
 711721031, 0, 0, 0, 0, 0, 1.94, 0.13, 0, 0, 0.5, 0.0001621086, 0.001243408, 0.01331929
 711820991, 0, 0, 0, 0, 0, 2.18, 0.13, 0, 0, 0.5, 0.0001841222, 0.002155693, 0.01274841
 711920951, 0, 0, 0, 0, 0, 2.43, 0.13, 0, 0, 0.5, 0.0001632326, 0.001490996, 0.01442829
 712020911, 0, 0, 0, 0, 0, 2.69, 0.13, 0, 0, 0.5, 0.000182621, 0.002107992, 0.0133842
 712120871, 0, 0, 0, 0, 0, 2.95, 0.13, 0, 0, 0.5, 0.0001125684, 0.00156219, 0.01476126
 712220831, 0, 0, 0, 0, 0, 3.22, 0.13, 0, 0, 0.5, 0.0002620628, 0.002256161, 0.01330302
 712320791, 0, 0, 0, 0, 0, 3.49, 0.13, 0, 0, 0.5, 4.831749E-05, 0.001546977, 0.01391387
 712421584, 0, 0, 0, 0, 0, 3.76, 0.13, 0, 0, 0.5, 0.0001356457, 0.002180839, 0.01362032
 712521544, 0, 0, 0, 0, 0, 4.03, 0.13, 0, 0, 0.5, 0.0001470245, 0.001729838, 0.01366911
 712621504, 0, 0, 0, 0, 0, 4.3, 0.13, 0, 0, 0.5, 0.0001402523, 0.002092389, 0.01346016
 712721464, 0, 0, 0, 0, 0, 4.56, 0.13, 0, 0, 0.5, 9.338511E-05, 0.001885653, 0.01328715
 712821424, 0, 0, 0, 0, 0, 4.82, 0.13, 0, 0, 0.5, 0.0001103464, 0.002284632, 0.01355991
 712921384, 0, 0, 0, 0, 0, 5.08, 0.13, 0, 0, 0.5, 8.862969E-05, 0.002020155, 0.01279103
 713021344, 0, 0, 0, 0, 0, 5.32, 0.13, 0, 0, 0.5, 0.0001274146, 0.002365332, 0.0128796
 713121304, 0, 0, 0, 0, 0, 5.56, 0.13, 0, 0, 0.5, 0.0001023739, 0.002023071, 0.01190704
 713221264, 0, 0, 0, 0, 0, 5.8, 0.13, 0, 0, 0.5, 0.0001382053, 0.002324087, 0.01169188
 713321224, 0, 0, 0, 0, 0, 6.02, 0.13, 0, 0, 0.5, 0.0001127303, 0.001858523, 0.01035803
 713421184, 0, 0, 0, 0, 0, 6.24, 0.13, 0, 0, 0.5, 0.0001570699, 0.002248972, 0.01010071
 713521144, 0, 0, 0, 0, 0, 6.45, 0.13, 0, 0, 0.5, 0.0001248267, 0.001613297, 0.008749395
 713621104, 0, 0, 0, 0, 0, 6.65, 0.13, 0, 0, 0.5, 0.0001689518, 0.002166207, 0.008649536
 713721064, 0, 0, 0, 0, 0, 6.85, 0.13, 0, 0, 0.5, 0.0001348646, 0.001361983, 0.007248357
 713821024, 0, 0, 0, 0, 0, 7.04, 0.13, 0, 0, 0.5, 0.0001797584, 0.002186433, 0.007374712
 713920984, 0, 0, 0, 0, 0, 7.22, 0.13, 0, 0, 0.5, 0.0001411436, 0.001122598, 0.005976457
 714020944, 0, 0, 0, 0, 0, 7.4, 0.13, 0, 0, 0.5, 0.0001886686, 0.002220625, 0.006077621
 714120904, 0, 0, 0, 0, 0, 7.57, 0.13, 0, 0, 0.5, 0.0001472273, 0.0008548279, 0.004390888
 714220864, 0, 0, 0, 0, 0, 7.73, 0.13, 0, 0, 0.5, 0.0001941715, 0.00229299, 0.004992331
 714320824, 0, 0, 0, 0, 0, 7.9, 0.13, 0, 0, 0.5, 0.0001524379, 0.0006680471, 0.003226737
 714420784, 0, 0, 0, 0, 0, 8.05, 0.13, 0, 0, 0.5, 0.0002012612, 0.002356506, 0.004420865
 714521577, 0, 0, 0, 0, 0, 8.2, 0.13, 0, 0, 0.5, 0.0001573912, 0.0005184008, 0.002151681
 714621537, 0, 0, 0, 0, 0, 8.35, 0.13, 0, 0, 0.5, 0.0001983023, 0.002404685, 0.0041115
 714721497, 0, 0, 0, 0, 0, 8.49, 0.13, 0, 0, 0.5, 0.0001517047, 0.0004003125, 0.001075497
 714821457, 0, 0, 0, 0, 0, 8.62, 0.13, 0, 0, 0.5, 0.0001868617, 0.002228417, 0.003333841
 714921417, 0, 0, 0, 0, 0, 8.75, 0.13, 0, 0, 0.5, 0.0001419545, 0.0002672578, 0.0004447207
 715021377, 0, 0, 0, 0, 0, 8.87, 0.13, 0, 0, 0.5, 0.0001859851, 0.002269371, 0.003361491
 715121337, 0, 0, 0, 0, 0, 8.99, 0.13, 0, 0, 0.5, 0.0001457344, 0.0002776187, 0.0009709114
 715221297, 0, 0, 0, 0, 0, 9.1, 0.13, 0, 0, 0.5, 0.0001885805, 0.002252818, 0.003711482
 715321257, 0, 0, 0, 0, 0, 9.21, 0.13, 0, 0, 0.5, 0.0001463624, 0.0003105885, 0.002002226
 715421217, 0, 0, 0, 0, 0, 9.31, 0.13, 0, 0, 0.5, 0.0001921119, 0.002208436, 0.003935556
 715521177, 0, 0, 0, 0, 0, 9.41, 0.13, 0, 0, 0.5, 0.0001505703, 0.0002379216, 0.002246803
 715621137, 0, 0, 0, 0, 0, 9.51, 0.13, 0, 0, 0.5, 0.000194807, 0.002187684, 0.004435847
 715721097, 0, 0, 0, 0, 0, 9.61, 0.13, 0, 0, 0.5, 0.0001514219, 0.0003441407, 0.002898229
 715821057, 0, 0, 0, 0, 0, 9.72, 0.13, 0, 0, 0.5, 0.0001951607, 0.002620448, 0.006402581
 715921017, 0, 0, 0, 0, 0, 9.83, 0.13, 0, 0, 0.5, 0.0001516406, 0.0008944083, 0.00418386
 716020977, 0, 0, 0, 0, 0, 9.96, 0.13, 0, 0, 0.5, 0.000194672, 0.003046699, 0.007655774
 716120937, 0, 0, 0, 0, 0, 10.12, 0.13, 0, 0, 0.5, 0.0001399132, 0.001240601, 0.005322977
 716220897, 0, 0, 0, 0, 0, 10.27, 0.13, 0, 0, 0.5, 0.0001862196, 0.002957323, 0.007757523
 716320857, 0, 0, 0, 0, 0, 10.43, 0.13, 0, 0, 0.5, 0.0001396455, 0.001201077, 0.004450319
 716420817, 0, 0, 0, 0, 0, 10.61, 0.13, 0, 0, 0.5, 0.0001896564, 0.002939747, 0.006795152
