Time,XKQ_C,XKQ_Q1,XKQ_Q2,XKQ_Q3,XKQ_Q4
 705920852, 0, -0.9964571, -0.000657337, -0.0007204081, 0.08409725
 705920852, 1, -0.9964566, -0.0006412847, -0.0007444189, 0.08410226
 706020812, 0, -0.9964582, -0.0006607493, -0.0007215036, 0.08408353
 706020812, 1, -0.9964578, -0.0006444025, -0.0007462907, 0.08408881
 706120772, 0, -0.9964591, -0.0006577085, -0.0007165204, 0.08407272
 706120772, 1, -0.9964591, -0.000647172, -0.0007441672, 0.08407331
 706221565, 0, -0.9964601, -0.0006612014, -0.0007201759, 0.08406158
 706221565, 1, -0.9964598, -0.0006457842, -0.0007425454, 0.08406484
 706321525, 0, -0.996461, -0.0006600238, -0.000717213, 0.0840509
 706321525, 1, -0.9964606, -0.0006386621, -0.0007425364, 0.08405627
 706421485, 0, -0.9964616, -0.0006622852, -0.0007179411, 0.0840435
 706421485, 1, -0.9964612, -0.0006434618, -0.0007439593, 0.08404868
 706521445, 0, -0.9964625, -0.0006603068, -0.0007152846, 0.08403365
 706521445, 1, -0.9964623, -0.0006411774, -0.0007438574, 0.08403567
 706621405, 0, -0.9964634, -0.0006613149, -0.00071799, 0.08402307
 706621405, 1, -0.9964631, -0.0006466287, -0.0007433695, 0.0840264
 706721365, 0, -0.9964643, -0.0006591339, -0.0007155585, 0.08401209
 706721365, 1, -0.9964639, -0.0006481553, -0.0007495324, 0.08401639
 706821325, 0, -0.9964649, -0.000661326, -0.0007181336, 0.08400446
 706821325, 1, -0.9964649, -0.0006522271, -0.0007512754, 0.08400448
 706921285, 0, -0.9964657, -0.0006583184, -0.0007149669, 0.08399551
 706921285, 1, -0.9964656, -0.0006522436, -0.0007479158, 0.08399633
 707021245, 0, -0.9964665, -0.0006605237, -0.0007184868, 0.08398603
 707021245, 1, -0.9964662, -0.0006547975, -0.0007496462, 0.08398846
 707121205, 0, -0.9964674, -0.0006585227, -0.0007177005, 0.08397449
 707121205, 1, -0.9964672, -0.0006489975, -0.0007396172, 0.08397764
 707221165, 0, -0.9964683, -0.0006603479, -0.0007203904, 0.08396377
 707221165, 1, -0.9964684, -0.000647145, -0.0007383453, 0.08396248
 707321125, 0, -0.9964692, -0.0006561338, -0.0007181283, 0.08395377
 707321125, 1, -0.9964693, -0.0006514238, -0.0007397697, 0.08395229
 707421085, 0, -0.99647, -0.0006582408, -0.0007211421, 0.08394377
 707421085, 1, -0.9964705, -0.0006534717, -0.0007446017, 0.08393776
 707521045, 0, -0.9964708, -0.0006535907, -0.0007198948, 0.0839344
 707521045, 1, -0.9964718, -0.0006543017, -0.0007418973, 0.08392315
 707621005, 0, -0.9964715, -0.0006588947, -0.0007224848, 0.08392572
 707621005, 1, -0.9964727, -0.0006607329, -0.0007458061, 0.08391231
 707720965, 0, -0.9964723, -0.0006558213, -0.000720278, 0.0839165
 707720965, 1, -0.9964731, -0.0006572045, -0.0007401299, 0.08390739
 707820925, 0, -0.9964731, -0.0006587776, -0.0007228313, 0.08390748
 707820925, 1, -0.9964741, -0.0006555165, -0.0007391323, 0.08389438
 707920885, 0, -0.9964739, -0.0006559248, -0.0007226542, 0.08389772
 707920885, 1, -0.9964746, -0.0006572167, -0.000727236, 0.08388943
 708020845, 0, -0.9964747, -0.0006576641, -0.0007225939, 0.08388861
 708020845, 1, -0.9964755, -0.0006624449, -0.0007325606, 0.08387914
 708120805, 0, -0.9964754, -0.0006552526, -0.0007197165, 0.08387994
 708120805, 1, -0.9964761, -0.0006624379, -0.000733293, 0.08387157
 708220765, 0, -0.9964761, -0.0006585594, -0.0007229345, 0.08387238
 708220765, 1, -0.996477, -0.0006717131, -0.0007394765, 0.08386049
 708321558, 0, -0.996477, -0.000657831, -0.000720543, 0.08386107
 708321558, 1, -0.9964779, -0.0006663441, -0.0007344193, 0.08384979
 708421518, 0, -0.9964777, -0.0006607068, -0.0007236736, 0.08385217
 708421518, 1, -0.9964793, -0.0006757055, -0.0007322894, 0.08383381
 708521478, 0, -0.9964785, -0.0006607368, -0.0007197455, 0.08384325
 708521478, 1, -0.9964797, -0.0006742608, -0.0007328761, 0.08382811
 708621438, 0, -0.9964791, -0.0006626718, -0.0007232092, 0.08383569
 708621438, 1, -0.9964807, -0.0006808275, -0.000737622, 0.08381649
 708721398, 0, -0.9964798, -0.0006592565, -0.0007213062, 0.08382723
 708721398, 1, -0.9964813, -0.0006806136, -0.0007332073, 0.08380911
 708821358, 0, -0.9964806, -0.0006607901, -0.0007228932, 0.08381846
 708821358, 1, -0.996482, -0.0006807641, -0.0007304673, 0.0838013
 708921318, 0, -0.9964814, -0.0006595536, -0.0007201422, 0.08380827
 708921318, 1, -0.996483, -0.000678611, -0.0007287175, 0.08378966
 709021278, 0, -0.9964822, -0.0006632715, -0.000721581, 0.08379906
 709021278, 1, -0.9964836, -0.0006784083, -0.0007256103, 0.08378161
 709121238, 0, -0.9964829, -0.0006621295, -0.0007189969, 0.08379076
 709121238, 1, -0.9964843, -0.0006765127, -0.0007208686, 0.08377391
 709221198, 0, -0.9964836, -0.0006642333, -0.0007221162, 0.08378293
 709221198, 1, -0.9964848, -0.0006774358, -0.0007261701, 0.08376788
 709321158, 0, -0.9964844, -0.0006627598, -0.0007203233, 0.08377272
 709321158, 1, -0.9964854, -0.0006748204, -0.0007215695, 0.08376127
 709421118, 0, -0.9964852, -0.0006667968, -0.0007224905, 0.08376357
 709421118, 1, -0.9964861, -0.0006794789, -0.0007246549, 0.08375181
 709521078, 0, -0.9964858, -0.0006654398, -0.0007198237, 0.08375562
 709521078, 1, -0.9964868, -0.0006778011, -0.0007179436, 0.08374434
 709621038, 0, -0.9964865, -0.000669583, -0.0007219696, 0.08374759
 709621038, 1, -0.9964872, -0.0006789305, -0.0007168181, 0.0837394
 709720998, 0, -0.9964873, -0.0006680276, -0.00071839, 0.08373906
 709720998, 1, -0.9964879, -0.0006726987, -0.0007160096, 0.08373139
 709820958, 0, -0.996488, -0.0006731757, -0.0007224966, 0.08372959
 709820958, 1, -0.9964887, -0.0006769004, -0.0007166401, 0.08372075
 709920918, 0, -0.9964887, -0.0006711734, -0.0007204018, 0.08372195
 709920918, 1, -0.9964893, -0.0006764594, -0.0007179758, 0.08371475
 710020878, 0, -0.9964894, -0.0006752793, -0.000722854, 0.08371302
 710020878, 1, -0.99649, -0.0006791906, -0.0007189729, 0.08370582
 710120838, 0, -0.9964901, -0.0006724652, -0.0007196629, 0.08370431
 710120838, 1, -0.9964905, -0.0006775594, -0.0007138804, 0.08369993
 710220798, 0, -0.996491, -0.0006765097, -0.0007229641, 0.08369477
 710220798, 1, -0.9964913, -0.0006789066, -0.0007153782, 0.08369146
 710321591, 0, -0.9964917, -0.0006744472, -0.0007211208, 0.08368552
 710321591, 1, -0.996492, -0.0006793396, -0.0007126653, 0.08368198
 710421551, 0, -0.9964925, -0.0006787364, -0.0007235255, 0.08367589
 710421551, 1, -0.9964924, -0.0006811697, -0.0007173491, 0.08367737
 710521511, 0, -0.9964934, -0.0006761118, -0.0007218943, 0.08366577
 710521511, 1, -0.9964931, -0.0006787118, -0.0007171491, 0.08366894
 710621471, 0, -0.9964941, -0.0006796562, -0.0007236963, 0.08365744
