Time,XKTV_C,XKTV_TVS,XKTV_TVD
 706055798, 0, 3.215407E-05, 3.2154E-05
 706184080, 1, 3.296008E-05, 3.296002E-05
 706556431, 0, 3.307084E-05, 3.307077E-05
 706691377, 1, 3.208438E-05, 3.208431E-05
 707068726, 0, 3.225182E-05, 3.225174E-05
 707193676, 1, 3.301284E-05, 3.301276E-05
 707581021, 0, 3.33232E-05, 3.332313E-05
 707695975, 1, 3.228681E-05, 3.228674E-05
 708090817, 0, 3.260114E-05, 3.260107E-05
 708208270, 1, 3.330244E-05, 3.330237E-05
 708591450, 0, 3.366362E-05, 3.366355E-05
 708713901, 1, 3.2575E-05, 3.257493E-05
 709103745, 0, 3.306552E-05, 3.306545E-05
 709216200, 1, 3.193469E-05, 3.193462E-05
 709616040, 0, 3.252122E-05, 3.252115E-05
 709718499, 1, 3.305579E-05, 3.305572E-05
 710125836, 0, 3.372525E-05, 3.372517E-05
 710220798, 1, 3.24773E-05, 3.247723E-05
 710626469, 0, 3.302965E-05, 3.302958E-05
 710726429, 1, 3.356801E-05, 3.356793E-05
 711138764, 0, 3.390157E-05, 3.390172E-05
 711228728, 1, 3.244414E-05, 3.244412E-05
 711651059, 0, 3.269544E-05, 3.269539E-05
 711741023, 1, 3.321077E-05, 3.321076E-05
 712163354, 0, 3.843017E-05, 3.843036E-05
 712243322, 1, 3.801261E-05, 3.80128E-05
 712676482, 0, 4.039043E-05, 4.039067E-05
 712748953, 1, 4.056612E-05, 4.056634E-05
 713188777, 0, 4.2719E-05, 4.271907E-05
 713251252, 1, 4.210501E-05, 4.210506E-05
 713701072, 0, 4.336553E-05, 4.336547E-05
 713753551, 1, 4.340827E-05, 4.340822E-05
 714210868, 0, 4.409066E-05, 4.409056E-05
 714258349, 1, 4.25297E-05, 4.252959E-05
 714711501, 0, 4.220269E-05, 4.22026E-05
 714761481, 1, 4.225977E-05, 4.225969E-05
 715223796, 0, 3.972854E-05, 3.972845E-05
 715273776, 1, 3.980063E-05, 3.980054E-05
 715736091, 0, 3.934385E-05, 3.934379E-05
 715776075, 1, 3.931444E-05, 3.931438E-05
 716245887, 0, 3.673531E-05, 3.673524E-05
 716278374, 1, 3.665339E-05, 3.665333E-05
 716746520, 0, 3.644333E-05, 3.644327E-05
 716784005, 1, 3.638496E-05, 3.63849E-05
 717258815, 0, 3.43936E-05, 3.439356E-05
 717286304, 1, 3.424558E-05, 3.424554E-05
 717771110, 0, 3.495018E-05, 3.495014E-05
 717788603, 1, 3.479783E-05, 3.479779E-05
 718280906, 0, 3.400669E-05, 3.400664E-05
 718300898, 1, 3.377407E-05, 3.3774E-05
 718781539, 0, 3.514867E-05, 3.514861E-05
 718809028, 1, 3.497523E-05, 3.497517E-05
 719293834, 0, 3.4794E-05, 3.479391E-05
 719321323, 1, 3.462916E-05, 3.462907E-05
 719806129, 0, 3.627465E-05, 3.627459E-05
 719823622, 1, 3.42389E-05, 3.423884E-05
 720318424, 0, 3.597137E-05, 3.597131E-05
 720325921, 1, 3.556324E-05, 3.556317E-05
 720819057, 0, 3.543468E-05, 3.543461E-05
 720831552, 1, 3.514894E-05, 3.514887E-05
 721331352, 0, 3.680877E-05, 3.680871E-05
 721333851, 1, 3.642789E-05, 3.642782E-05
 721843647, 0, 3.618027E-05, 3.61802E-05
 721846146, 1, 3.577582E-05, 3.577576E-05
 722348445, 1, 3.687122E-05, 3.687113E-05
 722353443, 0, 3.74021E-05, 3.740201E-05
 722849078, 1, 3.593542E-05, 3.593535E-05
 722854076, 0, 3.644674E-05, 3.644666E-05
 723356375, 1, 3.700721E-05, 3.700717E-05
 723366371, 0, 3.758646E-05, 3.758642E-05
 723858674, 1, 3.596588E-05, 3.596578E-05
 723878666, 0, 3.658237E-05, 3.658227E-05
 724360973, 1, 3.699398E-05, 3.699391E-05
 724388462, 0, 3.761451E-05, 3.761444E-05
 724873268, 1, 3.584267E-05, 3.584258E-05
 724901590, 0, 3.651342E-05, 3.651332E-05
 725378899, 1, 3.684116E-05, 3.684122E-05
 725413885, 0, 3.757333E-05, 3.757339E-05
 725881198, 1, 3.570908E-05, 3.570906E-05
 725926180, 0, 3.650261E-05, 3.650259E-05
 726383497, 1, 3.657737E-05, 3.657732E-05
 726438475, 0, 3.550069E-05, 3.550063E-05
 726885796, 1, 3.547228E-05, 3.547223E-05
 726948271, 0, 3.64641E-05, 3.646404E-05
 727391427, 1, 3.640551E-05, 3.640549E-05
 727461399, 0, 3.552106E-05, 3.552104E-05
 727893726, 1, 3.540995E-05, 3.54099E-05
 727973694, 0, 3.646872E-05, 3.646867E-05
 728406021, 1, 3.633565E-05, 3.63356E-05
 728485989, 0, 3.551756E-05, 3.551751E-05
 728908320, 1, 3.530809E-05, 3.530805E-05
 728998284, 0, 3.65228E-05, 3.652276E-05
 729413951, 1, 3.620169E-05, 3.620165E-05
 729511412, 0, 3.56023E-05, 3.560224E-05
 729916250, 1, 3.518867E-05, 3.518861E-05
 730023707, 0, 3.469437E-05, 3.469431E-05
 730418549, 1, 3.426744E-05, 3.426739E-05
 730536002, 0, 3.573539E-05, 3.573533E-05
 730923347, 1, 3.53845E-05, 3.538444E-05
 731045798, 0, 3.501733E-05, 3.501728E-05
 731426479, 1, 3.453399E-05, 3.453396E-05
 731546431, 0, 3.608472E-05, 3.608469E-05
 731938774, 1, 3.569047E-05, 3.569042E-05
 732058726, 0, 3.545901E-05, 3.545896E-05
 732441073, 1, 3.501445E-05, 3.501438E-05
 732571021, 0, 3.662559E-05, 3.662552E-05
 732943372, 1, 3.608635E-05, 3.608626E-05
 733080817, 0, 3.593799E-05, 3.593792E-05
 733449003, 1, 3.535606E-05, 3.535597E-05
 733581450, 0, 3.69794E-05, 3.697932E-05
 733951302, 1, 3.633078E-05, 3.633068E-05
 734093745, 0, 3.628515E-05, 3.628504E-05
 734453601, 1, 3.897556E-05, 3.898031E-05
 734606040, 0, 4.904521E-05, 4.906407E-05
 734965896, 1, 8.214051E-05, 8.222306E-05
 735115836, 0, 9.892804E-05, 9.904899E-05
 735474026, 1, 0.0001400868, 0.0001403338
 735616469, 0, 0.0001526579, 0.0001529681
 735986321, 1, 0.0002009324, 0.0002014144
 736128764, 0, 0.0001994208, 0.0001999243
 736488620, 1, 0.0001715584, 0.000172087
 736641059, 0, 0.0001577379, 0.0001583078
 736990919, 1, 0.0001299625, 0.0001306671
 737153354, 0, 0.0001104116, 0.0001111497
 737496550, 1, 8.153785E-05, 8.22594E-05
 737666482, 0, 7.431758E-05, 7.502966E-05
 737998849, 1, 6.794395E-05, 6.863725E-05
 738178777, 0, 6.417237E-05, 6.485024E-05
 738511144, 1, 5.657724E-05, 5.718035E-05
 738691072, 0, 5.429895E-05, 5.487169E-05
 739013443, 1, 5.064924E-05, 5.114959E-05
 739200868, 0, 4.910972E-05, 4.957366E-05
 739521573, 1, 4.887335E-05, 4.936236E-05
 739701501, 0, 4.943244E-05, 4.993926E-05
 740033868, 1, 4.877278E-05, 4.928359E-05
 740213796, 0, 5.082686E-05, 5.137247E-05
 740536167, 1, 4.944875E-05, 4.997542E-05
 740726091, 0, 4.944538E-05, 4.996868E-05
 741038466, 1, 4.773177E-05, 4.822897E-05
 741235887, 0, 4.75243E-05, 4.801357E-05
 741550761, 1, 4.758632E-05, 4.807614E-05
 741736520, 0, 4.748427E-05, 4.797E-05
 742051394, 1, 4.580053E-05, 4.626416E-05
 742248815, 0, 4.602833E-05, 4.649621E-05
 742558691, 1, 4.650086E-05, 4.697911E-05
 742761110, 0, 4.682378E-05, 4.730474E-05
 743060990, 1, 4.55372E-05, 4.600196E-05
 743270906, 0, 4.605725E-05, 4.652544E-05
 743563289, 1, 4.65249E-05, 4.700089E-05
 743771539, 0, 4.730478E-05, 4.779041E-05
 744068920, 1, 4.624535E-05, 4.671307E-05
 744283834, 0, 4.695739E-05, 4.742976E-05
 744571219, 1, 4.772593E-05, 4.821172E-05
 744796129, 0, 4.871016E-05, 4.920634E-05
 745083514, 1, 4.783583E-05, 4.831556E-05
 745308424, 0, 4.881095E-05, 4.929859E-05
 745585813, 1, 4.918437E-05, 4.967425E-05
 745809057, 0, 5.025051E-05, 5.075042E-05
 746091444, 1, 4.913206E-05, 4.960877E-05
 746321352, 0, 5.029992E-05, 5.078899E-05
