Time,XKY0_C,XKY0_YC,XKY0_YCS,XKY0_Y0,XKY0_Y1,XKY0_Y2,XKY0_Y3,XKY0_Y4,XKY0_W0,XKY0_W1,XKY0_W2,XKY0_W3,XKY0_W4
 705920852, 0, 190.5412, 14.03748, 198.7749, 270.7749, 342.7749, 54.77489, 126.7749, 0.2, 0.2, 0.2, 0.2, 0.2
 705920852, 1, 332.8249, 1.056933, 332.7894, 332.8251, 332.8239, 332.8246, 333.0349, 0.008501099, 0.2163143, 0.7592618, 0.01089895, 0.005023853
 706020812, 0, 190.4987, 14.03753, 198.7699, 270.7699, 342.7699, 54.76991, 126.7699, 0.2, 0.2, 0.2, 0.2, 0.2
 706020812, 1, 332.8207, 1.057234, 332.7852, 332.8209, 332.8197, 332.8204, 333.0307, 0.008501052, 0.2163145, 0.7592615, 0.01089894, 0.005023996
 706120772, 0, 190.4795, 14.03771, 198.7651, 270.7651, 342.7651, 54.76506, 126.7651, 0.2, 0.2, 0.2, 0.2, 0.2
 706120772, 1, 332.8162, 1.057034, 332.7806, 332.8164, 332.8152, 332.8159, 333.0262, 0.008501052, 0.2163145, 0.7592615, 0.01089894, 0.005023996
 706221565, 0, 190.4527, 14.0376, 198.7601, 270.7601, 342.7601, 54.76007, 126.7601, 0.2, 0.2, 0.2, 0.2, 0.2
 706221565, 1, 332.8112, 1.056911, 332.7757, 332.8114, 332.8102, 332.8109, 333.0213, 0.008501005, 0.2163147, 0.7592612, 0.01089893, 0.005024137
 706321525, 0, 190.4341, 14.03777, 198.7554, 270.7554, 342.7554, 54.75537, 126.7554, 0.2, 0.2, 0.2, 0.2, 0.2
 706321525, 1, 332.8065, 1.057207, 332.7709, 332.8067, 332.8054, 332.8061, 333.0165, 0.008501005, 0.2163147, 0.7592612, 0.01089893, 0.005024137
 706421485, 0, 190.3918, 14.03784, 198.7507, 270.7507, 342.7507, 54.75072, 126.7507, 0.2, 0.2, 0.2, 0.2, 0.2
 706421485, 1, 332.8015, 1.057049, 332.766, 332.8017, 332.8005, 332.8012, 333.0116, 0.008500959, 0.2163149, 0.759261, 0.01089892, 0.005024276
 706521445, 0, 190.3842, 14.03789, 198.7458, 270.7458, 342.7458, 54.74581, 126.7458, 0.2, 0.2, 0.2, 0.2, 0.2
 706521445, 1, 332.7964, 1.057387, 332.7609, 332.7966, 332.7954, 332.7961, 333.0065, 0.008500959, 0.2163149, 0.759261, 0.01089892, 0.005024276
 706621405, 0, 190.3402, 14.03798, 198.7411, 270.7411, 342.7411, 54.74108, 126.7411, 0.2, 0.2, 0.2, 0.2, 0.2
 706621405, 1, 332.7919, 1.057227, 332.7563, 332.7921, 332.7908, 332.7915, 333.0019, 0.008500912, 0.2163152, 0.7592606, 0.0108989, 0.005024415
 706721365, 0, 190.3131, 14.03824, 198.7365, 270.7365, 342.7365, 54.73649, 126.7365, 0.2, 0.2, 0.2, 0.2, 0.2
 706721365, 1, 332.7871, 1.057565, 332.7516, 332.7873, 332.7861, 332.7868, 332.9972, 0.008500912, 0.2163152, 0.7592606, 0.0108989, 0.005024415
 706821325, 0, 190.2506, 14.03852, 198.7319, 270.7319, 342.7319, 54.73194, 126.7319, 0.2, 0.2, 0.2, 0.2, 0.2
 706821325, 1, 332.7824, 1.057404, 332.7469, 332.7827, 332.7814, 332.7821, 332.9925, 0.008500866, 0.2163154, 0.7592604, 0.01089889, 0.005024556
 706921285, 0, 190.229, 14.03872, 198.727, 270.7271, 342.727, 54.72704, 126.727, 0.2, 0.2, 0.2, 0.2, 0.2
 706921285, 1, 332.778, 1.057742, 332.7424, 332.7782, 332.7769, 332.7776, 332.988, 0.008500866, 0.2163154, 0.7592604, 0.01089889, 0.005024556
 707021245, 0, 190.193, 14.03874, 198.7223, 270.7223, 342.7223, 54.72225, 126.7223, 0.2, 0.2, 0.2, 0.2, 0.2
 707021245, 1, 332.7726, 1.057614, 332.737, 332.7728, 332.7715, 332.7722, 332.9826, 0.008500818, 0.2163156, 0.7592601, 0.01089888, 0.005024698
 707121205, 0, 190.1846, 14.0388, 198.7176, 270.7176, 342.7176, 54.71756, 126.7176, 0.2, 0.2, 0.2, 0.2, 0.2
 707121205, 1, 332.7679, 1.057904, 332.7324, 332.7682, 332.7669, 332.7676, 332.978, 0.008500818, 0.2163156, 0.7592601, 0.01089888, 0.005024698
 707221165, 0, 190.1496, 14.03881, 198.7131, 270.7131, 342.7131, 54.71311, 126.7131, 0.2, 0.2, 0.2, 0.2, 0.2
 707221165, 1, 332.7635, 1.057729, 332.728, 332.7637, 332.7625, 332.7632, 332.9736, 0.008500772, 0.2163158, 0.7592598, 0.01089887, 0.005024837
 707321125, 0, 190.1284, 14.03901, 198.7086, 270.7086, 342.7086, 54.7086, 126.7086, 0.2, 0.2, 0.2, 0.2, 0.2
 707321125, 1, 332.7596, 1.058067, 332.724, 332.7597, 332.7585, 332.7592, 332.9696, 0.008500772, 0.2163158, 0.7592598, 0.01089887, 0.005024837
 707421085, 0, 190.096, 14.03899, 198.704, 270.704, 342.704, 54.70404, 126.704, 0.2, 0.2, 0.2, 0.2, 0.2
 707421085, 1, 332.7548, 1.057906, 332.7192, 332.755, 332.7538, 332.7545, 332.9649, 0.008500725, 0.216316, 0.7592595, 0.01089886, 0.005024977
 707521045, 0, 190.0692, 14.03925, 198.6994, 270.6995, 342.6995, 54.69945, 126.6994, 0.2, 0.2, 0.2, 0.2, 0.2
 707521045, 1, 332.7508, 1.058245, 332.7152, 332.751, 332.7498, 332.7504, 332.9609, 0.008500725, 0.216316, 0.7592595, 0.01089886, 0.005024977
 707621005, 0, 190.0217, 14.03939, 198.6948, 270.6948, 342.6948, 54.69481, 126.6948, 0.2, 0.2, 0.2, 0.2, 0.2
 707621005, 1, 332.7466, 1.058082, 332.711, 332.7468, 332.7455, 332.7462, 332.9567, 0.008500678, 0.2163162, 0.7592592, 0.01089885, 0.005025117
 707720965, 0, 189.9934, 14.03967, 198.6901, 270.6901, 342.6901, 54.69011, 126.6901, 0.2, 0.2, 0.2, 0.2, 0.2
 707720965, 1, 332.7415, 1.058447, 332.7059, 332.7417, 332.7404, 332.7411, 332.9516, 0.008500678, 0.2163162, 0.7592592, 0.01089885, 0.005025117
 707820925, 0, 189.9645, 14.03962, 198.6856, 270.6855, 342.6855, 54.68556, 126.6856, 0.2, 0.2, 0.2, 0.2, 0.2
 707820925, 1, 332.7371, 1.058232, 332.7015, 332.7372, 332.736, 332.7367, 332.9472, 0.008500631, 0.2163164, 0.7592589, 0.01089884, 0.005025258
 707920885, 0, 189.9498, 14.03975, 198.681, 270.681, 342.681, 54.68103, 126.681, 0.2, 0.2, 0.2, 0.2, 0.2
 707920885, 1, 332.7328, 1.05857, 332.6973, 332.733, 332.7318, 332.7325, 332.943, 0.008500631, 0.2163164, 0.7592589, 0.01089884, 0.005025258
 708020845, 0, 189.9104, 14.03981, 198.6765, 270.6765, 342.6765, 54.67651, 126.6765, 0.2, 0.2, 0.2, 0.2, 0.2
 708020845, 1, 332.7275, 1.058404, 332.692, 332.7278, 332.7265, 332.7272, 332.9377, 0.008500583, 0.2163166, 0.7592586, 0.01089883, 0.005025399
 708120805, 0, 189.8985, 14.03992, 198.6719, 270.6719, 342.6719, 54.67186, 126.6719, 0.2, 0.2, 0.2, 0.2, 0.2
 708120805, 1, 332.7229, 1.058742, 332.6873, 332.7231, 332.7219, 332.7226, 332.933, 0.008500583, 0.2163166, 0.7592586, 0.01089883, 0.005025399
 708220765, 0, 189.8651, 14.03991, 198.6673, 270.6673, 342.6673, 54.66727, 126.6673, 0.2, 0.2, 0.2, 0.2, 0.2
 708220765, 1, 332.718, 1.058578, 332.6825, 332.7183, 332.717, 332.7177, 332.9282, 0.008500537, 0.2163168, 0.7592583, 0.01089882, 0.00502554
 708321558, 0, 189.8707, 14.03982, 198.6625, 270.6625, 342.6625, 54.66246, 126.6625, 0.2, 0.2, 0.2, 0.2, 0.2
 708321558, 1, 332.7136, 1.058916, 332.6781, 332.7138, 332.7126, 332.7133, 332.9238, 0.008500537, 0.2163168, 0.7592583, 0.01089882, 0.00502554
 708421518, 0, 189.8185, 14.04003, 198.658, 270.658, 342.658, 54.65801, 126.658, 0.2, 0.2, 0.2, 0.2, 0.2
 708421518, 1, 332.7095, 1.059211, 332.6739, 332.7097, 332.7084, 332.7091, 332.9196, 0.008500489, 0.2163171, 0.759258, 0.0108988, 0.005025681
 708521478, 0, 189.8063, 14.04014, 198.6535, 270.6535, 342.6535, 54.65347, 126.6535, 0.2, 0.2, 0.2, 0.2, 0.2
 708521478, 1, 332.7059, 1.059041, 332.6703, 332.7061, 332.7049, 332.7056, 332.9161, 0.008500489, 0.2163171, 0.759258, 0.0108988, 0.005025681
 708621438, 0, 189.746, 14.04044, 198.6489, 270.6489, 342.6489, 54.64891, 126.6489, 0.2, 0.2, 0.2, 0.2, 0.2
