Time,XKY1_C,XKY1_IVN0,XKY1_IVN1,XKY1_IVN2,XKY1_IVN3,XKY1_IVN4,XKY1_IVE0,XKY1_IVE1,XKY1_IVE2,XKY1_IVE3,XKY1_IVE4
 705920852, 0, 0.02527796, 0.0194102, -0.0132818, -0.0276188, -0.003787562, -0.01219578, 0.02027206, 0.02472461, -0.004991414, -0.02780947
 705920852, 1, 0.1113298, 0.111285, 0.111289, 0.1112897, 0.1110442, 0.04966679, 0.04972836, 0.04972766, 0.0497298, 0.05010426
 706020812, 0, 0.02519672, 0.01933583, -0.01324652, -0.02752263, -0.003763403, -0.01214399, 0.02021081, 0.02463495, -0.004985569, -0.0277162
 706020812, 1, 0.1133407, 0.1132951, 0.1132992, 0.1132999, 0.1130504, 0.05047585, 0.05053852, 0.05053782, 0.05053999, 0.05092122
 706120772, 0, 0.02519672, 0.01933583, -0.01324652, -0.02752263, -0.003763403, -0.01214399, 0.02021081, 0.02463495, -0.004985569, -0.0277162
 706120772, 1, 0.1133407, 0.1132951, 0.1132992, 0.1132999, 0.1130504, 0.05047585, 0.05053852, 0.05053782, 0.05053999, 0.05092122
 706221565, 0, 0.02515586, 0.01933792, -0.01320437, -0.02749867, -0.003790743, -0.01215946, 0.02016717, 0.02462346, -0.004949037, -0.02768213
 706221565, 1, 0.1123078, 0.1122627, 0.1122667, 0.1122674, 0.1120202, 0.05001531, 0.05007742, 0.05007672, 0.05007887, 0.05045662
 706321525, 0, 0.02515586, 0.01933792, -0.01320437, -0.02749867, -0.003790743, -0.01215946, 0.02016717, 0.02462346, -0.004949037, -0.02768213
 706321525, 1, 0.1123078, 0.1122627, 0.1122667, 0.1122674, 0.1120202, 0.05001531, 0.05007742, 0.05007672, 0.05007887, 0.05045662
 706421485, 0, 0.02514048, 0.01936966, -0.01316938, -0.02750878, -0.003831987, -0.01219783, 0.02014069, 0.02464546, -0.004908955, -0.02767936
 706421485, 1, 0.1112442, 0.1111993, 0.1112033, 0.111204, 0.1109581, 0.04974758, 0.0498091, 0.04980841, 0.04981054, 0.05018472
 706521445, 0, 0.02514048, 0.01936966, -0.01316938, -0.02750878, -0.003831987, -0.01219783, 0.02014069, 0.02464546, -0.004908955, -0.02767936
 706521445, 1, 0.1112442, 0.1111993, 0.1112033, 0.111204, 0.1109581, 0.04974758, 0.0498091, 0.04980841, 0.04981054, 0.05018472
 706621405, 0, 0.02508787, 0.01931869, -0.01314827, -0.02744477, -0.00381353, -0.01216133, 0.02010193, 0.024585, -0.004907562, -0.02761804
 706621405, 1, 0.1115624, 0.1115175, 0.1115215, 0.1115222, 0.111276, 0.04982656, 0.04988825, 0.04988756, 0.04988969, 0.05026495
 706721365, 0, 0.02508787, 0.01931869, -0.01314827, -0.02744477, -0.00381353, -0.01216133, 0.02010193, 0.024585, -0.004907562, -0.02761804
 706721365, 1, 0.1115624, 0.1115175, 0.1115215, 0.1115222, 0.111276, 0.04982656, 0.04988825, 0.04988756, 0.04988969, 0.05026495
 706821325, 0, 0.0249916, 0.01931963, -0.01305141, -0.02738584, -0.003873968, -0.01219359, 0.02000039, 0.02455452, -0.004824869, -0.02753645
 706821325, 1, 0.1116119, 0.1115668, 0.1115709, 0.1115716, 0.1113248, 0.04993289, 0.04999461, 0.04999391, 0.04999605, 0.05037147
 706921285, 0, 0.0249916, 0.01931963, -0.01305141, -0.02738584, -0.003873968, -0.01219359, 0.02000039, 0.02455452, -0.004824869, -0.02753645
 706921285, 1, 0.1116119, 0.1115668, 0.1115709, 0.1115716, 0.1113248, 0.04993289, 0.04999461, 0.04999391, 0.04999605, 0.05037147
 707021245, 0, 0.02489281, 0.0192864, -0.01297315, -0.02730425, -0.003901801, -0.01219076, 0.01990731, 0.02449416, -0.004769093, -0.02744162
 707021245, 1, 0.1127627, 0.1127172, 0.1127212, 0.112722, 0.1124728, 0.05042553, 0.05048789, 0.05048719, 0.05048935, 0.05086864
 707121205, 0, 0.02489281, 0.0192864, -0.01297315, -0.02730425, -0.003901801, -0.01219076, 0.01990731, 0.02449416, -0.004769093, -0.02744162
 707121205, 1, 0.1127627, 0.1127172, 0.1127212, 0.112722, 0.1124728, 0.05042553, 0.05048789, 0.05048719, 0.05048935, 0.05086864
 707221165, 0, 0.02485507, 0.01923755, -0.01296561, -0.02725074, -0.003876273, -0.01215166, 0.01988351, 0.02444034, -0.004778546, -0.02739364
 707221165, 1, 0.1112367, 0.1111917, 0.1111957, 0.1111964, 0.1109502, 0.0498268, 0.04988832, 0.04988762, 0.04988975, 0.05026391
 707321125, 0, 0.02485507, 0.01923755, -0.01296561, -0.02725074, -0.003876273, -0.01215166, 0.01988351, 0.02444034, -0.004778546, -0.02739364
 707321125, 1, 0.1112367, 0.1111917, 0.1111957, 0.1111964, 0.1109502, 0.0498268, 0.04988832, 0.04988762, 0.04988975, 0.05026391
 707421085, 0, 0.02492971, 0.01923829, -0.01303979, -0.02729732, -0.003830882, -0.01212818, 0.01996175, 0.02446522, -0.00484141, -0.02745738
 707421085, 1, 0.1113607, 0.1113155, 0.1113196, 0.1113203, 0.1110731, 0.05003053, 0.05009211, 0.05009142, 0.05009355, 0.05046812
 707521045, 0, 0.02492971, 0.01923829, -0.01303979, -0.02729732, -0.003830882, -0.01212818, 0.01996175, 0.02446522, -0.00484141, -0.02745738
 707521045, 1, 0.1113607, 0.1113155, 0.1113196, 0.1113203, 0.1110731, 0.05003053, 0.05009211, 0.05009142, 0.05009355, 0.05046812
 707621005, 0, 0.02492527, 0.019256, -0.01302441, -0.02730552, -0.003851335, -0.01214824, 0.01995132, 0.02447884, -0.004822569, -0.02745935
 707621005, 1, 0.111541, 0.1114958, 0.1114999, 0.1115006, 0.1112529, 0.05011714, 0.05017882, 0.05017812, 0.05018026, 0.05055544
 707720965, 0, 0.02492527, 0.019256, -0.01302441, -0.02730552, -0.003851335, -0.01214824, 0.01995132, 0.02447884, -0.004822569, -0.02745935
 707720965, 1, 0.111541, 0.1114958, 0.1114999, 0.1115006, 0.1112529, 0.05011714, 0.05017882, 0.05017812, 0.05018026, 0.05055544
 707820925, 0, 0.02498173, 0.01929638, -0.01305591, -0.02736538, -0.003856824, -0.01217236, 0.01999757, 0.02453154, -0.004836246, -0.0275205
 707820925, 1, 0.1119203, 0.1118749, 0.111879, 0.1118797, 0.1116315, 0.05022783, 0.05028972, 0.05028902, 0.05029117, 0.05066762
 707920885, 0, 0.02498173, 0.01929638, -0.01305591, -0.02736538, -0.003856824, -0.01217236, 0.01999757, 0.02453154, -0.004836246, -0.0275205
 707920885, 1, 0.1119203, 0.1118749, 0.111879, 0.1118797, 0.1116315, 0.05022783, 0.05028972, 0.05028902, 0.05029117, 0.05066762
 708020845, 0, 0.02494746, 0.0193398, -0.01299481, -0.02737103, -0.003921418, -0.01222914, 0.01994743, 0.02455734, -0.004770166, -0.02750546
 708020845, 1, 0.1119683, 0.1119229, 0.111927, 0.1119277, 0.1116796, 0.05020829, 0.05027021, 0.05026951, 0.05027166, 0.05064827
 708120805, 0, 0.02494746, 0.0193398, -0.01299481, -0.02737103, -0.003921418, -0.01222914, 0.01994743, 0.02455734, -0.004770166, -0.02750546
