Time,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,AHR2_Alt,AHR2_Lat,AHR2_Lng,AHR2_Q1,AHR2_Q2,AHR2_Q3,AHR2_Q4
 74893364, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009221371, 0.0008302156, 0.001460095
 74993324, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009236358, 0.0008275752, 0.001458771
 75093284, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009202135, 0.0008243439, 0.001460749
 75194077, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.000917079, 0.0008227812, 0.001461848
 75294037, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009149599, 0.0008192299, 0.001459431
 75393997, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009098944, 0.0008169071, 0.001460219
 75493957, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009091422, 0.0008150717, 0.001461318
 75593917, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009078353, 0.0008147845, 0.001460282
 75693877, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009056276, 0.0008122741, 0.001457827
 75793837, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009053926, 0.0008115462, 0.001459621
 75893797, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009032019, 0.0008096019, 0.00145809
 75993757, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0009007468, 0.0008112853, 0.001457952
 76093717, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008962452, 0.0008090615, 0.001454358
 76193677, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008961649, 0.0008043154, 0.001455068
 76293637, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008917832, 0.0008011076, 0.001456653
 76393597, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008908334, 0.0007991344, 0.00145644
 76493557, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008916229, 0.0007970258, 0.001458028
 76593517, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.000894196, 0.0007964915, 0.001458169
 76693477, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008943896, 0.0007984578, 0.001457594
 76793437, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008936511, 0.0007982436, 0.001458968
 76893397, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008889463, 0.0007957284, 0.001459823
 76993357, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008876147, 0.0007962825, 0.001460994
 77093317, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008870578, 0.000793684, 0.001460382
 77193277, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008874203, 0.0007958931, 0.001460586
 77294070, 0.1, 0.09, 0.16, 558.04, 33.6412058, 72.9955928, 0.9999982, 0.0008901544, 0.000795965, 0.001462544
