Time,ATT_DesRoll,ATT_Roll,ATT_DesPitch,ATT_Pitch,ATT_DesYaw,ATT_Yaw,ATT_ErrRP,ATT_ErrYaw,ATT_AEKF
 74893364, 0, 0.06, 0, 0.05, 0.66, 0.66, 0, 0, 3
 74993324, 0, 0.06, 0, 0.05, 0.66, 0.66, 0, 0, 3
 75093284, 0, 0.06, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75194077, 0, 0.06, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75294037, 0, 0.06, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75393997, 0, 0.06, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75493957, 0, 0.06, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75593917, 0, 0.07, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75693877, 0, 0.07, 0, 0.05, 0.67, 0.67, 0, 0, 3
 75793837, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 75893797, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 75993757, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76093717, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76193677, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76293637, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76393597, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76493557, 0, 0.07, 0, 0.06, 0.67, 0.67, 0, 0, 3
 76593517, 0, 0.08, 0, 0.07, 0.67, 0.67, 0, 0, 3
 76693477, 0, 0.08, 0, 0.07, 0.67, 0.67, 0, 0, 3
 76793437, 0, 0.08, 0, 0.07, 0.68, 0.68, 0, 0, 3
 76893397, 0, 0.08, 0, 0.07, 0.68, 0.68, 0, 0, 3
 76993357, 0, 0.08, 0, 0.07, 0.68, 0.68, 0, 0, 3
 77093317, 0, 0.08, 0, 0.07, 0.68, 0.68, 0, 0, 3
 77193277, 0, 0.09, 0, 0.07, 0.68, 0.68, 0, 0, 3
 77294070, 0, 0.09, 0, 0.08, 0.68, 0.68, 0, 0, 3
 77394030, 0, 0.09, 0, 0.08, 0.68, 0.68, 0, 0, 3
 77493990, 0, 0.09, 0, 0.08, 0.68, 0.68, 0, 0, 3
 77593950, 0, 0.09, 0, 0.08, 0.68, 0.68, 0, 0, 3
 77693910, 0, 0.09, 0, 0.08, 0.68, 0.68, 0, 0, 3
 77793870, 0, 0.1, 0, 0.09, 0.68, 0.68, 0, 0, 3
 77893830, 0, 0.1, 0, 0.09, 0.68, 0.68, 0, 0, 3
 77993790, 0, 0.1, 0, 0.09, 0.68, 0.68, 0, 0, 3
 78093750, 0, 0.1, 0, 0.09, 0.68, 0.68, 0, 0, 3
 78193710, 0, 0.1, 0, 0.09, 0.69, 0.69, 0, 0, 3
 78293670, 0, 0.11, 0, 0.09, 0.69, 0.69, 0, 0, 3
 78393630, 0, 0.11, 0, 0.1, 0.69, 0.69, 0, 0, 3
 78493590, 0, 0.11, 0, 0.1, 0.69, 0.69, 0, 0, 3
 78593550, 0, 0.11, 0, 0.1, 0.69, 0.69, 0, 0, 3
 78693510, 0, 0.11, 0, 0.1, 0.69, 0.69, 0, 0, 3
 78793470, 0, 0.11, 0, 0.1, 0.69, 0.69, 0, 0, 3
 78893430, 0, 0.12, 0, 0.1, 0.69, 0.69, 0, 0, 3
