Time,BARO_I,BARO_Alt,BARO_Press,BARO_Temp,BARO_CRt,BARO_SMS,BARO_Offset,BARO_GndTemp,BARO_Health
 74893364, 0, -0.0273711, 94798.35, 30.85, 0, 74893, 0, 25.33701, 1
 74893364, 1, 0.2052833, 94796.21, 30.85, 0, 74893, 0, 25.33701, 1
 74993324, 0, -0.0273711, 94798.35, 30.85, 0, 74993, 0, 25.33701, 1
 74993324, 1, 0, 94798.44, 30.85, 0, 74993, 0, 25.33701, 1
 75093284, 0, -0.0273711, 94798.35, 30.85, 0, 75093, 0, 25.33701, 1
 75093284, 1, 0.01368555, 94798.29, 30.85, 0, 75093, 0, 25.33701, 1
 75194077, 0, -0.0273711, 94798.35, 30.85, 0, 75194, 0, 25.33701, 1
 75194077, 1, 0.08211331, 94797.53, 30.85, 0, 75194, 0, 25.33701, 1
 75294037, 0, -0.0273711, 94798.35, 30.85, 0, 75294, 0, 25.33701, 1
 75294037, 1, -0.03284533, 94798.77, 30.85, 0, 75294, 0, 25.33701, 1
 75393997, 0, -0.0273711, 94798.35, 30.86, 0, 75393, 0, 25.33701, 1
 75393997, 1, 0.2162317, 94796.09, 30.86, 0, 75393, 0, 25.33701, 1
 75493957, 0, -0.0273711, 94798.35, 30.86, 0, 75493, 0, 25.33701, 1
 75493957, 1, -0.04379377, 94798.88, 30.86, 0, 75493, 0, 25.33701, 1
 75593917, 0, -0.0273711, 94798.35, 30.86, 0, 75593, 0, 25.33701, 1
 75593917, 1, 0.05747932, 94797.8, 30.86, 0, 75593, 0, 25.33701, 1
 75693877, 0, -0.0273711, 94798.35, 30.86, 0, 75693, 0, 25.33701, 1
 75693877, 1, 0.08758754, 94797.47, 30.86, 0, 75693, 0, 25.33701, 1
 75793837, 0, -0.0273711, 94798.35, 30.86, 0, 75793, 0, 25.33701, 1
 75793837, 1, -0.01642266, 94798.62, 30.86, 0, 75793, 0, 25.33701, 1
 75893797, 0, -0.0273711, 94798.35, 30.86, 0, 75893, 0, 25.33701, 1
 75893797, 1, -0.03284533, 94798.77, 30.87, 0, 75893, 0, 25.33701, 1
 75993757, 0, -0.0273711, 94798.35, 30.87, 0, 75993, 0, 25.33701, 1
 75993757, 1, 0.172438, 94796.57, 30.87, 0, 75993, 0, 25.33701, 1
 76093717, 0, -0.0273711, 94798.35, 30.87, 0, 76093, 0, 25.33701, 1
 76093717, 1, 0.09579886, 94797.38, 30.87, 0, 76093, 0, 25.33701, 1
 76193677, 0, -0.0273711, 94798.35, 30.87, 0, 76193, 0, 25.33701, 1
 76193677, 1, 0.1067473, 94797.26, 30.87, 0, 76193, 0, 25.33701, 1
 76293637, 0, -0.0273711, 94798.35, 30.87, 0, 76293, 0, 25.33701, 1
 76293637, 1, -0.1040102, 94799.58, 30.87, 0, 76293, 0, 25.33701, 1
 76393597, 0, -0.0273711, 94798.35, 30.87, 0, 76393, 0, 25.33701, 1
 76393597, 1, -0.197072, 94800.54, 30.87, 0, 76393, 0, 25.33701, 1
 76493557, 0, -0.0273711, 94798.35, 30.87, 0, 76493, 0, 25.33701, 1
 76493557, 1, -0.05474221, 94799.04, 30.88, 0, 76493, 0, 25.33701, 1
 76593517, 0, -0.0273711, 94798.35, 30.88, 0, 76593, 0, 25.33701, 1
 76593517, 1, -0.07663909, 94799.25, 30.88, 0, 76593, 0, 25.33701, 1
 76693477, 0, -0.0273711, 94798.35, 30.88, 0, 76693, 0, 25.33701, 1
 76693477, 1, -0.1861235, 94800.48, 30.88, 0, 76693, 0, 25.33701, 1
 76793437, 0, -0.0273711, 94798.35, 30.88, 0, 76793, 0, 25.33701, 1
 76793437, 1, 0.1751751, 94796.52, 30.88, 0, 76793, 0, 25.33701, 1
 76893397, 0, -0.0273711, 94798.35, 30.88, 0, 76893, 0, 25.33701, 1
