Time,CTUN_ThI,CTUN_ABst,CTUN_ThO,CTUN_ThH,CTUN_DAlt,CTUN_Alt,CTUN_BAlt,CTUN_DSAlt,CTUN_SAlt,CTUN_TAlt,CTUN_DCRt,CTUN_CRt
 74893364, 0, 0, 0, 0.3450617, -0.02748054, -0.02748054, -0.02, NaN, 0, 0.002519459, 0, 0
 74993324, 0, 0, 0, 0.3450617, -0.02749277, -0.02749277, -0.02, NaN, 0, 0.00250723, 0, 0
 75093284, 0, 0, 0, 0.3450617, -0.02750123, -0.02750123, -0.02, NaN, 0, 0.00249877, 0, 0
 75194077, 0, 0, 0, 0.3450617, -0.02751118, -0.02751118, -0.02, NaN, 0, 0.002488816, 0, 0
 75294037, 0, 0, 0, 0.3450617, -0.02751672, -0.02751672, -0.02, NaN, 0, 0.002483275, 0, 0
 75393997, 0, 0, 0, 0.3450617, -0.02752993, -0.02752993, -0.02, NaN, 0, 0.002470072, 0, 0
 75493957, 0, 0, 0, 0.3450617, -0.02753677, -0.02753677, -0.02, NaN, 0, 0.002463229, 0, 0
 75593917, 0, 0, 0, 0.3450617, -0.02754947, -0.02754947, -0.02, NaN, 0, 0.002450533, 0, 0
 75693877, 0, 0, 0, 0.3450617, -0.02755159, -0.02755159, -0.02, NaN, 0, 0.002448414, 0, 0
 75793837, 0, 0, 0, 0.3450617, -0.02756062, -0.02756062, -0.02, NaN, 0, 0.00243938, 0, 0
 75893797, 0, 0, 0, 0.3450617, -0.02756146, -0.02756146, -0.02, NaN, 0, 0.002438542, 0, 0
 75993757, 0, 0, 0, 0.3450617, -0.02756627, -0.02756627, -0.02, NaN, 0, 0.002433727, 0, 0
 76093717, 0, 0, 0, 0.3450617, -0.02756524, -0.02756524, -0.02, NaN, 0, 0.002434758, 0, 0
 76193677, 0, 0, 0, 0.3450617, -0.02756984, -0.02756984, -0.02, NaN, 0, 0.002430156, 0, 0
 76293637, 0, 0, 0, 0.3450617, -0.02756484, -0.02756484, -0.02, NaN, 0, 0.002435153, 0, 0
 76393597, 0, 0, 0, 0.3450617, -0.02756359, -0.02756359, -0.02, NaN, 0, 0.002436407, 0, 0
 76493557, 0, 0, 0, 0.3450617, -0.02755604, -0.02755604, -0.02, NaN, 0, 0.002443962, 0, 0
 76593517, 0, 0, 0, 0.3450617, -0.027558, -0.027558, -0.02, NaN, 0, 0.002442004, 0, 0
 76693477, 0, 0, 0, 0.3450617, -0.02756195, -0.02756195, -0.02, NaN, 0, 0.002438046, 0, 0
 76793437, 0, 0, 0, 0.3450617, -0.02757102, -0.02757102, -0.02, NaN, 0, 0.002428975, 0, 0
 76893397, 0, 0, 0, 0.3450617, -0.02757405, -0.02757405, -0.02, NaN, 0, 0.002425948, 0, 0
 76993357, 0, 0, 0, 0.3450617, -0.0275818, -0.0275818, -0.02, NaN, 0, 0.002418201, 0, 0
 77093317, 0, 0, 0, 0.3450617, -0.02758228, -0.02758228, -0.02, NaN, 0, 0.002417713, 0, 0
 77193277, 0, 0, 0, 0.3450617, -0.027587, -0.027587, -0.02, NaN, 0, 0.002412999, 0, 0
 77294070, 0, 0, 0, 0.3450617, -0.02758615, -0.02758615, -0.02, NaN, 0, 0.00241385, 0, 0
 77394030, 0, 0, 0, 0.3450617, -0.02758995, -0.02758995, -0.02, NaN, 0, 0.002410045, 0, 0
 77493990, 0, 0, 0, 0.3450617, -0.02759198, -0.02759198, -0.02, NaN, 0, 0.002408015, 0, 0
 77593950, 0, 0, 0, 0.3450617, -0.02760131, -0.02760131, -0.02, NaN, 0, 0.002398688, 0, 0
 77693910, 0, 0, 0, 0.3450617, -0.02760341, -0.02760341, -0.02, NaN, 0, 0.002396591, 0, 0
 77793870, 0, 0, 0, 0.3450617, -0.02761259, -0.02761259, -0.02, NaN, 0, 0.002387412, 0, 0
 77893830, 0, 0, 0, 0.3450617, -0.02761648, -0.02761648, -0.02, NaN, 0, 0.002383515, 0, 0
 77993790, 0, 0, 0, 0.3450617, -0.02762526, -0.02762526, -0.02, NaN, 0, 0.002374737, 0, 0
 78093750, 0, 0, 0, 0.3450617, -0.02762292, -0.02762292, -0.02, NaN, 0, 0.002377076, 0, 0
 78193710, 0, 0, 0, 0.3450617, -0.02762803, -0.02762803, -0.02, NaN, 0, 0.002371969, 0, 0
 78293670, 0, 0, 0, 0.3450617, -0.02762819, -0.02762819, -0.02, NaN, 0, 0.002371812, 0, 0
 78393630, 0, 0, 0, 0.3450617, -0.02763237, -0.02763237, -0.02, NaN, 0, 0.002367632, 0, 0
 78493590, 0, 0, 0, 0.3450617, -0.0276227, -0.0276227, -0.02, NaN, 0, 0.002377301, 0, 0
 78593550, 0, 0, 0, 0.3450617, -0.02761631, -0.02761631, -0.02, NaN, 0, 0.002383694, 0, 0
 78693510, 0, 0, 0, 0.3450617, -0.02760767, -0.02760767, -0.02, NaN, 0, 0.002392331, 0, 0
 78793470, 0, 0, 0, 0.3450617, -0.0276092, -0.0276092, -0.02, NaN, 0, 0.002390794, 0, 0
 78893430, 0.02356076, 9.49949E-08, 0.007947629, 0.3450617, -0.02709091, -0.02761106, -0.02, NaN, 0, 0.002388934, 1, 0
 78993390, 0.06953239, 2.905726E-07, 0.03698711, 0.3450617, -0.02226369, -0.02761608, -0.02, NaN, 0, 0.002383918, 9, 0
 79093350, 0.1150625, 5.066395E-07, 0.07949865, 0.3450617, -0.008660425, -0.02761604, -0.02, NaN, 0, 0.002383964, 20, 0
 79193310, 0.1658331, 7.450581E-07, 0.1253882, 0.3450617, 0.01494066, -0.02761836, -0.02, NaN, 0, 0.002381641, 32, 0
 79293270, 0.2254017, 1.043081E-06, 0.1784339, 0.3450617, 0.04854174, -0.02761571, -0.02, NaN, 0, 0.002384286, 46, 0
 79394063, 0.2942787, 1.400709E-06, 0.2399767, 0.3450617, 0.09214283, -0.02761654, -0.02, NaN, 0, 0.002383457, 60, 0
 79494023, 0.3728845, 1.817942E-06, 0.3107588, 0.3450617, 0.1457439, -0.02761283, -0.02, NaN, 0, 0.002387168, 75, 0
 79593983, 0.4577962, 2.294779E-06, 0.3911714, 0.3450617, 0.209345, -0.02759161, -0.02, NaN, 0, 0.002408385, 92, 0
 79693943, 0.4710226, 2.473593E-06, 0.4405306, 0.3450617, 0.2829461, -0.02260601, -0.01, NaN, 0, 0.00739399, 109, 10
 79793903, 0.519914, 2.801418E-06, 0.4819771, 0.3450617, 0.3665472, -0.004745742, 0.01, NaN, 0, 0.02525426, 125, 24
